# E(keV) ,beta sin abs,rX sin abs,beta 20 um,RX 20 um,Beta 40 um,RX 40 um,Beta 60 um,RX 60 um,Beta 100 um,RX 100 um,,Area bta sin abs: 1.95e9
 # 1,2,3,4,5,6,7,8,9,10,11,,
664.365,98922,0,2279,0,0,0,0,0,0,0,,
664.755,92031,0,2139,0,13,0,0,0,0,0,,
665.145,75029,0,2179,0,0,0,0,0,12,0,,
665.535,95611,0,2208,0,0,0,12,0,0,0,,
665.925,101593,0,2033,0,12,0,0,0,0,0,,
666.315,87947,0,1752,0,0,0,0,0,0,0,,
666.705,78337,0,1835,0,12,0,0,0,0,0,,
667.095,70865,0,1576,0,0,0,0,0,0,0,,
667.485,72814,0,1775,0,1,0,0,0,0,0,,
667.875,80824,0,1574,0,0,0,0,0,0,0,,
668.265,82519,0,1588,0,0,0,0,0,12,0,,
668.655,78486,0,1318,0,0,0,12,0,0,0,,
669.045,86929,0,1485,0,0,0,0,0,0,0,,
669.435,89341,0,1310,0,0,0,0,0,0,0,,
669.825,75034,0,1233,0,21,0,0,0,0,0,,
670.215,67005,0,1133,0,0,0,0,0,12,0,,
670.605,71774,0,1216,0,0,0,0,0,0,0,,
670.995,76419,0,1154,0,0,0,0,0,0,0,,
671.385,72472,0,1079,0,12,0,0,0,0,0,,
671.775,76713,0,868,0,0,0,0,0,0,0,,
672.165,78105,0,835,0,0,0,0,0,0,0,,
672.555,71411,0,882,0,0,0,0,0,0,0,,
672.945,62057,0,814,0,0,0,0,0,0,0,,
673.335,60324,0,926,0,0,0,0,0,0,0,,
673.725,56521,0,805,0,0,0,12,0,0,0,,
674.115,62744,0,849,0,0,0,0,0,0,0,,
674.505,60213,0,770,0,0,0,0,0,0,0,,
674.895,57543,0,693,0,12,0,0,0,0,0,,
675.285,59383,0,695,0,0,0,0,0,3,0,,
675.675,59414,0,556,0,0,0,12,0,12,0,,
676.065,54026,0,502,0,0,0,0,0,0,0,,
676.455,59279,0,591,0,0,0,0,0,0,0,,
676.845,59335,0,376,0,0,0,0,0,2,0,,
677.235,51016,0,457,0,24,0,24,0,0,0,,
677.625,49276,0,532,0,0,0,0,0,0,0,,
678.015,63169,0,308,0,0,0,0,0,0,0,,
678.405,61231,0,343,0,0,0,0,0,0,0,,
678.795,50550,0,309,0,12,0,9,0,0,0,,
679.185,56723,0,227,0,0,0,0,0,0,0,,
679.575,54745,0,256,0,0,0,0,0,0,0,,
679.965,43018,0,276,0,0,0,0,0,0,0,,
680.355,34825,0,216,0,0,0,0,0,0,0,,
680.745,34154,0,231,0,0,0,0,0,0,0,,
681.135,39347,0,194,0,0,0,0,0,12,0,,
681.525,46238,0,160,0,0,0,0,0,0,0,,
681.915,51612,0,165,0,0,0,0,0,0,0,,
682.305,54240,0,217,0,0,0,0,0,0,0,,
682.695,47417,0,138,0,0,0,0,0,0,0,,
683.085,43319,0,102,0,0,0,0,0,0,0,,
683.475,44915,0,160,0,0,0,0,0,0,0,,
683.865,46307,0,113,0,12,0,0,0,12,0,,
684.255,42851,0,110,0,0,0,0,0,0,0,,
684.645,38093,0,144,0,0,0,0,0,0,0,,
685.035,41314,0,36,0,0,0,0,0,0,0,,
685.425,36158,0,68,0,0,0,0,0,0,0,,
685.815,30007,0,81,0,0,0,0,0,12,0,,
686.205,32830,0,32,0,0,0,0,0,0,0,,
686.595,28112,0,52,0,0,0,0,0,0,0,,
686.985,18298,0,23,0,0,0,0,0,0,0,,
687.375,22374,0,11,0,0,0,0,0,12,0,,
687.765,29305,0,11,0,0,0,0,0,0,0,,
688.155,37856,0,33,0,0,0,0,0,0,0,,
688.545,38602,0,19,0,0,0,12,0,12,0,,
688.935,33929,0,22,0,0,0,0,0,0,0,,
689.325,37869,0,0,0,0,0,0,0,0,0,,
689.715,32871,0,13,0,0,0,0,0,0,0,,
690.105,29307,0,0,0,0,0,0,0,0,0,,
690.495,32318,0,9,0,0,0,0,0,0,0,,
690.885,22939,0,0,0,0,0,0,0,0,0,,
691.275,21225,0,11,0,0,0,0,0,0,0,,
691.665,22031,0,0,0,0,0,0,0,0,0,,
692.055,21640,0,12,0,0,0,0,0,0,0,,
692.445,25947,0,0,0,0,0,0,0,0,0,,
692.835,24216,0,0,0,0,0,0,0,0,0,,
693.225,18820,0,7,0,0,0,0,0,0,0,,
693.615,19776,0,0,0,0,0,0,0,0,0,,
694.005,21124,0,0,0,0,0,0,0,0,0,,
694.395,18410,0,0,0,0,0,0,0,0,0,,
694.785,14255,0,0,0,0,0,1,0,1,0,,
695.175,14941,0,0,0,0,0,0,0,0,0,,
695.565,20666,0,0,0,0,0,0,0,0,0,,
695.955,21940,0,0,0,0,0,0,0,0,0,,
696.345,13783,0,0,0,0,0,0,0,0,0,,
696.735,9050,0,0,0,0,0,0,0,12,0,,
697.125,14723,0,0,0,0,0,0,0,0,0,,
697.515,15538,0,0,0,0,0,0,0,0,0,,
697.905,14322,0,0,0,0,0,0,0,0,0,,
698.295,18278,0,0,0,0,0,0,0,0,0,,
698.685,11630,0,0,0,0,0,0,0,0,0,,
699.075,8867,0,0,0,0,0,0,0,0,0,,
699.465,12117,0,0,0,0,0,0,0,0,0,,
699.855,12582,0,0,0,0,0,0,0,0,0,,
700.245,10880,0,0,0,0,0,0,0,0,0,,
700.635,9521,0,0,0,0,0,0,0,0,0,,
701.025,9608,0,0,0,0,0,0,0,0,0,,
701.415,12104,0,0,0,0,0,0,0,0,0,,
701.805,13999,0,0,0,0,0,0,0,0,0,,
702.195,7624,0,0,0,0,0,0,0,0,0,,
702.585,11884,0,0,0,0,0,0,0,0,0,,
702.975,13488,0,0,0,0,0,0,0,0,0,,
703.365,924,0,0,0,0,0,0,0,0,0,,
703.755,6619,0,0,0,0,0,0,0,0,0,,
704.145,5630,0,0,0,0,0,0,0,0,0,,
704.535,7102,0,0,0,0,0,0,0,0,0,,
704.925,7816,0,0,0,0,0,0,0,0,0,,
705.315,4736,0,0,0,0,0,0,0,0,0,,
705.705,6407,0,0,0,0,0,0,0,0,0,,
706.095,11720,0,0,0,0,0,0,0,0,0,,
706.485,9369,0,0,0,0,0,0,0,0,0,,
706.875,7337,0,0,0,0,0,0,0,0,0,,
707.265,6420,0,0,0,0,0,0,0,0,0,,
707.655,5886,0,0,0,0,0,0,0,0,0,,
708.045,8089,0,0,0,0,0,0,0,0,0,,
708.435,3712,0,0,0,0,0,0,0,0,0,,
708.825,3356,0,0,0,0,0,0,0,0,0,,
709.215,5967,0,0,0,0,0,0,0,0,0,,
709.605,6059,0,0,0,0,0,0,0,0,0,,
709.995,5068,0,0,0,0,0,0,0,0,0,,
710.385,5192,0,0,0,0,0,0,0,0,0,,
710.775,7388,0,0,0,0,0,0,0,0,0,,
711.165,8068,0,0,0,0,0,0,0,0,0,,
711.555,10575,0,0,0,0,0,0,0,0,0,,
711.945,675,0,0,0,0,0,0,0,0,0,,
712.335,0,0,0,0,0,0,0,0,0,0,,
712.725,0,0,0,0,0,0,0,0,0,0,,
713.115,0,0,0,0,0,0,0,0,0,0,,
713.505,0,0,0,0,0,0,0,0,0,0,,
713.895,0,0,0,0,0,0,0,0,0,0,,
714.285,0,0,0,0,0,0,0,0,0,0,,
714.675,0,0,0,0,0,0,0,0,0,0,,
715.065,0,0,0,0,0,0,0,0,0,0,,
715.455,0,0,0,0,0,0,0,0,0,0,,
715.845,0,0,0,0,0,0,0,0,0,0,,
716.235,0,0,0,0,0,0,0,0,0,0,,
716.625,0,0,0,0,0,0,0,0,0,0,,
717.015,0,0,0,0,0,0,0,0,0,0,,
717.405,0,0,0,0,0,0,0,0,0,0,,
717.795,0,0,0,0,0,0,0,0,0,0,,
718.185,0,0,0,0,0,0,0,0,0,0,,
718.575,0,0,0,0,0,0,0,0,0,0,,
718.965,0,0,0,0,0,0,0,0,0,0,,
719.355,0,0,0,0,0,0,0,0,0,0,,
719.745,0,0,0,0,0,0,0,0,0,0,,
720.135,0,0,0,0,0,0,0,0,0,0,,
720.525,0,0,0,0,0,0,0,0,0,0,,
720.915,0,0,0,0,0,0,0,0,0,0,,
721.305,0,0,0,0,0,0,0,0,0,0,,
721.695,0,0,0,0,0,0,0,0,0,0,,
722.085,0,0,0,0,0,0,0,0,0,0,,
722.475,0,0,0,0,0,0,0,0,0,0,,
722.865,0,0,0,0,0,0,0,0,0,0,,
723.255,0,0,0,0,0,0,0,0,0,0,,
723.645,0,0,0,0,0,0,0,0,0,0,,
724.035,0,0,0,0,0,0,0,0,0,0,,
724.425,0,0,0,0,0,0,0,0,0,0,,
724.815,0,0,0,0,0,0,0,0,0,0,,
725.205,0,0,0,0,0,0,0,0,0,0,,
725.595,0,0,0,0,0,0,0,0,0,0,,
725.985,0,0,0,0,0,0,0,0,0,0,,
726.375,0,0,0,0,0,0,0,0,0,0,,
726.765,0,0,0,0,0,0,0,0,0,0,,
727.155,0,0,0,0,0,0,0,0,0,0,,
727.545,0,0,0,0,0,0,0,0,0,0,,
727.935,0,0,0,0,0,0,0,0,0,0,,
728.325,0,0,0,0,0,0,0,0,0,0,,
728.715,0,0,0,0,0,0,0,0,0,0,,
729.105,0,0,0,0,0,0,0,0,0,0,,
729.495,0,0,0,0,0,0,0,0,0,0,,
729.885,0,0,0,0,0,0,0,0,0,0,,
730.275,0,0,0,0,0,0,0,0,0,0,,
730.665,0,0,0,0,0,0,0,0,0,0,,
731.055,0,0,0,0,0,0,0,0,0,0,,
731.445,0,0,0,0,0,0,0,0,0,0,,
731.835,0,0,0,0,0,0,0,0,0,0,,
732.225,0,0,0,0,0,0,0,0,0,0,,
732.615,0,0,0,0,0,0,0,0,0,0,,
733.005,0,0,0,0,0,0,0,0,0,0,,
733.395,0,0,0,0,0,0,0,0,0,0,,
733.785,0,0,0,0,0,0,0,0,0,0,,
734.175,0,0,0,0,0,0,0,0,0,0,,
734.565,0,0,0,0,0,0,0,0,0,0,,
734.955,0,0,0,0,0,0,0,0,0,0,,
735.345,0,0,0,0,0,0,0,0,0,0,,
735.735,0,0,0,0,0,0,0,0,0,0,,
736.125,0,0,0,0,0,0,0,0,0,0,,
736.515,0,0,0,0,0,0,0,0,0,0,,
736.905,0,0,0,0,0,0,0,0,0,0,,
737.295,0,0,0,0,0,0,0,0,0,0,,
737.685,0,0,0,0,0,0,0,0,0,0,,
738.075,0,0,0,0,0,0,0,0,0,0,,
738.465,0,0,0,0,0,0,0,0,0,0,,
738.855,0,0,0,0,0,0,0,0,0,0,,
739.245,0,0,0,0,0,0,0,0,0,0,,
739.635,0,0,0,0,0,0,0,0,0,0,,
740.025,0,0,0,0,0,0,0,0,0,0,,
740.415,0,0,0,0,0,0,0,0,0,0,,
740.805,0,0,0,0,0,0,0,0,0,0,,
741.195,0,0,0,0,0,0,0,0,0,0,,
741.585,0,0,0,0,0,0,0,0,0,0,,
741.975,0,0,0,0,0,0,0,0,0,0,,
742.365,0,0,0,0,0,0,0,0,0,0,,
742.755,0,0,0,0,0,0,0,0,0,0,,
743.145,0,0,0,0,0,0,0,0,0,0,,
743.535,0,0,0,0,0,0,0,0,0,0,,
743.925,0,0,0,0,0,0,0,0,0,0,,
744.315,0,0,0,0,0,0,0,0,0,0,,
744.705,0,0,0,0,0,0,0,0,0,0,,
745.095,0,0,0,0,0,0,0,0,0,0,,
745.485,0,0,0,0,0,0,0,0,0,0,,
745.875,0,0,0,0,0,0,0,0,0,0,,
746.265,0,0,0,0,0,0,0,0,0,0,,
746.655,0,0,0,0,0,0,0,0,0,0,,
747.045,0,0,0,0,0,0,0,0,0,0,,
747.435,0,0,0,0,0,0,0,0,0,0,,
747.825,0,0,0,0,0,0,0,0,0,0,,
748.215,0,0,0,0,0,0,0,0,0,0,,
748.605,0,0,0,0,0,0,0,0,0,0,,
748.995,0,0,0,0,0,0,0,0,0,0,,
749.385,0,0,0,0,0,0,0,0,0,0,,
749.775,0,0,0,0,0,0,0,0,0,0,,
750.165,0,0,0,0,0,0,0,0,0,0,,
750.555,0,0,0,0,0,0,0,0,0,0,,
750.945,0,0,0,0,0,0,0,0,0,0,,
751.335,0,0,0,0,0,0,0,0,0,0,,
751.725,0,0,0,0,0,0,0,0,0,0,,
752.115,0,0,0,0,0,0,0,0,0,0,,
752.505,0,0,0,0,0,0,0,0,0,0,,
752.895,0,0,0,0,0,0,0,0,0,0,,
753.285,0,0,0,0,0,0,0,0,0,0,,
753.675,0,0,0,0,0,0,0,0,0,0,,
754.065,0,0,0,0,0,0,0,0,0,0,,
754.455,0,0,0,0,0,0,0,0,0,0,,
754.845,0,0,0,0,0,0,0,0,0,0,,
755.235,0,0,0,0,0,0,0,0,0,0,,
755.625,0,0,0,0,0,0,0,0,0,0,,
756.015,0,0,0,0,0,0,0,0,0,0,,
756.405,0,0,0,0,0,0,0,0,0,0,,
756.795,0,0,0,0,0,0,0,0,0,0,,
757.185,0,0,0,0,0,0,0,0,0,0,,
757.575,0,0,0,0,0,0,0,0,0,0,,
757.965,0,0,0,0,0,0,0,0,0,0,,
758.355,0,0,0,0,0,0,0,0,0,0,,
758.745,0,0,0,0,0,0,0,0,0,0,,
759.135,0,0,0,0,0,0,0,0,0,0,,
759.525,0,0,0,0,0,0,0,0,0,0,,
759.915,0,0,0,0,0,0,0,0,0,0,,
760.305,0,0,0,0,0,0,0,0,0,0,,
760.695,0,0,0,0,0,0,0,0,0,0,,
761.085,0,0,0,0,0,0,0,0,0,0,,
761.475,0,0,0,0,0,0,0,0,0,0,,
761.865,0,0,0,0,0,0,0,0,0,0,,
762.255,0,0,0,0,0,0,0,0,0,0,,
762.645,0,0,0,0,0,0,0,0,0,0,,
763.035,0,0,0,0,0,0,0,0,0,0,,
763.425,0,0,0,0,0,0,0,0,0,0,,
763.815,0,0,0,0,0,0,0,0,0,0,,
764.205,0,0,0,0,0,0,0,0,0,0,,
764.595,0,0,0,0,0,0,0,0,0,0,,
764.985,0,0,0,0,0,0,0,0,0,0,,
765.375,0,0,0,0,0,0,0,0,0,0,,
765.765,0,0,0,0,0,0,0,0,0,0,,
766.155,0,0,0,0,0,0,0,0,0,0,,
766.545,0,0,0,0,0,0,0,0,0,0,,
766.935,0,0,0,0,0,0,0,0,0,0,,
767.325,0,0,0,0,0,0,0,0,0,0,,
767.715,0,0,0,0,0,0,0,0,0,0,,
768.105,0,0,0,0,0,0,0,0,0,0,,
768.495,0,0,0,0,0,0,0,0,0,0,,
768.885,0,0,0,0,0,0,0,0,0,0,,
769.275,0,0,0,0,0,0,0,0,0,0,,
769.665,0,0,0,0,0,0,0,0,0,0,,
770.055,0,0,0,0,0,0,0,0,0,0,,
770.445,0,0,0,0,0,0,0,0,0,0,,
770.835,0,0,0,0,0,0,0,0,0,0,,
771.225,0,0,0,0,0,0,0,0,0,0,,
771.615,0,0,0,0,0,0,0,0,0,0,,
772.005,0,0,0,0,0,0,0,0,0,0,,
772.395,0,0,0,0,0,0,0,0,0,0,,
772.785,0,0,0,0,0,0,0,0,0,0,,
773.175,0,0,0,0,0,0,0,0,0,0,,
773.565,0,0,0,0,0,0,0,0,0,0,,
773.955,0,0,0,0,0,0,0,0,0,0,,
774.345,0,0,0,0,0,0,0,0,0,0,,
774.735,0,0,0,0,0,0,0,0,0,0,,
775.125,0,0,0,0,0,0,0,0,0,0,,
775.515,0,0,0,0,0,0,0,0,0,0,,
775.905,0,0,0,0,0,0,0,0,0,0,,
776.295,0,0,0,0,0,0,0,0,0,0,,
776.685,0,0,0,0,0,0,0,0,0,0,,
777.075,0,0,0,0,0,0,0,0,0,0,,
777.465,0,0,0,0,0,0,0,0,0,0,,
777.855,0,0,0,0,0,0,0,0,0,0,,
778.245,0,0,0,0,0,0,0,0,0,0,,
778.635,0,0,0,0,0,0,0,0,0,0,,
779.025,0,0,0,0,0,0,0,0,0,0,,
779.415,0,0,0,0,0,0,0,0,0,0,,
779.805,0,0,0,0,0,0,0,0,0,0,,
780.195,0,0,0,0,0,0,0,0,0,0,,
