#,20,20,20,40,40,40,60,60,60,100,100,100
        #E(MeV) ,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,     noph
0.26715,157994,8347330,8341780,193800,1939780,1936590,194223,413027,410488,184305,9996,9614
0.27105,151105,8380460,8382750,185437,1947430,1943170,185758,409606,411962,176056,9641,9584
0.27495,144351,8415090,8415480,177561,1947830,1949140,177906,409246,408925,169126,9432,9504
0.27885,137657,8445020,8444350,169897,1952410,1949940,170746,408431,407050,162140,9587,9002
0.28275,131750,8474900,8476700,161896,1955950,1956990,163078,407110,405993,154742,9188,8967
0.28665,126036,8485270,8484960,154669,1954140,1954930,155458,405319,405668,148076,9004,8848
0.29055,120022,8505280,8497020,146892,1955190,1957960,148897,402496,403779,142195,8821,8414
0.29445,114485,8510170,8514100,140426,1955090,1955680,142397,400944,400389,135639,8459,8435
0.29835,109808,8511790,8513970,134383,1953550,1953450,135344,399625,397438,129430,8213,8067
0.30225,104131,8511370,8515920,128368,1947550,1948080,129314,395840,395665,123949,8068,8014
0.30615,99552,8506460,8508400,122256,1945900,1944410,124408,392474,391837,118244,7615,7700
0.31005,94623,8501350,8495420,116958,1939910,1938520,117825,389586,387254,112924,7656,7487
0.31395,90714,8480250,8485200,110976,1931570,1928230,112440,386712,385291,107337,7341,7296
0.31785,86258,8455890,8465700,106272,1920680,1923540,107559,380923,381807,103409,6980,6995
0.32175,81830,8434820,8430070,100829,1911840,1912030,101972,377126,377356,98266,6797,6787
0.32565,78359,8393490,8398750,96786,1901280,1900980,97226,373509,372280,93761,6477,6494
0.32955,74733,8362890,8355200,92605,1886440,1887760,92796,367295,367204,89848,6238,6196
0.33345,70718,8321280,8316660,87191,1871570,1870570,87897,362886,362006,85016,6085,6068
0.33735,67329,8275860,8272110,83149,1858230,1858140,84355,356111,355821,81262,5977,5713
0.34125,64434,8207920,8212910,79544,1840250,1843140,80369,350908,351352,77990,5524,5526
0.34515,61405,8158560,8161610,75728,1820800,1822040,76192,344359,344790,73357,5365,5227
0.34905,58568,8096000,8098810,71851,1802760,1802980,73408,338525,338254,70515,5091,4898
0.35295,55495,8034580,8029740,68092,1780280,1779260,69204,332456,332089,66535,4748,4759
0.35685,52701,7955710,7954120,64745,1760130,1761980,65636,326798,325502,63573,4531,4604
