# E(keV),beta sin absorb,rX sin absorb,20 micras,40 micras,60 micras,100 micras,,Area sin absorbente: 1.217e6
# 1,2,3,4,5,6,7,,
105.73,2727.5111349611,0,381.5111349611,104.5111349611,15.820018788,-0.7745793246,,
106.12,2696.683199816,0,360.683199816,84.683199816,13.0239743035,-1.6025144697,,
106.51,2748.3390701062,0,365.3390701062,104.3390701062,25.7012568943,0.0533558205,,
106.9,2749.5809728238,0,351.5809728238,97.5809728238,15.9217473113,3.0095442524,,
107.29,2682.7206485492,0,385.7206485492,118.7206485492,21.6359105082,8.8635056921,,
107.68,2723.4089079689,0,369.4089079689,99.4089079689,17.93054806,-6.4482348883,,
108.07,2813.9251025336,0,359.9251025336,94.9251025336,25.6809111897,-5.5034688949,,
108.46,2789.7530376787,0,393.7530376787,105.7530376787,11.9448372231,3.8958948216,,
108.85,2772.8228755414,0,390.8228755414,96.8228755414,15.9827844252,2.5371612557,,
109.24,2678.3765188394,0,411.3765188394,94.3765188394,24.8662682699,5.3765188394,,
109.63,2787.1670052513,0,407.1670052513,86.1670052513,14.720536003,9.452719537,,
110.02,2606.5111349611,0,337.5111349611,94.5111349611,14.6391531843,-2.4888650389,,
110.41,2669.3390701062,0,351.3390701062,70.3390701062,17.0415758009,0.0533558205,,
110.8,2734.064778259,0,350.064778259,94.064778259,18.0119308786,0.3504925448,,
111.19,2797.4089079689,0,379.4089079689,96.4089079689,19.5050355315,2.1231936832,,
111.58,2735.1670052513,0,426.1670052513,83.1670052513,17.4758890781,12.8812909655,,
111.97,2782.4787458316,0,380.4787458316,93.4787458316,15.670545376,9.3358886887,,
112.36,2738.8228755414,0,372.8228755414,104.8228755414,17.9508937647,-2.6056958872,,
112.75,2798.8927134041,0,372.8927134041,93.8927134041,18.0526222879,8.035570547,,
113.14,2671.236843114,0,386.236843114,103.236843114,19.5457269408,-0.4774426003,,
113.53,2727.4089079689,0,362.4089079689,104.4089079689,12.4198419097,-3.0196634597,,
113.92,2840.3765188394,0,331.3765188394,115.3765188394,25.6535120056,7.0908045536,,
114.31,2712.064778259,0,377.064778259,96.064778259,24.7035026326,5.4933496876,,
114.7,2844.9949403963,0,380.9949403963,94.9949403963,15.548471148,10.280654682,,
115.09,2721.4787458316,0,412.4787458316,118.4787458316,24.3302264694,2.4787458316,,
115.48,2754.9949403963,0,408.9949403963,101.9949403963,15.9420930159,-0.0050596037,,
115.87,2809.9625512668,0,405.9625512668,89.9625512668,20.9097038864,8.3911226954,,
116.26,2819.8927134041,0,370.8927134041,112.8927134041,23.5633284383,2.8927134041,,
116.65,2720.236843114,0,392.236843114,103.236843114,24.6628112233,6.3797002568,,
117.04,2717.8927134041,0,422.8927134041,101.8927134041,19.2334878916,2.8927134041,,
117.43,2853.236843114,0,377.236843114,103.236843114,21.1202144124,1.236843114,,
117.82,2881.4787458316,0,380.4787458316,86.4787458316,18.4258984512,-2.6641113113,,
118.21,2731.8228755414,0,379.8228755414,98.8228755414,21.8871124435,9.3943041128,,
118.6,2789.064778259,0,396.064778259,94.064778259,14.8629559356,2.064778259,,
118.99,2847.0971673886,0,401.0971673886,82.0971673886,10.288966933,-6.33140404,,
119.38,2800.4787458316,0,419.4787458316,99.4787458316,16.4577891118,16.1930315459,,
119.77,2733.8927134041,0,356.8927134041,116.8927134041,23.1697065704,4.6069991184,,
