#,Fuente Varian,,,,Fuente MonoE 6 MeV,,
 #E(MeV) ,compt,phot,conv,,compt,phot,conv
1.33,1.04314E-05,7.49298E-10,3.74789E-07,,0.00555396,2.4E-07,0.0012544
1.35,1.02394E-05,4.08708E-10,3.71044E-07,,0.00549056,1.4E-07,0.00125634
1.37,9.96547E-06,7.49298E-10,3.58547E-07,,0.00538934,1.8E-07,0.0012642
1.39,9.74489E-06,9.53652E-10,3.47549E-07,,0.00535318,6E-08,0.001267
1.41,9.51938E-06,5.10885E-10,3.52963E-07,,0.00526414,2.2E-07,0.00127108
1.43,9.27258E-06,3.4059E-10,3.50307E-07,,0.0052137,1.8E-07,0.0012571
1.45,9.09131E-06,5.44944E-10,3.39717E-07,,0.00514006,6E-08,0.0012607
1.47,8.83892E-06,5.44944E-10,3.35733E-07,,0.00508244,1.4E-07,0.00127584
1.49,8.66098E-06,5.79003E-10,3.26744E-07,,0.00502082,1.2E-07,0.00126362
1.51,8.48139E-06,5.79003E-10,3.28072E-07,,0.00495266,1E-07,0.00127318
1.53,8.29404E-06,3.4059E-10,3.20342E-07,,0.00489494,8E-08,0.00127526
1.55,8.08253E-06,4.76826E-10,3.18571E-07,,0.00484444,8E-08,0.00127032
1.57,7.93569E-06,4.76826E-10,3.12817E-07,,0.00481206,1.2E-07,0.00126486
1.59,7.71549E-06,6.47121E-10,3.07369E-07,,0.00475056,1.4E-07,0.0012767
1.61,7.54562E-06,4.76826E-10,3.02465E-07,,0.0047072,1.8E-07,0.00126822
1.63,7.40159E-06,2.38413E-10,2.98175E-07,,0.00465436,1.6E-07,0.00127014
1.65,7.2337E-06,3.06531E-10,3.03283E-07,,0.00462144,1.2E-07,0.0012703
1.67,7.0952E-06,5.10885E-10,2.91978E-07,,0.00455284,1.4E-07,0.0012657
1.69,6.93E-06,4.08708E-10,2.83465E-07,,0.00452028,4E-08,0.00127726
1.71,6.79561E-06,3.06531E-10,2.78732E-07,,0.00445716,1.8E-07,0.0012567
1.73,6.64216E-06,3.74649E-10,2.81082E-07,,0.0044244,1E-07,0.00126754
1.75,6.51569E-06,5.10885E-10,2.69402E-07,,0.00438732,1.8E-07,0.0012642
1.77,6.36472E-06,4.42767E-10,2.70254E-07,,0.00436424,8E-08,0.00126932
1.79,6.21303E-06,2.72472E-10,2.67461E-07,,0.00432486,8E-08,0.00127
1.81,6.10383E-06,3.74649E-10,2.62149E-07,,0.00428558,1.2E-07,0.00126276
1.83,6.00961E-06,2.04354E-10,2.53977E-07,,0.00424688,1.2E-07,0.00126724
1.85,5.87968E-06,2.04354E-10,2.54148E-07,,0.00421854,1E-07,0.001251
1.87,5.77793E-06,4.08708E-10,2.47882E-07,,0.00416146,8E-08,0.00126256
1.89,5.61502E-06,4.42767E-10,2.49415E-07,,0.00414474,8E-08,0.00125892
1.91,5.50629E-06,1.70295E-10,2.41481E-07,,0.00410966,1.4E-07,0.00125674
1.93,5.39857E-06,2.72472E-10,2.39506E-07,,0.00407294,1.2E-07,0.00126206
1.95,5.2836E-06,3.06531E-10,2.3433E-07,,0.0040442,4E-08,0.00125228
1.97,5.19068E-06,4.42767E-10,2.31572E-07,,0.00401614,1.2E-07,0.00125658
1.99,5.09029E-06,2.38413E-10,2.24149E-07,,0.00398374,1.4E-07,0.0012573
2.01,5.01216E-06,1.02177E-10,2.26975E-07,,0.00395886,1E-07,0.00124674
2.03,4.89206E-06,2.04354E-10,2.23025E-07,,0.00393706,2E-08,0.00125266
2.05,4.80226E-06,3.4059E-10,2.18531E-07,,0.00391618,6E-08,0.00125184
2.07,4.71795E-06,3.06531E-10,2.11312E-07,,0.00387534,1E-07,0.00125416
2.09,4.6347E-06,2.04354E-10,2.12299E-07,,0.00385978,8E-08,0.00125464
2.11,4.56277E-06,3.74649E-10,2.05692E-07,,0.00382894,8E-08,0.0012489
2.13,4.44532E-06,1.02177E-10,1.98777E-07,,0.00380558,6E-08,0.00124204
2.15,4.3466E-06,2.38413E-10,1.97074E-07,,0.0037842,1.2E-07,0.0012431
2.17,4.27888E-06,2.38413E-10,1.9503E-07,,0.00375746,8E-08,0.00125148
2.19,4.19393E-06,1.70295E-10,1.93327E-07,,0.00373522,2E-08,0.00123776
2.21,4.13161E-06,2.04354E-10,1.9503E-07,,0.00373076,6E-08,0.00124372
2.23,4.0605E-06,6.8118E-11,1.86957E-07,,0.00370572,8E-08,0.00124748
2.25,3.98644E-06,1.70295E-10,1.83653E-07,,0.003671,1E-07,0.00124682
2.27,3.90261E-06,6.8118E-11,1.83074E-07,,0.00367172,1.2E-07,0.00123276
2.29,3.82343E-06,2.38413E-10,1.79225E-07,,0.00363882,6E-08,0.0012415
2.31,3.75869E-06,1.36236E-10,1.69415E-07,,0.00361584,6E-08,0.00123986
2.33,3.68945E-06,0,1.66928E-07,,0.0035929,4E-08,0.00123408
2.35,3.6351E-06,1.36236E-10,1.63215E-07,,0.00359024,8E-08,0.0012358
2.37,3.5703E-06,2.38413E-10,1.62023E-07,,0.00355654,4E-08,0.00123134
2.39,3.50062E-06,1.02177E-10,1.56777E-07,,0.00354486,4E-08,0.00122746
2.41,3.4382E-06,2.38413E-10,1.56266E-07,,0.0035186,6E-08,0.00123332
2.43,3.35654E-06,1.70295E-10,1.53882E-07,,0.00350986,0,0.0012119
2.45,3.30089E-06,1.70295E-10,1.50748E-07,,0.00349458,4E-08,0.00122708
2.47,3.24271E-06,6.8118E-11,1.53678E-07,,0.00345836,4E-08,0.00122964
