# E , E*1e6 , oog2/hexitoog2_1_1.root_Angular.csv , 4e+06
134.5 , 1.345e+08 ,  , 0
135.5 , 1.355e+08 ,  , 0
136.5 , 1.365e+08 ,  , 0
137.5 , 1.375e+08 ,  , 0
138.5 , 1.385e+08 ,  , 0
139.5 , 1.395e+08 ,  , 0
140.5 , 1.405e+08 ,  , 0
141.5 , 1.415e+08 ,  , 0
142.5 , 1.425e+08 ,  , 0
143.5 , 1.435e+08 ,  , 0
144.5 , 1.445e+08 ,  , 0
145.5 , 1.455e+08 ,  , 0
146.5 , 1.465e+08 ,  , 0
147.5 , 1.475e+08 ,  , 0
148.5 , 1.485e+08 ,  , 0
149.5 , 1.495e+08 ,  , 0
150.5 , 1.505e+08 ,  , 0
151.5 , 1.515e+08 ,  , 0
152.5 , 1.525e+08 ,  , 0
153.5 , 1.535e+08 ,  , 0
154.5 , 1.545e+08 ,  , 0
155.5 , 1.555e+08 ,  , 0
156.5 , 1.565e+08 ,  , 0
157.5 , 1.575e+08 ,  , 0
158.5 , 1.585e+08 ,  , 0
159.5 , 1.595e+08 ,  , 0
160.5 , 1.605e+08 ,  , 0
161.5 , 1.615e+08 ,  , 0
162.5 , 1.625e+08 ,  , 0
163.5 , 1.635e+08 ,  , 0
164.5 , 1.645e+08 ,  , 0
165.5 , 1.655e+08 ,  , 0
166.5 , 1.665e+08 ,  , 0
167.5 , 1.675e+08 ,  , 0
168.5 , 1.685e+08 ,  , 0
169.5 , 1.695e+08 ,  , 0
170.5 , 1.705e+08 ,  , 0
171.5 , 1.715e+08 ,  , 0
172.5 , 1.725e+08 ,  , 0
173.5 , 1.735e+08 ,  , 0
174.5 , 1.745e+08 ,  , 0
175.5 , 1.755e+08 ,  , 0
176.5 , 1.765e+08 ,  , 0
177.5 , 1.775e+08 ,  , 0
178.5 , 1.785e+08 ,  , 0
179.5 , 1.795e+08 ,  , 0
180.5 , 1.805e+08 ,  , 0                                   
