#Table:
 #x(mm)/E(MeV) ,           NoInt ,       EdepTotal ,        E2_gamma ,           E2_e- ,No_GmUserSpecialCut ,No_GmUserSpecialCut ,No_Transportation ,Ed_Transportation ,          No_msc ,          Ed_msc ,        No_eBrem ,        Ed_eBrem ,        No_eIoni ,        Ed_eIoni ,         No_Rayl ,         Ed_Rayl ,        No_compt ,        Ed_compt ,         No_phot ,         Ed_phot ,     E_aux_gamma ,
            1.95 ,               0 ,         4435.82 ,      0.00776771 ,        0.482268 ,            2103 ,            2103 ,               0 ,               0 ,           75415 ,         2605.24 ,             275 ,         6.83414 ,           21710 ,         1768.87 ,               8 ,               0 ,              21 ,      0.00417854 ,             131 ,       0.0668273 ,         214.798 ,
            2.05 ,               0 ,          4365.4 ,      0.00752474 ,        0.454734 ,            2329 ,            2329 ,               0 ,               0 ,           64947 ,         2255.78 ,             344 ,         9.99008 ,           24787 ,         2038.38 ,               4 ,               0 ,              19 ,       0.0019905 ,             117 ,       0.0603215 ,         201.181 ,
            2.15 ,               0 ,         4250.69 ,      0.00512498 ,        0.428364 ,            2401 ,            2401 ,               0 ,               0 ,           54032 ,         1868.27 ,             299 ,         8.76625 ,           27771 ,         2310.44 ,               1 ,               0 ,              13 ,      0.00084816 ,             138 ,       0.0700802 ,         215.142 ,
            2.25 ,               0 ,         4131.12 ,      0.00776925 ,        0.392285 ,            2659 ,            2659 ,               0 ,               0 ,           40903 ,         1421.02 ,             281 ,         9.75812 ,           31273 ,         2630.15 ,               6 ,               0 ,              26 ,      0.00375646 ,             139 ,       0.0721417 ,          241.12 ,
            2.35 ,               0 ,         3975.29 ,      0.00458663 ,        0.353028 ,            2840 ,            2840 ,               0 ,               0 ,           28196 ,         985.235 ,             274 ,         9.70719 ,           34226 ,          2905.5 ,               9 ,               0 ,              12 ,      0.00081962 ,             129 ,       0.0657528 ,         224.784 ,
            2.45 ,               0 ,          3823.1 ,      0.00419998 ,        0.307145 ,            2933 ,            2933 ,               0 ,               0 ,           16055 ,         559.731 ,             227 ,         9.88776 ,           37032 ,         3175.01 ,               2 ,               0 ,              20 ,      0.00204704 ,             134 ,       0.0689472 ,         234.402 ,
            2.55 ,               0 ,         3761.27 ,      0.00667868 ,        0.259472 ,            2986 ,            2986 ,               0 ,               0 ,            6560 ,          228.46 ,             230 ,         10.6322 ,           39785 ,         3441.22 ,               2 ,               0 ,              22 ,       0.0031481 ,             109 ,       0.0570394 ,         213.903 ,
            2.65 ,               0 ,         3798.63 ,      0.00592075 ,        0.227346 ,            3218 ,            3218 ,               0 ,               0 ,            1548 ,         53.0949 ,             224 ,         10.8441 ,           41764 ,         3649.97 ,               4 ,               0 ,              25 ,      0.00428726 ,             117 ,       0.0562571 ,         230.659 ,
            2.75 ,               0 ,         3850.83 ,      0.00790541 ,        0.215104 ,            3394 ,            3394 ,               0 ,               0 ,             125 ,         4.91535 ,             224 ,         10.5863 ,           43010 ,         3744.82 ,               5 ,               0 ,              27 ,      0.00217233 ,             128 ,       0.0652155 ,          250.44 ,
            2.85 ,               0 ,          3779.8 ,       0.0027287 ,         0.20925 ,            3505 ,            3505 ,               0 ,               0 ,               3 ,       0.0998048 ,             196 ,          8.3612 ,           42439 ,         3676.74 ,               3 ,               0 ,              13 ,      0.00077902 ,             134 ,       0.0643592 ,         244.529 ,
            2.95 ,               0 ,         3475.81 ,       0.0058382 ,        0.198492 ,            3316 ,            3316 ,               0 ,               0 ,               0 ,               0 ,             166 ,         7.97274 ,           39596 ,         3379.74 ,               5 ,               0 ,              18 ,      0.00199356 ,             114 ,       0.0597258 ,         225.035 ,
            3.05 ,               0 ,         3006.36 ,       0.0069486 ,        0.180501 ,            3239 ,            3239 ,               0 ,               0 ,               0 ,               0 ,             152 ,         6.21173 ,           35039 ,          2912.9 ,               6 ,               0 ,              17 ,      0.00195018 ,              77 ,       0.0372911 ,          187.21 ,
            3.15 ,               0 ,         2619.12 ,      0.00431938 ,        0.164385 ,            3175 ,            3175 ,               0 ,               0 ,               0 ,               0 ,             141 ,         6.01091 ,           31214 ,         2527.25 ,               9 ,               0 ,              14 ,      0.00133522 ,              98 ,       0.0506212 ,           206.8 ,
            3.25 ,               0 ,         2255.31 ,       0.0056413 ,        0.154519 ,            2906 ,            2906 ,               0 ,               0 ,               0 ,               0 ,             101 ,         4.40997 ,           27164 ,         2172.58 ,               4 ,               0 ,              15 ,      0.00141794 ,              70 ,       0.0360855 ,         167.285 ,
            3.35 ,               0 ,          1861.4 ,      0.00897667 ,        0.144773 ,            2557 ,            2557 ,               0 ,               0 ,               0 ,               0 ,              67 ,         2.93424 ,           22751 ,         1787.83 ,               5 ,               0 ,              15 ,        0.001895 ,              61 ,       0.0312499 ,         151.608 ,
            3.45 ,               0 ,         1485.66 ,      0.00719662 ,        0.129675 ,            2292 ,            2292 ,               0 ,               0 ,               0 ,               0 ,              67 ,         2.32164 ,           18388 ,         1420.85 ,               4 ,               0 ,              15 ,      0.00133402 ,              63 ,       0.0318164 ,         144.455 ,
            3.55 ,               0 ,         1170.13 ,      0.00697941 ,        0.118574 ,            1945 ,            1945 ,               0 ,               0 ,               0 ,               0 ,              43 ,         1.85888 ,           14590 ,         1115.86 ,               5 ,               0 ,              13 ,       0.0008219 ,              60 ,       0.0302046 ,         130.375 ,
            3.65 ,               0 ,         853.462 ,       0.0114773 ,        0.107552 ,            1586 ,            1586 ,               0 ,               0 ,               0 ,               0 ,              27 ,        0.970451 ,           10683 ,         809.845 ,               6 ,               0 ,              18 ,      0.00352074 ,              43 ,       0.0215789 ,         109.621 ,
            3.75 ,               0 ,         584.572 ,       0.0124273 ,        0.098055 ,            1179 ,            1179 ,               0 ,               0 ,               0 ,               0 ,              24 ,        0.768175 ,            7359 ,         552.045 ,               6 ,               0 ,              17 ,      0.00245166 ,              46 ,       0.0247149 ,         100.731 ,
            3.85 ,               0 ,         375.439 ,       0.0130184 ,       0.0886726 ,             831 ,             831 ,               0 ,               0 ,               0 ,               0 ,              11 ,        0.502475 ,            4792 ,         353.325 ,               3 ,               0 ,              14 ,      0.00189268 ,              35 ,       0.0177887 ,         73.5925 ,
            3.95 ,               0 ,         230.452 ,      0.00472354 ,       0.0806558 ,             533 ,             533 ,               0 ,               0 ,               0 ,               0 ,               6 ,        0.282013 ,            2943 ,         216.473 ,               1 ,               0 ,               5 ,      0.00015376 ,              32 ,        0.017193 ,         51.6793 ,
            4.05 ,               0 ,         132.888 ,       0.0247447 ,       0.0696276 ,             383 ,             383 ,               0 ,               0 ,               0 ,               0 ,               5 ,        0.170504 ,            1674 ,         122.808 ,               3 ,               0 ,              21 ,       0.0031047 ,              28 ,       0.0145358 ,         61.8921 ,
            4.15 ,               0 ,         58.6041 ,       0.0227217 ,       0.0607261 ,             202 ,             202 ,               0 ,               0 ,               0 ,               0 ,               2 ,       0.0228567 ,             720 ,         53.7073 ,               5 ,               0 ,              16 ,      0.00195142 ,              24 ,       0.0118786 ,         49.8601 ,
            4.25 ,               0 ,         23.5781 ,       0.0297517 ,        0.059783 ,             100 ,             100 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0701343 ,             294 ,         21.3559 ,               1 ,               0 ,              18 ,      0.00201976 ,              23 ,       0.0113413 ,         44.1387 ,
            4.35 ,               0 ,         11.3438 ,       0.0209757 ,       0.0444063 ,              73 ,              73 ,               0 ,               0 ,               0 ,               0 ,               2 ,         0.12954 ,             136 ,         9.83503 ,               6 ,               0 ,              15 ,      0.00143454 ,              24 ,       0.0123867 ,         46.3654 ,
            4.45 ,               0 ,         3.77843 ,       0.0272825 ,       0.0300841 ,              41 ,              41 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,              42 ,         3.07151 ,               1 ,               0 ,              12 ,       0.0019066 ,              21 ,       0.0107748 ,         34.6942 ,
            4.55 ,               0 ,         1.50318 ,       0.0442047 ,       0.0107642 ,              39 ,              39 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,              13 ,        0.942982 ,               3 ,               0 ,              22 ,       0.0009575 ,              15 ,      0.00755115 ,         40.5517 ,
            4.65 ,               0 ,        0.382115 ,        0.028709 ,     0.000409779 ,              25 ,              25 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0963015 ,               2 ,               0 ,              12 ,      0.00086422 ,              12 ,      0.00593931 ,          26.279 ,
            4.75 ,               0 ,         0.84686 ,       0.0289561 ,      0.00909309 ,              33 ,              33 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               6 ,        0.420609 ,               0 ,               0 ,              15 ,       0.0019623 ,              19 ,      0.00919222 ,         34.4151 ,
            4.85 ,               0 ,        0.567478 ,       0.0321778 ,      0.00586544 ,              30 ,              30 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,        0.191868 ,               5 ,               0 ,              17 ,      0.00197468 ,              14 ,      0.00650582 ,         36.3671 ,
            4.95 ,               0 ,        0.412857 ,        0.035691 ,               0 ,              28 ,              28 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               7 ,               0 ,              13 ,      0.00082188 ,              15 ,      0.00755115 ,         35.4045 ,
            5.05 ,               0 ,        0.236565 ,       0.0271559 ,               0 ,              21 ,              21 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,               0 ,              12 ,      0.00135219 ,              11 ,      0.00591008 ,         24.2293 ,
            5.15 ,               0 ,        0.296989 ,       0.0302547 ,               0 ,              26 ,              26 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,               0 ,              13 ,      0.00082012 ,              13 ,      0.00647659 ,         28.2897 ,
            5.25 ,               0 ,        0.464778 ,       0.0281095 ,      0.00717132 ,              21 ,              21 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,        0.165582 ,               0 ,               0 ,              10 ,      0.00023672 ,              12 ,      0.00593931 ,          22.293 ,
            5.35 ,               0 ,        0.443171 ,       0.0315676 ,      0.00263309 ,              26 ,              26 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.141335 ,               4 ,               0 ,              15 ,       0.0003607 ,              11 ,      0.00540203 ,         30.2961 ,
            5.45 ,               0 ,        0.347333 ,       0.0364632 ,               0 ,              24 ,              24 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0567045 ,               2 ,               0 ,              15 ,      0.00190634 ,              10 ,       0.0053728 ,         27.2833 ,
            5.55 ,               0 ,        0.450295 ,       0.0216783 ,      0.00517136 ,              24 ,              24 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.128751 ,               4 ,               0 ,               7 ,      0.00025184 ,              16 ,      0.00705729 ,         27.3142 ,
            5.65 ,               0 ,        0.327687 ,        0.028298 ,      0.00584951 ,              26 ,              26 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0590924 ,               0 ,               0 ,              12 ,      0.00075228 ,              14 ,      0.00701387 ,         26.2608 ,
            5.75 ,               0 ,        0.681828 ,       0.0407057 ,      0.00184211 ,              32 ,              32 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.144225 ,               2 ,               0 ,              16 ,      0.00190508 ,              18 ,      0.00865494 ,          36.527 ,
            5.85 ,               0 ,        0.499594 ,       0.0353526 ,               0 ,              21 ,              21 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.148518 ,               2 ,               0 ,              12 ,      0.00077678 ,              10 ,       0.0053728 ,         24.3449 ,
            5.95 ,               0 ,        0.172894 ,        0.028077 ,               0 ,              21 ,              21 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,               0 ,              11 ,      0.00179596 ,              10 ,      0.00486475 ,         23.1662 ,
            6.05 ,               0 ,        0.248941 ,       0.0335574 ,               0 ,              26 ,              26 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,               0 ,              17 ,      0.00297768 ,               9 ,      0.00483552 ,         27.2411 ,
            6.15 ,               0 ,        0.534107 ,       0.0257143 ,      0.00390438 ,              23 ,              23 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,        0.213816 ,               2 ,               0 ,              10 ,       0.0012808 ,              14 ,      0.00701387 ,          26.312 ,
            6.25 ,               0 ,        0.327375 ,       0.0192261 ,               0 ,              23 ,              23 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               4 ,               0 ,              10 ,      0.00123796 ,              13 ,      0.00698464 ,         27.3192 ,
            6.35 ,               0 ,        0.303271 ,       0.0286712 ,               0 ,              22 ,              22 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,               0 ,               9 ,      0.00073596 ,              14 ,      0.00752192 ,          26.295 ,
            6.45 ,               0 ,        0.471141 ,       0.0208935 ,     0.000863185 ,              26 ,              26 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,        0.089079 ,               2 ,               0 ,              10 ,      0.00123972 ,              16 ,      0.00859648 ,         28.3722 ,
            6.55 ,               0 ,        0.419456 ,       0.0266125 ,      0.00190948 ,              22 ,              22 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0717258 ,               4 ,               0 ,               9 ,      0.00025282 ,              12 ,      0.00543126 ,          25.342 ,
            6.65 ,               0 ,        0.338104 ,       0.0266465 ,               0 ,              24 ,              24 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,               0 ,              11 ,      0.00079464 ,              13 ,      0.00647659 ,         27.3308 ,
            6.75 ,               0 ,        0.266775 ,       0.0361086 ,               0 ,              20 ,              20 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,              12 ,      0.00083802 ,               9 ,      0.00381942 ,         21.2621 ,
            6.85 ,               0 ,        0.432607 ,       0.0281841 ,      0.00317221 ,              19 ,              19 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.132795 ,               2 ,               0 ,               9 ,      0.00078058 ,               9 ,      0.00483552 ,         20.2942 ,
            6.95 ,               0 ,        0.399096 ,       0.0711291 ,      0.00221264 ,              20 ,              20 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,        0.070839 ,               1 ,               0 ,              11 ,      0.00231056 ,              10 ,       0.0053728 ,         22.3206 ,
            7.05 ,               0 ,        0.282949 ,        0.023691 ,               0 ,              16 ,              16 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0628523 ,               1 ,               0 ,               8 ,       0.0012256 ,               9 ,      0.00432747 ,         18.2145 ,
            7.15 ,               0 ,         0.47075 ,       0.0208367 ,       0.0062417 ,              20 ,              20 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.152473 ,               2 ,               0 ,               7 ,      0.00013816 ,              13 ,      0.00698464 ,         22.3112 ,
            7.25 ,               0 ,        0.355258 ,       0.0287795 ,               0 ,              17 ,              17 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.121899 ,               1 ,               0 ,               9 ,      0.00129166 ,              11 ,      0.00540203 ,         21.2267 ,
            7.35 ,               0 ,         0.34691 ,       0.0377547 ,      0.00590403 ,              10 ,              10 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,        0.199073 ,               6 ,               0 ,               7 ,      0.00069736 ,               4 ,      0.00164107 ,         17.1455 ,
