#Table:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis 
0.003975,828.943,801054,93344400,479312000,113685,602074,925.51,865809000,10101100,812462,9481.64,4981,1412.43,673173,6470450,18465,189575,320741,18506200,1085580,13689100,1405000,17717100,1407,207919,31207,24212000,7191,251685,2270750,20366.9,198261,1478470,2082,531.083,6531,374456,42878.4
0.004025,829.047,793600,90977100,469154000,111298,587515,902.238,847289000,9884990,785083,9157.66,4771,1343.55,659854,6346070,18310,187779,315354,18085400,1060740,13376000,1376520,17357900,1342,198495,30472,23317500,6927,242445,2221710,19921.9,193428,1443900,2019,476.111,6644,393538,39261.2
0.004075,829.028,780972,88866400,459229000,108961,575382,877.036,829338000,9675670,773160,9021.66,4801,1363.26,646217,6211070,18012,185112,307331,17685900,1036880,13075000,1348270,17001700,1310,195075,29771,22659000,6771,236985,2175270,19529.1,189184,1410920,2002,508.316,6669,389622,45136.1
0.004125,829.125,767597,86232200,445982000,105827,562690,862.762,805378000,9396010,769347,8977.03,4775,1339.94,626161,6016130,18003,184723,299644,17149400,1006820,12695900,1309990,16518900,1263,186513,28956,21968500,6496,227360,2111660,18937.2,183672,1370250,2005,558.49,6524,382005,43668.5
0.004175,829.369,753701,84190200,435391000,103326,548543,825.937,786142000,9171590,761286,8880.41,4682,1314.78,612936,5890060,17832,182628,294644,16915100,981467,12376300,1278270,16118900,1297,189820,28136,21266300,6429,225015,2060160,18475.7,179619,1341150,1987,464.149,6470,380039,32804.3
0.004225,828.838,747908,81853900,423256000,100398,531443,806.988,764508000,8919200,734974,8573.37,4565,1294.5,594925,5719450,17212,176566,286263,16354600,957465,12073600,1241340,15653300,1195,175813,27737,20771800,6207,217245,2005840,17995.8,173899,1296870,1959,463.834,6273,365909,29824.6
0.004275,829.137,726749,80022200,415045000,98471.9,523571,773.692,749448000,8743570,741245,8648.36,4784,1370.96,583810,5612930,17587,181277,281418,16115300,937204,11818100,1219000,15371500,1161,171075,26874,20013200,6078,212730,1965370,17639,171528,1279430,2018,500.637,6309,375573,30351.5
0.004325,829.053,717599,77451700,401767000,95347.5,509730,763.769,725540000,8464600,724977,8458.73,4683,1315.02,563586,5417400,16854,172803,273754,15667800,906690,11433400,1181810,14902600,1173,177441,26104,19295300,5857,204995,1903490,17051.1,165759,1236510,1949,496.049,6318,355468,30338.7
0.004375,829.069,707207,74734000,387847000,92031.2,492896,724.297,700270000,8169740,705506,8233.91,4674,1333.08,543095,5221260,16740,171986,264228,15235200,875552,11040700,1136060,14325700,1112,165137,25224,18548600,5647,197645,1834460,16439.7,159715,1190580,1955,506.5,6009,348239,32938.8
0.004425,828.661,692389,72336300,375994000,89196.7,481623,707.465,678958000,7921140,703969,8212.41,4649,1315.82,526904,5062910,16600,170098,258041,14809700,845796,10665500,1107400,13964400,1080,160157,24423,17759000,5349,187215,1779400,15939.8,155590,1160440,1988,527.648,6101,359877,34389.6
0.004475,829.061,684747,69510200,362522000,86014.9,462235,669.65,654673000,7637830,669413,7811.82,4524,1276.25,510145,4901140,16162,166238,249289,14205200,818648,10323200,1066710,13451200,1018,149432,23492,16923500,5172,181020,1717880,15410.9,149991,1117130,1849,501.805,5996,342692,25379
0.004525,828.646,678384,66769600,349052000,82803.4,445402,654.957,630310000,7353600,649643,7580.05,4296,1208.86,489603,4706650,15394,158100,241161,13730100,784989,9898710,1026240,12940800,975,143377,22478,16146800,4987,174545,1651560,14793.6,142981,1065860,1827,417.348,5754,343512,25774.3
0.004575,829.044,663933,64364900,336310000,79801.7,429106,613.228,607283000,7085010,640831,7475.25,4234,1204.65,471939,4539120,15332,157369,232636,13256000,758454,9564100,987761,12455700,998,149627,21777,15517500,4856,169960,1591980,14303.8,138819,1036010,1770,408.363,5723,330700,22346
0.004625,828.823,655660,61666800,321961000,76400.6,411931,589.5,581284000,6781610,619025,7222.88,4293,1209.19,451081,4335670,14795,152022,221911,12621900,724759,9139210,946318,11933100,904,132716,21047,15007200,4530,158550,1522990,13659.1,132692,990752,1778,462.221,5429,314543,22834.7
0.004675,828.841,652403,58990200,308401000,73178.7,394076,560.448,556881000,6496980,580726,6775.83,3955,1127.83,433138,4163410,14352,147345,213170,12213200,693773,8748480,907785,11447200,898,134650,20030,14123000,4388,153580,1459460,13085.6,127525,950597,1620,390.466,5445,316747,29509.6
0.004725,828.955,647882,56086800,294651000,69925.7,377024,525.286,531994000,6206610,553093,6451.16,3683,1050.44,412783,3969530,13883,142290,204129,11639400,662987,8360270,868514,10952000,856,124457,18957,13245300,4144,145040,1394780,12513.4,122533,913139,1596,401.222,5211,298030,22135.7
0.004775,828.066,635196,53844800,281638000,66780.8,362115,504.566,508817000,5936250,542690,6332.52,3553,988.774,395909,3804440,13346,137009,196574,11262000,634747,8004160,830452,10472000,798,119509,18240,12722400,3973,139055,1334780,11977.6,116154,867053,1549,400.323,5038,293974,20187.2
0.004825,828.345,625229,51132500,267444000,63447.2,346120,486.785,482999000,5634980,525076,6124.74,3547,1007.79,375544,3610760,12955,133014,187024,10653400,600621,7573830,790443,9967490,780,116746,17520,12113100,3677,128695,1267530,11373.5,110910,827638,1511,371.055,4865,290011,21513.3
0.004875,829.177,616787,48437700,255356000,60617,329514,460.499,461007000,5378420,504231,5884.1,3486,988.657,357932,3439900,12419,127411,177912,10071700,573447,7231170,751103,9471410,700,103402,16487,11355600,3597,125895,1207530,10816.7,104768,781339,1493,368.291,4687,272394,22347.2
0.004925,828.344,611272,46156000,242624000,57555,313281,437.455,438204000,5112300,479080,5589.95,3342,940.032,339075,3262570,11920,122508,169996,9682120,544366,6864460,715879,9027230,687,104087,15796,10786700,3392,118720,1148680,10314.6,100123,746750,1395,297.04,4484,253390,22235.4
0.004975,828.936,605458,43724100,230088000,54595.4,297393,406.989,415430000,4846630,454066,5297.63,3203,926.78,322701,3101830,11320,116216,161030,9189310,517070,6520250,677559,8544020,645,97438.3,14921,10162300,3237,113295,1088710,9760.19,95018,708678,1339,313.643,4199,252852,18831.2
0.005025,829.095,587635,41514800,218164000,51777,285755,384.035,393829000,4594670,458993,5354.92,3329,938.542,306104,2940870,11073,113285,154064,8753660,491002,6191540,641833,8093510,606,89204.4,14300,9637600,3120,109200,1033020,9272.03,89824,669557,1405,388.62,4199,253567,16664.7
0.005075,829.4,590991,39102000,206732000,49080.3,267686,375.019,373150000,4353400,413851,4828.1,2888,808.517,290554,2793320,10344,105818,145405,8270630,464575,5858290,608776,7676670,598,87280.5,13318,8930200,2860,100100,978003,8771.22,84923,632856,1206,288.972,3923,229247,17160
0.005125,828.327,584306,37023500,195335000,46335,253495,340.394,352867000,4116760,389410,4541.81,2732,791.276,274449,2637740,9933,102147,139087,7908730,440438,5553920,576066,7264190,536,79701.6,12671,8384550,2744,96040,926692,8316.31,80714,601351,1116,278.762,3885,217790,10907.7
0.005175,828.619,572618,34920400,185389000,43985.7,241603,323.47,334806000,3906060,384840,4489.9,2675,758.799,259972,2498440,9572,98056,131072,7431800,416713,5254750,546318,6889070,534,78510.3,11866,7834210,2608,91280,877298,7881.84,76737,572747,1138,303.095,3699,207752,7483.65
0.005225,828.654,574772,32562600,172735000,40991.4,224707,300.42,311944000,3639300,349604,4077.76,2429,692.129,242149,2328760,9014,92276.2,122591,6931920,387207,4882680,510828,6441540,501,74253.5,11050,7298030,2373,83055,817584,7350.81,71506,533998,1036,260.153,3499,203152,17693.8
0.005275,828.967,569521,30973000,164057000,38941.1,212673,286.585,296176000,3455360,327200,3816.54,2299,651.931,230006,2210900,8562,87999.2,116383,6593950,367803,4638000,483634,6098620,447,64543.2,10641,7000630,2227,77945,775614,6946.09,67915,506066,959,270.87,3272,188025,9596.96
0.005325,828.718,549932,28790800,153526000,36446.3,203205,267.624,277102000,3232880,328757,3834.42,2368,675.799,214796,2064350,8142,83716.2,109733,6201110,343154,4327170,454367,5729570,418,60866.4,9733,6308870,2048,71680,725540,6520.31,63754,475697,979,233.429,3129,186921,10802.1
0.005375,827.54,543427,27087200,143883000,34112.6,190202,240.347,259943000,3032650,311111,3629.79,2212,605.57,201476,1937970,7700,79093,102224,5830440,324640,4093710,424631,5354600,447,65254.1,9258,5964530,2006,70210,682355,6117.31,59419,443124,969,266.079,2952,170618,6618.84
0.005425,828.965,543653,25301300,134807000,31996.6,176950,225.815,243315000,2838670,284555,3319.56,2067,582.099,188551,1813020,7380,75693.4,97161,5471640,302652,3816440,397428,5011570,372,55024.8,8597,5534150,1829,64015,637471,5711.27,55973,417302,840,233.511,2833,161669,7717.63
0.005475,828.281,533955,23628000,125477000,29769.9,166126,207.804,226611000,2643780,275217,3210.3,1998,570.686,176157,1693810,6925,71142.3,90477,5135420,282086,3557100,370742,4675060,332,48978.5,8092,5161660,1730,60550,594684,5346.44,51648,385371,830,183.893,2635,155840,7873.27
0.005525,828.86,531695,21797200,116460000,27645.8,152221,191.929,210157000,2451840,243328,2839.22,1763,496.124,162880,1565780,6386,65257.8,83070,4733290,260125,3280180,343543,4332080,320,48948.1,7490,4724810,1545,54075,550302,4930.86,48274,360312,746,213.124,2496,144321,4806.29
0.005575,829.312,526629,20381800,108355000,25728.2,142861,184.066,195601000,2282040,232262,2709.67,1665,476.329,152873,1468150,5877,60347.5,77848,4421260,242363,3056200,321368,4052450,308,44710.9,6978,4435280,1503,52605,512781,4604.95,45247,337537,716,197.379,2321,137303,7567.62
0.005625,828.95,519125,18891800,101019000,23977.5,133533,168.524,182316000,2127000,221415,2583.15,1598,449.66,142028,1364780,5676,58348.7,72881,4116910,225802,2847360,297789,3755120,261,38792.1,6456,4063320,1347,47145,476463,4293.86,41640,310960,673,167.809,2220,130422,6533.56
0.005675,828.624,511335,17374900,92542700,21964.8,123500,158.513,167108000,1949600,208372,2430.88,1643,467.241,130007,1249980,5248,53838.2,66970,3766970,207093,2611440,273470,3448460,224,32938,6068,3783380,1231,43085,437712,3923.66,38090,284043,642,156.861,2098,122018,2647.98
0.005725,828.029,511378,16344000,87315900,20710.4,115042,145.763,157763000,1840570,187381,2186.66,1391,392.398,122479,1176940,4980,51130.2,63260,3539050,196698,2480360,258017,3253590,266,38709.9,5681,3511040,1225,42875,414489,3710.46,35893,267814,591,149.58,1988,114589,6550.37
0.005775,827.136,500871,14886200,79592600,18866.2,106984,136.289,143784000,1677480,179266,2092.33,1329,382.463,111194,1068460,4670,47875.1,57894,3273360,178261,2247870,235525,2969970,207,31321.7,5076,3158630,1069,37415,376633,3381.72,32950,245540,558,152.135,1763,103303,4870.52
0.005825,829.103,500238,13649200,73375600,17420.4,97639,119.589,132404000,1544700,164791,1923.64,1266,358.742,102671,985902,4210,43120,53251,3001790,164060,2068800,216230,2726660,188,27832,4663,2866570,1000,35000,346498,3117.04,30005,223907,497,113.974,1706,101885,4682.59
0.005875,827.572,490817,12710800,67697700,16055.5,90450,110.001,122324000,1427110,154933,1808.96,1182,346.639,95481,917770,3784,38834.2,49749,2797090,152159,1918720,200333,2526200,183,27276.7,4442,2701810,897,31395,321231,2875.72,28115,209524,488,115.407,1543,93720.2,1970.99
0.005925,827.163,478702,11566000,61849400,14669.9,84467,97.3681,111696000,1303110,147458,1720.75,1157,331.758,86135,827224,3738,38497.3,45438,2578990,137304,1731400,184223,2323050,157,23463.7,3990,2419230,770,26950,293034,2631.17,25538,190136,470,100.523,1493,84386.7,1136.16
0.005975,827.131,491688,10432700,56074400,13297.7,74837,91.7517,101302000,1181860,124793,1456.46,899,257.171,78334,752708,3338,34300.4,41114,2329130,125434,1581720,165822,2091020,168,24652.6,3595,2148770,718,25130,265213,2376.33,23092,171884,397,104.096,1337,73965.5,2468.88
0.006025,826.41,480175,9718380,51810800,12277,69224,83.9243,93617100,1092180,121579,1419.14,951,266.65,72485,696064,3048,31222.3,37977,2153580,116530,1469440,153367,1933960,157,23557.7,3371,2047560,699,24465,245865,2204.85,21430,160025,387,89.393,1152,69979.9,1192.18
0.006075,828.2,467617,8946400,48393700,11486.3,65165,76.7913,87382900,1019480,116015,1352.53,856,242.606,68315,656630,2856,29310.5,35310,1961700,108367,1366510,142942,1802500,141,21175.4,3078,1836280,640,22400,228994,2047.53,19883,148265,381,103.922,1149,66838.4,4018.1
0.006125,827.218,461776,8135570,43413800,10306.1,59720,70.2809,78358200,914195,106949,1248.13,830,239.077,60633,582143,2689,27698.8,32414,1851530,95882,1209070,129797,1636740,107,15348.2,2830,1667900,505,17675,205081,1836.22,18275,136127,355,114.619,1069,63319.2,1799.86
0.006175,826.75,463975,7410310,39816200,9440.36,53391,61.3641,71949800,839406,94554,1103.3,711,192.662,55515,533688,2445,25341.6,29243,1615800,88686,1118330,118151,1489880,100,14386.8,2643,1565010,507,17745,188572,1693.82,16323,121722,304,78.6363,994,56432.6,2554.23
0.006225,828.618,463775,6723650,36158700,8583.46,49319,56.1176,65270600,761477,87227,1017.58,661,188.262,50673,486924,2278,23350.3,26687,1519900,80763,1018420,107262,1352570,91,13610.8,2297,1357240,460,16100,171241,1532.24,14847,110782,297,67.487,910,51826.1,634.529
0.006275,827.332,463919,6068420,32809500,7780.39,43791,51.3309,59246800,691222,76256,889.263,583,166.074,46177,443731,2041,21065.5,24175,1353520,73500,926835,96846,1221230,93,13177.1,2127,1224390,458,16030,155465,1393.46,13304,99182.1,245,56.3087,809,47703.2,796.274
0.006325,828.384,442353,5487030,29497900,7003.06,41751,47.2241,53289400,621708,78043,910.671,597,166.148,41423,398239,1921,19728.3,21786,1230710,65733,828893,87537,1103840,75,11060.3,1919,1112210,383,13405,139727,1251.77,12155,90679.2,269,55.1071,743,47126.7,661.098
0.006375,825.551,452489,4883640,26362300,6247.08,36471,41.9168,47625200,555627,67566,787.662,570,166.877,36759,353213,1763,18158,19821,1108340,58618,739173,78268,986959,75,11078.1,1706,970559,309,10815,124780,1121,10717,79929,223,67.3893,692,41359,1954.31
0.006425,829.981,438068,4418590,23936000,5692.08,33271,37.6429,43153400,503453,63775,744.402,523,147.302,33369,320789,1616,16567.7,17876,992957,53195,670789,71023,895600,58,8930.74,1587,882831,292,10220,112919,1008.38,9997,74745.9,222,58.3182,622,34022.1,2061.61
0.006475,826.401,448563,3955610,21392500,5070.97,30096,32.9664,38654900,450965,56631,660.495,482,138.018,29984,287593,1388,14292.1,15438,859576,47933,604435,63281,797973,53,8033.8,1412,817207,282,9870,101550,907.916,8783,65734.8,180,36.0182,541,33081.9,81.8674
0.006525,824.579,459443,3586690,19322500,4571.99,25854,28.5803,34926400,407477,45676,532.813,334,94.3077,27041,260197,1243,12718,14354,811869,43782,552091,56836,716702,50,8066.64,1282,717457,275,9625,91776,823.615,7903,59000.5,150,30.7339,508,25406.9,3494.18
0.006575,827.877,454217,3099370,16801500,3988.07,23351,25.7076,30302200,353512,42466,495.75,359,98.2032,23297,224012,1055,10807.4,12730,718295,36962,466091,50209,633135,32,4428.2,1072,601055,186,6510,79093,710.084,6949,51557.7,144,38.835,409,24605.8,116.012
0.006625,828.748,450175,2862650,15643800,3714,21106,22.3202,28225000,329298,40362,470.414,321,91.0212,21782,209480,985,10062,11577,634874,35126,442939,45469,573364,40,6070.14,1018,570817,227,7945,73465,659.293,6356,47448.1,127,25.8603,400,25368.8,251.366
0.006675,828.168,426353,2517880,13750800,3265.07,19675,19.9563,24832300,289712,36910,430.187,273,76.3855,19436,186901,977,10046.4,10312,571606,30836,388842,40796,514438,34,5048.62,887,474456,183,6405,65201,582.845,5691,42561.6,122,21.0101,409,23468,0
0.006725,826.932,440310,2243770,12222000,2900.98,17094,18.0054,22084300,257637,33379,389.547,284,77.4172,17190,165053,846,8632.14,9209,522803,27295,344190,36341,458260,33,4736.04,773,417113,142,4970,57889,516.018,5145,38216.7,113,37.4224,344,18220.8,0
0.006775,827.858,447008,1961930,10651200,2531.6,15037,15.5261,19214400,224169,27987,326.364,240,64.6017,14870,142868,765,7886.85,8160,450889,23390,294948,32094,404705,20,2761.86,698,377066,106,3710,50337,450.772,4461,33255.2,101,24.622,312,16250.8,11.9305
0.006825,824.886,468274,1720670,9393380,2225.51,12982,13.6241,16983600,198139,23766,277.345,184,52.1118,13185,126730,627,6491.36,7085,414062,20946,264129,28182,355375,25,3959.1,560,303685,116,4060,44625,402.028,3883,28878.7,74,16.986,254,12176.5,527.27
0.006875,828.615,460054,1517590,8464920,2012.54,11645,12.4231,15258400,178007,20919,244.065,172,49.816,11718,112261,633,6489.84,6166,346013,18797,237030,25062,316032,23,3433.51,506,271921,103,3605,39783,355.52,3437,25589.7,77,24.0395,245,14511.6,321.679
0.006925,828.512,456477,1393020,7395090,1755.88,10567,11.7679,13355900,155827,20870,243.82,185,53.226,10392,99563.8,483,4967.52,5569,313204,16587,209162,21981,277180,19,3040.25,494,290377,100,3500,35116,314.071,3055,22786.3,75,14.9158,192,11014.7,288.281
0.006975,823.384,461840,1245500,6774920,1604.95,9277,9.24851,12238300,142776,17030,198.734,134,37.7347,9404,90509.5,460,4732.98,5068,285784,15225,191987,19964,251746,15,2111.62,424,239124,83,2905,32001,286.328,2821,21149.8,59,9.81829,171,10526.2,0
0.007025,825.852,444370,1103370,6038700,1433.6,8769,9.27024,10910700,127289,17581,205.357,151,44.3557,8363,80407.6,462,4726,4590,247229,13369,168583,18090,228115,18,2508.26,408,210402,75,2625,28606,255.71,2458,18381.2,59,19.5151,187,11135.5,1022.63
0.007075,823.51,464660,891530,4876480,1157.88,7311,7.0046,8804580,102726,15751,183.61,165,45.4823,6808,65355.6,385,3951.78,3929,217873,10776,135885,14666,184938,13,1658.99,297,152515,53,1855,23069,207.403,2068,15351.7,56,14.4012,146,7802.44,0
0.007125,827.134,492727,781818,4260980,1010.13,6063,5.99139,7689100,89703.6,11426,133.237,88,24.7176,5886,56549.2,308,3170.01,3301,195654,9454,119215,12700,160147,9,1145.72,254,133636,53,1855,20134,178.556,1750,13064.8,42,8.47711,114,6317.21,1166.69
0.007175,832.27,459836,715085,3924620,935.908,5690,5.34608,7054920,82307.6,13230,154.047,112,32.5632,5698,54753.7,278,2870.53,2999,167283,8582,108219,11570,145898,17,2560.29,267,129658,48,1680,18406,163.381,1631,12137.2,49,7.50653,108,6417.93,220.058
0.007225,826.961,493416,619134,3215680,761.741,4565,4.81864,5827320,67985.9,7845,91.6258,72,21.4299,4421,42377.2,233,2402.59,2645,155177,7194,90716.3,9807,123666,4,633.214,223,117326,29,1015,15424,136.959,1428,10714.3,26,0.828588,104,6102.27,0
0.007275,812.151,502845,518520,2786900,660.522,3722,3.21441,5017170,58531.2,5945,69.2987,47,13.0286,3977,38213.5,232,2411.29,2116,121953,6175,77866.8,8285,104474,11,1619.99,181,98290.4,41,1435,13177,119.391,1153,8592.49,23,17.0252,85,4250.16,877.623
0.007325,802.461,501688,434823,2401330,569.022,3229,2.86276,4340660,50641.1,6300,73.3671,46,13.0764,3434,32910.1,209,2153.59,1875,102463,5371,67728.3,7211,90930.7,2,263.181,146,74541.3,29,1015,11507,103.184,956,7223.55,24,6.9505,76,4183.85,0
0.007375,806.813,480324,393667,2194610,522.504,3381,3.01981,3964240,46249.8,7125,83.0699,59,17.5421,3104,29702.1,186,1877.8,1667,90596.1,4867,61372.9,6469,81574.1,4,537.587,139,68921.3,29,1015,10354,91.8938,885,6609.16,23,0.343067,79,4492.45,0
0.007425,765.467,469804,358840,1903830,450.326,2859,2.51615,3437800,40113.1,6416,74.8767,48,14.5435,2670,25527.5,135,1401.52,1548,90681.1,4273,53882.5,5661,71385.2,5,758.812,128,65263,23,805,9023,81.8234,766,5786.15,23,8.05875,52,2604.06,175.343
0.007475,766.788,472175,299518,1638190,390.898,2431,2.57545,2953630,34458.9,5689,66.4846,46,12.3522,2255,21561.2,145,1481.06,1248,66579.9,3737,47123.6,4834,60956.7,5,682.052,114,56007,23,805,7786,70.3784,733,5445.55,18,1.80927,49,3872.58,0
0.007525,729.898,470209,256637,1371410,324.771,1973,1.68404,2474650,28869.7,4087,47.6044,30,9.16362,1845,17843.7,113,1159.91,1066,58078.8,3066,38662.3,4085,51511.9,2,303.878,103,51836.7,16,560,6507,57.4023,575,4298.81,15,0.364643,49,3070.79,31.912
0.007575,679.196,448830,214290,1244760,295.012,1648,1.46014,2244580,26186.4,3450,40.4872,19,6.20257,1632,15501.1,85,852.339,927,47553.9,2790,35181.9,3611,45534.7,2,310.088,74,36086.3,20,700,5831,52.4057,493,3688.21,8,5.86309,41,2292.41,185.991
0.007625,648.019,427611,186986,1046120,250.326,1429,1.46302,1881620,21951.1,2643,30.8074,26,7.02868,1496,14313.2,86,889.027,850,46124,2248,28347.3,3133,39507.1,1,37.9118,59,30370.3,14,490,4843,43.1671,459,3415.33,8,0.0690117,34,1205.49,88.692
0.007675,566.629,391340,133679,744142,175.803,1114,0.941375,1346560,15708.7,2771,32.3474,22,6.49341,999,9563.57,50,500.616,585,32845,1674,21109.1,2169,27351.1,0,0,47,21939.8,11,385,3510,30.7832,310,2294.51,9,0.638919,26,1734.28,217.061
0.007725,530.625,336310,121286,690583,164.331,920,0.681929,1243170,14504.5,1957,22.799,19,5.10434,936,8981.55,52,509.265,548,29807.3,1485,18725.9,2058,25951.4,1,181.484,40,18368.2,5,175,3191,29.5142,293,2203,8,2.70473,30,1653.16,0
0.007775,487.731,326871,111496,617556,146.243,807,0.661578,1114570,13003,931,10.8396,11,3.66604,857,8142.31,49,513.331,487,28236,1282,16166,1906,24034.7,0,0,39,17464.8,3,105,2910,25.6089,257,1873.39,2,0.0109575,28,1769.53,0
0.007825,412.421,285882,83058,475763,112.6,667,0.680945,858536,10016,1333,15.5997,7,1.84551,673,6386.07,31,320.505,345,16294.7,1067,13454.9,1407,17742.3,0,0,32,16079.3,6,210,2254,19.2303,190,1441.64,3,0.0395294,16,962.666,0
0.007875,350.34,243555,62389.1,345737,83.0524,553,0.304777,618565,7215.25,1276,14.9045,11,2.7964,507,4912.35,34,360.746,281,16137.1,742,9356.62,1016,12811.8,1,156.49,23,9217.38,4,140,1595,14.3964,135,1018.18,4,1.45536,17,946.344,0
0.007925,300.361,217306,50130.3,278199,65.3665,345,0.321306,507694,5922.93,415,4.88119,1,0.171279,409,3924.65,15,163.964,203,9583.3,623,7856.03,844,10642.8,1,181.745,18,9960.45,4,140,1343,11.6673,122,902.518,2,0.0361931,10,769.379,0
0.007975,275.589,199366,45369.9,244180,58.6193,459,0.560069,437389,5102.39,1247,14.5661,8,2.64364,342,3259.25,23,224.783,218,13215.6,551,6948.11,729,9192.69,1,151.314,17,6044.28,2,70,1139,10.1889,112,841.56,4,0.0695401,9,232.213,0
0.008025,221.805,167833,38985.4,191264,45.2067,287,0.254157,348645,4068.54,548,6.27694,3,0.477804,284,2672.95,13,142.185,171,10114.4,430,5422.3,586,7389.46,0,0,16,7824.04,2,70,942,8.60334,81,593.209,2,0.0507426,6,627.375,0
0.008075,195.776,139585,39059.6,209573,50.026,246,0.166957,378521,4417,441,5.1406,1,0.195886,315,3012.28,20,204.792,130,10264,449,5661.89,652,8221.72,1,160.956,15,6158.05,3,105,986,9.10593,89,638.79,2,0.523731,6,149.95,0
0.008125,170.203,115502,29887.7,185981,43.9794,349,0.20524,338374,3947.49,984,11.3988,12,3.69035,274,2661.79,16,174.563,140,6929.48,430,5422.3,568,7162.48,2,281.336,7,2040.53,3,105,921,8.13719,73,535.309,4,4.13292,6,555.851,0
0.008175,133.445,104499,20630.2,110109,26.7835,147,0.11579,195156,2276.64,242,2.83797,2,0.360659,160,1516.93,11,113.851,75,4293.14,223,2812.03,316,3984.76,1,157.436,10,5038.88,1,35,505,5.09631,39,290.876,1,0.0119514,3,75.4158,0
0.008225,121.176,88939.7,16331.3,97399,23.5021,155,0.251179,173979,2029.82,381,4.46185,5,1.13321,122,1167.67,10,86.5786,66,3516.62,182,2295.02,305,3846.05,0,0,9,2903.16,1,35,449,3.69641,43,313.986,2,0.0152226,2,103.388,0
0.008275,90.1972,72141.2,16439,78713,18.5965,116,0.0959302,142461,1661.1,254,2.9576,1,0.233718,104,1000.05,5,47.8228,75,6043.06,149,1878.89,241,3039.01,1,162.322,4,2361.26,0,0,366,3.17083,27,202.078,1,0.0192418,2,17.3745,0
0.008325,81.3302,70772.4,13478.7,74474,17.5408,125,0.0976612,135967,1585.49,166,1.94149,1,0.195155,102,1023.27,6,59.9686,74,2836.32,157,1979.77,238,3001.18,0,0,5,2449.44,0,0,359,3.19713,23,176.234,1,1.65835,3,342.378,0
0.008375,75.5213,63038.9,7902.32,44290,10.5148,56,0.0249001,79958,932.662,208,2.40565,0,0,63,601.816,4,42.8502,38,2795.08,90,1134.9,153,1929.33,0,0,1,163.019,0,0,212,1.69983,25,185.043,2,4.13752,2,96.8353,0
0.008425,60.5622,56978.5,5474.28,31125,7.50205,49,0.0585837,55064,642.224,26,0.31132,0,0,43,437.719,1,10.866,24,732.564,58,731.38,91,1147.51,0,0,3,1623.44,1,35,133,1.32345,14,103.388,0,0,0,0,0
0.008475,55.8612,48890,9902.44,55458,13.0367,65,0.0576247,98975,1153.98,128,1.49746,1,0.275799,67,659.616,7,72.878,41,2749.15,120,1513.2,158,1992.38,2,364.889,2,1165.68,1,35,261,2.23883,21,155.495,1,0.0123619,1,23.0538,0
0.008525,51.2168,40793.8,6530.98,42508,10.311,44,0.0192262,76123,887.916,39,0.471157,0,0,57,548.547,1,12.1386,25,989.792,111,1399.71,97,1223.17,1,164.428,3,1044.88,2,70,198,1.75058,15,108.118,0,0,2,69.7214,0
0.008575,39.0822,36433.7,3423.49,19372,4.44442,31,0.0142965,35734,417.611,28,0.325376,0,0,37,372.483,0,0,19,1117.24,47,592.67,67,844.87,0,0,0,0,1,35,104,0.958946,3,19.4332,0,0,2,18.4325,0
0.008625,29.1241,32901.1,3329.5,14936,3.4265,20,0.0732998,28017,326.559,17,0.210247,0,0,22,217.74,0,0,10,1012.34,43,542.23,45,567.45,0,0,1,610.9,0,0,81,0.700565,7,47.866,0,0,0,0,0
0.008675,27.831,28203.4,6483.27,35331,8.04687,28,0.0209902,64572,752.298,34,0.407597,0,0,45,433.502,0,0,18,554.352,78,983.58,114,1437.54,0,0,3,2011.22,0,0,179,1.58633,17,126.367,0,0,1,174.357,0
0.008725,30.8365,20932.7,5946.19,33028,7.578,28,0.0221176,60073,700.618,28,0.336594,0,0,47,465.92,1,12.0779,22,1370.71,84,1059.24,89,1122.29,0,0,2,1005.41,1,35,155,1.27334,14,103.794,0,0,1,60.9239,37.7874
