#Table:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis 
0.000875,832.627,2681590,43424200,222578000,52846.6,411536,260.289,401753000,4687090,176107,2054.07,36,9.58959,315456,3034180,715,7356.86,43637,2524500,516046,6507340,636695,8028720,828,122879,14224,17611100,4327,151445,1052830,9445.77,91398,681605,13,5.40313,43,3423.79,210269
0.000925,832.27,2659010,44308600,225081000,53431,410539,260.959,406416000,4741490,178577,2084.38,36,10.087,318474,3062170,794,8104.86,46736,2708720,523228,6597910,643735,8117500,873,131205,14611,18030800,4310,150850,1065780,9556.59,92794,692075,14,0.902597,54,2475.93,206177
0.000975,831.934,2631160,44718300,226090000,53668,409723,262.72,408273000,4763200,182284,2126.29,63,16.4054,319807,3075320,904,9229.55,50348,3009730,523016,6595230,648788,8181220,877,128782,14639,18040500,4270,149450,1070910,9574.05,93242,695691,26,10.9288,72,4288.53,202093
0.001025,832.398,2609400,45398400,229181000,54407.9,408249,268.104,413741000,4826990,184261,2150.6,65,18.7051,323956,3113980,941,9700.29,54023,3177580,531440,6701460,655343,8263880,847,126470,14848,18249000,4437,155295,1084130,9733.68,94371,703976,26,0.768366,69,3492.09,206221
0.001075,831.341,2582210,46220100,232266000,55106.8,408733,268.733,419548000,4894680,187956,2191.5,83,23.3726,328562,3158570,974,10063,57575,3346470,539912,6808290,664709,8381980,878,132415,15145,18548700,4444,155540,1100690,9863.68,95257,710379,39,9.59893,82,5622.33,203579
0.001125,831.808,2564520,46673100,234002000,55533.5,407272,274.019,422569000,4929980,188379,2197.41,68,18.487,331557,3188000,963,9839.4,61279,3589510,542417,6839880,671708,8470240,848,126443,15179,18567300,4424,154840,1108650,9948.85,96864,722258,24,10.0585,100,6852.78,179426
0.001175,832.333,2542160,47270200,236572000,56155,405569,272.637,427179000,4983780,190519,2223.95,61,15.7208,334974,3222120,994,10256,64334,3795910,549605,6930520,677288,8540600,852,125444,15316,18695800,4561,159635,1120060,10040.2,98081,732342,29,16.8283,95,5108.87,187112
0.001225,832.447,2512490,48160600,240663000,57138.2,406350,280.927,434527000,5069430,194828,2273.47,90,23.8821,340893,3278730,1073,11069.6,68613,4100230,559311,7052910,688224,8678500,951,143745,15513,18844200,4696,164360,1139270,10214.7,99307,740740,33,7.75909,116,6805.21,190948
0.001275,830.793,2477190,48977400,243006000,57632.3,406631,283.053,439095000,5122760,200687,2341.51,131,39.489,344235,3311770,1148,11820.2,73042,4263900,563314,7103390,698458,8807560,931,138851,15890,19230400,4522,158270,1152930,10338,100383,749180,44,12.1309,142,8883.3,182745
0.001325,832.835,2444140,49684800,247027000,58681.6,407890,297.639,445869000,5201840,206496,2408.05,139,41.947,349465,3358210,1241,12735.4,77034,4585800,571832,7210800,707672,8923740,863,130442,15961,19253800,4735,165725,1168030,10477.9,102031,761228,66,13.2226,155,8611.45,195440
