289,10,idxs
,0.5,1,1.5,2,3,4,6,8.5,10,15
0,63999999996.12,127999999997.39,191999999997.04,255999999996.48,383999999993.7,511999999990.03,767999999974.16,1089999999960.08,1279999999942.8,192920000
0.1,38400201599.84,76800100799.9,115200067199.88,153600050394.18,230400033595.46,307200025198.68,460800016804.63,654000011868.72,768000010096.46,173628083.44
0.2,12800403199.69,25600201599.79,38400134399.76,51200100788.36,76800067190.92,102400050397.36,153600033609.25,218000023737.44,256000020192.91,154336166.88
0.3,428399.53,214199.69,142799.64,107086.44,71389.26,53547.06,35711.43,25224.22,21460.23,135044250.32
0.4,277199.38,138599.58,92399.52,69288.42,46190.47,34647.78,23111.16,16329.06,13898.42,115752333.76
0.5,125999.22,62999.48,41999.41,31490.41,20991.68,15748.49,10510.89,7433.9,6336.62,96460417.2
0.6,97999.07,48999.37,32679.29,24490.65,16325.03,12248.3,8176.67,5785.35,4934.43,77168500.64
0.7,69998.91,34999.27,23359.17,17490.9,11658.38,8748.11,5842.45,4136.81,3532.24,57876584.08
0.8,51098.76,25539.16,17059.05,12766.02,8508.32,6385.35,4266.51,3023.52,2585.02,38584667.52
0.9,41298.6,20619.06,13778.93,10316.02,6874.83,5160.03,3448.87,2445.5,2092.78,19292750.96
1,31498.45,15698.95,10498.81,7866.02,5241.34,3934.7,2631.22,1867.47,1600.53,834.4
1.1,26978.29,13458.85,8982.69,6731.94,4485.13,3367.34,2252.21,1599.07,1371.46,771.79
1.2,22458.14,11218.74,7466.57,5597.86,3728.93,2799.97,1873.2,1330.68,1142.4,709.18
1.3,18957.98,9476.64,6296.46,4722.77,3145.38,2362.1,1580.52,1123.21,965.12,646.58
1.4,16477.82,8232.54,5472.34,4106.67,2734.49,2053.72,1374.17,976.69,839.65,583.97
1.5,13997.67,6988.43,4648.22,3490.56,2323.59,1745.34,1167.82,830.16,714.17,521.36
1.6,12517.51,6248.33,4156.1,3119.01,2075.74,1559.24,1042.99,741.18,637.6,458.75
1.7,11037.36,5508.22,3663.98,2747.47,1827.89,1373.14,918.15,652.19,561.02,396.14
1.8,9811.2,4896.12,3255.86,2441.09,1623.48,1219.63,815.04,578.54,497.49,333.54
1.9,8839.05,4412.01,2931.74,2199.9,1462.53,1098.7,733.66,520.22,446.98,270.93
2,7866.89,3927.91,2607.62,1958.7,1301.58,977.78,652.27,461.91,396.47,208.32
2.1,7206.74,3595.8,2387.51,1793.29,1191.15,894.75,596.15,421.42,361.12,196.76
2.2,6546.58,3263.7,2167.39,1627.88,1080.72,811.72,540.02,380.93,325.77,185.19
2.3,5978.43,2979.59,1979.27,1486,985.98,740.45,491.74,345.98,295.12,173.63
2.4,5502.27,2743.49,1823.15,1367.65,906.92,680.94,451.3,316.56,269.17,162.06
2.5,5026.12,2507.38,1667.03,1249.3,827.87,621.44,410.86,287.14,243.23,150.5
2.6,4678.11,2335.38,1551.03,1161.83,769.56,577.71,381.72,266.59,225.77,138.94
2.7,4330.11,2163.38,1435.03,1074.37,711.25,533.98,352.58,246.03,208.31,127.37
2.8,4022.11,2009.38,1331.03,997.37,659.93,495.49,326.92,227.93,192.94,115.81
2.9,3754.11,1873.38,1239.03,930.85,615.59,462.23,304.76,212.3,179.66,104.24
3,3486.11,1737.38,1147.03,864.33,571.24,428.97,282.6,196.67,166.38,92.68
3.1,3282.11,1633.38,1079.83,812.56,536.73,403.09,265.35,184.51,156.05,88.62
3.2,3078.11,1529.38,1012.63,760.79,502.22,377.21,248.1,172.34,145.72,84.56
3.3,2892.11,1437.38,951.62,714.37,471.28,354,232.64,161.44,136.46,80.5
3.4,2724.11,1357.37,896.82,673.29,443.9,333.46,218.95,151.79,128.26,76.44
3.5,2556.11,1277.37,842.02,632.21,416.52,312.93,205.27,142.14,120.07,72.38
3.6,2424.11,1209.37,798.02,599.07,394.43,296.36,194.23,134.36,113.46,68.32
3.7,2292.11,1141.37,754.02,565.94,372.35,279.79,183.19,126.57,106.84,64.26
3.8,2172.11,1080.77,713.82,535.81,352.27,264.73,173.16,119.5,100.83,60.2
3.9,2064.11,1027.57,677.42,508.69,334.19,251.17,164.12,113.13,95.42,56.14
4,1956.11,974.37,641.02,481.57,316.12,237.62,155.09,106.76,90,52.08
4.1,1868.11,929.17,611.02,459.09,301.14,226.38,147.6,101.48,85.51,50.2
4.2,1780.11,883.96,581.02,436.61,286.16,215.15,140.12,96.2,81.03,48.33
4.3,1698.11,842.56,553.42,415.96,272.4,204.82,133.24,91.34,76.9,46.45
4.4,1622.11,804.96,528.22,397.13,259.85,195.41,126.96,86.92,73.13,44.58
4.5,1546.11,767.36,503.01,378.29,247.3,185.99,120.69,82.49,69.37,42.7
4.6,1482.11,735.76,481.81,362.35,236.68,178.02,115.38,78.75,66.18,40.82
4.7,1418.11,704.16,460.61,346.42,226.06,170.06,110.07,75,62.99,38.95
4.8,1358.11,674.76,441.01,331.64,216.22,162.67,105.15,71.53,60.03,37.07
4.9,1302.11,647.56,423.01,318.04,207.15,155.87,100.62,68.33,57.31,35.2
5,1246.11,620.36,405.01,304.43,198.09,149.07,96.09,65.13,54.58,33.32
5.1,1202.11,596.75,389.41,292.72,190.29,143.22,92.2,62.4,52.27,32.3
5.2,1158.11,573.15,373.81,281.01,182.49,137.37,88.31,59.68,49.97,31.29
5.3,1114.11,551.15,359.21,270.08,175.21,131.91,84.68,57.13,47.82,30.27
5.4,1070.11,530.75,345.61,259.93,168.45,126.84,81.31,54.77,45.82,29.25
5.5,1026.1,510.35,332,249.78,161.69,121.77,77.95,52.41,43.83,28.24
5.6,992.5,492.74,320.4,240.93,155.8,117.35,75.01,50.35,42.09,27.22
5.7,958.9,475.14,308.8,232.08,149.91,112.93,72.07,48.29,40.34,26.21
5.8,926.7,458.54,297.8,223.77,144.37,108.77,69.31,46.36,38.71,25.19
5.9,895.9,442.94,287.4,216,139.2,104.89,66.74,44.55,37.18,24.17
6,865.1,427.34,277,208.23,134.03,101.01,64.16,42.75,35.65,23.16
6.1,837.5,413.73,267.8,201.37,129.47,97.59,61.89,41.16,34.31,22.54
6.2,809.9,400.13,258.59,194.52,124.91,94.17,59.62,39.56,32.96,21.93
6.3,783.9,387.13,249.99,188.05,120.61,90.94,57.47,38.06,31.68,21.32
6.4,759.5,374.73,241.99,181.98,116.56,87.9,55.46,36.65,30.49,20.7
6.5,735.1,362.33,233.99,175.9,112.52,84.87,53.44,35.24,29.29,20.09
6.6,713.5,351.53,226.79,170.48,108.92,82.17,51.65,33.98,28.22,19.48
6.7,691.9,340.72,219.59,165.07,105.32,79.46,49.85,32.72,27.15,18.86
6.8,671.3,330.52,212.59,159.94,101.91,76.9,48.15,31.53,26.14,18.25
6.9,651.7,320.92,205.78,155.1,98.69,74.48,46.55,30.41,25.18,17.64
7,632.1,311.32,198.98,150.25,95.47,72.07,44.94,29.28,24.22,17.02
7.1,614.9,302.52,193.38,145.9,92.57,69.89,43.5,28.27,23.36,16.63
7.2,597.7,293.71,187.78,141.55,89.68,67.72,42.06,27.26,22.5,16.23
7.3,581.3,285.51,182.38,137.41,86.94,65.66,40.68,26.3,21.68,15.83
7.4,565.69,277.91,177.18,133.49,84.33,63.7,39.38,25.38,20.9,15.43
