# Energy , Elastic   ,,
0.1,147.56,,
0.15,159.04,,
0.2,163.8,,
0.3,163.24,,
0.4,157.36,,
0.5,145.88,,
0.7,122.92,,
1,101.92,,    
1.5,83.44,,    
2,75.32,,    
3,73.08,,    
4,71.96,,    
5,106.4,,    
7,117.6,,    
10,84.28,,    
15,47.88,,    
20,42.28,,    
30,35.56,,    
40,31.64,,    
50,28.84,,    
70,24.92,,    
90,22.4,,
100,21.42,,
