280,13,idxs,,,,,,,,,,,
5.9,1,1,458.9,413.4,325.1,256.1,205.5,142.4,94.02,39.42,28.64,17.85,8.791
6,1,1,446,399,310,242,193,133,87.8,36.9,27.7,16.9,8.59
6.1,1,1,435.2,387.8,299.7,233.3,185.9,128.17,84.57,35.99,27.03,16.203,8.345
6.2,1,1,424.4,376.6,289.4,224.6,178.8,123.34,81.34,35.08,26.36,15.506,8.1
6.3,1,1,413.6,365.4,279.1,215.9,171.7,118.51,78.11,34.17,25.69,14.809,7.855
6.4,1,1,402.8,354.2,268.8,207.2,164.6,113.68,74.88,33.26,25.02,14.112,7.61
6.5,1,1,392,343,258.5,198.5,157.5,108.85,71.65,32.35,24.35,13.415,7.365
6.6,1,1,381.2,331.8,248.2,189.8,150.4,104.02,68.42,31.44,23.68,12.718,7.12
6.7,1,1,370.4,320.6,237.9,181.1,143.3,99.19,65.19,30.53,23.01,12.021,6.875
6.8,1,1,359.6,309.4,227.6,172.4,136.2,94.36,61.96,29.62,22.34,11.324,6.63
6.9,1,1,348.8,298.2,217.3,163.7,129.1,89.53,58.73,28.71,21.67,10.627,6.385
7,1,1,338,287,207,155,122,84.7,55.5,27.8,21,9.93,6.14
7.1,1,1,329.5,278.8,200.3,150,118.09,81.97,53.71,27.31,20.29,9.714,5.814
7.2,1,1,321,270.6,193.6,145,114.18,79.24,51.92,26.82,19.58,9.498,5.488
7.3,1,1,312.5,262.4,186.9,140,110.27,76.51,50.13,26.33,18.87,9.282,5.162
7.4,1,1,304,254.2,180.2,135,106.36,73.78,48.34,25.84,18.16,9.066,4.836
7.5,1,1,295.5,246,173.5,130,102.45,71.05,46.55,25.35,17.45,8.85,4.51
7.6,1,1,287,237.8,166.8,125,98.54,68.32,44.76,24.86,16.74,8.634,4.184
7.7,1,1,278.5,229.6,160.1,120,94.63,65.59,42.97,24.37,16.03,8.418,3.858
7.8,1,1,270,221.4,153.4,115,90.72,62.86,41.18,23.88,15.32,8.202,3.532
7.9,1,1,261.5,213.2,146.7,110,86.81,60.13,39.39,23.39,14.61,7.986,3.206
8,1,1,253,205,140,105,82.9,57.4,37.6,22.9,13.9,7.77,2.88
8.1,1,1,246.4,199.1,135.87,101.94,80.52,55.71,36.69,22.33,13.43,7.718,2.744
8.2,1,1,239.8,193.2,131.74,98.88,78.14,54.02,35.78,21.76,12.96,7.666,2.608
8.3,1,1,233.2,187.3,127.61,95.82,75.76,52.33,34.87,21.19,12.49,7.614,2.472
8.4,1,1,226.6,181.4,123.48,92.76,73.38,50.64,33.96,20.62,12.02,7.562,2.336
8.5,1,1,220,175.5,119.35,89.7,71,48.95,33.05,20.05,11.55,7.51,2.2
8.6,1,1,213.4,169.6,115.22,86.64,68.62,47.26,32.14,19.48,11.08,7.458,2.064
8.7,1,1,206.8,163.7,111.09,83.58,66.24,45.57,31.23,18.91,10.61,7.406,1.928
8.8,1,1,200.2,157.8,106.96,80.52,63.86,43.88,30.32,18.34,10.14,7.354,1.792
8.9,1,1,193.6,151.9,102.83,77.46,61.48,42.19,29.41,17.77,9.67,7.302,1.656
9,1,1,187,146,98.7,74.4,59.1,40.5,28.5,17.2,9.2,7.25,1.52
9.1,1,1,182.2,142.1,96.1,72.47,57.54,39.49,28.04,16.67,9,7.042,1.502
9.2,1,1,177.4,138.2,93.5,70.54,55.98,38.48,27.58,16.14,8.8,6.834,1.484
9.3,1,1,172.6,134.3,90.9,68.61,54.42,37.47,27.12,15.61,8.6,6.626,1.466
9.4,1,1,167.8,130.4,88.3,66.68,52.86,36.46,26.66,15.08,8.4,6.418,1.448
9.5,1,1,163,126.5,85.7,64.75,51.3,35.45,26.2,14.55,8.2,6.21,1.43
9.6,1,1,158.2,122.6,83.1,62.82,49.74,34.44,25.74,14.02,8,6.002,1.412
9.7,1,1,153.4,118.7,80.5,60.89,48.18,33.43,25.28,13.49,7.8,5.794,1.394
9.8,1,1,148.6,114.8,77.9,58.96,46.62,32.42,24.82,12.96,7.6,5.586,1.376
9.9,1,1,143.8,110.9,75.3,57.03,45.06,31.41,24.36,12.43,7.4,5.378,1.358
10,1,1,139,107,72.7,55.1,43.5,30.4,23.9,11.9,7.2,5.17,1.34
10.1,1,1,135.5,104.32,70.98,53.77,42.45,29.84,23.57,11.556,7.151,4.948,1.308
10.2,1,1,132,101.64,69.26,52.44,41.4,29.28,23.24,11.212,7.102,4.726,1.276
10.3,1,1,128.5,98.96,67.54,51.11,40.35,28.72,22.91,10.868,7.053,4.504,1.244
10.4,1,1,125,96.28,65.82,49.78,39.3,28.16,22.58,10.524,7.004,4.282,1.212
10.5,1,1,121.5,93.6,64.1,48.45,38.25,27.6,22.25,10.18,6.955,4.06,1.18
10.6,1,1,118,90.92,62.38,47.12,37.2,27.04,21.92,9.836,6.906,3.838,1.148
10.7,1,1,114.5,88.24,60.66,45.79,36.15,26.48,21.59,9.492,6.857,3.616,1.116
10.8,1,1,111,85.56,58.94,44.46,35.1,25.92,21.26,9.148,6.808,3.394,1.084
10.9,1,1,107.5,82.88,57.22,43.13,34.05,25.36,20.93,8.804,6.759,3.172,1.052
11,1,1,104,80.2,55.5,41.8,33,24.8,20.6,8.46,6.71,2.95,1.02
12,1,1,80.1,62.3,43.4,32.5,26.4,21.5,17.1,6.69,6.03,1.81,0.727
13,1,1,63.2,49.8,34.5,26.2,22.2,18.8,13.4,6.05,4.37,1.26,0.561
14,1,1,51.1,40.5,27.9,22,19.5,16,10.1,5.74,2.81,1.18,0.401
15,1,1,42.2,33.4,23.2,19.2,17.3,13.2,7.72,4.97,1.9,1.05,0.298
16,1,1,35.3,27.7,19.8,17.1,15.1,10.5,6.11,3.71,1.34,0.799,0.272
17,1,1,29.9,23.3,17.4,15.2,12.9,8.2,5.14,2.59,1.08,0.651,0.227
18,1,1,25.4,19.9,15.6,13.3,10.7,6.47,4.62,1.86,1.04,0.542,0.171
19,1,1,21.7,17.3,14,11.5,8.71,5.25,4.37,1.39,0.984,0.43,0.131
20,1,1,18.8,15.3,12.5,9.67,7.02,4.44,4.13,1.08,0.821,0.344,0.117
21,1,1,16.4,13.8,11,8,5.68,3.94,3.71,0.943,0.668,0.275,0.0961
22,1,1,14.5,12.5,9.56,6.57,4.67,3.65,3.1,0.923,0.576,0.247,0.0804
23,1,1,13,11.3,8.16,5.38,3.94,3.47,2.46,0.895,0.502,0.235,0.0692
24,1,1,11.8,10.2,6.89,4.46,3.43,3.28,1.92,0.796,0.423,0.203,0.0555
25,1,1,10.7,9.09,5.76,3.75,3.1,3,1.53,0.67,0.351,0.167,0.0438
26,1,1,9.75,8.06,4.82,3.23,2.89,2.62,1.25,0.574,0.298,0.135,0.0415
27,1,1,8.86,7.08,4.04,2.86,2.75,2.19,1.03,0.511,0.251,0.111,0.035
28,1,1,8,6.16,3.42,2.61,2.62,1.8,0.87,0.458,0.223,0.101,0.0285
29,1,1,7.19,5.32,2.94,2.44,2.47,1.48,0.763,0.402,0.215,0.0924,0.0248
30,1,1,6.42,4.58,2.58,2.32,2.26,1.24,0.715,0.346,0.203,0.078,0.0212
31,1,1,5.7,3.92,2.3,2.22,2,1.05,0.706,0.301,0.179,0.0674,0.0182
32,1,1,5.03,3.37,2.11,2.12,1.73,0.909,0.7,0.265,0.154,0.0624,0.016
33,1,1,4.42,2.9,1.97,1.98,1.48,0.789,0.673,0.231,0.131,0.0537,0.0145
34,1,1,3.87,2.52,1.87,1.81,1.26,0.696,0.62,0.206,0.11,0.0451,0.0119
35,1,1,3.38,2.21,1.8,1.62,1.09,0.635,0.554,0.193,0.0955,0.0376,0.0104
36,1,1,2.95,1.97,1.73,1.43,0.952,0.606,0.494,0.187,0.0873,0.0332,0.00951
37,1,1,2.58,1.78,1.66,1.25,0.845,0.599,0.449,0.177,0.0822,0.032,0.0084
38,1,1,2.27,1.63,1.57,1.09,0.754,0.598,0.417,0.16,0.0753,0.0291,0.00743
39,1,1,2.01,1.51,1.47,0.96,0.676,0.589,0.391,0.142,0.0656,0.025,0.00657
40,1,1,1.79,1.43,1.35,0.858,0.61,0.564,0.364,0.125,0.0573,0.0216,0.00585
41,1,1,1.62,1.37,1.23,0.775,0.56,0.525,0.334,0.11,0.0533,0.0192,0.0052
42,1,1,1.47,1.32,1.11,0.705,0.528,0.48,0.302,0.096,0.0492,0.0172,0.00477
43,1,1,1.36,1.28,0.991,0.643,0.513,0.439,0.273,0.0857,0.0434,0.0153,0.00436
44,1,1,1.27,1.24,0.892,0.588,0.51,0.405,0.248,0.0788,0.038,0.0138,0.00394
45,1,1,1.2,1.21,0.807,0.541,0.51,0.38,0.227,0.0741,0.0335,0.0124,0.00349
46,1,1,1.15,1.16,0.738,0.504,0.508,0.361,0.208,0.0699,0.0294,0.0117,0.00317
47,1,1,1.11,1.12,0.681,0.478,0.497,0.344,0.191,0.0646,0.0271,0.0109,0.00299
48,1,1,1.08,1.06,0.633,0.464,0.477,0.326,0.175,0.0578,0.0262,0.00956,0.00267
49,1,1,1.05,1,0.59,0.46,0.449,0.304,0.162,0.0512,0.0248,0.00838,0.00252
50,1,1,1.03,0.939,0.551,0.46,0.419,0.281,0.155,0.0473,0.0224,0.00755,0.0023
51,1,1,1.01,0.875,0.515,0.46,0.389,0.258,0.15,0.0449,0.0198,0.00704,0.00214
52,1,1,0.982,0.814,0.483,0.457,0.365,0.238,0.147,0.0424,0.0178,0.00668,0.00192
53,1,1,0.957,0.756,0.455,0.448,0.345,0.22,0.142,0.0387,0.0161,0.00623,0.00181
54,1,1,0.929,0.705,0.433,0.432,0.33,0.206,0.134,0.0349,0.015,0.00572,0.00171
55,1,1,0.896,0.659,0.418,0.412,0.319,0.193,0.125,0.0318,0.0139,0.00531,0.00156
56,1,1,0.862,0.619,0.409,0.388,0.308,0.181,0.116,0.0288,0.0128,0.00491,0.00148
57,1,1,0.825,0.586,0.406,0.365,0.295,0.169,0.107,0.026,0.012,0.00445,0.00139
58,1,1,0.787,0.557,0.406,0.344,0.281,0.158,0.099,0.0239,0.0111,0.0041,0.0013
59,1,1,0.748,0.532,0.407,0.327,0.265,0.149,0.0913,0.023,0.0102,0.00385,0.00117
