88,33, idxs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,39.6,42.2,44.4,42.9,44.7,44.7,41.5,41,40.9,41.6,46.1,51.3,55,59,60.3,56.4,50.9,39.6,32.4,28.2,22.9,17.5,13,11.3,8.16,5.38,3.94,3.47,2.46,0.895,0.502,0.235,0.0692
24,39.7,42.3,44.5,43.1,44.9,44.9,41.7,41.1,40.8,41.4,45.5,50.2,53.4,56.4,56.6,51.3,45.4,34.8,28.7,25.2,20.4,15.5,11.8,10.2,6.89,4.46,3.43,3.28,1.92,0.796,0.423,0.203,0.0555
25,39.8,42.4,44.6,43.3,45.2,45.1,41.9,41.2,40.7,41.1,44.8,49,51.8,53.9,53.1,46.7,40.5,30.9,25.8,22.7,18.2,13.8,10.7,9.09,5.76,3.75,3.1,3,1.53,0.67,0.351,0.167,0.0438
26,39.8,42.6,44.8,43.6,45.4,45.4,42.1,41.3,40.6,40.8,44.1,47.9,50.2,51.5,49.8,42.6,36.3,27.7,23.3,20.5,16.3,12.3,9.75,8.06,4.82,3.23,2.89,2.62,1.25,0.574,0.298,0.135,0.0415
27,39.9,42.7,44.9,43.8,45.7,45.6,42.2,41.4,40.5,40.5,43.4,46.8,48.6,49.3,46.7,38.9,32.7,25,21.2,18.7,14.6,11.2,8.86,7.08,4.04,2.86,2.75,2.19,1.03,0.511,0.251,0.111,0.035
28,40,42.8,45.1,44,45.9,45.8,42.4,41.4,40.4,40.2,42.7,45.6,47.1,47,43.9,35.7,29.7,22.7,19.4,17,13.2,10.1,8,6.16,3.42,2.61,2.62,1.8,0.87,0.458,0.223,0.101,0.0285
29,40.1,42.9,45.2,44.2,46.1,46,42.6,41.5,40.2,39.8,42,44.5,45.6,44.9,41.3,32.8,27,20.9,17.8,15.5,11.9,9.26,7.19,5.32,2.94,2.44,2.47,1.48,0.763,0.402,0.215,0.0924,0.0248
30,40.2,43,45.4,44.4,46.3,46.2,42.7,41.5,40,39.5,41.2,43.4,44.1,42.9,38.8,30.3,24.8,19.3,16.4,14.1,10.8,8.49,6.42,4.58,2.58,2.32,2.26,1.24,0.715,0.346,0.203,0.078,0.0212
31,40.2,43.1,45.5,44.6,46.5,46.4,42.8,41.5,39.8,39.1,40.5,42.3,42.6,40.9,36.5,28.1,22.9,17.9,15.1,12.9,9.82,7.79,5.7,3.92,2.3,2.22,2,1.05,0.706,0.301,0.179,0.0674,0.0182
32,40.3,43.3,45.7,44.8,46.7,46.5,42.9,41.5,39.7,38.7,39.7,41.1,41.2,39.1,34.4,26.1,21.3,16.7,13.9,11.8,8.99,7.14,5.03,3.37,2.11,2.12,1.73,0.909,0.7,0.265,0.154,0.0624,0.016
33,40.4,43.4,45.8,45,46.8,46.7,43,41.5,39.4,38.3,39,40,39.8,37.3,32.5,24.4,19.9,15.6,12.9,10.8,8.27,6.52,4.42,2.9,1.97,1.98,1.48,0.789,0.673,0.231,0.131,0.0537,0.0145
34,40.5,43.5,45.9,45.2,47,46.8,43.1,41.4,39.2,37.9,38.2,38.9,38.5,35.7,30.7,22.9,18.7,14.6,11.9,9.88,7.63,5.94,3.87,2.52,1.87,1.81,1.26,0.696,0.62,0.206,0.11,0.0451,0.0119
35,40.6,43.6,46.1,45.4,47.2,46.9,43.2,41.4,39,37.5,37.5,37.8,37.2,34.1,29.1,21.7,17.7,13.7,11,9.09,7.05,5.4,3.38,2.21,1.8,1.62,1.09,0.635,0.554,0.193,0.0955,0.0376,0.0104
