#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
1657,445738,,,,
1659,433456,,,,
1661,356652,,,,
1663,388654,,,,
1665,393310,,,,
1667,353379,,,,
1669,385906,,,,
1671,363661,,,,
1673,388303,,,,
1675,348552,,,,
1677,386315,,,,
1679,335568,,,,
1681,374671,,,,
1683,387944,,,,
1685,353696,,,,
1687,334425,,,,
1689,335004,,,,
1691,344712,,,,
1693,313837,,,,
1695,337480,,,,
1697,292125,,,,
1699,331053,,,,
1701,349752,,,,
1703,332224,,,,
1705,314079,,,,
1707,305195,,,,
1709,292815,,,,
1711,308385,,,,
1713,320095,,,,
1715,313067,,,,
1717,266421,,,,
1719,299389,,,,
1721,278509,,,,
1723,295509,,,,
1725,302579,,,,
1727,294991,,,,
1729,260013,,,,
1731,291762,,,,
1733,257167,,,,
1735,260785,,,,
1737,229097,,,,
1739,277434,,,,
1741,244958,,,,
1743,268731,,,,
1745,252986,,,,
1747,267704,,,,
1749,211816,,,,
1751,218113,,,,
1753,204344,,,,
1755,233467,,,,
1757,219950,,,,
1759,203166,,,,
1761,194608,,,,
1763,224905,,,,
1765,213186,,,,
1767,216448,,,,
1769,234180,,,,
1771,199450,,,,
1773,219273,,,,
1775,181512,,,,
1777,228775,,,,
1779,211764,,,,
1781,198479,,,,
1783,206579,,,,
1785,193543,,,,
1787,198213,,,,
1789,194441,,,,
1791,182746,,,,
1793,192513,,,,
1795,200384,,,,
1797,199981,,,,
1799,195016,,,,
1801,187227,,,,
1803,149833,,,,
1805,192639,,,,
1807,182589,,,,
1809,154425,,,,
1811,160900,,,,
1813,151256,,,,
1815,138899,,,,
1817,150992,,,,
1819,131362,,,,
1821,164868,,,,
1823,125025,,,,
1825,138202,,,,
1827,117241,,,,
1829,144322,,,,
1831,152677,,,,
1833,143935,,,,
1835,108598,,,,
1837,135479,,,,
1839,139499,,,,
1841,153256,,,,
1843,145482,,,,
1845,142109,,,,
1847,129891,,,,
1849,131522,,,,
1851,105219,,,,
1853,116756,,,,
1855,131189,,,,
1857,117941,,,,
1859,132000,,,,
1861,130766,,,,
1863,112505,,,,
1865,114757,,,,
1867,106368,,,,
1869,109243,,,,
1871,111047,,,,
1873,137102,,,,
1875,104109,,,,
1877,104537,,,,
1879,93369.1,,,,
1881,106492,,,,
1883,112066,,,,
1885,96118.1,,,,
1887,108597,,,,
1889,95121.7,,,,
1891,98366.6,,,,
1893,98412.6,,,,
1895,94047.2,,,,
1897,77757.4,,,,
1899,81224.4,,,,
1901,102039,,,,
1903,79376.3,,,,
1905,92938.3,,,,
1907,94678,,,,
1909,97309.5,,,,
1911,93623.2,,,,
1913,75521.1,,,,
1915,70732.2,,,,
1917,86985.6,,,,
1919,79325.2,,,,
1921,77862.5,,,,
1923,93117.5,,,,
1925,84831.4,,,,
1927,89978.3,,,,
1929,69522.7,,,,
1931,90986.3,,,,
1933,83603.9,,,,
1935,56220.2,,,,
1937,86143.5,,,,
1939,74851.1,,,,
1941,74855.2,,,,
1943,72031.3,,,,
1945,70423,,,,
1947,64931.5,,,,
1949,75118,,,,
1951,64337.5,,,,
1953,86280.9,,,,
1955,70964.4,,,,
1957,70332.7,,,,
1959,59791.4,,,,
1961,56936.8,,,,
1963,70162.8,,,,
1965,66941.2,,,,
1967,70458.9,,,,
1969,53064.6,,,,
1971,58625.7,,,,
1973,66387,,,,
1975,62148.1,,,,
1977,63888.2,,,,
1979,62590.7,,,,
1981,56215.2,,,,
1983,51629.7,,,,
1985,58100.5,,,,
1987,55129.7,,,,
1989,61728.7,,,,
1991,71367.9,,,,
1993,50445,,,,
1995,53030.8,,,,
1997,64288.8,,,,
1999,60973.2,,,,
2001,62933.1,,,,
2003,62115.9,,,,
2005,48693.3,,,,
2007,52076,,,,
2009,65298.1,,,,
2011,43029.8,,,,
2013,38672,,,,
2015,51757,,,,
2017,50303.3,,,,
2019,46152.6,,,,
2021,41334.6,,,,
2023,61591.4,,,,
2025,49116.4,,,,
2027,45622.9,,,,
2029,37113.6,,,,
2031,32499.7,,,,
2033,39096.7,,,,
2035,36900.7,,,,
2037,56186.1,,,,
2039,40330.5,,,,
2041,38512.9,,,,
2043,44344.9,,,,
2045,31052.4,,,,
2047,43435.4,,,,
2049,39586.4,,,,
2051,28519.6,,,,
2053,49365.9,,,,
2055,44033.8,,,,
2057,36669.1,,,,
2059,45307.8,,,,
2061,27479.8,,,,
2063,37836.9,,,,
2065,29747,,,,
2067,36207.8,,,,
2069,41611.7,,,,
2071,28947.4,,,,
2073,35536.7,,,,
2075,38687.3,,,,
2077,35148.6,,,,
2079,37091.2,,,,
2081,26262.2,,,,
2083,32848.5,,,,
2085,28630.3,,,,
2087,42902.8,,,,
2089,35787.9,,,,
2091,30514,,,,
2093,32776.5,,,,
2095,26100.4,,,,
2097,21785,,,,
2099,33827.6,,,,
2101,28443,,,,
2103,30696.6,,,,
2105,24731.4,,,,
2107,23510.9,,,,
2109,18252.7,,,,
2111,33121.8,,,,
2113,23261.3,,,,
2115,26627.4,,,,
2117,29421,,,,
2119,27575.8,,,,
2121,23622,,,,
2123,19100.8,,,,
2125,27031.4,,,,
2127,15620.1,,,,
2129,31247.9,,,,
2131,24619.5,,,,
2133,25467.7,,,,
2135,17505.3,,,,
2137,16699.8,,,,
2139,23825.8,,,,
2141,14910.4,,,,
2143,24677.4,,,,
2145,19488.8,,,,
2147,14369.6,,,,
2149,24295.5,,,,
2151,24920.5,,,,
2153,20821.5,,,,
2155,17337.3,,,,
2157,17574,,,,
2159,10345,,,,
2161,16845.1,,,,
2163,12548.5,,,,
2165,24923.4,,,,
2167,9994.2,,,,
2169,11801.2,,,,
2171,14173.8,,,,
2173,20884.6,,,,
2175,16499.5,,,,
2177,13692.1,,,,
2179,8916.78,,,,
2181,8917.94,,,,
2183,19609.1,,,,
2185,17369.7,,,,
2187,16515.9,,,,
2189,18296.1,,,,
2191,16396.3,,,,
2193,18411.9,,,,
2195,12080.3,,,,
2197,18659.7,,,,
2199,16438.2,,,,
2201,14606.9,,,,
2203,22805,,,,
2205,13824.8,,,,
2207,16286.5,,,,
2209,17237.6,,,,
2211,17120.7,,,,
2213,19525.7,,,,
2215,14034.8,,,,
2217,11714.4,,,,
2219,7413.82,,,,
2221,17553.1,,,,
2223,11869,,,,
2225,11743.8,,,,
2227,18390.9,,,,
2229,11485,,,,
2231,7930.76,,,,
2233,13979.8,,,,
2235,7812.68,,,,
2237,8338.98,,,,
2239,10883.6,,,,
2241,5126.2,,,,
2243,14068.3,,,,
2245,8599.5,,,,
2247,16068.8,,,,
2249,7351.88,,,,
2251,14745,,,,
2253,20136.5,,,,
2255,11512.9,,,,
2257,10384.9,,,,
2259,11506.5,,,,
2261,6023.06,,,,
2263,6314.28,,,,
2265,9399.54,,,,
2267,13464.5,,,,
2269,10371.2,,,,
2271,7299.68,,,,
2273,6259.22,,,,
2275,12391.1,,,,
2277,6020.2,,,,
2279,10289.5,,,,
2281,4930.48,,,,
2283,9171.96,,,,
2285,4248.52,,,,
2287,5884.1,,,,
2289,4924.76,,,,
2291,14429,,,,
2293,10125,,,,
2295,9282.62,,,,
2297,4895.22,,,,
2299,3913.84,,,,
2301,4960.56,,,,
2303,7453.56,,,,
2305,5212.5,,,,
2307,5970.94,,,,
2309,3905.18,,,,
2311,7072.72,,,,
2313,13774.3,,,,
2315,10356.6,,,,
2317,9502.7,,,,
2319,5797.26,,,,
2321,4696.64,,,,
2323,9339.38,,,,
2325,10287.2,,,,
2327,5910.16,,,,
2329,9133.84,,,,
2331,3619.22,,,,
2333,3828.08,,,,
2335,6990.98,,,,
2337,5124.5,,,,
2339,9019.24,,,,
2341,3786.56,,,,
2343,8123.46,,,,
2345,4927.62,,,,
2347,2772.78,,,,
2349,5203.3,,,,
2351,12160.1,,,,
2353,9313.32,,,,
2355,5072.92,,,,
2357,3911.52,,,,
2359,3940.44,,,,
2361,11372.1,,,,
2363,10044.5,,,,
2365,3992.02,,,,
2367,3824.68,,,,
2369,5880.08,,,,
2371,10237.9,,,,
2373,2671.86,,,,
2375,2572.42,,,,
2377,4749.92,,,,
2379,5802.98,,,,
2381,5829.04,,,,
2383,3450.1,,,,
2385,6895.56,,,,
2387,5998.7,,,,
2389,7920.86,,,,
2391,3627.18,,,,
2393,1582.38,,,,
2395,4783.48,,,,
2397,2402.76,,,,
2399,6619.34,,,,
2401,2459.52,,,,
2403,9042.98,,,,
2405,2636.68,,,,
2407,7895.34,,,,
2409,3907.5,,,,
2411,2347.16,,,,
2413,2550.92,,,,
2415,6819.08,,,,
2417,1359.98,,,,
2419,7947.54,,,,
2421,4588.84,,,,
2423,2402.76,,,,
2425,4721.54,,,,
2427,5882.4,,,,
2429,2403.92,,,,
2431,3568.72,,,,
2433,4580.8,,,,
2435,2435.16,,,,
2437,5686.6,,,,
2439,4673.36,,,,
2441,1241.36,,,,
2443,2292.72,,,,
2445,2431.14,,,,
2447,1380.94,,,,
2449,4525.2,,,,
2451,1416.2,,,,
2453,4643.28,,,,
2455,1272.06,,,,
2457,4729.58,,,,
2459,5683.74,,,,
2461,2352.88,,,,
2463,2349.48,,,,
2465,1215.84,,,,
2467,5632.16,,,,
2469,4583.12,,,,
2471,4525.82,,,,
2473,2321.1,,,,
2475,2521.38,,,,
2477,1362.3,,,,
2479,2321.64,,,,
2481,1246.54,,,,
2483,3734.98,,,,
2485,5681.5,,,,
2487,141.28,,,,
2489,1187.46,,,,
2491,2494.16,,,,
2493,1333.92,,,,
2495,3364.42,,,,
2497,2520.84,,,,
2499,1336.78,,,,
2501,3649.84,,,,
2503,1270.9,,,,
2505,1275.46,,,,
2507,1159.7,,,,
2509,3455.82,,,,
2511,2291.56,,,,
2513,28.38,,,,
2515,1160.24,,,,
2517,2233.1,,,,
2519,114.06,,,,
2521,1248.24,,,,
2523,1184.6,,,,
2525,3367.82,,,,
2527,86.84,,,,
2529,141.28,,,,
2531,2234.8,,,,
2533,2321.1,,,,
2535,4326.62,,,,
2537,2322.8,,,,
2539,55.6,,,,
2541,1327.04,,,,
2543,55.6,,,,
2545,1102.94,,,,
2547,1333.38,,,,
2549,3451.8,,,,
2551,86.84,,,,
2553,2233.1,,,,
2555,1215.84,,,,
2557,1131.32,,,,
2559,229.28,,,,
2561,199.2,,,,
2563,85.68,,,,
2565,5603.24,,,,
2567,2231.94,,,,
2569,115.22,,,,
2571,1248.24,,,,
2573,197.5,,,,
2575,111.2,,,,
2577,2350.02,,,,
2579,1102.94,,,,
2581,2263.18,,,,
2583,85.68,,,,
2585,1247.08,,,,
2587,170.82,,,,
2589,86.84,,,,
2591,2149.12,,,,
2593,2235.96,,,,
2595,1102.94,,,,
2597,1160.24,,,,
2599,83.98,,,,
2601,115.22,,,,
2603,27.22,,,,
2605,1161.4,,,,
2607,1074.56,,,,
2609,28.38,,,,
2611,0,,,,
2613,28.38,,,,
2615,58.46,,,,
2617,1130.16,,,,
2619,1102.94,,,,
2621,4355,,,,
2623,167.96,,,,
2625,1247.08,,,,
2627,0,,,,
2629,1159.7,,,,
2631,0,,,,
2633,56.76,,,,
2635,1102.94,,,,
2637,137.26,,,,
2639,27.22,,,,
2641,58.46,,,,
2643,2177.5,,,,
2645,0,,,,
2647,1245.92,,,,
2649,0,,,,
2651,2235.96,,,,
2653,1161.4,,,,
2655,83.98,,,,
2657,27.22,,,,
2659,2176.34,,,,
2661,28.38,,,,
2663,1102.94,,,,
2665,1074.56,,,,
2667,28.38,,,,
2669,54.44,,,,
2671,55.6,,,,
2673,86.84,,,,
2675,58.46,,,,
2677,2149.12,,,,
2679,1101.78,,,,
2681,172.52,,,,
2683,0,,,,
2685,1129,,,,
2687,0,,,,
2689,0,,,,
2691,115.22,,,,
2693,27.22,,,,
2695,0,,,,
2697,171.36,,,,
2699,28.38,,,,
2701,28.38,,,,
2703,56.76,,,,
2705,1074.56,,,,
2707,0,,,,
2709,0,,,,
2711,55.6,,,,
2713,55.6,,,,
2715,0,,,,
2717,28.38,,,,
2719,28.38,,,,
2721,0,,,,
2723,0,,,,
2725,28.38,,,,
2727,1074.56,,,,
2729,1133.02,,,,
2731,0,,,,
2733,0,,,,
2735,0,,,,
2737,0,,,,
2739,0,,,,
2741,0,,,,
2743,0,,,,
2745,0,,,,
2747,0,,,,
2749,58.46,,,,
2751,0,,,,
2753,0,,,,
2755,0,,,,
2757,0,,,,
2759,0,,,,
2761,28.38,,,,
2763,86.84,,,,
2765,1101.78,,,,
2767,0,,,,
2769,58.46,,,,
2771,0,,,,
2773,1074.56,,,,
2775,0,,,,
2777,28.38,,,,
2779,0,,,,
2781,85.68,,,,
2783,1074.56,,,,
2785,27.22,,,,
2787,0,,,,
2789,58.46,,,,
2791,55.6,,,,
2793,1130.16,,,,
2795,58.46,,,,
2797,0,,,,
2799,114.06,,,,
2801,28.38,,,,
2803,0,,,,
2805,0,,,,
2807,0,,,,
2809,0,,,,
2811,0,,,,
2813,0,,,,
2815,0,,,,
2817,58.46,,,,
2819,27.22,,,,
2821,58.46,,,,
2823,27.22,,,,
2825,86.84,,,,
2827,28.38,,,,
2829,0,,,,
2831,28.38,,,,
2833,27.22,,,,
2835,0,,,,
2837,0,,,,
2839,0,,,,
2841,1074.56,,,,
2843,86.84,,,,
2845,0,,,,
2847,0,,,,
2849,0,,,,
2851,0,,,,
2853,1074.56,,,,
2855,0,,,,
2857,58.46,,,,
2859,0,,,,
2861,27.22,,,,
2863,0,,,,
2865,28.38,,,,
2867,0,,,,
2869,28.38,,,,
2871,0,,,,
2873,1074.56,,,,
2875,28.38,,,,
2877,1074.56,,,,
2879,28.38,,,,
2881,1074.56,,,,
2883,0,,,,
2885,28.38,,,,
2887,58.46,,,,
2889,0,,,,
2891,0,,,,
2893,0,,,,
2895,0,,,,
2897,0,,,,
2899,0,,,,
2901,0,,,,
2903,0,,,,
2905,0,,,,
2907,27.22,,,,
2909,0,,,,
2911,58.46,,,,
2913,27.22,,,,
2915,81.66,,,,
2917,0,,,,
2919,27.22,,,,
2921,0,,,,
2923,0,,,,
2925,1074.56,,,,
2927,1074.56,,,,
2929,0,,,,
2931,0,,,,
2933,0,,,,
2935,0,,,,
2937,28.38,,,,
2939,0,,,,
2941,0,,,,
2943,0,,,,
2945,0,,,,
2947,0,,,,
2949,28.38,,,,
2951,0,,,,
2953,0,,,,
2955,0,,,,
2957,0,,,,
2959,0,,,,
2961,0,,,,
2963,0,,,,
2965,0,,,,
2967,0,,,,
2969,0,,,,
2971,0,,,,
2973,0,,,,
2975,28.38,,,,
2977,0,,,,
2979,112.9,,,,
2981,0,,,,
2983,0,,,,
2985,0,,,,
2987,0,,,,
2989,0,,,,
2991,0,,,,
2993,0,,,,
2995,0,,,,
2997,0,,,,
2999,58.46,,,,
3001,0,,,,
3003,28.38,,,,
3005,0,,,,
3007,0,,,,
3009,0,,,,
3011,0,,,,
3013,0,,,,
3015,0,,,,
3017,0,,,,
3019,0,,,,
3021,58.46,,,,
3023,0,,,,
3025,0,,,,
3027,0,,,,
3029,0,,,,
3031,0,,,,
3033,0,,,,
3035,28.38,,,,
3037,0,,,,
3039,0,,,,
3041,0,,,,
3043,28.38,,,,
3045,0,,,,
3047,0,,,,
3049,28.38,,,,
3051,58.46,,,,
3053,58.46,,,,
3055,0,,,,
3057,28.38,,,,
3059,0,,,,
3061,0,,,,
3063,0,,,,
3065,0,,,,
3067,0,,,,
3069,0,,,,
3071,1133.02,,,,
3073,28.38,,,,
3075,0,,,,
3077,0,,,,
3079,28.38,,,,
3081,0,,,,
3083,0,,,,
3085,58.46,,,,
3087,0,,,,
3089,0,,,,
3091,0,,,,
3093,0,,,,
3095,0,,,,
3097,0,,,,
3099,0,,,,
3101,27.22,,,,
3103,1074.56,,,,
3105,58.46,,,,
3107,0,,,,
3109,0,,,,
3111,0,,,,
3113,0,,,,
3115,0,,,,
3117,0,,,,
3119,0,,,,
3121,0,,,,
3123,0,,,,
3125,0,,,,
3127,0,,,,
3129,0,,,,
3131,0,,,,
3133,0,,,,
3135,28.38,,,,
3137,0,,,,
3139,0,,,,
3141,0,,,,
3143,0,,,,
3145,0,,,,
3147,0,,,,
3149,0,,,,
3151,28.38,,,,
3153,0,,,,
3155,0,,,,
3157,0,,,,
3159,0,,,,
3161,0,,,,
3163,0,,,,
3165,0,,,,
3167,0,,,,
3169,0,,,,
3171,0,,,,
3173,0,,,,
3175,1074.56,,,,
3177,0,,,,
3179,28.38,,,,
3181,0,,,,
3183,58.46,,,,
3185,0,,,,
3187,0,,,,
3189,0,,,,
3191,0,,,,
3193,0,,,,
3195,0,,,,
3197,0,,,,
3199,0,,,,
3201,0,,,,
3203,0,,,,
3205,28.38,,,,
3207,0,,,,
3209,0,,,,
3211,28.38,,,,
3213,0,,,,
3215,0,,,,
3217,0,,,,
3219,1074.56,,,,
3221,0,,,,
3223,0,,,,
3225,27.22,,,,
3227,0,,,,
3229,0,,,,
3231,0,,,,
3233,0,,,,
3235,1074.56,,,,
3237,0,,,,
3239,0,,,,
3241,0,,,,
3243,0,,,,
3245,0,,,,
3247,0,,,,
3249,0,,,,
3251,0,,,,
3253,0,,,,
3255,0,,,,
3257,0,,,,
3259,0,,,,
3261,0,,,,
3263,0,,,,
3265,0,,,,
3267,0,,,,
3269,0,,,,
3271,0,,,,
3273,0,,,,
3275,0,,,,
3277,0,,,,
3279,58.46,,,,
3281,0,,,,
3283,0,,,,
3285,0,,,,
3287,0,,,,
3289,27.22,,,,
3291,0,,,,
3293,86.84,,,,
3295,0,,,,
3297,0,,,,
3299,0,,,,
3301,0,,,,
3303,27.22,,,,
3305,56.76,,,,
3307,0,,,,
3309,0,,,,
3311,0,,,,
3313,0,,,,
3315,0,,,,
3317,0,,,,
3319,0,,,,
3321,0,,,,
3323,0,,,,
3325,28.38,,,,
3327,1074.56,,,,
3329,0,,,,
3331,28.38,,,,
3333,0,,,,
3335,0,,,,
3337,27.22,,,,
3339,0,,,,
3341,0,,,,
3343,0,,,,
3345,0,,,,
3347,0,,,,
3349,0,,,,
3351,0,,,,
3353,0,,,,
3355,0,,,,
3357,0,,,,
3359,0,,,,
3361,0,,,,
3363,0,,,,
3365,28.38,,,,
3367,0,,,,
3369,56.76,,,,
3371,0,,,,
3373,0,,,,
3375,0,,,,
3377,1074.56,,,,
3379,0,,,,
3381,0,,,,
3383,0,,,,
3385,0,,,,
3387,0,,,,
3389,0,,,,
3391,0,,,,
3393,0,,,,
3395,0,,,,
3397,0,,,,
3399,0,,,,
3401,0,,,,
3403,0,,,,
3405,0,,,,
3407,0,,,,
3409,0,,,,
3411,0,,,,
3413,0,,,,
3415,0,,,,
3417,0,,,,
3419,0,,,,
3421,0,,,,
3423,0,,,,
3425,0,,,,
3427,0,,,,
3429,0,,,,
3431,0,,,,
3433,0,,,,
3435,0,,,,
3437,0,,,,
3439,0,,,,
3441,0,,,,
3443,0,,,,
3445,0,,,,
3447,0,,,,
3449,0,,,,
3451,0,,,,
3453,0,,,,
3455,0,,,,
3457,0,,,,
3459,0,,,,
3461,0,,,,
3463,0,,,,
3465,0,,,,
3467,0,,,,
3469,0,,,,
3471,0,,,,
3473,0,,,,
3475,0,,,,
3477,0,,,,
3479,0,,,,
3481,0,,,,
3483,0,,,,
3485,0,,,,
3487,0,,,,
3489,0,,,,
3491,0,,,,
3493,0,,,,
3495,0,,,,
3497,0,,,,
3499,0,,,,
3501,0,,,,
3503,0,,,,
3505,0,,,,
3507,0,,,,
3509,0,,,,
3511,0,,,,
3513,0,,,,
3515,0,,,,
3517,0,,,,
3519,0,,,,
3521,0,,,,
3523,0,,,,
3525,0,,,,
3527,0,,,,
3529,0,,,,
3531,0,,,,
3533,0,,,,
3535,0,,,,
3537,0,,,,
3539,0,,,,
3541,0,,,,
3543,0,,,,
3545,0,,,,
3547,0,,,,
3549,0,,,,
3551,0,,,,
3553,0,,,,
3555,0,,,,
3557,0,,,,
3559,0,,,,
3561,0,,,,
3563,0,,,,
3565,0,,,,
3567,0,,,,
3569,0,,,,
3571,0,,,,
3573,0,,,,
3575,0,,,,
3577,0,,,,
3579,0,,,,
3581,0,,,,
3583,0,,,,
3585,0,,,,
3587,0,,,,
3589,0,,,,
3591,0,,,,
3593,0,,,,
3595,0,,,,
3597,0,,,,
3599,0,,,,
3601,0,,,,
3603,0,,,,
3605,0,,,,
3607,0,,,,
3609,0,,,,
3611,0,,,,
3613,0,,,,
3615,0,,,,
3617,0,,,,
3619,0,,,,
3621,0,,,,
3623,0,,,,
3625,0,,,,
3627,0,,,,
3629,0,,,,
3631,0,,,,
3633,0,,,,
3635,0,,,,
3637,0,,,,
3639,0,,,,
3641,0,,,,
3643,0,,,,
3645,0,,,,
3647,0,,,,
3649,0,,,,
3651,0,,,,
3653,0,,,,
3655,0,,,,
3657,0,,,,
3659,0,,,,
3661,0,,,,
3663,0,,,,
3665,0,,,,
3667,0,,,,
3669,0,,,,
3671,0,,,,
3673,0,,,,
3675,0,,,,
3677,0,,,,
3679,0,,,,
3681,0,,,,
3683,0,,,,
3685,0,,,,
3687,0,,,,
3689,0,,,,
3691,0,,,,
3693,0,,,,
3695,0,,,,
3697,0,,,,
3699,0,,,,
3701,0,,,,
3703,0,,,,
3705,0,,,,
3707,0,,,,
3709,0,,,,
3711,0,,,,
3713,0,,,,
3715,0,,,,
3717,0,,,,
3719,0,,,,
3721,0,,,,
3723,0,,,,
3725,0,,,,
3727,0,,,,
3729,0,,,,
3731,0,,,,
3733,0,,,,
3735,0,,,,
3737,0,,,,
3739,0,,,,
3741,0,,,,
3743,0,,,,
3745,0,,,,
3747,0,,,,
3749,0,,,,
3751,0,,,,
3753,0,,,,
3755,0,,,,
3757,0,,,,
3759,0,,,,
3761,0,,,,
3763,0,,,,
3765,0,,,,
3767,0,,,,
3769,0,,,,
3771,0,,,,
3773,0,,,,
3775,0,,,,
3777,0,,,,
3779,0,,,,
3781,0,,,,
3783,0,,,,
3785,0,,,,
3787,0,,,,
3789,0,,,,
3791,0,,,,
3793,0,,,,
3795,0,,,,
3797,0,,,,
3799,0,,,,
3801,0,,,,
3803,0,,,,
3805,0,,,,
3807,0,,,,
3809,0,,,,
3811,0,,,,
3813,0,,,,
3815,0,,,,
3817,0,,,,
3819,0,,,,
3821,0,,,,
3823,0,,,,
3825,0,,,,
3827,0,,,,
3829,0,,,,
3831,0,,,,
3833,0,,,,
3835,0,,,,
3837,0,,,,
3839,0,,,,
3841,0,,,,
3843,0,,,,
3845,0,,,,
3847,0,,,,
3849,0,,,,
3851,0,,,,
3853,0,,,,
3855,0,,,,
3857,0,,,,
3859,0,,,,
3861,0,,,,
3863,0,,,,
3865,0,,,,
3867,0,,,,
3869,0,,,,
3871,0,,,,
3873,0,,,,
3875,0,,,,
3877,0,,,,
3879,0,,,,
3881,0,,,,
3883,0,,,,
3885,0,,,,
3887,0,,,,
3889,0,,,,
3891,0,,,,
3893,0,,,,
3895,0,,,,
3897,0,,,,
3899,0,,,,
3901,0,,,,
3903,0,,,,
3905,0,,,,
3907,0,,,,
3909,0,,,,
3911,0,,,,
3913,0,,,,
3915,0,,,,
3917,0,,,,
3919,0,,,,
3921,0,,,,
3923,0,,,,
3925,0,,,,
3927,0,,,,
3929,0,,,,
3931,0,,,,
3933,0,,,,
3935,0,,,,
3937,0,,,,
3939,0,,,,
3941,0,,,,
3943,0,,,,
3945,0,,,,
3947,0,,,,
3949,0,,,,
3951,0,,,,
3953,0,,,,
3955,0,,,,
3957,0,,,,
3959,0,,,,
3961,0,,,,
3963,0,,,,
3965,0,,,,
3967,0,,,,
3969,0,,,,
3971,0,,,,
3973,0,,,,
3975,0,,,,
3977,0,,,,
3979,0,,,,
3981,0,,,,
3983,0,,,,
3985,0,,,,
3987,0,,,,
3989,0,,,,
3991,0,,,,
3993,0,,,,
3995,0,,,,
3997,0,,,,
3999,0,,,,
4001,0,,,,
4003,0,,,,
4005,0,,,,
4007,0,,,,
4009,0,,,,
4011,0,,,,
4013,0,,,,
4015,0,,,,
4017,0,,,,
4019,0,,,,
4021,0,,,,
4023,0,,,,
4025,0,,,,
4027,0,,,,
4029,0,,,,
4031,0,,,,
4033,0,,,,
4035,0,,,,
4037,0,,,,
4039,0,,,,
4041,0,,,,
4043,0,,,,
4045,0,,,,
4047,0,,,,
4049,0,,,,
4051,0,,,,
4053,0,,,,
4055,0,,,,
4057,0,,,,
4059,0,,,,
4061,0,,,,
4063,0,,,,
4065,0,,,,
4067,0,,,,
4069,0,,,,
4071,0,,,,
4073,0,,,,
4075,0,,,,
4077,0,,,,
4079,0,,,,
4081,0,,,,
4083,0,,,,
4085,0,,,,
4087,0,,,,
4089,0,,,,
4091,0,,,,
4093,0,,,,
4095,0,,,,
4097,0,,,,
4099,0,,,,
4101,0,,,,
4103,0,,,,
4105,0,,,,
4107,0,,,,
4109,0,,,,
4111,0,,,,
4113,0,,,,
4115,0,,,,
4117,0,,,,
4119,0,,,,
4121,0,,,,
4123,0,,,,
4125,0,,,,
4127,0,,,,
4129,0,,,,
4131,0,,,,
4133,0,,,,
4135,0,,,,
4137,0,,,,
4139,0,,,,
4141,0,,,,
4143,0,,,,
4145,0,,,,
4147,0,,,,
4149,0,,,,
4151,0,,,,
4153,0,,,,
4155,0,,,,
4157,0,,,,
4159,0,,,,
4161,0,,,,
4163,0,,,,
4165,0,,,,
4167,0,,,,
4169,0,,,,
4171,0,,,,
4173,0,,,,
4175,0,,,,
4177,0,,,,
4179,0,,,,
4181,0,,,,
4183,0,,,,
4185,0,,,,
4187,0,,,,
4189,0,,,,
4191,0,,,,
4193,0,,,,
4195,0,,,,
4197,0,,,,
4199,0,,,,
4201,0,,,,
4203,0,,,,
4205,0,,,,
4207,0,,,,
4209,0,,,,
4211,0,,,,
4213,0,,,,
4215,0,,,,
4217,0,,,,
4219,0,,,,
4221,0,,,,
4223,0,,,,
4225,0,,,,
4227,0,,,,
4229,0,,,,
4231,0,,,,
4233,0,,,,
4235,0,,,,
4237,0,,,,
4239,0,,,,
4241,0,,,,
4243,0,,,,
4245,0,,,,
4247,0,,,,
4249,0,,,,
4251,0,,,,
4253,0,,,,
4255,0,,,,
4257,0,,,,
4259,0,,,,
4261,0,,,,
4263,0,,,,
4265,0,,,,
4267,0,,,,
4269,0,,,,
4271,0,,,,
4273,0,,,,
4275,0,,,,
4277,0,,,,
4279,0,,,,
4281,0,,,,
4283,0,,,,
4285,0,,,,
4287,0,,,,
4289,0,,,,
4291,0,,,,
4293,0,,,,
4295,0,,,,
4297,0,,,,
4299,0,,,,
4301,0,,,,
4303,0,,,,
4305,0,,,,
4307,0,,,,
4309,0,,,,
4311,0,,,,
4313,0,,,,
4315,0,,,,
4317,0,,,,
4319,0,,,,
4321,0,,,,
4323,0,,,,
4325,0,,,,
4327,0,,,,
4329,0,,,,
4331,0,,,,
4333,0,,,,
4335,0,,,,
4337,0,,,,
4339,0,,,,
4341,0,,,,
4343,0,,,,
4345,0,,,,
4347,0,,,,
4349,0,,,,
4351,0,,,,
4353,0,,,,
4355,0,,,,
4357,0,,,,
4359,0,,,,
4361,0,,,,
4363,0,,,,
4365,0,,,,
4367,0,,,,
4369,0,,,,
4371,0,,,,
4373,0,,,,
4375,0,,,,
4377,0,,,,
4379,0,,,,
4381,0,,,,
4383,0,,,,
4385,0,,,,
4387,0,,,,
4389,0,,,,
4391,0,,,,
4393,0,,,,
4395,0,,,,
4397,0,,,,
4399,0,,,,
4401,0,,,,
4403,0,,,,
4405,0,,,,
4407,0,,,,
4409,0,,,,
4411,0,,,,
4413,0,,,,
4415,0,,,,
4417,0,,,,
4419,0,,,,
4421,0,,,,
4423,0,,,,
4425,0,,,,
4427,0,,,,
4429,0,,,,
4431,0,,,,
