 Nproc_#1_NoPrimaries , Nproc_#2_Edep(MeV) , Nproc_#5_Dose(Gy) , Nproc_#6_Charge(Coulomb) , Nproc_#7_NoIonisations , Nproc_Rayl , Nproc_Transportation , Nproc_compt , Nproc_conv , Nproc_e+_LeptsAnnihilation , Nproc_e+_LeptsDissocNeutr , Nproc_e+_LeptsElastic , Nproc_e+_LeptsElectronicExcitation , Nproc_e+_LeptsExcitRotat , Nproc_e+_LeptsExcitVibrat , Nproc_e+_LeptsIonisationD , Nproc_e+_LeptsIonisationK , Nproc_e+_LeptsIonisationS , Nproc_e+_LeptsPositronium , Nproc_e-_LeptsAttachment , Nproc_e-_LeptsElastic , Nproc_e-_LeptsElectronicExcitation , Nproc_e-_LeptsExcitRotat , Nproc_e-_LeptsIonisationD , Nproc_e-_LeptsIonisationK , Nproc_e-_LeptsIonisationS , Nproc_e-_LeptsThermalisation , Nproc_phot ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
2453780000,2.49063E-06,1.99622E-15,9.33288E-21,0.0582512,1.14878E-06,0.000577814,3.03382E-05,6.14969E-09,8.23262E-10,1.59889E-07,3.12056E-05,1.75473E-08,1.5654E-05,4.11956E-09,1.34398E-06,6.01592E-07,5.70975E-05,2.84215E-09,0.00397146,9.65379,0.0228731,17.386,0.000792673,0.00029555,0.0560138,0.045578,1.32153E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2929080000,1.99686E-06,1.60046E-15,7.52317E-21,0.0469559,1.07232E-06,0.000497572,2.63647E-05,4.78951E-09,1.02791E-09,1.65091E-07,3.50138E-05,2.05872E-08,1.6812E-05,1.38914E-09,1.42857E-06,6.6985E-07,6.19478E-05,2.37859E-09,0.00322023,7.827,0.0184809,14.0965,0.000636249,0.000235835,0.0451456,0.0369528,1.22296E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
3449170000,1.58799E-06,1.27276E-15,6.03183E-21,0.0376477,9.97741E-07,0.000431431,2.34855E-05,3.7676E-09,5.8184E-10,1.51966E-07,2.25048E-05,1.39617E-08,1.06443E-05,1.45689E-09,8.68959E-07,3.97083E-07,3.85807E-05,3.18666E-09,0.00258791,6.2891,0.0148521,11.326,0.000509991,0.000186792,0.036213,0.0296868,1.19386E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2947140000,1.29518E-06,1.03807E-15,4.96693E-21,0.0310012,9.24515E-07,0.000376872,2.09851E-05,2.40333E-09,6.84068E-10,1.00486E-07,1.68932E-05,8.20138E-09,8.06297E-06,1.40172E-09,6.56712E-07,3.23291E-07,2.92024E-05,1.35265E-09,0.00214023,5.20698,0.0122634,9.37763,0.000418383,0.000151359,0.0298305,0.0245795,1.13099E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
4.66424E-07,4.66424E-10,0.0259623,8.50726E-07,0.000330054,1.8644E-05,3.45407E-09,1.76303E-07,2.59559E-05,1.21158E-08,1.20677E-05,1.0114E-06,4.54748E-07,4.42431E-05,3.73244E-09,0.00179748,4.37124,0.010282,7.87227,0.000349221,0.00012551,0.0249656,0.0206334,1.02351E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 nan ,0.0114353,0.0114353,0.0107188,0.0107188,0.0445603,0.0021185,0.00580524,0.0765673,0.155382,0.105798,0.0806003,0.0955908,0.0797356,0.262013,0.0799776,0.0851374,0.0805682,0.118026,0.0110093,0.0109881,0.0106992,0.0109904,0.0109078,0.0111854,0.010624,0.0109916,0.0700102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.00682937,0.00682937,0.00659577,0.00659577,0.0385493,0.00151779,0.0086786,0.0950328,0.289624,0.102971,0.0659426,0.0833736,0.0637416,0.262367,0.0618105,0.0685861,0.0633574,0.111432,0.0069179,0.00690962,0.00666252,0.00690538,0.00646116,0.0070885,0.00656354,0.00691072,0.0647354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.00759142,0.00759142,0.00737563,0.00737563,0.050145,0.00207678,0.00557717,0.0726486,0.224825,0.115432,0.10971,0.110382,0.105215,0.237023,0.109604,0.106373,0.108897,0.178587,0.00771587,0.00765816,0.00737599,0.00766605,0.00719065,0.00798164,0.0074221,0.0076937,0.0383983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.0119603,0.0119603,0.0115504,0.0115504,0.0656669,0.00215218,0.00860196,0.127434,0.13642,0.0591217,0.081513,0.106368,0.0800781,0.18034,0.0811558,0.0792153,0.0816846,0.124789,0.0126898,0.0127502,0.011597,0.0127675,0.0106948,0.0121305,0.0114151,0.0127784,0.0751829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
