#  ,15eV,15eV,15eV,15eV,15eV,15eV,15eV,,,10eV,10eV,10eV,10eV,10eV
# E(MeV) , 0mTorr,2mTorr,2mTorr Ref,9.5mTorr,9.5mTorr Ref,10mTorr,10mTorr Ref,,2mTorr,2mTorr Ref,9.5mTorr,9.5mTorr Ref,10mTorr,10mTorr Ref
2.765E-06,1000000,819720,921302,308849,360535,285940,330531,,695223,854562,149994,185897,132167,164107
2.775E-06,1000000,819652,921181,308720,360314,285780,330306,,695155,854345,149822,185665,132021,163910
2.785E-06,1000000,819571,921057,308556,360124,285610,330075,,695077,854126,149656,185422,131883,163695
2.795E-06,1000000,819497,920931,308410,359921,285466,329873,,694980,853907,149502,185219,131722,163475
2.805E-06,1000000,819418,920808,308258,359672,285341,329654,,694892,853673,149319,184990,131571,163261
2.815E-06,1000000,819349,920685,308109,359446,285180,329441,,694792,853477,149166,184734,131409,163047
2.825E-06,1000000,819293,920570,307943,359241,285021,329249,,694698,853249,149006,184503,131254,162822
2.835E-06,1000000,819222,920443,307790,359040,284879,329023,,694612,853038,148853,184253,131095,162618
2.845E-06,1000000,819159,920298,307612,358821,284717,328821,,694525,852811,148715,183985,130953,162389
2.855E-06,1000000,819077,920165,307471,358591,284576,328601,,694457,852608,148566,183734,130795,162144
2.865E-06,1000000,819011,920046,307297,358351,284435,328386,,694365,852406,148393,183508,130655,161927
2.875E-06,1000000,818945,919933,307143,358109,284284,328180,,694268,852193,148233,183276,130511,161681
2.885E-06,1000000,818887,919823,306992,357868,284120,327984,,694182,851973,148058,183027,130344,161451
2.895E-06,1000000,818815,919700,306836,357632,283941,327754,,694089,851745,147912,182781,130208,161208
2.905E-06,1000000,818756,919577,306685,357422,283797,327544,,693998,851502,147732,182526,130035,160954
2.915E-06,1000000,818693,919449,306530,357207,283632,327325,,693920,851290,147561,182259,129871,160720
2.925E-06,1000000,818622,919308,306380,356971,283492,327121,,693836,851068,147405,181992,129727,160487
2.935E-06,1000000,818558,919175,306227,356765,283339,326914,,693750,850841,147241,181743,129554,160250
2.945E-06,1000000,818493,919059,306071,356544,283192,326724,,693664,850628,147054,181471,129398,160011
2.955E-06,1000000,818423,918937,305915,356335,283039,326520,,693565,850415,146867,181223,129217,159768
2.965E-06,1000000,818366,918779,305767,356119,282880,326316,,693487,850205,146685,180964,129057,159541
2.975E-06,1000000,818292,918645,305609,355896,282730,326121,,693409,849994,146535,180725,128904,159319
2.985E-06,1000000,818220,918521,305430,355679,282589,325899,,693319,849752,146375,180464,128756,159083
2.995E-06,1000000,818138,918370,305274,355426,282427,325673,,693234,849549,146202,180217,128606,158838
3.005E-06,1000000,818071,918244,305091,355197,282273,325452,,693162,849334,146034,179906,128444,158584
3.015E-06,1000000,817996,918120,304940,354990,282116,325260,,693058,849097,145870,179671,128281,158331
3.025E-06,1000000,817943,917965,304793,354765,281946,325042,,692961,848867,145686,179399,128108,158103
3.035E-06,1000000,817877,917836,304641,354525,281794,324827,,692880,848648,145522,179137,127927,157876
3.045E-06,1000000,817798,917712,304471,354294,281632,324584,,692785,848418,145340,178837,127749,157641
3.055E-06,1000000,817742,917584,304306,354064,281471,324390,,692700,848200,145147,178521,127593,157372
3.065E-06,1000000,817678,917459,304162,353858,281319,324184,,692608,847997,144966,178265,127439,157101
3.075E-06,1000000,817620,917343,304019,353614,281148,323938,,692511,847781,144776,178003,127258,156833
3.085E-06,1000000,817542,917203,303867,353385,280992,323712,,692418,847558,144582,177732,127086,156578
3.095E-06,1000000,817478,917092,303706,353158,280809,323479,,692348,847332,144407,177484,126941,156321
3.105E-06,1000000,817405,916972,303543,352926,280643,323254,,692267,847117,144237,177198,126773,156058
3.115E-06,1000000,817338,916847,303367,352706,280485,323026,,692185,846894,144053,176912,126598,155788
3.125E-06,1000000,817267,916707,303183,352481,280306,322798,,692093,846690,143886,176616,126429,155528
3.135E-06,1000000,817203,916591,303005,352254,280144,322550,,691998,846439,143680,176344,126241,155272
3.145E-06,1000000,817139,916454,302836,352002,279979,322306,,691908,846240,143473,176060,126069,155025
3.155E-06,1000000,817072,916311,302660,351747,279823,322101,,691822,846022,143273,175768,125889,154779
3.165E-06,1000000,817008,916185,302478,351502,279654,321855,,691724,845781,143095,175478,125738,154482
3.175E-06,1000000,816929,916051,302293,351257,279510,321593,,691639,845548,142918,175164,125565,154208
3.185E-06,1000000,816863,915928,302107,351005,279345,321353,,691548,845337,142733,174869,125363,153946
3.195E-06,1000000,816799,915800,301924,350749,279172,321122,,691468,845096,142528,174565,125209,153689
3.205E-06,1000000,816731,915649,301769,350484,279019,320903,,691373,844855,142326,174248,125024,153427
3.215E-06,1000000,816661,915524,301605,350254,278833,320676,,691292,844633,142143,173957,124858,153181
3.225E-06,1000000,816582,915394,301432,349995,278671,320442,,691204,844396,141962,173685,124673,152906
3.235E-06,1000000,816507,915264,301269,349722,278500,320193,,691117,844187,141762,173414,124519,152585
3.245E-06,1000000,816433,915118,301117,349455,278335,319950,,691024,843981,141579,173099,124335,152279
3.255E-06,1000000,816364,914978,300920,349188,278177,319723,,690961,843762,141396,172778,124172,152017
3.265E-06,1000000,816294,914853,300759,348936,278009,319513,,690884,843558,141206,172498,123994,151750
3.275E-06,1000000,816236,914732,300594,348692,277859,319277,,690812,843321,141021,172223,123793,151509
3.285E-06,1000000,816181,914609,300400,348463,277688,319045,,690730,843101,140831,171931,123597,151211
3.295E-06,1000000,816113,914492,300241,348193,277485,318812,,690645,842862,140611,171655,123400,150947
3.305E-06,1000000,816045,914343,300073,347943,277307,318566,,690551,842635,140418,171358,123196,150669
3.315E-06,1000000,815981,914200,299895,347686,277129,318330,,690458,842406,140229,171049,123013,150422
3.325E-06,1000000,815912,914072,299708,347444,276956,318073,,690367,842193,140039,170741,122802,150105
3.335E-06,1000000,815857,913946,299523,347179,276766,317820,,690285,841951,139836,170453,122637,149838
3.345E-06,1000000,815780,913818,299327,346925,276593,317569,,690213,841750,139617,170174,122430,149574
3.355E-06,1000000,815704,913688,299156,346656,276411,317337,,690122,841563,139371,169854,122226,149283
3.365E-06,1000000,815622,913552,298995,346406,276217,317077,,690023,841325,139168,169525,122028,148982
3.375E-06,1000000,815535,913398,298813,346149,276054,316834,,689954,841116,138978,169216,121827,148665
3.385E-06,1000000,815464,913270,298637,345901,275853,316588,,689873,840906,138775,168914,121630,148353
3.395E-06,1000000,815380,913118,298470,345634,275662,316315,,689782,840660,138564,168591,121426,148046
3.405E-06,1000000,815308,912984,298273,345377,275488,316073,,689691,840416,138349,168315,121248,147720
3.415E-06,1000000,815233,912828,298115,345107,275308,315825,,689605,840174,138152,168017,121041,147405
3.425E-06,1000000,815163,912684,297907,344854,275112,315564,,689522,839928,137947,167695,120831,147063
3.435E-06,1000000,815087,912540,297741,344566,274939,315337,,689440,839713,137722,167373,120616,146766
3.445E-06,1000000,815010,912384,297560,344317,274769,315098,,689353,839474,137547,167063,120412,146479
3.455E-06,1000000,814928,912231,297368,344057,274602,314860,,689272,839270,137343,166764,120231,146171
3.465E-06,1000000,814853,912077,297163,343794,274394,314609,,689183,839026,137121,166450,120029,145859
3.475E-06,1000000,814772,911914,296982,343513,274198,314374,,689108,838806,136887,166120,119808,145541
3.485E-06,1000000,814698,911772,296783,343252,274033,314115,,689034,838581,136670,165798,119629,145221
3.495E-06,1000000,814631,911638,296583,342992,273867,313861,,688961,838340,136467,165466,119403,144919
3.505E-06,1000000,814566,911514,296366,342694,273670,313603,,688872,838094,136232,165124,119187,144598
3.515E-06,1000000,814494,911374,296165,342427,273469,313363,,688783,837863,136014,164784,118971,144288
3.525E-06,1000000,814423,911217,295982,342170,273295,313111,,688688,837660,135777,164442,118771,143988
3.535E-06,1000000,814344,911056,295787,341917,273082,312831,,688602,837434,135567,164139,118537,143660
3.545E-06,1000000,814269,910920,295579,341621,272892,312547,,688506,837204,135338,163829,118351,143365
3.555E-06,1000000,814192,910788,295365,341360,272712,312317,,688419,836957,135116,163469,118144,143063
3.565E-06,1000000,814107,910637,295182,341060,272511,312047,,688331,836721,134877,163133,117934,142758
3.575E-06,1000000,814017,910489,294987,340794,272318,311776,,688267,836492,134681,162806,117724,142439
3.585E-06,1000000,813940,910329,294779,340520,272128,311490,,688179,836239,134451,162463,117499,142105
3.595E-06,1000000,813844,910175,294586,340244,271908,311231,,688105,836010,134220,162121,117261,141787
3.605E-06,1000000,813765,910042,294371,339957,271723,310969,,688020,835777,133999,161782,117043,141474
3.615E-06,1000000,813696,909890,294173,339673,271513,310695,,687928,835511,133771,161434,116817,141142
3.625E-06,1000000,813607,909747,293969,339377,271296,310416,,687854,835274,133545,161077,116596,140784
3.635E-06,1000000,813524,909591,293740,339082,271080,310177,,687777,835064,133306,160729,116389,140449
3.645E-06,1000000,813427,909435,293562,338779,270890,309893,,687681,834847,133051,160348,116161,140144
3.655E-06,1000000,813341,909283,293337,338479,270692,309634,,687569,834617,132806,159990,115944,139786
3.665E-06,1000000,813264,909149,293119,338193,270486,309354,,687478,834385,132553,159624,115721,139448
3.675E-06,1000000,813189,909013,292904,337926,270288,309079,,687395,834125,132337,159275,115485,139131
3.685E-06,1000000,813109,908868,292695,337632,270089,308801,,687302,833876,132109,158951,115241,138783
3.695E-06,1000000,813031,908712,292490,337370,269907,308524,,687220,833644,131877,158596,115034,138399
3.705E-06,1000000,812954,908565,292247,337046,269685,308255,,687109,833380,131609,158233,114768,138062
3.715E-06,1000000,812872,908419,292072,336746,269487,307952,,687014,833128,131380,157833,114542,137706
3.725E-06,1000000,812797,908275,291850,336453,269266,307669,,686918,832871,131149,157444,114294,137343
3.735E-06,1000000,812722,908150,291635,336156,269061,307383,,686826,832618,130922,157095,114050,137002
3.745E-06,1000000,812636,907988,291446,335863,268871,307098,,686737,832377,130676,156692,113819,136684
3.755E-06,1000000,812555,907843,291243,335585,268676,306842,,686645,832156,130414,156314,113554,136338
3.765E-06,1000000,812462,907672,291028,335255,268462,306576,,686552,831893,130153,155920,113317,135971
3.775E-06,1000000,812373,907514,290803,334943,268255,306268,,686470,831628,129896,155540,113067,135590
3.785E-06,1000000,812299,907366,290556,334637,268057,305957,,686382,831372,129636,155153,112808,135246
3.795E-06,1000000,812206,907213,290344,334320,267873,305685,,686314,831119,129368,154780,112570,134937
3.805E-06,1000000,812127,907032,290106,334036,267673,305402,,686220,830867,129111,154401,112342,134544
3.815E-06,1000000,812057,906881,289891,333739,267476,305102,,686137,830629,128847,154039,112076,134190
3.825E-06,1000000,811973,906713,289677,333445,267240,304810,,686040,830373,128587,153673,111818,133818
3.835E-06,1000000,811879,906562,289422,333164,267035,304512,,685951,830142,128313,153271,111565,133461
3.845E-06,1000000,811797,906394,289212,332869,266845,304216,,685863,829900,128059,152896,111314,133084
3.855E-06,1000000,811711,906228,288989,332571,266627,303953,,685775,829626,127794,152525,111068,132728
3.865E-06,1000000,811629,906068,288766,332266,266417,303628,,685687,829379,127514,152163,110793,132371
3.875E-06,1000000,811553,905910,288557,331957,266217,303348,,685585,829124,127243,151781,110555,132009
3.885E-06,1000000,811469,905752,288342,331684,265962,303020,,685506,828903,127000,151366,110303,131636
3.895E-06,1000000,811390,905598,288113,331368,265737,302721,,685424,828677,126752,151003,110044,131280
3.905E-06,1000000,811309,905447,287888,331059,265522,302460,,685322,828416,126512,150630,109802,130908
3.915E-06,1000000,811226,905276,287703,330751,265319,302174,,685220,828167,126247,150222,109564,130520
3.925E-06,1000000,811145,905111,287472,330441,265104,301866,,685132,827930,125968,149814,109288,130129
3.935E-06,1000000,811056,904927,287254,330140,264902,301569,,685039,827691,125700,149432,109016,129793
3.945E-06,1000000,810978,904773,287044,329861,264675,301273,,684959,827446,125461,149006,108722,129399
3.955E-06,1000000,810892,904631,286809,329529,264457,300953,,684854,827162,125170,148626,108473,129029
3.965E-06,1000000,810798,904445,286585,329205,264256,300628,,684765,826887,124898,148228,108205,128670
3.975E-06,1000000,810702,904271,286357,328875,264037,300294,,684669,826630,124616,147850,107946,128326
3.985E-06,1000000,810619,904113,286126,328560,263786,300020,,684567,826363,124313,147403,107704,127944
3.995E-06,1000000,810538,903967,285882,328240,263552,299731,,684473,826119,124032,147006,107444,127607
4.005E-06,1000000,810441,903805,285640,327941,263333,299426,,684391,825854,123757,146603,107158,127238
4.015E-06,1000000,810360,903659,285411,327623,263121,299146,,684286,825603,123501,146230,106901,126870
4.025E-06,1000000,810277,903483,285186,327293,262902,298839,,684179,825321,123222,145848,106635,126539
4.035E-06,1000000,810184,903310,284992,326988,262697,298547,,684051,825042,122963,145472,106386,126177
4.045E-06,1000000,810094,903136,284733,326669,262452,298267,,683942,824778,122674,145051,106140,125805
4.055E-06,1000000,810001,902963,284520,326352,262244,297988,,683849,824523,122400,144681,105857,125430
4.065E-06,1000000,809907,902779,284282,326074,262020,297726,,683773,824286,122104,144292,105575,125051
4.075E-06,1000000,809819,902620,284051,325765,261801,297434,,683694,824053,121846,143898,105302,124668
4.085E-06,1000000,809737,902467,283821,325453,261557,297107,,683606,823763,121579,143541,105043,124304
4.095E-06,1000000,809636,902301,283613,325165,261337,296815,,683513,823485,121300,143134,104767,123924
4.105E-06,1000000,809534,902130,283418,324845,261125,296523,,683418,823201,121043,142765,104508,123557
4.115E-06,1000000,809426,901935,283189,324516,260912,296232,,683329,822944,120760,142396,104239,123167
4.125E-06,1000000,809328,901749,282922,324190,260672,295916,,683235,822712,120472,141973,103948,122753
4.135E-06,1000000,809222,901589,282676,323884,260453,295591,,683146,822443,120197,141581,103667,122407
4.145E-06,1000000,809135,901411,282454,323518,260236,295285,,683050,822142,119929,141187,103383,122044
4.155E-06,1000000,809031,901240,282222,323211,260001,295006,,682940,821905,119633,140776,103104,121650
4.165E-06,1000000,808934,901083,281998,322911,259800,294710,,682825,821652,119358,140404,102809,121242
4.175E-06,1000000,808844,900922,281762,322560,259566,294438,,682739,821380,119060,139958,102512,120869
4.185E-06,1000000,808746,900738,281549,322238,259333,294132,,682649,821119,118801,139592,102276,120469
4.195E-06,1000000,808660,900567,281332,321932,259138,293826,,682553,820848,118502,139212,102009,120062
4.205E-06,1000000,808577,900403,281121,321618,258901,293501,,682449,820562,118221,138843,101765,119677
4.215E-06,1000000,808469,900223,280893,321279,258688,293229,,682364,820325,117932,138426,101509,119300
4.225E-06,1000000,808376,900057,280648,320969,258448,292951,,682269,820063,117613,138070,101248,118911
4.235E-06,1000000,808287,899885,280428,320660,258220,292668,,682173,819803,117318,137658,100980,118560
4.245E-06,1000000,808154,899716,280200,320375,257993,292372,,682084,819536,117002,137259,100686,118168
4.255E-06,1000000,808068,899545,279971,320052,257784,292087,,681976,819214,116716,136879,100417,117782
4.265E-06,1000000,807968,899361,279785,319733,257557,291804,,681883,818950,116473,136469,100148,117452
4.275E-06,1000000,807856,899177,279584,319457,257340,291522,,681765,818642,116170,136033,99897,117048
4.285E-06,1000000,807763,899019,279334,319136,257138,291226,,681678,818371,115911,135641,99643,116681
4.295E-06,1000000,807675,898880,279115,318816,256933,290934,,681560,818109,115589,135242,99337,116307
4.305E-06,1000000,807576,898700,278897,318523,256712,290673,,681447,817852,115327,134800,99085,115915
4.315E-06,1000000,807487,898521,278678,318192,256490,290371,,681339,817610,114996,134380,98782,115490
4.325E-06,1000000,807381,898328,278462,317882,256296,290085,,681239,817343,114726,133967,98486,115132
4.335E-06,1000000,807282,898153,278246,317580,256070,289769,,681151,817067,114424,133546,98223,114794
4.345E-06,1000000,807172,897959,278038,317280,255851,289466,,681049,816797,114125,133134,97921,114398
4.355E-06,1000000,807083,897784,277840,316974,255621,289175,,680958,816504,113834,132759,97663,114044
4.365E-06,1000000,806983,897612,277613,316662,255389,288883,,680866,816215,113550,132346,97358,113684
4.375E-06,1000000,806876,897454,277374,316387,255177,288598,,680775,815936,113246,131980,97086,113320
4.385E-06,1000000,806779,897289,277150,316084,254952,288310,,680666,815667,112953,131588,96818,112983
4.395E-06,1000000,806670,897107,276922,315776,254718,288027,,680569,815415,112653,131203,96542,112606
4.405E-06,1000000,806562,896925,276679,315468,254511,287744,,680455,815107,112373,130790,96286,112224
4.415E-06,1000000,806471,896749,276443,315176,254286,287476,,680357,814832,112110,130390,96011,111860
4.425E-06,1000000,806385,896567,276186,314858,254079,287188,,680249,814548,111824,129958,95737,111472
4.435E-06,1000000,806299,896384,275964,314513,253901,286917,,680143,814271,111547,129556,95467,111113
4.445E-06,1000000,806224,896208,275733,314219,253668,286621,,680047,814005,111239,129150,95214,110736
4.455E-06,1000000,806125,896030,275524,313906,253450,286341,,679932,813721,110958,128758,94951,110359
4.465E-06,1000000,806013,895844,275296,313608,253230,286049,,679831,813444,110660,128363,94674,109975
4.475E-06,1000000,805925,895670,275042,313341,253032,285776,,679736,813185,110367,127963,94409,109622
4.485E-06,1000000,805832,895495,274797,313002,252794,285469,,679630,812920,110055,127550,94154,109264
4.495E-06,1000000,805730,895306,274606,312698,252580,285197,,679518,812660,109748,127177,93867,108913
4.505E-06,1000000,805641,895153,274390,312402,252358,284910,,679397,812356,109466,126784,93605,108558
4.515E-06,1000000,805553,894979,274166,312110,252142,284612,,679289,812059,109196,126399,93328,108194
4.525E-06,1000000,805462,894801,273911,311818,251911,284308,,679190,811792,108902,125955,93042,107815
4.535E-06,1000000,805371,894619,273679,311520,251707,284016,,679099,811537,108631,125574,92793,107470
4.545E-06,1000000,805263,894414,273460,311206,251503,283726,,678979,811250,108332,125173,92506,107140
4.555E-06,1000000,805155,894205,273245,310903,251299,283463,,678896,811007,108022,124766,92225,106770
4.565E-06,1000000,805061,894047,273026,310605,251076,283189,,678795,810690,107740,124380,91955,106423
4.575E-06,1000000,804960,893870,272818,310317,250848,282895,,678666,810408,107441,123951,91688,106051
4.585E-06,1000000,804872,893702,272592,310019,250646,282639,,678552,810126,107148,123593,91417,105689
4.595E-06,1000000,804776,893534,272349,309714,250428,282379,,678461,809834,106871,123211,91159,105331
4.605E-06,1000000,804673,893340,272113,309418,250169,282100,,678341,809527,106607,122847,90896,104989
4.615E-06,1000000,804577,893175,271882,309130,249947,281817,,678235,809246,106307,122458,90633,104662
4.625E-06,1000000,804472,893002,271675,308838,249726,281511,,678108,808954,106012,122061,90367,104266
4.635E-06,1000000,804392,892828,271485,308541,249530,281249,,677983,808653,105715,121694,90097,103922
4.645E-06,1000000,804290,892658,271269,308261,249306,280977,,677873,808397,105407,121298,89822,103546
4.655E-06,1000000,804203,892491,271040,307984,249078,280713,,677744,808095,105130,120891,89544,103205
4.665E-06,1000000,804104,892299,270811,307694,248855,280459,,677630,807829,104851,120527,89257,102848
4.675E-06,1000000,803997,892096,270611,307422,248655,280207,,677507,807557,104563,120129,88975,102479
4.685E-06,1000000,803898,891896,270397,307143,248413,279923,,677408,807301,104302,119745,88727,102130
4.695E-06,1000000,803809,891727,270197,306869,248222,279639,,677293,806997,104032,119371,88459,101770
4.705E-06,1000000,803710,891537,269970,306618,247988,279354,,677168,806708,103734,118996,88187,101425
4.715E-06,1000000,803610,891371,269741,306341,247763,279106,,677050,806423,103429,118615,87898,101060
4.725E-06,1000000,803516,891204,269484,306045,247556,278827,,676935,806138,103142,118232,87655,100678
4.735E-06,1000000,803404,891018,269255,305761,247351,278576,,676824,805880,102862,117817,87384,100346
4.745E-06,1000000,803305,890852,269040,305488,247151,278316,,676715,805582,102546,117451,87111,99991
4.755E-06,1000000,803213,890656,268822,305171,246948,278068,,676596,805307,102254,117064,86846,99635
4.765E-06,1000000,803107,890467,268615,304923,246758,277813,,676502,805046,101979,116720,86582,99303
4.775E-06,1000000,802986,890256,268417,304661,246556,277554,,676384,804756,101686,116371,86283,98989
4.785E-06,1000000,802882,890083,268189,304347,246352,277255,,676259,804475,101423,116003,86042,98655
4.795E-06,1000000,802768,889891,267962,304073,246141,277001,,676150,804170,101118,115613,85758,98289
4.805E-06,1000000,802664,889696,267752,303779,245946,276731,,676039,803863,100846,115266,85474,97985
4.815E-06,1000000,802541,889511,267559,303539,245722,276484,,675928,803558,100568,114863,85203,97627
4.825E-06,1000000,802426,889345,267350,303271,245530,276236,,675803,803253,100271,114488,84938,97272
4.835E-06,1000000,802311,889158,267161,302985,245342,275970,,675684,802967,100004,114168,84665,96939
4.845E-06,1000000,802201,888946,266981,302695,245142,275702,,675570,802667,99730,113840,84374,96622
4.855E-06,1000000,802105,888762,266787,302456,244953,275450,,675445,802384,99450,113455,84118,96275
4.865E-06,1000000,802000,888589,266585,302201,244760,275193,,675326,802116,99148,113068,83874,95959
4.875E-06,1000000,801901,888419,266385,301954,244557,274927,,675216,801827,98852,112707,83625,95611
4.885E-06,1000000,801791,888223,266185,301696,244354,274659,,675086,801491,98539,112345,83358,95299
4.895E-06,1000000,801679,888057,265960,301431,244165,274417,,674979,801193,98236,112001,83109,95002
4.905E-06,1000000,801581,887890,265757,301129,243960,274134,,674864,800881,97940,111617,82843,94663
4.915E-06,1000000,801476,887713,265546,300862,243749,273870,,674762,800578,97666,111257,82578,94362
4.925E-06,1000000,801357,887524,265352,300588,243557,273613,,674647,800270,97372,110922,82309,94057
4.935E-06,1000000,801251,887325,265139,300325,243363,273350,,674514,799988,97079,110573,82050,93755
4.945E-06,1000000,801145,887128,264922,300066,243175,273120,,674387,799704,96785,110236,81769,93406
4.955E-06,1000000,801025,886929,264717,299778,242994,272871,,674248,799404,96508,109873,81536,93082
4.965E-06,1000000,800919,886754,264512,299530,242796,272647,,674124,799092,96249,109531,81304,92777
4.975E-06,1000000,800812,886581,264308,299277,242599,272419,,674007,798821,95964,109164,81049,92477
4.985E-06,1000000,800688,886389,264094,299006,242400,272174,,673883,798524,95669,108842,80799,92150
4.995E-06,1000000,800570,886195,263914,298740,242209,271929,,673780,798255,95401,108511,80558,91814
5.005E-06,1000000,800470,886008,263728,298474,242038,271698,,673640,797975,95131,108143,80312,91500
5.015E-06,1000000,800364,885812,263536,298200,241870,271472,,673520,797686,94841,107808,80074,91187
5.025E-06,1000000,800258,885624,263354,297952,241688,271223,,673398,797375,94581,107467,79838,90862
5.035E-06,1000000,800151,885444,263175,297721,241499,270964,,673275,797053,94310,107114,79570,90589
5.045E-06,1000000,800040,885264,262976,297471,241303,270728,,673144,796733,94060,106766,79319,90257
5.055E-06,1000000,799945,885084,262770,297235,241140,270483,,672996,796441,93787,106414,79070,89969
5.065E-06,1000000,799844,884881,262594,297010,240958,270269,,672903,796127,93534,106098,78841,89650
5.075E-06,1000000,799736,884709,262408,296770,240794,270046,,672766,795835,93249,105754,78596,89340
5.085E-06,1000000,799632,884548,262236,296507,240601,269830,,672638,795509,93018,105452,78343,89073
5.095E-06,1000000,799516,884374,262061,296271,240447,269607,,672502,795245,92728,105092,78095,88736
5.105E-06,1000000,799416,884192,261854,296013,240269,269354,,672361,794947,92472,104774,77820,88432
5.115E-06,1000000,799297,884006,261663,295753,240073,269111,,672245,794651,92194,104444,77550,88094
5.125E-06,1000000,799188,883831,261456,295521,239897,268901,,672127,794366,91938,104114,77311,87797
5.135E-06,1000000,799073,883647,261277,295245,239723,268651,,672015,794069,91666,103773,77070,87487
5.145E-06,1000000,798946,883464,261095,295000,239535,268398,,671879,793765,91405,103442,76842,87197
5.155E-06,1000000,798832,883265,260884,294735,239337,268169,,671732,793456,91123,103123,76577,86874
5.165E-06,1000000,798723,883097,260713,294491,239145,267926,,671594,793162,90862,102793,76335,86560
5.175E-06,1000000,798611,882891,260518,294254,238976,267705,,671465,792867,90595,102427,76076,86265
5.185E-06,1000000,798494,882700,260312,293964,238774,267487,,671335,792548,90308,102094,75852,85950
5.195E-06,1000000,798385,882523,260119,293718,238609,267271,,671185,792230,90019,101768,75609,85649
5.205E-06,1000000,798283,882352,259950,293492,238431,267052,,671068,791917,89759,101439,75377,85358
5.215E-06,1000000,798177,882169,259782,293279,238247,266817,,670924,791592,89487,101103,75101,85063
5.225E-06,1000000,798049,881996,259593,293019,238071,266625,,670787,791325,89208,100761,74835,84770
5.235E-06,1000000,797907,881789,259408,292788,237906,266408,,670641,791017,88957,100438,74593,84464
5.245E-06,1000000,797778,881582,259228,292544,237737,266192,,670515,790701,88687,100130,74361,84197
5.255E-06,1000000,797667,881379,259033,292301,237551,265986,,670381,790386,88432,99801,74123,83888
5.265E-06,1000000,797562,881219,258870,292065,237370,265762,,670243,790067,88160,99483,73882,83592
5.275E-06,1000000,797460,881034,258674,291833,237187,265548,,670105,789767,87870,99163,73636,83301
5.285E-06,1000000,797360,880851,258499,291588,237021,265320,,669986,789477,87587,98853,73404,83018
5.295E-06,1000000,797235,880658,258319,291337,236843,265090,,669805,789166,87350,98535,73180,82731
5.305E-06,1000000,797123,880475,258128,291086,236671,264874,,669676,788809,87083,98224,72966,82465
5.315E-06,1000000,797000,880296,257935,290864,236524,264642,,669528,788462,86851,97908,72738,82170
5.325E-06,1000000,796874,880069,257753,290656,236367,264435,,669412,788147,86598,97588,72517,81872
5.335E-06,1000000,796747,879881,257583,290402,236184,264192,,669266,787848,86340,97267,72281,81611
5.345E-06,1000000,796618,879688,257413,290174,236009,263943,,669118,787540,86076,96940,72029,81352
5.355E-06,1000000,796490,879500,257218,289966,235827,263737,,668983,787199,85824,96631,71780,81091
5.365E-06,1000000,796377,879336,257040,289757,235646,263541,,668841,786894,85583,96303,71509,80809
5.375E-06,1000000,796255,879147,256860,289538,235470,263332,,668679,786577,85312,95967,71269,80534
5.385E-06,1000000,796126,878943,256675,289297,235292,263120,,668535,786242,85064,95634,71025,80232
5.395E-06,1000000,796016,878751,256479,289055,235103,262912,,668398,785939,84813,95320,70796,79962
5.405E-06,1000000,795883,878548,256306,288847,234941,262684,,668244,785616,84551,95004,70571,79678
5.415E-06,1000000,795753,878344,256116,288608,234758,262467,,668093,785296,84291,94696,70339,79404
5.425E-06,1000000,795618,878151,255976,288372,234571,262257,,667955,784952,83998,94384,70085,79131
5.435E-06,1000000,795519,877947,255793,288159,234397,262067,,667803,784634,83753,94062,69863,78827
5.445E-06,1000000,795386,877719,255616,287946,234239,261855,,667668,784328,83503,93751,69624,78549
5.455E-06,1000000,795286,877538,255429,287732,234088,261643,,667511,783981,83238,93429,69381,78240
5.465E-06,1000000,795155,877319,255213,287511,233909,261419,,667351,783689,82968,93101,69145,77967
5.475E-06,1000000,795033,877134,255015,287288,233718,261215,,667215,783354,82704,92820,68926,77707
5.485E-06,1000000,794902,876921,254837,287045,233552,261001,,667064,783019,82451,92502,68685,77422
5.495E-06,1000000,794769,876746,254661,286832,233380,260805,,666901,782665,82225,92216,68464,77118
5.505E-06,1000000,794654,876554,254485,286634,233219,260608,,666747,782355,81989,91906,68254,76863
5.515E-06,1000000,794545,876358,254303,286416,233071,260410,,666603,782013,81696,91579,67962,76575
5.525E-06,1000000,794419,876165,254120,286188,232911,260191,,666443,781690,81444,91235,67715,76286
5.535E-06,1000000,794291,875942,253955,285960,232739,259989,,666274,781364,81190,90951,67472,76015
5.545E-06,1000000,794181,875729,253790,285727,232580,259782,,666094,781024,80941,90597,67234,75756
5.555E-06,1000000,794063,875532,253615,285516,232407,259573,,665940,780680,80705,90304,67009,75462
5.565E-06,1000000,793920,875329,253449,285318,232246,259366,,665772,780360,80447,90001,66784,75201
5.575E-06,1000000,793807,875104,253285,285081,232090,259155,,665618,780046,80200,89684,66576,74925
5.585E-06,1000000,793688,874915,253128,284835,231932,258950,,665464,779707,79963,89385,66360,74655
5.595E-06,1000000,793562,874715,252955,284601,231764,258731,,665303,779357,79730,89086,66130,74382
5.605E-06,1000000,793424,874537,252803,284336,231610,258534,,665123,779011,79480,88773,65912,74107
5.615E-06,1000000,793303,874322,252609,284129,231445,258318,,664967,778658,79204,88481,65685,73852
5.625E-06,1000000,793175,874121,252455,283935,231261,258108,,664817,778333,78938,88169,65463,73555
5.635E-06,1000000,793036,873923,252302,283710,231113,257931,,664634,777996,78712,87873,65250,73260
