#Table:,,15eV,15eV,15eV,15eV,15eV,,10eV,10eV,10eV,10eV,10eV
# E(MeV) ,,0mTorr,2mTorr Refl,2mTorr,9.5mTorr Refl,9.5mTorr,,0mTorr,2mTorr Refl,2mTorr,10mTorr Refl,10mTorr
3.375E-06,,10000,9443,8036,6471,3892,,10000,9230,6887,7244,2472
3.385E-06,,10000,9439,8034,6463,3892,,10000,9227,6887,7234,2468
3.395E-06,,10000,9439,8034,6451,3885,,10000,9225,6886,7226,2463
3.405E-06,,10000,9439,8032,6441,3883,,10000,9223,6885,7215,2458
3.415E-06,,10000,9437,8031,6428,3877,,10000,9223,6883,7207,2456
3.425E-06,,10000,9436,8031,6419,3874,,10000,9219,6883,7193,2451
3.435E-06,,10000,9432,8029,6406,3871,,10000,9219,6882,7182,2448
3.445E-06,,10000,9429,8029,6396,3870,,10000,9216,6882,7173,2443
3.455E-06,,10000,9426,8027,6390,3866,,10000,9214,6882,7163,2440
3.465E-06,,10000,9425,8026,6379,3860,,10000,9212,6879,7156,2438
3.475E-06,,10000,9425,8024,6366,3853,,10000,9211,6877,7144,2436
3.485E-06,,10000,9421,8023,6358,3852,,10000,9207,6875,7131,2433
3.495E-06,,10000,9418,8021,6349,3846,,10000,9204,6873,7123,2430
3.505E-06,,10000,9416,8018,6345,3843,,10000,9200,6870,7116,2428
3.515E-06,,10000,9414,8017,6335,3839,,10000,9199,6869,7111,2426
3.525E-06,,10000,9409,8016,6322,3834,,10000,9195,6868,7100,2423
3.535E-06,,10000,9408,8014,6307,3831,,10000,9190,6866,7090,2420
3.545E-06,,10000,9407,8014,6300,3824,,10000,9188,6865,7083,2418
3.555E-06,,10000,9404,8014,6291,3814,,10000,9187,6863,7074,2410
3.565E-06,,10000,9403,8012,6281,3807,,10000,9183,6860,7057,2404
3.575E-06,,10000,9401,8009,6269,3806,,10000,9180,6858,7044,2404
3.585E-06,,10000,9398,8007,6259,3803,,10000,9179,6855,7035,2402
3.595E-06,,10000,9397,8007,6245,3801,,10000,9176,6853,7021,2399
3.605E-06,,10000,9397,8005,6236,3800,,10000,9174,6852,7008,2395
3.615E-06,,10000,9394,8005,6227,3797,,10000,9169,6850,6994,2393
3.625E-06,,10000,9390,8002,6220,3791,,10000,9167,6848,6984,2392
3.635E-06,,10000,9387,8001,6215,3790,,10000,9165,6847,6972,2388
3.645E-06,,10000,9386,8001,6203,3788,,10000,9162,6844,6959,2385
3.655E-06,,10000,9384,8001,6195,3779,,10000,9160,6842,6949,2382
3.665E-06,,10000,9380,8001,6189,3775,,10000,9158,6838,6942,2378
3.675E-06,,10000,9379,7999,6178,3771,,10000,9155,6835,6932,2374
3.685E-06,,10000,9376,7998,6171,3768,,10000,9154,6835,6926,2373
3.695E-06,,10000,9375,7997,6163,3763,,10000,9149,6831,6918,2369
3.705E-06,,10000,9371,7994,6159,3758,,10000,9147,6829,6902,2367
3.715E-06,,10000,9371,7994,6148,3752,,10000,9143,6824,6892,2364
3.725E-06,,10000,9368,7993,6134,3748,,10000,9143,6823,6882,2362
3.735E-06,,10000,9364,7993,6128,3745,,10000,9140,6822,6871,2356
3.745E-06,,10000,9364,7993,6117,3742,,10000,9139,6820,6863,2353
3.755E-06,,10000,9361,7992,6108,3737,,10000,9137,6818,6853,2348
3.765E-06,,10000,9358,7992,6102,3729,,10000,9135,6816,6844,2342
3.775E-06,,10000,9356,7989,6092,3723,,10000,9131,6816,6841,2340
3.785E-06,,10000,9355,7987,6085,3717,,10000,9128,6812,6836,2336
3.795E-06,,10000,9352,7985,6077,3710,,10000,9124,6810,6828,2331
3.805E-06,,10000,9352,7985,6073,3708,,10000,9120,6807,6821,2327
3.815E-06,,10000,9348,7983,6067,3706,,10000,9115,6806,6812,2324
3.825E-06,,10000,9346,7983,6055,3702,,10000,9114,6806,6803,2322
3.835E-06,,10000,9343,7982,6043,3697,,10000,9112,6802,6795,2318
3.845E-06,,10000,9342,7978,6038,3691,,10000,9107,6801,6782,2314
3.855E-06,,10000,9341,7974,6019,3685,,10000,9103,6799,6769,2308
3.865E-06,,10000,9337,7972,6012,3681,,10000,9100,6798,6758,2306
3.875E-06,,10000,9336,7970,6002,3678,,10000,9096,6796,6752,2302
3.885E-06,,10000,9336,7970,5991,3673,,10000,9093,6794,6741,2302
3.895E-06,,10000,9335,7969,5984,3671,,10000,9091,6793,6725,2301
3.905E-06,,10000,9331,7968,5974,3667,,10000,9086,6790,6717,2298
3.915E-06,,10000,9330,7967,5961,3664,,10000,9085,6789,6710,2297
3.925E-06,,10000,9329,7965,5951,3660,,10000,9082,6787,6697,2290
3.935E-06,,10000,9329,7965,5941,3653,,10000,9079,6784,6689,2287
3.945E-06,,10000,9328,7961,5933,3647,,10000,9078,6783,6677,2282
3.955E-06,,10000,9327,7959,5928,3645,,10000,9075,6783,6662,2281
3.965E-06,,10000,9326,7958,5921,3644,,10000,9072,6780,6651,2276
3.975E-06,,10000,9324,7957,5906,3638,,10000,9068,6778,6642,2270
3.985E-06,,10000,9322,7956,5901,3634,,10000,9066,6776,6632,2269
3.995E-06,,10000,9318,7955,5888,3631,,10000,9065,6772,6622,2263
4.005E-06,,10000,9314,7951,5887,3629,,10000,9062,6769,6607,2262
4.015E-06,,10000,9310,7950,5875,3625,,10000,9058,6769,6595,2262
4.025E-06,,10000,9307,7949,5869,3623,,10000,9054,6767,6583,2256
4.035E-06,,10000,9306,7947,5856,3620,,10000,9050,6760,6573,2254
4.045E-06,,10000,9303,7945,5846,3617,,10000,9047,6759,6566,2252
4.055E-06,,10000,9301,7944,5835,3614,,10000,9047,6758,6557,2245
4.065E-06,,10000,9301,7944,5827,3608,,10000,9046,6758,6544,2239
4.075E-06,,10000,9300,7944,5816,3605,,10000,9044,6757,6537,2237
4.085E-06,,10000,9299,7944,5809,3602,,10000,9037,6755,6527,2233
4.095E-06,,10000,9296,7943,5800,3598,,10000,9037,6753,6515,2230
4.105E-06,,10000,9293,7942,5793,3592,,10000,9036,6752,6505,2228
4.115E-06,,10000,9292,7940,5784,3587,,10000,9035,6749,6491,2226
4.125E-06,,10000,9290,7939,5780,3582,,10000,9031,6748,6479,2225
4.135E-06,,10000,9288,7937,5772,3579,,10000,9028,6747,6467,2219
4.145E-06,,10000,9284,7935,5768,3576,,10000,9026,6745,6457,2212
4.155E-06,,10000,9283,7933,5759,3569,,10000,9024,6745,6448,2207
4.165E-06,,10000,9283,7932,5748,3568,,10000,9022,6742,6442,2204
4.175E-06,,10000,9280,7930,5738,3562,,10000,9021,6741,6433,2198
4.185E-06,,10000,9277,7928,5733,3559,,10000,9015,6738,6426,2190
4.195E-06,,10000,9275,7925,5725,3558,,10000,9009,6735,6412,2185
4.205E-06,,10000,9271,7924,5716,3552,,10000,9001,6731,6402,2180
4.215E-06,,10000,9268,7923,5702,3548,,10000,8996,6723,6389,2177
4.225E-06,,10000,9266,7923,5690,3545,,10000,8994,6716,6383,2174
4.235E-06,,10000,9266,7920,5681,3542,,10000,8991,6714,6372,2171
4.245E-06,,10000,9264,7919,5677,3538,,10000,8986,6707,6359,2167
4.255E-06,,10000,9259,7919,5663,3533,,10000,8983,6703,6353,2164
4.265E-06,,10000,9258,7919,5657,3528,,10000,8981,6703,6346,2161
4.275E-06,,10000,9256,7916,5648,3525,,10000,8979,6702,6335,2158
4.285E-06,,10000,9256,7913,5634,3515,,10000,8976,6701,6324,2151
4.295E-06,,10000,9253,7913,5619,3512,,10000,8973,6700,6315,2148
4.305E-06,,10000,9252,7913,5614,3508,,10000,8971,6697,6297,2145
4.315E-06,,10000,9248,7912,5601,3502,,10000,8971,6697,6284,2144
4.325E-06,,10000,9245,7910,5593,3499,,10000,8966,6696,6270,2144
4.335E-06,,10000,9241,7909,5588,3496,,10000,8964,6696,6260,2142
4.345E-06,,10000,9238,7907,5582,3491,,10000,8960,6694,6247,2137
4.355E-06,,10000,9235,7907,5577,3485,,10000,8955,6691,6232,2134
4.365E-06,,10000,9233,7907,5571,3482,,10000,8954,6689,6225,2134
4.375E-06,,10000,9225,7906,5562,3475,,10000,8951,6689,6213,2131
4.385E-06,,10000,9224,7906,5553,3471,,10000,8947,6688,6197,2129
4.395E-06,,10000,9221,7906,5546,3470,,10000,8946,6685,6190,2129
4.405E-06,,10000,9219,7906,5536,3464,,10000,8944,6684,6181,2127
4.415E-06,,10000,9215,7905,5524,3459,,10000,8940,6682,6175,2125
4.425E-06,,10000,9214,7905,5512,3454,,10000,8939,6678,6169,2120
4.435E-06,,10000,9214,7902,5500,3449,,10000,8938,6676,6156,2116
4.445E-06,,10000,9210,7902,5486,3444,,10000,8936,6673,6147,2114
4.455E-06,,10000,9209,7902,5476,3441,,10000,8935,6672,6135,2112
4.465E-06,,10000,9208,7901,5463,3434,,10000,8933,6672,6126,2108
4.475E-06,,10000,9206,7900,5454,3429,,10000,8932,6670,6116,2107
4.485E-06,,10000,9203,7896,5449,3425,,10000,8932,6667,6109,2104
4.495E-06,,10000,9203,7895,5440,3418,,10000,8927,6666,6098,2099
4.505E-06,,10000,9202,7893,5433,3413,,10000,8922,6662,6087,2097
4.515E-06,,10000,9201,7889,5423,3408,,10000,8921,6661,6078,2096
4.525E-06,,10000,9197,7886,5414,3403,,10000,8919,6659,6065,2091
4.535E-06,,10000,9193,7885,5404,3399,,10000,8917,6659,6056,2086
4.545E-06,,10000,9190,7884,5395,3395,,10000,8916,6657,6033,2084
4.555E-06,,10000,9188,7882,5385,3393,,10000,8913,6655,6022,2082
4.565E-06,,10000,9187,7880,5380,3391,,10000,8913,6654,6017,2077
4.575E-06,,10000,9184,7880,5374,3389,,10000,8913,6654,6005,2074
4.585E-06,,10000,9182,7880,5362,3383,,10000,8909,6652,5998,2069
4.595E-06,,10000,9181,7879,5353,3381,,10000,8902,6648,5979,2066
4.605E-06,,10000,9178,7879,5347,3377,,10000,8900,6644,5971,2065
4.615E-06,,10000,9175,7878,5338,3375,,10000,8897,6641,5962,2058
4.625E-06,,10000,9173,7876,5328,3374,,10000,8897,6639,5948,2051
4.635E-06,,10000,9173,7875,5322,3370,,10000,8896,6636,5940,2043
4.645E-06,,10000,9169,7874,5313,3365,,10000,8892,6633,5931,2038
4.655E-06,,10000,9169,7873,5305,3362,,10000,8889,6630,5921,2034
4.665E-06,,10000,9166,7872,5299,3361,,10000,8885,6626,5910,2033
4.675E-06,,10000,9166,7871,5284,3355,,10000,8883,6625,5896,2029
4.685E-06,,10000,9165,7870,5281,3354,,10000,8877,6620,5880,2028
4.695E-06,,10000,9162,7868,5271,3350,,10000,8874,6617,5868,2027
4.705E-06,,10000,9160,7866,5266,3346,,10000,8872,6615,5858,2027
4.715E-06,,10000,9158,7865,5257,3345,,10000,8869,6614,5851,2023
4.725E-06,,10000,9155,7862,5247,3340,,10000,8866,6612,5842,2020
4.735E-06,,10000,9152,7861,5235,3335,,10000,8862,6610,5831,2018
4.745E-06,,10000,9150,7858,5226,3329,,10000,8859,6607,5818,2018
4.755E-06,,10000,9149,7857,5218,3324,,10000,8857,6603,5807,2012
4.765E-06,,10000,9148,7857,5217,3323,,10000,8855,6602,5802,2010
4.775E-06,,10000,9144,7855,5211,3321,,10000,8852,6600,5792,2008
4.785E-06,,10000,9140,7854,5195,3315,,10000,8850,6597,5781,2005
4.795E-06,,10000,9138,7852,5188,3313,,10000,8845,6597,5765,2000
4.805E-06,,10000,9137,7851,5175,3310,,10000,8842,6595,5754,1998
4.815E-06,,10000,9133,7851,5168,3304,,10000,8839,6595,5747,1995
4.825E-06,,10000,9133,7849,5153,3301,,10000,8835,6593,5742,1992
4.835E-06,,10000,9132,7848,5146,3296,,10000,8834,6591,5731,1989
4.845E-06,,10000,9130,7848,5138,3293,,10000,8833,6587,5718,1989
4.855E-06,,10000,9127,7845,5130,3287,,10000,8832,6585,5703,1987
4.865E-06,,10000,9123,7841,5124,3286,,10000,8831,6584,5696,1983
4.875E-06,,10000,9121,7840,5116,3282,,10000,8827,6582,5687,1978
4.885E-06,,10000,9117,7838,5108,3276,,10000,8823,6581,5676,1974
4.895E-06,,10000,9112,7836,5098,3272,,10000,8818,6579,5664,1972
4.905E-06,,10000,9112,7836,5091,3270,,10000,8813,6575,5657,1968
4.915E-06,,10000,9109,7836,5080,3266,,10000,8806,6571,5647,1964
4.925E-06,,10000,9104,7836,5072,3264,,10000,8805,6568,5642,1962
4.935E-06,,10000,9103,7835,5062,3261,,10000,8805,6568,5628,1960
4.945E-06,,10000,9101,7835,5052,3255,,10000,8804,6566,5610,1958
4.955E-06,,10000,9100,7835,5044,3250,,10000,8801,6562,5601,1956
4.965E-06,,10000,9097,7834,5030,3249,,10000,8794,6559,5595,1951
4.975E-06,,10000,9094,7833,5023,3244,,10000,8791,6558,5585,1948
4.985E-06,,10000,9092,7832,5014,3243,,10000,8785,6556,5572,1943
4.995E-06,,10000,9090,7829,5008,3241,,10000,8781,6554,5565,1940
5.005E-06,,10000,9089,7826,5003,3237,,10000,8777,6549,5553,1938
5.015E-06,,10000,9087,7823,4994,3232,,10000,8771,6547,5541,1936
5.025E-06,,10000,9086,7823,4984,3223,,10000,8768,6546,5529,1927
5.035E-06,,10000,9084,7822,4978,3218,,10000,8762,6544,5514,1923
5.045E-06,,10000,9082,7820,4965,3212,,10000,8759,6540,5499,1920
5.055E-06,,10000,9081,7820,4956,3207,,10000,8757,6538,5480,1914
5.065E-06,,10000,9081,7819,4947,3201,,10000,8756,6535,5470,1910
5.075E-06,,10000,9080,7819,4937,3200,,10000,8755,6533,5459,1910
5.085E-06,,10000,9079,7817,4925,3198,,10000,8752,6530,5449,1906
5.095E-06,,10000,9075,7813,4919,3196,,10000,8748,6528,5438,1905
5.105E-06,,10000,9074,7812,4912,3191,,10000,8744,6526,5430,1901
5.115E-06,,10000,9071,7809,4903,3189,,10000,8740,6525,5414,1899
5.125E-06,,10000,9065,7809,4895,3188,,10000,8737,6524,5405,1897
5.135E-06,,10000,9063,7807,4885,3182,,10000,8734,6521,5395,1896
5.145E-06,,10000,9059,7807,4879,3177,,10000,8728,6518,5386,1891
5.155E-06,,10000,9057,7805,4875,3176,,10000,8728,6518,5375,1887
5.165E-06,,10000,9054,7803,4869,3171,,10000,8723,6514,5364,1884
5.175E-06,,10000,9052,7802,4854,3165,,10000,8721,6510,5360,1879
5.185E-06,,10000,9049,7799,4841,3159,,10000,8719,6508,5347,1876
5.195E-06,,10000,9047,7797,4834,3156,,10000,8714,6506,5331,1873
5.205E-06,,10000,9046,7796,4825,3153,,10000,8711,6500,5316,1870
5.215E-06,,10000,9041,7794,4818,3151,,10000,8707,6495,5305,1867
5.225E-06,,10000,9039,7793,4809,3149,,10000,8703,6494,5291,1864
5.235E-06,,10000,9034,7793,4800,3146,,10000,8699,6491,5284,1862
5.245E-06,,10000,9030,7792,4794,3140,,10000,8698,6487,5268,1858
5.255E-06,,10000,9029,7791,4779,3134,,10000,8690,6485,5259,1855
5.265E-06,,10000,9025,7791,4768,3129,,10000,8688,6483,5251,1849
5.275E-06,,10000,9024,7788,4759,3123,,10000,8685,6480,5241,1847
5.285E-06,,10000,9023,7787,4748,3121,,10000,8682,6478,5223,1844
5.295E-06,,10000,9023,7787,4735,3119,,10000,8677,6474,5212,1839
5.305E-06,,10000,9020,7786,4727,3115,,10000,8675,6472,5198,1831
5.315E-06,,10000,9020,7785,4721,3114,,10000,8671,6469,5183,1828
5.325E-06,,10000,9016,7783,4710,3106,,10000,8665,6465,5172,1822
5.335E-06,,10000,9013,7781,4700,3103,,10000,8664,6465,5163,1817
5.345E-06,,10000,9010,7780,4692,3099,,10000,8662,6463,5150,1815
5.355E-06,,10000,9006,7780,4686,3097,,10000,8658,6462,5145,1811
5.365E-06,,10000,9002,7779,4681,3093,,10000,8654,6460,5128,1808
5.375E-06,,10000,9001,7779,4672,3086,,10000,8650,6458,5106,1804
5.385E-06,,10000,8999,7776,4662,3083,,10000,8646,6454,5097,1801
5.395E-06,,10000,8998,7776,4655,3081,,10000,8644,6451,5084,1799
5.405E-06,,10000,8995,7775,4650,3077,,10000,8642,6450,5072,1798
5.415E-06,,10000,8992,7773,4647,3074,,10000,8639,6447,5056,1797
5.425E-06,,10000,8991,7772,4639,3070,,10000,8637,6444,5038,1795
5.435E-06,,10000,8989,7769,4631,3069,,10000,8636,6443,5018,1791
5.445E-06,,10000,8984,7768,4620,3066,,10000,8633,6441,5002,1788
5.455E-06,,10000,8983,7767,4608,3059,,10000,8632,6437,4988,1784
5.465E-06,,10000,8981,7767,4601,3054,,10000,8626,6433,4981,1782
5.475E-06,,10000,8976,7767,4593,3048,,10000,8623,6432,4970,1778
5.485E-06,,10000,8974,7766,4586,3043,,10000,8619,6429,4952,1775
5.495E-06,,10000,8971,7765,4577,3043,,10000,8611,6425,4941,1773
5.505E-06,,10000,8969,7763,4564,3040,,10000,8603,6423,4926,1771
5.515E-06,,10000,8968,7763,4556,3035,,10000,8601,6421,4915,1767
5.525E-06,,10000,8967,7763,4549,3031,,10000,8597,6419,4905,1764
5.535E-06,,10000,8965,7762,4541,3028,,10000,8592,6416,4894,1763
5.545E-06,,10000,8962,7760,4534,3028,,10000,8587,6413,4887,1761
5.555E-06,,10000,8961,7759,4528,3026,,10000,8583,6411,4876,1759
5.565E-06,,10000,8960,7755,4526,3025,,10000,8580,6405,4870,1753
5.575E-06,,10000,8958,7755,4508,3022,,10000,8576,6402,4858,1748
5.585E-06,,10000,8958,7755,4503,3017,,10000,8568,6399,4849,1745
5.595E-06,,10000,8957,7754,4492,3012,,10000,8565,6395,4837,1743
5.605E-06,,10000,8954,7752,4482,3009,,10000,8559,6391,4827,1740
5.615E-06,,10000,8952,7749,4475,3004,,10000,8554,6389,4813,1736
5.625E-06,,10000,8952,7749,4469,3001,,10000,8551,6386,4801,1725
5.635E-06,,10000,8949,7746,4457,2998,,10000,8550,6385,4785,1725
5.645E-06,,10000,8946,7743,4448,2996,,10000,8543,6383,4771,1721
5.655E-06,,10000,8943,7742,4439,2991,,10000,8541,6379,4762,1719
5.665E-06,,10000,8940,7738,4430,2985,,10000,8538,6379,4750,1714
5.675E-06,,10000,8938,7738,4418,2982,,10000,8532,6374,4737,1712
5.685E-06,,10000,8936,7736,4412,2978,,10000,8526,6369,4725,1707
5.695E-06,,10000,8933,7736,4404,2975,,10000,8522,6367,4714,1704
5.705E-06,,10000,8930,7736,4392,2970,,10000,8518,6366,4704,1700
5.715E-06,,10000,8929,7735,4391,2970,,10000,8513,6360,4699,1697
5.725E-06,,10000,8929,7733,4379,2965,,10000,8510,6357,4689,1694
5.735E-06,,10000,8926,7730,4372,2963,,10000,8505,6353,4684,1692
5.745E-06,,10000,8925,7728,4370,2958,,10000,8501,6351,4675,1691
5.755E-06,,10000,8924,7726,4366,2955,,10000,8493,6349,4664,1687
5.765E-06,,10000,8920,7724,4357,2954,,10000,8489,6348,4653,1683
5.775E-06,,10000,8918,7722,4347,2950,,10000,8487,6347,4644,1678
5.785E-06,,10000,8912,7722,4338,2947,,10000,8482,6343,4631,1675
5.795E-06,,10000,8910,7721,4333,2944,,10000,8478,6338,4614,1672
5.805E-06,,10000,8907,7720,4325,2940,,10000,8470,6336,4599,1669
5.815E-06,,10000,8906,7718,4308,2935,,10000,8468,6334,4587,1665
5.825E-06,,10000,8902,7715,4300,2933,,10000,8467,6332,4574,1662
5.835E-06,,10000,8897,7715,4293,2929,,10000,8463,6330,4567,1658
5.845E-06,,10000,8896,7715,4286,2927,,10000,8462,6329,4560,1655
5.855E-06,,10000,8892,7712,4279,2925,,10000,8460,6324,4544,1651
5.865E-06,,10000,8888,7709,4272,2920,,10000,8458,6318,4531,1648
5.875E-06,,10000,8885,7707,4271,2915,,10000,8455,6315,4518,1644
5.885E-06,,10000,8882,7706,4264,2915,,10000,8448,6312,4499,1640
5.895E-06,,10000,8876,7703,4249,2913,,10000,8445,6311,4484,1640
5.905E-06,,10000,8872,7702,4240,2910,,10000,8438,6308,4470,1636
5.915E-06,,10000,8870,7702,4235,2904,,10000,8431,6301,4463,1635
5.925E-06,,10000,8866,7701,4228,2902,,10000,8428,6298,4457,1631
5.935E-06,,10000,8864,7700,4221,2900,,10000,8426,6295,4440,1626
5.945E-06,,10000,8862,7699,4211,2898,,10000,8426,6292,4427,1619
5.955E-06,,10000,8861,7698,4202,2892,,10000,8419,6287,4416,1617
5.965E-06,,10000,8860,7694,4196,2886,,10000,8416,6282,4406,1611
5.975E-06,,10000,8858,7690,4189,2882,,10000,8413,6279,4396,1607
5.985E-06,,10000,8856,7687,4182,2877,,10000,8409,6275,4388,1606
5.995E-06,,10000,8853,7684,4180,2875,,10000,8406,6269,4372,1604
6.005E-06,,10000,8849,7683,4175,2870,,10000,8399,6265,4366,1599
6.015E-06,,10000,8846,7683,4171,2866,,10000,8393,6258,4357,1595
6.025E-06,,10000,8844,7683,4166,2864,,10000,8388,6253,4349,1588
6.035E-06,,10000,8839,7681,4158,2858,,10000,8380,6249,4336,1585
6.045E-06,,10000,8837,7678,4150,2853,,10000,8371,6246,4321,1584
6.055E-06,,10000,8836,7676,4141,2844,,10000,8368,6243,4316,1583
6.065E-06,,10000,8833,7675,4133,2840,,10000,8367,6241,4306,1577
6.075E-06,,10000,8830,7674,4129,2838,,10000,8361,6235,4284,1575
6.085E-06,,10000,8828,7674,4119,2836,,10000,8356,6229,4269,1566
6.095E-06,,10000,8827,7673,4115,2833,,10000,8354,6223,4256,1561
6.105E-06,,10000,8826,7668,4112,2830,,10000,8351,6217,4244,1555
6.115E-06,,10000,8823,7668,4108,2826,,10000,8351,6216,4232,1549
6.125E-06,,10000,8821,7665,4099,2819,,10000,8346,6213,4217,1548
6.135E-06,,10000,8820,7663,4092,2817,,10000,8345,6213,4207,1542
6.145E-06,,10000,8819,7663,4081,2813,,10000,8340,6209,4201,1537
6.155E-06,,10000,8816,7662,4076,2809,,10000,8335,6205,4186,1536
6.165E-06,,10000,8813,7660,4068,2806,,10000,8332,6203,4175,1534
6.175E-06,,10000,8812,7659,4065,2803,,10000,8328,6201,4161,1526
6.185E-06,,10000,8810,7656,4052,2799,,10000,8322,6199,4151,1520
6.195E-06,,10000,8809,7655,4047,2798,,10000,8319,6193,4138,1518
6.205E-06,,10000,8808,7651,4036,2794,,10000,8314,6189,4125,1517
6.215E-06,,10000,8807,7651,4027,2789,,10000,8310,6187,4109,1510
6.225E-06,,10000,8804,7651,4020,2785,,10000,8305,6184,4093,1509
6.235E-06,,10000,8800,7650,4014,2783,,10000,8301,6181,4079,1504
6.245E-06,,10000,8794,7647,4008,2781,,10000,8294,6177,4068,1497
6.255E-06,,10000,8793,7646,4001,2775,,10000,8293,6176,4060,1491
6.265E-06,,10000,8787,7643,3997,2770,,10000,8292,6175,4050,1487
6.275E-06,,10000,8785,7641,3990,2765,,10000,8284,6170,4033,1481
6.285E-06,,10000,8782,7640,3981,2762,,10000,8277,6165,4022,1477
6.295E-06,,10000,8780,7638,3975,2755,,10000,8269,6159,4010,1474
6.305E-06,,10000,8777,7635,3971,2753,,10000,8266,6158,3998,1469
6.315E-06,,10000,8774,7632,3965,2752,,10000,8264,6154,3988,1468
6.325E-06,,10000,8773,7628,3957,2751,,10000,8262,6148,3977,1464
6.335E-06,,10000,8772,7627,3953,2747,,10000,8258,6147,3968,1461
6.345E-06,,10000,8772,7626,3951,2744,,10000,8255,6144,3960,1457
6.355E-06,,10000,8768,7620,3939,2740,,10000,8250,6141,3942,1453
6.365E-06,,10000,8764,7619,3934,2738,,10000,8246,6140,3932,1450
6.375E-06,,10000,8763,7618,3927,2735,,10000,8244,6137,3922,1446
6.385E-06,,10000,8761,7616,3920,2731,,10000,8233,6134,3906,1441
6.395E-06,,10000,8757,7613,3916,2723,,10000,8226,6129,3898,1437
6.405E-06,,10000,8754,7611,3914,2720,,10000,8222,6124,3887,1432
6.415E-06,,10000,8754,7610,3909,2719,,10000,8216,6120,3873,1427
6.425E-06,,10000,8752,7610,3903,2718,,10000,8212,6113,3862,1422
6.435E-06,,10000,8751,7607,3898,2715,,10000,8210,6110,3850,1414
6.445E-06,,10000,8747,7606,3890,2710,,10000,8207,6106,3839,1410
6.455E-06,,10000,8745,7606,3882,2707,,10000,8202,6104,3828,1409
6.465E-06,,10000,8741,7605,3874,2704,,10000,8196,6100,3818,1405
6.475E-06,,10000,8739,7604,3869,2700,,10000,8195,6096,3810,1403
6.485E-06,,10000,8737,7603,3861,2697,,10000,8191,6092,3799,1402
6.495E-06,,10000,8733,7601,3853,2691,,10000,8186,6091,3784,1400
6.505E-06,,10000,8732,7599,3848,2686,,10000,8184,6088,3770,1396
6.515E-06,,10000,8730,7599,3840,2685,,10000,8181,6084,3759,1389
6.525E-06,,10000,8728,7598,3834,2682,,10000,8176,6079,3744,1388
6.535E-06,,10000,8725,7596,3830,2679,,10000,8168,6075,3731,1384
6.545E-06,,10000,8721,7594,3824,2677,,10000,8166,6070,3717,1379
6.555E-06,,10000,8720,7590,3821,2677,,10000,8163,6066,3708,1379
6.565E-06,,10000,8719,7588,3812,2676,,10000,8161,6062,3695,1374
6.575E-06,,10000,8717,7586,3804,2674,,10000,8148,6056,3678,1373
6.585E-06,,10000,8714,7581,3800,2672,,10000,8140,6051,3668,1368
6.595E-06,,10000,8712,7580,3796,2667,,10000,8136,6045,3656,1365
6.605E-06,,10000,8706,7578,3791,2664,,10000,8128,6040,3641,1362
6.615E-06,,10000,8704,7578,3785,2662,,10000,8126,6037,3631,1360
6.625E-06,,10000,8701,7578,3782,2659,,10000,8115,6033,3621,1353
6.635E-06,,10000,8701,7576,3779,2655,,10000,8110,6033,3601,1349
6.645E-06,,10000,8700,7573,3775,2652,,10000,8103,6026,3594,1348
6.655E-06,,10000,8698,7573,3771,2649,,10000,8101,6024,3586,1341
6.665E-06,,10000,8693,7572,3770,2647,,10000,8094,6022,3576,1338
6.675E-06,,10000,8692,7572,3763,2645,,10000,8087,6019,3565,1334
6.685E-06,,10000,8691,7569,3756,2644,,10000,8083,6019,3546,1331
6.695E-06,,10000,8686,7568,3753,2641,,10000,8082,6015,3533,1323
6.705E-06,,10000,8684,7567,3750,2636,,10000,8077,6014,3516,1319
6.715E-06,,10000,8679,7566,3746,2631,,10000,8074,6010,3503,1318
6.725E-06,,10000,8675,7566,3739,2627,,10000,8066,6004,3489,1315
6.735E-06,,10000,8673,7563,3736,2622,,10000,8064,6001,3482,1309
6.745E-06,,10000,8672,7559,3728,2617,,10000,8062,5997,3469,1307
6.755E-06,,10000,8667,7557,3720,2615,,10000,8059,5996,3458,1303
6.765E-06,,10000,8661,7556,3714,2610,,10000,8053,5987,3450,1301
6.775E-06,,10000,8658,7556,3710,2608,,10000,8048,5980,3433,1299
6.785E-06,,10000,8656,7555,3704,2606,,10000,8044,5974,3420,1291
6.795E-06,,10000,8655,7555,3698,2603,,10000,8038,5968,3409,1287
6.805E-06,,10000,8655,7553,3693,2599,,10000,8034,5965,3401,1283
6.815E-06,,10000,8652,7552,3687,2596,,10000,8030,5962,3394,1280
6.825E-06,,10000,8646,7549,3680,2594,,10000,8021,5960,3386,1275
6.835E-06,,10000,8643,7546,3672,2591,,10000,8014,5957,3379,1271
6.845E-06,,10000,8638,7543,3664,2589,,10000,8007,5955,3372,1269
6.855E-06,,10000,8636,7540,3658,2588,,10000,7995,5944,3361,1264
6.865E-06,,10000,8633,7540,3652,2587,,10000,7990,5937,3343,1256
6.875E-06,,10000,8631,7538,3644,2583,,10000,7986,5933,3334,1252
6.885E-06,,10000,8630,7537,3631,2581,,10000,7983,5930,3319,1249
6.895E-06,,10000,8629,7536,3627,2580,,10000,7977,5923,3306,1247
6.905E-06,,10000,8627,7536,3625,2576,,10000,7971,5919,3298,1242
6.915E-06,,10000,8624,7535,3622,2575,,10000,7961,5913,3287,1238
