#  1,3,#Table:,2 mTorr,1 mTorr,0.5 mTorr,0.1 mTorr
# ,P=2mTorr, #x(mm)/E(MeV) ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg 
# Energy (eV),Intensity (a.u.),-5E-09,660244,799074,889017,975894
1.8792,947.285805672997,4.415E-06,0,0,0,0
1.8744,993.617403711217,4.425E-06,0,0,0,0
1.8696,946.72759364844,4.435E-06,0,0,0,0
1.8648,943.936533525656,4.445E-06,0,0,0,0
1.86,983.569587269193,4.455E-06,0,0,0,0
1.8552,975.754618925397,4.465E-06,0,0,0,0
1.8504,979.103891072738,4.475E-06,0,0,0,0
1.8456,955.100774016793,4.485E-06,0,0,0,0
1.8408,1025.99370113552,4.495E-06,0,0,0,0
1.836,1028.7847612583,4.505E-06,0,0,0,0
1.8312,971.847134753499,4.515E-06,0,0,0,0
1.8264,993.617403711217,4.525E-06,0,0,0,0
1.8216,995.850251809444,4.535E-06,0,0,0,0
1.8168,998.083099907672,4.545E-06,0,0,0,0
1.812,973.52177082717,4.555E-06,0,0,0,0
1.8072,985.802435367421,4.565E-06,0,0,0,0
1.8024,1028.22654923374,4.575E-06,0,0,0,0
1.7976,1007.01449230058,4.585E-06,0,0,0,0
1.7928,1038.83257770032,4.595E-06,0,0,0,0
1.788,1029.34297328286,4.605E-06,0,0,0,0
1.7832,939.470837329201,4.615E-06,0,0,0,0
1.7784,955.100774016793,4.625E-06,0,0,0,0
1.7736,1008.1309163497,4.635E-06,0,0,0,0
1.7688,967.381438557044,4.645E-06,0,0,0,0
1.764,1037.15794162665,4.655E-06,0,0,0,0
1.7592,1003.10700812868,4.665E-06,0,0,0,0
1.7544,969.614286655272,4.675E-06,0,0,0,0
1.7496,952.309713894009,4.685E-06,0,0,0,0
1.7448,1014.27124861982,4.695E-06,0,0,0,0
1.74,966.26501450793,4.705E-06,0,0,0,0
1.7352,988.593495490205,4.715E-06,0,0,0,0
1.7304,948.960441746668,4.725E-06,0,0,0,0
1.7256,1007.57270432514,4.735E-06,0,0,0,0
1.7208,1000.87416003046,4.745E-06,0,0,0,0
1.716,960.124682237805,4.755E-06,0,0,0,0
1.7112,994.733827760331,4.765E-06,0,0,0,0
1.7064,996.966675858558,4.775E-06,0,0,0,0
1.7016,1019.29515684083,4.785E-06,0,0,0,0
1.6968,998.083099907672,4.795E-06,0,0,0,0
1.692,1028.7847612583,4.805E-06,0,0,0,0
1.6872,1013.71303659526,4.815E-06,0,0,0,0
1.6824,976.871042974511,4.825E-06,0,0,0,0
1.6776,1003.66522015324,4.835E-06,0,0,0,0
1.6728,1006.45628027602,4.845E-06,0,0,0,0
1.668,1025.43548911096,4.855E-06,0,0,0,0
1.6632,1000.3159480059,4.865E-06,0,0,0,0
1.6584,983.569587269193,4.875E-06,0,0,0,0
1.6536,1010.92197647248,4.885E-06,0,0,0,0
1.6488,996.966675858558,4.895E-06,0,0,0,0
1.644,1017.62052076716,4.905E-06,0,0,0,0
1.6392,964.032166409703,4.915E-06,0,0,0,0
1.6344,999.757735981342,4.925E-06,0,0,0,0
1.6296,1019.29515684083,4.935E-06,0,0,0,0
1.6248,999.757735981342,4.945E-06,0,0,0,0
1.62,1023.76085303729,4.955E-06,0,0,0,0
1.6152,967.939650581601,4.965E-06,0,0,0,0
1.6104,1037.71615365121,4.975E-06,0,0,0,0
1.6056,971.847134753499,4.985E-06,0,0,0,0
1.6008,1000.87416003046,4.995E-06,0,0,0,0
1.596,1004.2234321778,5.005E-06,0,0,0,0
1.5912,982.45316322008,,,,,
1.5864,1053.3460903388,,,,,
1.5816,1020.9697929145,,,,,
1.5768,1051.11324224057,,,,,
1.572,1014.27124861982,,,,,
1.5672,1039.94900174944,,,,,
1.5624,1000.3159480059,,,,,
1.5576,952.309713894009,,,,,
1.5528,1018.73694481628,,,,,
1.548,1004.78164420235,,,,,
1.5432,1003.10700812868,,,,,
1.5384,970.730710704385,,,,,
1.5336,1012.03840052159,,,,,
1.5288,1004.2234321778,,,,,
1.524,1018.73694481628,,,,,
1.5192,1004.2234321778,,,,,
1.5144,1096.88662825424,,,,,
1.5096,995.292039784887,,,,,
1.5048,1079.58205549297,,,,,
1.5,983.569587269193,,,,,
1.4952,1001.99058407957,,,,,
1.4904,1004.2234321778,,,,,
1.4856,1032.13403340564,,,,,
1.4808,989.709919539319,,,,,
1.476,1014.82946064438,,,,,
1.4712,1003.66522015324,,,,,
1.4664,1072.32529917373,,,,,
1.4616,1008.1309163497,,,,,
1.4568,1082.37311561576,,,,,
1.452,1013.15482457071,,,,,
1.4472,1050.55503021602,,,,,
1.4424,1033.25045745475,,,,,
1.4376,1010.36376444792,,,,,
1.4328,1041.62363782311,,,,,
1.428,1057.2535745107,,,,,
1.4232,1033.25045745475,,,,,
1.4184,1052.22966628969,,,,,
1.4136,952.309713894009,,,,,
1.4088,1043.29827389678,,,,,
1.404,1022.08621696362,,,,,
1.3992,965.706802483374,,,,,
1.3944,960.682894262362,,,,,
1.3896,1062.27748273171,,,,,
1.3848,1042.18184984766,,,,,
1.38,1044.41469794589,,,,,
1.3752,1057.81178653526,,,,,
1.3704,1000.87416003046,,,,,
1.3656,952.867925918566,,,,,
1.3608,1017.62052076716,,,,,
1.356,957.891834139578,,,,,
1.3512,986.918859416534,,,,,
1.3464,1075.11635929652,,,,,
1.3416,990.826343588432,,,,,
1.3368,1003.66522015324,,,,,
1.332,1046.64754604412,,,,,
1.3272,1010.92197647248,,,,,
1.3224,1016.50409671805,,,,,
1.3176,1004.78164420235,,,,,
1.3128,1027.11012518463,,,,,
1.308,983.011375244636,,,,,
1.3032,1023.20264101273,,,,,
1.2984,1014.27124861982,,,,,
1.2936,1092.42093205778,,,,,
1.2888,1041.62363782311,,,,,
1.284,1013.15482457071,,,,,
1.2792,1019.29515684083,,,,,
1.2744,988.593495490205,,,,,
1.2696,1042.74006187222,,,,,
1.2648,1047.76397009323,,,,,
1.26,1021.52800493906,,,,,
1.2552,1023.76085303729,,,,,
1.2504,985.802435367421,,,,,
1.2456,985.244223342864,,,,,
1.2408,1038.83257770032,,,,,
1.236,1039.39078972488,,,,,
1.2312,1070.65066310006,,,,,
1.2264,986.918859416534,,,,,
1.2216,1047.20575806868,,,,,
1.2168,1009.24734039881,,,,,
1.212,1065.0685428545,,,,,
1.2072,1020.9697929145,,,,,
1.2024,998.083099907672,,,,,
1.1976,1002.54879610413,,,,,
1.1928,1058.92821058437,,,,,
1.188,1017.62052076716,,,,,
1.1832,1065.62675487905,,,,,
1.1784,1012.59661254615,,,,,
1.1736,1017.62052076716,,,,,
1.1688,1012.03840052159,,,,,
1.164,994.175615735774,,,,,
1.1592,1047.20575806868,,,,,
1.1544,969.614286655272,,,,,
1.1496,1017.06230874261,,,,,
1.1448,1036.5997296021,,,,,
1.14,1068.97602702639,,,,,
1.1352,1027.11012518463,,,,,
1.1304,1024.8772770864,,,,,
1.1256,1001.99058407957,,,,,
1.1208,1062.27748273171,,,,,
1.116,1023.20264101273,,,,,
1.1112,1033.25045745475,,,,,
1.1064,1012.59661254615,,,,,
1.1016,1019.85336886539,,,,,
1.0968,1033.80866947931,,,,,
1.092,1054.46251438791,,,,,
1.0872,1056.13715046159,,,,,
1.0824,1069.53423905095,,,,,
1.0776,1058.36999855981,,,,,
1.0728,1072.88351119829,,,,,
1.068,1040.50721377399,,,,,
1.0632,1003.66522015324,,,,,
1.0584,965.148590458817,,,,,
1.0536,1055.57893843703,,,,,
1.0488,1036.04151757754,,,,,
1.044,1038.83257770032,,,,,
1.0392,1019.29515684083,,,,,
1.0344,988.593495490205,,,,,
1.0296,1070.65066310006,,,,,
1.0248,975.19640690084,,,,,
1.02,993.05919168666,,,,,
1.0152,1048.32218211779,,,,,
1.0104,1020.9697929145,,,,,
1.0056,1018.17873279172,,,,,
1.0008,1007.57270432514,,,,,
0.996,1039.94900174944,,,,,
0.9912,1019.85336886539,,,,,
0.9864,1017.06230874261,,,,,
0.9816,1023.76085303729,,,,,
0.9768,1034.92509352842,,,,,
0.972,1051.11324224057,,,,,
0.9672,1091.30450800867,,,,,
0.9624,1013.15482457071,,,,,
0.9576,1097.44484027879,,,,,
0.9528,966.823226532487,,,,,
0.948,1123.68080543297,,,,,
0.9432,1024.8772770864,,,,,
0.9384,1079.58205549297,,,,,
0.9336,1016.50409671805,,,,,
0.9288,1009.24734039881,,,,,
0.924,1073.99993524741,,,,,
0.9192,1059.48642260893,,,,,
0.9144,1051.11324224057,,,,,
0.9096,980.778527146409,,,,,
0.9048,1023.20264101273,,,,,
0.9,1002.54879610413,,,,,
0.8952,1025.43548911096,,,,,
0.8904,1024.31906506184,,,,,
0.8856,1053.90430236336,,,,,
0.8808,1090.74629598411,,,,,
0.876,1040.50721377399,,,,,
0.8712,1001.43237205501,,,,,
0.8664,1044.41469794589,,,,,
0.8616,1036.04151757754,,,,,
0.8568,1084.60596371399,,,,,
0.852,1039.94900174944,,,,,
0.8472,1008.1309163497,,,,,
0.8424,1028.22654923374,,,,,
0.8376,1045.53112199501,,,,,
0.8328,1051.11324224057,,,,,
0.828,1017.06230874261,,,,,
0.8232,1040.50721377399,,,,,
0.8184,1009.80555242337,,,,,
0.8136,1000.3159480059,,,,,
0.8088,1057.81178653526,,,,,
0.804,1097.44484027879,,,,,
0.7992,995.850251809444,,,,,
0.7944,1018.73694481628,,,,,
0.7896,994.175615735774,,,,,
0.7848,1034.36688150387,,,,,
0.78,1077.34920739475,,,,,
0.7752,1087.39702383677,,,,,
0.7704,1086.28059978766,,,,,
0.7656,1049.4386061669,,,,,
0.7608,1015.94588469349,,,,,
0.756,1086.83881181221,,,,,
0.7512,1070.65066310006,,,,,
0.7464,1111.95835291727,,,,,
0.7416,955.100774016793,,,,,
0.7368,1037.71615365121,,,,,
0.732,1034.36688150387,,,,,
0.7272,1100.79411242613,,,,,
0.7224,1031.57582138108,,,,,
0.7176,1115.30762506461,,,,,
0.7128,1120.88974531018,,,,,
0.708,1025.99370113552,,,,,
0.7032,1045.53112199501,,,,,
0.6984,1032.13403340564,,,,,
0.6936,1020.9697929145,,,,,
0.6888,1085.7223877631,,,,,
0.684,1091.30450800867,,,,,
0.6792,1107.49265672082,,,,,
0.6744,1053.3460903388,,,,,
0.6696,1090.74629598411,,,,,
0.6648,1055.57893843703,,,,,
0.66,1048.88039414235,,,,,
0.6552,1054.46251438791,,,,,
0.6504,1061.1610586826,,,,,
0.6456,1019.29515684083,,,,,
0.6408,1054.46251438791,,,,,
0.636,1034.36688150387,,,,,
0.6312,1055.57893843703,,,,,
0.6264,1061.71927070715,,,,,
0.6216,1067.85960297728,,,,,
0.616800000000001,1047.76397009323,,,,,
0.612,1013.15482457071,,,,,
0.6072,1072.88351119829,,,,,
0.6024,1020.41158088995,,,,,
0.5976,1038.83257770032,,,,,
0.592800000000001,1046.64754604412,,,,,
0.588,1007.01449230058,,,,,
0.5832,1000.87416003046,,,,,
0.5784,1013.71303659526,,,,,
0.5736,1091.86272003323,,,,,
0.5688,978.545679048182,,,,,
0.564,1086.28059978766,,,,,
0.5592,1081.8149035912,,,,,
0.5544,1052.78787831424,,,,,
0.5496,983.569587269193,,,,,
0.5448,1028.22654923374,,,,,
0.54,1064.51033082994,,,,,
0.5352,1036.5997296021,,,,,
0.5304,1081.8149035912,,,,,
0.5256,1042.18184984766,,,,,
0.5208,1012.03840052159,,,,,
0.516,1058.36999855981,,,,,
0.5112,1029.90118530741,,,,,
0.5064,1076.79099537019,,,,,
0.5016,1047.76397009323,,,,,
0.4968,1080.69847954209,,,,,
0.492,1023.76085303729,,,,,
0.4872,1039.39078972488,,,,,
0.4824,1068.97602702639,,,,,
0.4776,1033.25045745475,,,,,
0.4728,1079.02384346842,,,,,
0.468,1070.65066310006,,,,,
0.4632,1062.83569475627,,,,,
0.4584,1013.15482457071,,,,,
0.4536,1018.17873279172,,,,,
0.4488,1044.97290997045,,,,,
0.444,1012.59661254615,,,,,
0.439200000000001,1091.30450800867,,,,,
0.4344,1014.82946064438,,,,,
0.4296,965.148590458817,,,,,
0.4248,1020.9697929145,,,,,
0.42,1058.36999855981,,,,,
0.4152,1042.74006187222,,,,,
0.4104,1048.32218211779,,,,,
0.4056,1010.36376444792,,,,,
0.4008,1017.06230874261,,,,,
0.396,1000.87416003046,,,,,
0.3912,1029.34297328286,,,,,
0.3864,1012.59661254615,,,,,
0.3816,1041.06542579855,,,,,
0.3768,994.175615735774,,,,,
0.372,1034.92509352842,,,,,
0.3672,962.915742360589,,,,,
0.3624,1025.43548911096,,,,,
0.3576,1007.57270432514,,,,,
0.3528,1008.1309163497,,,,,
0.348,1079.58205549297,,,,,
0.3432,1028.7847612583,,,,,
0.3384,961.241106286919,,,,,
0.3336,1035.48330555298,,,,,
0.3288,1014.82946064438,,,,,
0.324,1020.41158088995,,,,,
0.3192,994.733827760331,,,,,
0.3144,1039.94900174944,,,,,
0.3096,1019.29515684083,,,,,
0.3048,1019.85336886539,,,,,
0.3,996.966675858558,,,,,
0.2952,1031.57582138108,,,,,
0.2904,1087.95523586133,,,,,
0.2856,1032.6922454302,,,,,
0.2808,1048.88039414235,,,,,
0.276,999.757735981342,,,,,
0.2712,961.799318311476,,,,,
0.2664,996.408463834001,,,,,
0.2616,1062.27748273171,,,,,
0.2568,1080.14026751753,,,,,
0.252,1049.99681819146,,,,,
0.2472,1082.37311561576,,,,,
0.2424,1028.22654923374,,,,,
0.2376,1061.71927070715,,,,,
0.2328,1075.67457132108,,,,,
0.228,1031.57582138108,,,,,
0.2232,1070.09245107551,,,,,
0.2184,1057.2535745107,,,,,
0.2136,991.384555612989,,,,,
0.2088,1000.87416003046,,,,,
0.204,1063.95211880538,,,,,
0.1992,1025.43548911096,,,,,
0.1944,1044.41469794589,,,,,
0.1896,983.011375244636,,,,,
0.1848,1003.10700812868,,,,,
0.18,1045.53112199501,,,,,
0.1752,1019.29515684083,,,,,
0.1704,1075.11635929652,,,,,
0.1656,1098.00305230335,,,,,
0.1608,1028.22654923374,,,,,
0.156,1001.99058407957,,,,,
0.1512,979.103891072738,,,,,
0.1464,1043.29827389678,,,,,
0.1416,1075.67457132108,,,,,
0.1368,1007.01449230058,,,,,
0.132,1057.2535745107,,,,,
0.1272,1022.08621696362,,,,,
0.1224,1017.06230874261,,,,,
0.1176,1028.22654923374,,,,,
0.1128,1050.55503021602,,,,,
0.108,1083.48953966487,,,,,
0.1032,1097.44484027879,,,,,
0.0984,1111.40014089272,,,,,
0.0936,976.312830949954,,,,,
0.0888,1031.57582138108,,,,,
0.084000000000001,1052.78787831424,,,,,
0.0792,1043.29827389678,,,,,
0.0744,1043.29827389678,,,,,
0.0696,1065.0685428545,,,,,
0.0648,1072.88351119829,,,,,
0.060000000000001,1062.27748273171,,,,,
0.0552,1072.32529917373,,,,,
0.0504,1132.61219782588,,,,,
0.0456,1016.50409671805,,,,,
0.0408,986.360647391978,,,,,
0.036000000000001,1033.25045745475,,,,,
0.0312,1049.4386061669,,,,,
0.0264,986.918859416534,,,,,
0.0216,1028.7847612583,,,,,
0.0168,1018.73694481628,,,,,
0.012000000000001,1019.85336886539,,,,,
0.0072,1021.52800493906,,,,,
0.0024,1068.41781500184,,,,,
