#  1,3,#Table:,2 mTorr,1 mTorr,0.5 mTorr,0.1 mTorr
# ,P=2mTorr, #x(mm)/E(MeV) ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg 
# Energy (eV),Intensity (a.u.),-5E-09,660244,799074,889017,975894
3.5352,32.3762974242981,9.65E-07,538513,742939,863454,971180
3.5304,31.8180853997412,9.75E-07,537899,742525,863207,971118
3.5256,26.7941771787294,9.85E-07,537285,742100,862981,971053
3.5208,24.0031170559451,9.95E-07,536666,741699,862709,971009
3.516,27.9106012278432,1.005E-06,536017,741286,862468,970959
3.5112,21.7702689577177,1.015E-06,535425,740881,862228,970907
3.5064,27.9106012278432,1.025E-06,534818,740462,861994,970857
3.5016,41.8659018417648,1.035E-06,534205,740042,861716,970822
3.4968,31.8180853997412,1.045E-06,533622,739607,861467,970779
3.492,25.6777531296157,1.055E-06,532964,739169,861235,970727
3.4872,46.3315980382197,1.065E-06,532315,738731,860961,970666
3.4824,29.5852373015138,1.075E-06,531707,738303,860719,970628
3.4776,35.1673575470824,1.085E-06,531086,737844,860468,970568
3.4728,32.3762974242981,1.095E-06,530442,737444,860207,970516
3.468,41.8659018417648,1.105E-06,529806,737015,859960,970457
3.4632,32.3762974242981,1.115E-06,529159,736572,859726,970406
3.4584,38.5166296944236,1.125E-06,528551,736152,859451,970359
3.4536,39.0748417189804,1.135E-06,527932,735727,859219,970318
3.4488,40.1912657680942,1.145E-06,527273,735310,858970,970264
3.444,41.8659018417648,1.155E-06,526650,734879,858714,970210
3.4392,44.0987499399922,1.165E-06,526013,734458,858449,970147
3.4344,34.6091455225255,1.175E-06,525362,733996,858198,970098
3.4296,31.8180853997412,1.185E-06,524659,733571,857922,970050
3.4248,38.5166296944236,1.195E-06,524002,733105,857648,970007
3.42,36.2837815961961,1.205E-06,523360,732624,857393,969951
3.4152,37.4002056453098,1.215E-06,522770,732182,857140,969895
3.4104,38.5166296944236,1.225E-06,522122,731672,856878,969852
3.4056,46.3315980382197,1.235E-06,521436,731197,856612,969803
3.4008,48.5644461364471,1.245E-06,520735,730734,856373,969753
3.396,53.030142332902,1.255E-06,520075,730281,856096,969685
3.3912,63.0779587749256,1.265E-06,519441,729818,855817,969615
3.3864,59.1704746030275,1.275E-06,518827,729326,855536,969562
3.3816,54.1465663820158,1.285E-06,518167,728836,855270,969496
3.3768,45.7733860136628,1.295E-06,517475,728373,854995,969431
3.372,61.9615347258118,1.305E-06,516782,727901,854739,969380
3.3672,59.7286866275844,1.315E-06,516099,727434,854465,969319
3.3624,65.310806873153,1.325E-06,515430,726954,854167,969257
3.3576,57.4958385293569,1.335E-06,514788,726452,853912,969209
3.3528,53.5883543574589,1.345E-06,514080,725968,853630,969129
3.348,55.2629904311295,1.355E-06,513346,725485,853356,969061
3.3432,56.9376265048001,1.365E-06,512595,724963,853044,969002
3.3384,66.4272309222667,1.375E-06,511902,724478,852768,968935
3.3336,66.9854429468236,1.385E-06,511231,723977,852492,968871
3.3288,58.6122625784707,1.395E-06,510588,723468,852217,968805
3.324,55.2629904311295,1.405E-06,509833,722972,851941,968744
3.3192,66.4272309222667,1.415E-06,509121,722465,851630,968686
3.3144,88.1974998799844,1.425E-06,508477,721998,851373,968613
3.3096,83.1735916589726,1.435E-06,507754,721477,851092,968553
3.3048,93.2214081009962,1.445E-06,507048,720984,850814,968498
3.3,58.0540505539138,1.455E-06,506343,720547,850515,968442
3.2952,61.9615347258118,1.465E-06,505635,720027,850222,968364
3.2904,74.2421992660628,1.475E-06,504904,719493,849908,968306
3.2856,71.4511391432785,1.485E-06,504162,719011,849616,968247
3.2808,86.5228638063138,1.495E-06,503418,718501,849334,968183
3.276,108.293132764032,1.505E-06,502662,718028,849058,968119
3.2712,109.967768837702,1.515E-06,501921,717462,848736,968057
3.2664,100.478164420235,1.525E-06,501187,716920,848432,967994
3.2616,108.293132764032,1.535E-06,500486,716398,848130,967932
3.2568,91.5467720273256,1.545E-06,499762,715825,847823,967863
3.252,99.9199523956785,1.555E-06,498979,715294,847510,967794
3.2472,103.827436567577,1.565E-06,498233,714732,847180,967725
3.2424,127.272341598965,1.575E-06,497446,714222,846852,967657
3.2376,112.758828960486,1.585E-06,496671,713702,846535,967581
3.2328,113.8752530096,1.595E-06,495941,713197,846226,967514
3.228,98.245316322008,1.605E-06,495170,712663,845865,967431
3.2232,114.433465034157,1.615E-06,494356,712130,845544,967357
3.2184,118.340949206055,1.625E-06,493590,711607,845252,967275
3.2136,123.364857427067,1.635E-06,492796,711056,844920,967197
3.2088,123.923069451624,1.645E-06,492029,710526,844612,967125
3.204,146.251550433898,1.655E-06,491234,709943,844249,967057
3.1992,144.576914360228,1.665E-06,490425,709349,843925,966965
3.1944,140.66943018833,1.675E-06,489665,708732,843580,966907
3.1896,112.20061693593,1.685E-06,488842,708126,843238,966826
3.1848,146.809762458455,1.695E-06,488029,707496,842921,966763
3.18,141.227642212886,1.705E-06,487205,706892,842523,966656
3.1752,137.320158040988,1.715E-06,486380,706253,842137,966572
3.1704,151.833670679467,1.725E-06,485597,705690,841778,966493
3.1656,130.063401721749,1.735E-06,484796,705108,841435,966417
3.1608,148.484398532126,1.745E-06,483979,704530,841141,966337
3.156,176.953211784526,1.755E-06,483145,703937,840784,966259
3.1512,180.860695956424,1.765E-06,482261,703328,840443,966181
3.1464,156.299366875922,1.775E-06,481382,702728,840090,966103
3.1416,172.487515588071,1.785E-06,480531,702104,839704,966027
3.1368,197.048844668573,1.795E-06,479651,701496,839324,965936
3.132,195.932420619459,1.805E-06,478811,700879,838952,965839
3.1272,196.490632644016,1.815E-06,477944,700210,838559,965755
3.1224,196.490632644016,1.825E-06,477041,699526,838123,965679
3.1176,185.326392152879,1.835E-06,476124,698892,837726,965579
3.1128,189.792088349334,1.845E-06,475243,698218,837317,965496
3.108,217.702689577177,1.855E-06,474356,697551,836915,965402
3.1032,188.67566430022,1.865E-06,473452,696844,836529,965289
3.0984,224.401233871859,1.875E-06,472540,696180,836127,965189
3.0936,199.2816927668,1.885E-06,471644,695507,835719,965091
3.0888,226.07586994553,1.895E-06,470685,694805,835326,964998
3.084,249.520774976918,1.905E-06,469783,694062,834906,964898
3.0792,223.843021847302,1.915E-06,468891,693379,834496,964816
3.0744,252.870047124259,1.925E-06,467884,692670,834086,964709
3.0696,272.965680008306,1.935E-06,466908,691896,833646,964596
3.0648,263.476075590839,1.945E-06,465956,691110,833236,964492
3.06,257.893955345271,1.955E-06,464986,690326,832806,964376
3.0552,256.777531296157,1.965E-06,463956,689559,832369,964265
3.0504,261.801439517169,1.975E-06,462962,688810,831912,964172
3.0456,272.965680008306,1.985E-06,461917,688056,831450,964063
3.0408,293.061312892353,1.995E-06,460855,687306,830991,963969
3.036,300.318069211592,2.005E-06,459826,686489,830496,963862
3.0312,264.034287615396,2.015E-06,458835,685727,830004,963747
3.0264,310.365885653616,2.025E-06,457805,684967,829524,963632
3.0216,279.106012278432,2.035E-06,456682,684212,829080,963517
3.0168,333.810790685004,2.045E-06,455636,683409,828569,963403
3.012,344.975031176142,2.055E-06,454566,682592,828038,963265
3.0072,317.622641972855,2.065E-06,453467,681778,827508,963153
3.0024,300.318069211592,2.075E-06,452356,680950,827001,963034
2.9976,355.022847618165,2.085E-06,451259,680152,826480,962930
2.9928,344.975031176142,2.095E-06,450244,679287,825989,962801
2.988,366.187088109302,2.105E-06,449092,678380,825466,962672
2.9832,334.369002709561,2.115E-06,447990,677561,824944,962538
2.9784,317.622641972855,2.125E-06,446803,676656,824411,962422
2.9736,367.861724182973,2.135E-06,445620,675729,823846,962276
2.9688,331.577942586777,2.145E-06,444384,674792,823270,962133
2.964,360.046755839177,2.155E-06,443198,673857,822755,962003
2.9592,370.0945722812,2.165E-06,441985,672907,822173,961852
2.9544,398.005173509044,2.175E-06,440716,671953,821558,961696
2.9496,372.885632403985,2.185E-06,439510,670957,820971,961562
2.9448,400.238021607271,2.195E-06,438293,670006,820381,961435
2.94,433.730743080683,2.205E-06,437044,669085,819790,961316
2.9352,380.142388723224,2.215E-06,435650,668081,819168,961166
2.9304,398.005173509044,2.225E-06,434295,667052,818564,961013
2.9256,394.655901361702,2.235E-06,433006,666007,817901,960869
2.9208,413.076898172079,2.245E-06,431721,664943,817237,960720
2.916,437.638227252581,2.255E-06,430387,663848,816580,960556
2.9112,439.871075350808,2.265E-06,428978,662758,815901,960394
2.9064,440.987499399922,2.275E-06,427557,661649,815216,960226
2.9016,467.223464554095,2.285E-06,426089,660553,814512,960064
2.8968,432.614319031569,2.295E-06,424730,659408,813813,959916
2.892,463.874192406754,2.305E-06,423312,658246,813025,959738
2.8872,466.665252529538,2.315E-06,421830,657063,812311,959562
2.8824,468.339888603208,2.325E-06,420383,655873,811603,959365
2.8776,505.740094248518,2.335E-06,418824,654606,810784,959167
2.8728,522.486454985224,2.345E-06,417286,653335,810006,958976
2.868,466.107040504981,2.355E-06,415824,652090,809239,958786
2.8632,492.90121768371,2.365E-06,414276,650804,808391,958572
2.8584,464.43240443131,2.375E-06,412693,649541,807523,958361
2.8536,478.945917069789,2.385E-06,411084,648155,806646,958160
2.8488,483.969825290801,2.395E-06,409360,646815,805831,957932
2.844,503.507246150291,2.405E-06,407666,645438,804937,957710
2.8392,489.551945536369,2.415E-06,406012,644049,804060,957487
2.8344,519.137182837883,2.425E-06,404266,642587,803119,957281
2.8296,522.486454985224,2.435E-06,402555,641095,802127,957050
2.8248,529.184999279907,2.445E-06,400778,639558,801142,956843
2.82,585.56441376015,2.455E-06,398977,638020,800196,956585
2.8152,557.653812532307,2.465E-06,397129,636450,799180,956337
2.8104,550.397056213067,2.475E-06,395202,634851,798107,956108
2.8056,596.17044222673,2.485E-06,393264,633198,797001,955829
2.8008,603.985410570526,2.495E-06,391294,631519,795917,955567
2.796,557.653812532307,2.505E-06,389262,629840,794796,955295
2.7912,545.931360016612,2.515E-06,387187,628011,793583,954933
2.7864,615.149651061664,2.525E-06,385072,626115,792276,954544
2.7816,633.012435847483,2.535E-06,382879,624186,790929,954092
2.7768,588.913685907491,2.545E-06,380626,622063,789442,953483
2.772,585.56441376015,2.555E-06,378273,619831,787840,952649
2.7672,604.543622595083,2.565E-06,375888,617459,786107,951696
2.7624,596.17044222673,2.575E-06,373409,614972,784158,950548
2.7576,622.96461940546,2.585E-06,370812,612295,781973,949163
2.7528,631.896011798369,2.595E-06,368071,609490,779553,947519
2.748,642.50204026495,2.605E-06,365237,606536,776935,945590
2.7432,682.135094008487,2.615E-06,362329,603459,774003,943357
2.7384,678.785821861146,2.625E-06,359245,600128,770963,940910
2.7336,650.317008608746,2.635E-06,356102,596597,767614,938048
2.7288,651.43343265786,2.645E-06,352793,592720,764013,934706
2.724,597.845078300401,2.655E-06,349269,588609,759931,931023
2.7192,683.251518057601,2.665E-06,345679,584239,755504,926900
2.7144,655.340916829758,2.675E-06,341974,579718,750774,922258
2.7096,623.522831430016,2.685E-06,338058,574818,745736,917114
2.7048,651.991644682416,2.695E-06,334068,569687,740064,911558
2.7,625.197467503687,2.705E-06,329986,564214,733924,905418
2.6952,683.809730082158,2.715E-06,325734,558443,727441,898583
2.6904,627.430315601915,2.725E-06,321267,552399,720655,891276
2.6856,694.973970573295,2.735E-06,316652,545832,713428,883248
2.6808,654.782704805201,2.745E-06,311944,539046,705665,874585
2.676,660.364825050769,2.755E-06,307082,531871,697374,865511
2.6712,684.926154131271,2.765E-06,302041,524546,688728,855751
2.6664,740.189144562401,2.775E-06,296858,516722,679716,845452
2.6616,708.37105916266,2.785E-06,291579,508788,670341,834604
2.6568,694.973970573295,2.795E-06,286127,500504,660307,823187
2.652,677.669397812032,2.805E-06,280453,491869,649804,811035
2.6472,669.296217443679,2.815E-06,274721,483162,638843,798316
2.6424,746.329476832526,2.825E-06,268934,474156,627612,785207
2.6376,708.929271187217,2.835E-06,262854,464804,615906,771200
2.6328,688.833638303169,2.845E-06,256719,455261,604000,757102
2.628,702.788938917091,2.855E-06,250565,445274,591654,742344
2.6232,697.206818671522,2.865E-06,244223,435024,578690,726867
2.6184,705.021787015318,2.875E-06,237925,424484,565443,710949
2.6136,730.141328120377,2.885E-06,231547,413822,551938,694537
2.6088,712.278543334558,2.895E-06,225121,403036,538235,677818
2.604,715.627815481899,2.905E-06,218478,392219,524362,660770
2.5992,739.072720513287,2.915E-06,211987,381258,510228,643335
2.5944,756.935505299107,2.925E-06,205432,370195,495945,625797
2.5896,756.37729327455,2.935E-06,198701,358966,481452,607859
2.5848,724.000995850252,2.945E-06,192072,347772,466572,589579
2.58,762.517625544675,2.955E-06,185598,336686,451718,571350
2.5752,703.905362966205,2.965E-06,179246,325338,437007,553376
2.5704,771.449017937585,2.975E-06,172699,314115,422398,535110
2.5656,747.44590088164,2.985E-06,166377,302923,407793,516780
2.5608,729.024904071264,2.995E-06,160158,291688,393028,498673
2.556,775.91471413404,3.005E-06,153997,280559,378493,480423
2.5512,758.05192934822,3.015E-06,147939,269606,363869,462609
2.5464,805.499951435554,3.025E-06,142016,259147,349663,444575
2.5416,784.84610652695,3.035E-06,136156,248768,335465,426969
2.5368,784.84610652695,3.045E-06,130411,238379,321466,409648
2.532,783.729682477836,3.055E-06,124714,228188,307895,392385
2.5272,766.425109716573,3.065E-06,119203,218246,294833,375608
2.5224,780.938622355052,3.075E-06,113816,208655,281708,359150
2.5176,816.664191926691,3.085E-06,108670,199294,269113,343279
2.5128,825.037372295044,3.095E-06,103553,190002,256681,327656
2.508,804.38352738644,3.105E-06,98569,180962,244543,312286
2.5032,763.634049593789,3.115E-06,93969,172223,232969,297483
2.4984,757.493717323664,3.125E-06,89311,163936,221819,283288
2.4936,784.84610652695,3.135E-06,84949,155868,211139,269420
2.4888,844.574793154534,3.145E-06,80750,148113,200754,256211
2.484,830.061280516056,3.155E-06,76546,140717,190518,243226
2.4792,792.102862846189,3.165E-06,72660,133580,180775,230777
2.4744,825.595584319601,3.175E-06,68811,126533,171365,218735
2.4696,820.013464074032,3.185E-06,65193,119918,162351,207217
2.4648,787.637166649734,3.195E-06,61705,113457,153616,196168
2.46,792.661074870746,3.205E-06,58344,107381,145479,185624
2.4552,814.989555853021,3.215E-06,55176,101597,137589,175443
2.4504,831.17770456517,3.225E-06,52199,96091,130039,165800
2.4456,802.150679288213,3.235E-06,49355,90674,122748,156505
2.4408,826.153796344158,3.245E-06,46636,85807,116048,147673
2.436,814.431343828464,3.255E-06,44075,80965,109522,139213
2.4312,786.52074260062,3.265E-06,41624,76437,103199,131299
2.4264,833.410552663397,3.275E-06,39322,72261,97473,123888
2.4216,833.410552663397,3.285E-06,37088,68102,91820,116801
2.4168,765.30868566746,3.295E-06,35001,64264,86614,110064
2.412,794.893922968974,3.305E-06,32984,60545,81716,103889
2.4072,847.924065301875,3.315E-06,31043,57011,76869,97785
2.4024,859.088305793013,3.325E-06,29274,53787,72470,91965
2.3976,782.613258428723,3.335E-06,27595,50624,68249,86551
2.3928,868.019698185923,3.345E-06,26004,47633,64265,81522
2.388,832.294128614283,3.355E-06,24482,44852,60530,76693
2.3832,852.38976149833,3.365E-06,23057,42127,56939,72172
2.3784,880.300362726173,3.375E-06,21690,39643,53604,67970
2.3736,841.78373303175,3.385E-06,20411,37339,50460,63955
2.3688,822.804524196817,3.395E-06,19238,35178,47553,60197
2.364,909.32738800313,3.405E-06,18096,33089,44646,56618
2.3592,809.965647632009,3.415E-06,17003,31132,41895,53212
2.3544,794.893922968974,3.425E-06,16053,29344,39412,50016
2.3496,868.577910210479,3.435E-06,15117,27615,37100,47077
2.3448,890.906391192754,3.445E-06,14255,25993,34954,44260
2.34,833.410552663397,3.455E-06,13493,24532,32964,41732
2.3352,873.601818431491,3.465E-06,12698,23171,31003,39272
2.3304,878.067514627946,3.475E-06,11998,21834,29271,37026
2.3256,856.297245670229,3.485E-06,11321,20571,27645,34864
2.3208,889.78996714364,3.495E-06,10655,19445,26078,32856
2.316,893.139239290981,3.505E-06,10031,18389,24583,30951
2.3112,888.673543094527,3.515E-06,9456,17313,23188,29174
2.3064,879.18393867706,3.525E-06,8919,16343,21804,27492
2.3016,891.464603217311,3.535E-06,8452,15461,20566,25944
2.2968,837.876248859852,3.545E-06,8012,14650,19466,24557
2.292,864.670426038581,3.555E-06,7550,13856,18431,23248
2.2872,927.19017278895,3.565E-06,7176,13121,17461,22019
2.2824,900.395995610221,3.575E-06,6806,12421,16540,20849
2.2776,884.766058922629,3.585E-06,6461,11779,15673,19728
2.2728,884.766058922629,3.595E-06,6145,11195,14866,18663
2.268,851.273337449217,3.605E-06,5828,10659,14102,17666
2.2632,850.156913400103,3.615E-06,5547,10124,13382,16762
2.2584,864.112214014025,3.625E-06,5258,9613,12739,15906
2.2536,852.38976149833,3.635E-06,4978,9119,12103,15118
2.2488,923.282688617052,3.645E-06,4723,8638,11511,14365
2.244,840.667308982636,3.655E-06,4460,8180,10960,13664
2.2392,935.563353157303,3.665E-06,4180,7726,10367,12959
2.2344,918.816992420597,3.675E-06,3954,7325,9862,12307
2.2296,937.79620125553,3.685E-06,3740,6915,9357,11691
2.2248,929.423020887177,3.695E-06,3517,6570,8879,11097
2.22,861.879365915797,3.705E-06,3305,6225,8429,10563
2.2152,863.554001989468,3.715E-06,3098,5875,8013,10043
2.2104,966.26501450793,3.725E-06,2927,5542,7587,9545
2.2056,850.71512542466,3.735E-06,2759,5248,7195,9047
2.2008,918.816992420597,3.745E-06,2594,4955,6805,8577
2.196,892.022815241868,3.755E-06,2445,4703,6445,8143
2.1912,907.094539904903,3.765E-06,2307,4416,6093,7689
2.1864,945.05295757477,3.775E-06,2177,4164,5747,7252
2.1816,889.78996714364,3.785E-06,2032,3916,5440,6833
2.1768,903.187055733005,3.795E-06,1895,3702,5113,6440
2.172,968.497862606158,3.805E-06,1764,3473,4798,6079
2.1672,959.008258188691,3.815E-06,1637,3262,4530,5707
2.1624,926.073748739836,3.825E-06,1521,3051,4245,5325
2.1576,940.587261378315,3.835E-06,1424,2833,4003,5040
2.1528,917.700568371483,3.845E-06,1304,2621,3758,4723
2.148,894.813875364652,3.855E-06,1181,2426,3475,4402
2.1432,918.25878039604,3.865E-06,1083,2243,3189,4073
2.1384,881.416786775287,3.875E-06,989,2069,2940,3760
2.1336,930.539444936291,3.885E-06,906,1919,2711,3517
2.1288,959.008258188691,3.895E-06,797,1746,2471,3227
2.124,897.604935487436,3.905E-06,706,1578,2235,2936
2.1192,888.11533106997,3.915E-06,627,1388,2016,2670
2.1144,1020.9697929145,3.925E-06,546,1219,1801,2387
2.1096,917.700568371483,3.935E-06,460,1070,1574,2101
2.1048,985.802435367421,3.945E-06,373,895,1337,1778
2.1,943.378321501099,3.955E-06,300,723,1109,1467
2.0952,956.217198065907,3.965E-06,228,552,872,1172
2.0904,942.261897451985,3.975E-06,163,402,631,847
2.0856,972.963558802613,3.985E-06,103,251,381,531
2.0808,944.494745550213,3.995E-06,32,93,129,192
2.076,913.793084199585,4.005E-06,0,0,0,0
2.0712,851.273337449217,4.015E-06,0,0,0,0
2.0664,926.073748739836,4.025E-06,0,0,0,0
2.0616,941.145473402872,4.035E-06,0,0,0,0
2.0568,972.405346778056,4.045E-06,0,0,0,0
2.052,938.912625304644,4.055E-06,0,0,0,0
2.0472,1015.38767266893,4.065E-06,0,0,0,0
2.0424,962.915742360589,4.075E-06,0,0,0,0
2.0376,981.336739170966,4.085E-06,0,0,0,0
2.0328,995.850251809444,4.095E-06,0,0,0,0
2.028,1000.3159480059,4.105E-06,0,0,0,0
2.0232,993.05919168666,4.115E-06,0,0,0,0
2.0184,897.604935487436,4.125E-06,0,0,0,0
2.0136,908.769175978574,4.135E-06,0,0,0,0
2.0088,919.933416469711,4.145E-06,0,0,0,0
2.004,914.909508248699,4.155E-06,0,0,0,0
1.9992,947.844017697554,4.165E-06,0,0,0,0
1.9944,966.823226532487,4.175E-06,0,0,0,0
1.9896,953.98434996768,4.185E-06,0,0,0,0
1.9848,940.587261378315,4.195E-06,0,0,0,0
1.98,959.008258188691,4.205E-06,0,0,0,0
