 # E(eV),02_0.5_RA,02_0.5_RR,02_1.0_RA,02_1.0_RR,,E,07_0.5_RA,07_0.5_RR,07_1.0_RA,07_1.0_RR,,E,10_0.5_RA,10_0.5_RR,10_1.0_RA,10_1.0_RR,,E,20_0.5_RA,20_1.0_RA,20_0.5_RR,20_1.0_RR
1.905,158098,82193,25459,9796,,1.905,841253,684787,580467,351210,,1.905,913821,802375,735300,508045,,1.905,1023510,983283,910374,709540
1.915,154179,80055,24726,9489,,1.915,840745,684228,579806,350772,,1.915,913589,802067,734898,507694,,1.915,1023400,983040,910236,709328
1.925,150172,77984,24001,9187,,1.925,840254,683712,579177,350358,,1.925,913346,801724,734475,507318,,1.925,1023300,982844,910099,709109
1.935,146081,75846,23312,8883,,1.935,839753,683164,578485,349868,,1.935,913099,801400,734078,506981,,1.935,1023190,982617,909959,708914
1.945,141998,73735,22602,8559,,1.945,839259,682629,577851,349431,,1.945,912838,801070,733648,506667,,1.945,1023090,982398,909807,708694
1.955,137953,71592,21864,8275,,1.955,838782,682096,577178,349032,,1.955,912602,800748,733230,506298,,1.955,1022980,982171,909662,708442
1.965,134061,69390,21165,8010,,1.965,838322,681520,576521,348552,,1.965,912364,800404,732810,505956,,1.965,1022880,981934,909513,708226
1.975,130041,67296,20430,7701,,1.975,837852,680949,575862,348109,,1.975,912095,800082,732390,505623,,1.975,1022800,981708,909365,708013
1.985,126132,65227,19761,7397,,1.985,837369,680402,575217,347658,,1.985,911854,799740,731978,505261,,1.985,1022700,981493,909225,707794
1.995,122179,63126,19058,7141,,1.995,836858,679849,574560,347211,,1.995,911556,799396,731559,504877,,1.995,1022600,981269,909071,707565
2.005,118151,61066,18341,6864,,2.005,836405,679303,573917,346731,,2.005,911272,799072,731112,504465,,2.005,1022500,981037,908916,707351
2.015,114165,58997,17663,6614,,2.015,835842,678762,573252,346271,,2.015,911000,798711,730716,504113,,2.015,1022400,980813,908791,707139
2.025,110352,56931,17002,6362,,2.025,835348,678194,572598,345813,,2.025,910732,798376,730261,503735,,2.025,1022310,980573,908652,706917
2.035,106539,54918,16343,6104,,2.035,834835,677650,571926,345340,,2.035,910458,798016,729850,503347,,2.035,1022200,980345,908518,706676
2.045,102700,52930,15732,5868,,2.045,834322,677126,571290,344840,,2.045,910206,797690,729417,502960,,2.045,1022090,980128,908365,706476
2.055,98938,50933,15105,5647,,2.055,833875,676577,570609,344362,,2.055,909931,797342,728952,502624,,2.055,1021990,979886,908216,706244
2.065,95230,48995,14517,5425,,2.065,833358,676038,569981,343877,,2.065,909689,797024,728534,502194,,2.065,1021900,979668,908055,706028
2.075,91580,47064,13884,5176,,2.075,832859,675485,569349,343432,,2.075,909419,796690,728092,501815,,2.075,1021800,979450,907916,705809
2.085,88007,45189,13320,4952,,2.085,832354,674909,568694,342968,,2.085,909143,796366,727679,501467,,2.085,1021710,979246,907755,705578
2.095,84426,43338,12707,4729,,2.095,831833,674393,568017,342510,,2.095,908895,796013,727258,501091,,2.095,1021610,979006,907634,705358
2.105,81040,41552,12114,4536,,2.105,831362,673835,567368,342053,,2.105,908624,795680,726830,500764,,2.105,1021510,978792,907482,705114
2.115,77590,39802,11551,4309,,2.115,830863,673258,566735,341592,,2.115,908351,795340,726379,500406,,2.115,1021420,978599,907341,704893
2.125,74219,38123,11037,4103,,2.125,830380,672711,566097,341160,,2.125,908082,794991,725964,500072,,2.125,1021340,978379,907215,704677
2.135,70902,36414,10513,3918,,2.135,829863,672189,565389,340702,,2.135,907838,794663,725526,499660,,2.135,1021240,978174,907066,704456
2.145,67664,34708,10054,3756,,2.145,829367,671640,564756,340256,,2.145,907569,794368,725125,499322,,2.145,1021140,977970,906932,704244
2.155,64549,33110,9547,3575,,2.155,828908,671084,564112,339777,,2.155,907289,794009,724691,498942,,2.155,1021040,977777,906776,704042
2.165,61427,31529,9099,3389,,2.165,828414,670523,563435,339262,,2.165,907035,793688,724271,498537,,2.165,1020940,977561,906629,703813
2.175,58423,29994,8616,3216,,2.175,827972,669965,562761,338860,,2.175,906763,793383,723865,498156,,2.175,1020830,977331,906467,703592
2.185,55604,28475,8186,3048,,2.185,827513,669429,562149,338389,,2.185,906516,793052,723472,497800,,2.185,1020730,977097,906322,703365
2.195,52826,27052,7737,2888,,2.195,827025,668906,561436,337931,,2.195,906255,792715,723001,497417,,2.195,1020620,976900,906182,703150
2.205,50116,25674,7300,2737,,2.205,826520,668354,560808,337493,,2.205,906001,792394,722545,497072,,2.205,1020520,976699,906030,702921
2.215,47518,24316,6858,2589,,2.215,826039,667801,560146,337032,,2.215,905757,792077,722136,496732,,2.215,1020420,976462,905889,702701
2.225,44929,22974,6479,2440,,2.225,825533,667208,559505,336567,,2.225,905502,791707,721727,496372,,2.225,1020320,976255,905738,702465
2.235,42488,21692,6138,2295,,2.235,825072,666708,558836,336143,,2.235,905221,791386,721259,496013,,2.235,1020210,976032,905578,702230
2.245,40110,20462,5776,2151,,2.245,824582,666169,558184,335699,,2.245,904962,791086,720822,495629,,2.245,1020110,975784,905434,701995
2.255,37847,19293,5423,2031,,2.255,824084,665655,557508,335224,,2.255,904684,790742,720398,495252,,2.255,1019990,975566,905273,701772
2.265,35618,18151,5108,1917,,2.265,823617,665123,556841,334758,,2.265,904412,790391,719971,494901,,2.265,1019870,975324,905127,701544
2.275,33444,17092,4839,1800,,2.275,823132,664608,556174,334257,,2.275,904143,790075,719527,494535,,2.275,1019780,975099,904998,701309
2.285,31416,15997,4577,1691,,2.285,822606,664055,555491,333791,,2.285,903895,789743,719116,494144,,2.285,1019660,974887,904851,701086
2.295,29511,15013,4302,1576,,2.295,822102,663476,554852,333336,,2.295,903622,789402,718703,493766,,2.295,1019560,974644,904720,700867
2.305,27717,14055,4051,1483,,2.305,821560,662955,554260,332901,,2.305,903374,789077,718293,493410,,2.305,1019460,974442,904584,700658
2.315,25989,13179,3765,1408,,2.315,821071,662439,553618,332438,,2.315,903105,788762,717912,493064,,2.315,1019370,974221,904423,700443
2.325,24356,12321,3524,1305,,2.325,820596,661940,552950,331979,,2.325,902843,788431,717481,492710,,2.325,1019270,973994,904276,700210
2.335,22788,11569,3309,1232,,2.335,820087,661414,552280,331556,,2.335,902572,788107,717052,492321,,2.335,1019180,973745,904137,699962
2.345,21352,10812,3097,1147,,2.345,819564,660884,551657,331126,,2.345,902341,787784,716648,491966,,2.345,1019080,973520,903993,699729
2.355,19921,10127,2896,1068,,2.355,819046,660358,550936,330650,,2.355,902093,787468,716187,491602,,2.355,1018970,973284,903844,699481
2.365,18603,9446,2677,993,,2.365,818539,659789,550292,330205,,2.365,901824,787120,715722,491235,,2.365,1018880,973074,903706,699253
2.375,17304,8820,2482,932,,2.375,818047,659233,549625,329768,,2.375,901550,786796,715300,490884,,2.375,1018760,972870,903570,699030
2.385,16125,8208,2333,874,,2.385,817518,658659,548966,329315,,2.385,901273,786450,714845,490533,,2.385,1018660,972629,903420,698799
2.395,15017,7621,2165,806,,2.395,817056,658110,548291,328858,,2.395,900988,786102,714445,490211,,2.395,1018560,972426,903275,698569
2.405,14012,7113,2031,754,,2.405,816535,657584,547599,328355,,2.405,900762,785797,714029,489824,,2.405,1018460,972200,903140,698355
2.415,13033,6659,1921,704,,2.415,816054,657064,546937,327896,,2.415,900495,785486,713588,489453,,2.415,1018360,971976,902983,698131
2.425,12079,6159,1779,665,,2.425,815543,656521,546279,327415,,2.425,900224,785177,713133,489106,,2.425,1018250,971731,902836,697917
2.435,11246,5747,1652,623,,2.435,815039,655971,545625,326957,,2.435,899991,784831,712748,488710,,2.435,1018140,971515,902692,697706
2.445,10411,5296,1549,571,,2.445,814527,655442,544947,326525,,2.445,899720,784486,712321,488328,,2.445,1018040,971320,902562,697484
2.455,9598,4914,1442,538,,2.455,814048,654898,544253,326066,,2.455,899433,784136,711893,487971,,2.455,1017930,971097,902388,697275
2.465,8883,4559,1324,513,,2.465,813554,654333,543551,325594,,2.465,899174,783780,711489,487599,,2.465,1017820,970868,902245,697074
2.475,8225,4247,1229,469,,2.475,813038,653801,542846,325128,,2.475,898912,783485,711073,487238,,2.475,1017730,970625,902105,696846
2.485,7605,3948,1141,427,,2.485,812506,653251,542201,324674,,2.485,898633,783155,710623,486892,,2.485,1017620,970392,901958,696620
2.495,7036,3673,1060,397,,2.495,811997,652682,541528,324211,,2.495,898377,782790,710163,486536,,2.495,1017520,970172,901808,696398
2.505,6507,3418,985,367,,2.505,811494,652133,540886,323752,,2.505,898107,782425,709734,486196,,2.505,1017410,969930,901658,696146
2.515,6045,3183,920,346,,2.515,810989,651608,540166,323308,,2.515,897816,782088,709310,485834,,2.515,1017300,969689,901501,695922
2.525,5595,2933,856,324,,2.525,810481,651063,539472,322852,,2.525,897563,781771,708882,485455,,2.525,1017210,969458,901338,695695
2.535,5187,2719,786,295,,2.535,809990,650501,538810,322403,,2.535,897283,781429,708485,485052,,2.535,1017110,969207,901185,695464
2.545,4825,2523,733,274,,2.545,809478,649962,538110,321930,,2.545,897022,781111,708064,484669,,2.545,1017010,968990,901028,695251
2.555,4529,2319,685,259,,2.555,808963,649444,537447,321491,,2.555,896764,780774,707633,484333,,2.555,1016930,968752,900896,695028
2.565,4194,2141,650,238,,2.565,808461,648897,536769,321014,,2.565,896523,780438,707179,483956,,2.565,1016830,968537,900754,694823
2.575,3889,1980,600,218,,2.575,807972,648345,536149,320570,,2.575,896267,780118,706739,483605,,2.575,1016710,968310,900617,694620
2.585,3613,1817,557,202,,2.585,807446,647793,535468,320079,,2.585,895977,779804,706273,483249,,2.585,1016610,968103,900451,694402
2.595,3336,1691,522,187,,2.595,806908,647226,534815,319647,,2.595,895693,779420,705854,482915,,2.595,1016510,967871,900301,694192
2.605,3114,1561,483,171,,2.605,806426,646703,534142,319196,,2.605,895416,779059,705411,482547,,2.605,1016420,967628,900169,693983
2.615,2881,1447,458,159,,2.615,805924,646176,533453,318733,,2.615,895163,778709,704969,482170,,2.615,1016320,967417,900011,693757
2.625,2643,1362,425,146,,2.625,805406,645597,532780,318256,,2.625,894899,778369,704488,481795,,2.625,1016200,967209,899861,693543
2.635,2449,1244,392,133,,2.635,804863,645057,532073,317775,,2.635,894646,778031,704049,481420,,2.635,1016120,967002,899693,693310
2.645,2258,1139,366,121,,2.645,804327,644510,531392,317310,,2.645,894418,777696,703585,481096,,2.645,1016020,966764,899539,693097
2.655,2080,1062,345,110,,2.655,803801,643970,530706,316834,,2.655,894159,777372,703143,480742,,2.655,1015910,966538,899404,692862
2.665,1935,980,329,99,,2.665,803252,643388,530074,316395,,2.665,893915,777057,702723,480379,,2.665,1015790,966309,899249,692647
2.675,1799,904,308,98,,2.675,802749,642847,529413,315946,,2.675,893667,776746,702314,480022,,2.675,1015690,966053,899100,692435
2.685,1673,835,289,88,,2.685,802221,642285,528716,315472,,2.685,893387,776417,701867,479652,,2.685,1015590,965829,898954,692214
2.695,1570,770,263,81,,2.695,801718,641721,528035,314995,,2.695,893099,776080,701439,479313,,2.695,1015470,965594,898782,691982
2.705,1469,716,252,74,,2.705,801194,641205,527316,314564,,2.705,892809,775741,701025,478959,,2.705,1015380,965347,898652,691754
2.715,1374,660,233,70,,2.715,800663,640620,526631,314099,,2.715,892533,775405,700588,478589,,2.715,1015260,965105,898501,691529
2.725,1271,614,221,64,,2.725,800110,640019,525922,313622,,2.725,892247,775068,700166,478211,,2.725,1015150,964853,898346,691328
2.735,1182,573,197,60,,2.735,799586,639422,525228,313132,,2.735,891964,774675,699738,477850,,2.735,1015040,964635,898193,691100
2.745,1095,537,189,57,,2.745,799066,638827,524480,312678,,2.745,891678,774321,699321,477454,,2.745,1014930,964390,898052,690868
2.755,1028,503,171,51,,2.755,798581,638311,523842,312213,,2.755,891406,773986,698899,477117,,2.755,1014840,964169,897914,690657
2.765,953,479,165,48,,2.765,798041,637761,523101,311743,,2.765,891145,773635,698444,476748,,2.765,1014740,963930,897750,690443
2.775,873,454,156,43,,2.775,797539,637237,522413,311264,,2.775,890853,773291,698001,476384,,2.775,1014640,963695,897634,690218
2.785,809,423,147,41,,2.785,796997,636665,521719,310800,,2.785,890571,772931,697594,476049,,2.785,1014540,963472,897493,690001
2.795,750,395,135,37,,2.795,796476,636099,521038,310343,,2.795,890322,772586,697126,475694,,2.795,1014420,963269,897344,689774
2.805,702,370,131,35,,2.805,795917,635518,520328,309869,,2.805,890068,772258,696694,475336,,2.805,1014320,963062,897187,689552
2.815,657,349,125,34,,2.815,795419,634990,519640,309409,,2.815,889801,771903,696290,475001,,2.815,1014240,962831,897046,689332
2.825,611,325,117,33,,2.825,794841,634431,518955,308972,,2.825,889547,771556,695856,474610,,2.825,1014140,962605,896872,689114
2.835,569,304,109,32,,2.835,794308,633824,518260,308500,,2.835,889277,771218,695400,474250,,2.835,1014030,962357,896717,688869
2.845,539,293,105,29,,2.845,793766,633280,517566,308003,,2.845,889021,770863,694966,473879,,2.845,1013920,962153,896567,688648
2.855,498,270,97,29,,2.855,793253,632712,516897,307572,,2.855,888775,770540,694545,473522,,2.855,1013810,961931,896431,688414
2.865,463,252,93,29,,2.865,792695,632111,516193,307092,,2.865,888525,770210,694098,473156,,2.865,1013720,961712,896272,688189
2.875,430,235,91,26,,2.875,792144,631537,515497,306629,,2.875,888217,769832,693635,472793,,2.875,1013630,961491,896125,687970
2.885,397,226,87,26,,2.885,791593,630991,514825,306147,,2.885,887942,769487,693236,472412,,2.885,1013520,961278,895978,687747
2.895,372,212,84,25,,2.895,791061,630408,514144,305670,,2.895,887692,769155,692783,472046,,2.895,1013430,961046,895835,687524
2.905,349,202,82,25,,2.905,790515,629821,513480,305182,,2.905,887440,768785,692325,471696,,2.905,1013310,960849,895674,687301
2.915,328,191,77,23,,2.915,789972,629184,512758,304700,,2.915,887171,768452,691918,471313,,2.915,1013210,960619,895539,687100
2.925,301,175,72,21,,2.925,789444,628644,512055,304245,,2.925,886869,768108,691487,470960,,2.925,1013090,960378,895394,686870
2.935,281,169,70,21,,2.935,788858,628069,511387,303780,,2.935,886587,767767,691023,470594,,2.935,1013000,960146,895260,686630
2.945,268,161,66,18,,2.945,788330,627508,510656,303315,,2.945,886322,767416,690577,470196,,2.945,1012900,959923,895128,686417
2.955,255,151,62,15,,2.955,787737,626915,509978,302866,,2.955,886055,767104,690124,469854,,2.955,1012780,959687,894980,686158
2.965,240,142,61,15,,2.965,787169,626349,509268,302400,,2.965,885786,766766,689671,469465,,2.965,1012680,959468,894842,685926
2.975,228,130,60,14,,2.975,786604,625769,508558,301925,,2.975,885499,766395,689269,469126,,2.975,1012590,959239,894688,685702
2.985,216,121,60,14,,2.985,786054,625185,507849,301429,,2.985,885218,766065,688825,468716,,2.985,1012460,958987,894530,685466
2.995,207,116,56,14,,2.995,785528,624571,507175,300954,,2.995,884936,765721,688393,468383,,2.995,1012350,958754,894390,685252
3.005,200,114,53,12,,3.005,784965,624004,506499,300502,,3.005,884660,765385,687921,468016,,3.005,1012260,958510,894237,685026
3.015,195,111,51,12,,3.015,784466,623404,505789,300052,,3.015,884402,765069,687466,467674,,3.015,1012150,958278,894105,684798
3.025,192,108,49,11,,3.025,783885,622830,505108,299584,,3.025,884123,764736,687039,467343,,3.025,1012050,958070,893968,684586
3.035,190,104,47,11,,3.035,783318,622282,504414,299079,,3.035,883817,764367,686591,466983,,3.035,1011930,957860,893833,684368
3.045,188,99,44,10,,3.045,782787,621686,503698,298624,,3.045,883511,764047,686166,466614,,3.045,1011840,957617,893693,684128
3.055,184,98,43,10,,3.055,782232,621125,502987,298134,,3.055,883230,763701,685722,466289,,3.055,1011740,957387,893551,683921
3.065,174,96,42,9,,3.065,781649,620540,502264,297655,,3.065,882971,763352,685298,465936,,3.065,1011650,957151,893411,683694
3.075,170,95,41,9,,3.075,781101,619966,501584,297141,,3.075,882708,763045,684855,465570,,3.075,1011540,956924,893256,683473
3.085,165,92,40,9,,3.085,780559,619431,500861,296702,,3.085,882437,762686,684417,465206,,3.085,1011420,956682,893104,683258
3.095,160,87,39,9,,3.095,780016,618855,500214,296215,,3.095,882185,762356,683964,464825,,3.095,1011330,956449,892964,683035
3.105,159,86,37,9,,3.105,779521,618260,499497,295716,,3.105,881924,762015,683525,464441,,3.105,1011220,956222,892794,682787
3.115,159,85,35,9,,3.115,778968,617696,498802,295237,,3.115,881634,761674,683068,464042,,3.115,1011120,955990,892659,682566
3.125,155,83,34,8,,3.125,778397,617136,498077,294777,,3.125,881360,761330,682624,463703,,3.125,1011030,955777,892520,682338
3.135,150,77,32,8,,3.135,777826,616563,497356,294284,,3.135,881104,760997,682164,463321,,3.135,1010930,955561,892359,682103
3.145,146,76,31,7,,3.145,777267,615969,496620,293802,,3.145,880816,760643,681730,462961,,3.145,1010830,955347,892209,681871
3.155,144,74,31,7,,3.155,776739,615405,495929,293291,,3.155,880538,760313,681298,462593,,3.155,1010730,955127,892073,681633
3.165,138,70,31,7,,3.165,776184,614780,495214,292806,,3.165,880231,759957,680856,462211,,3.165,1010630,954914,891933,681415
3.175,131,69,31,7,,3.175,775580,614177,494508,292309,,3.175,879941,759634,680413,461824,,3.175,1010530,954681,891785,681221
3.185,127,67,31,6,,3.185,775014,613621,493758,291816,,3.185,879646,759261,680004,461427,,3.185,1010430,954460,891632,680978
3.195,117,64,29,6,,3.195,774476,613013,493032,291335,,3.195,879339,758886,679530,461022,,3.195,1010350,954238,891503,680753
3.205,114,63,28,6,,3.205,773944,612426,492342,290823,,3.205,879066,758542,679077,460663,,3.205,1010250,954012,891367,680547
3.215,108,60,26,6,,3.215,773337,611858,491653,290369,,3.215,878765,758181,678678,460276,,3.215,1010150,953776,891233,680328
3.225,101,57,25,6,,3.225,772799,611254,490928,289885,,3.225,878475,757803,678213,459918,,3.225,1010040,953537,891057,680110
3.235,93,55,23,6,,3.235,772222,610624,490192,289367,,3.235,878146,757440,677737,459529,,3.235,1009900,953297,890901,679908
3.245,91,53,22,6,,3.245,771577,610020,489417,288872,,3.245,877845,757074,677277,459153,,3.245,1009810,953066,890774,679691
3.255,89,50,21,6,,3.255,771001,609460,488679,288378,,3.255,877529,756708,676812,458737,,3.255,1009680,952818,890620,679442
3.265,86,45,18,6,,3.265,770431,608912,487961,287884,,3.265,877254,756376,676384,458331,,3.265,1009570,952586,890470,679234
3.275,80,41,15,6,,3.275,769913,608305,487260,287421,,3.275,876978,756012,675923,457979,,3.275,1009470,952366,890336,679034
3.285,80,38,13,4,,3.285,769338,607721,486557,286956,,3.285,876717,755671,675460,457617,,3.285,1009370,952120,890180,678795
3.295,75,36,12,4,,3.295,768783,607161,485865,286440,,3.295,876446,755315,674962,457212,,3.295,1009260,951899,890023,678614
3.305,69,34,12,4,,3.305,768240,606548,485153,285973,,3.305,876151,754961,674518,456855,,3.305,1009130,951673,889881,678386
3.315,66,31,11,3,,3.315,767696,605941,484452,285437,,3.315,875849,754612,674078,456465,,3.315,1009010,951420,889716,678144
3.325,63,29,11,2,,3.325,767082,605296,483745,284940,,3.325,875581,754285,673587,456081,,3.325,1008900,951185,889570,677936
3.335,61,26,10,2,,3.335,766505,604712,483053,284451,,3.335,875311,753932,673158,455702,,3.335,1008800,950967,889432,677734
3.345,55,25,9,2,,3.345,765916,604139,482374,283975,,3.345,875026,753581,672720,455338,,3.345,1008680,950757,889288,677498
3.355,53,23,9,2,,3.355,765300,603559,481648,283520,,3.355,874726,753214,672231,454950,,3.355,1008560,950522,889124,677268
3.365,50,19,9,2,,3.365,764713,602949,480860,283041,,3.365,874433,752833,671771,454566,,3.365,1008450,950329,888976,677046
3.375,45,17,9,2,,3.375,764126,602346,480120,282546,,3.375,874114,752480,671299,454178,,3.375,1008330,950100,888832,676804
3.385,44,16,9,2,,3.385,763560,601719,479341,282017,,3.385,873820,752093,670844,453753,,3.385,1008210,949907,888663,676576
3.395,41,14,8,2,,3.395,762919,601078,478557,281524,,3.395,873549,751774,670377,453371,,3.395,1008110,949654,888523,676353
3.405,40,14,8,2,,3.405,762293,600453,477818,281011,,3.405,873292,751452,669928,452988,,3.405,1008000,949432,888361,676134
3.415,40,13,8,2,,3.415,761684,599864,477117,280487,,3.415,872993,751122,669440,452620,,3.415,1007900,949209,888211,675938
3.425,39,13,8,2,,3.425,761134,599291,476325,279993,,3.425,872649,750786,668992,452223,,3.425,1007780,948964,888038,675736
3.435,38,12,8,2,,3.435,760531,598698,475556,279472,,3.435,872350,750439,668536,451858,,3.435,1007670,948717,887880,675512
3.445,37,12,8,2,,3.445,759935,598080,474794,278987,,3.445,872029,750108,668078,451481,,3.445,1007560,948482,887721,675283
3.455,37,11,8,2,,3.455,759328,597444,474056,278477,,3.455,871715,749766,667671,451138,,3.455,1007460,948229,887569,675051
3.465,37,11,8,2,,3.465,758767,596802,473312,277955,,3.465,871438,749396,667200,450781,,3.465,1007350,948004,887411,674851
3.475,36,11,8,2,,3.475,758194,596189,472584,277456,,3.475,871157,749070,666776,450410,,3.475,1007240,947773,887241,674611
3.485,34,11,8,2,,3.485,757588,595540,471798,276927,,3.485,870864,748719,666329,450025,,3.485,1007110,947564,887084,674394
3.495,33,11,8,2,,3.495,756986,594940,471059,276460,,3.495,870542,748374,665861,449637,,3.495,1007000,947378,886930,674167
3.505,32,11,8,2,,3.505,756394,594342,470250,275935,,3.505,870268,748016,665404,449205,,3.505,1006900,947146,886779,673936
3.515,32,11,8,2,,3.515,755805,593707,469485,275445,,3.515,869993,747663,664918,448808,,3.515,1006800,946921,886632,673710
3.525,30,11,8,2,,3.525,755223,593126,468707,274901,,3.525,869664,747297,664438,448421,,3.525,1006690,946702,886495,673487
3.535,29,11,8,2,,3.535,754543,592501,467946,274412,,3.535,869353,746945,663985,448011,,3.535,1006590,946469,886352,673283
3.545,28,11,7,2,,3.545,753935,591886,467179,273932,,3.545,869066,746582,663479,447643,,3.545,1006480,946226,886190,673023
3.555,28,11,7,2,,3.555,753361,591309,466421,273414,,3.555,868747,746237,663009,447264,,3.555,1006380,946000,886041,672811
3.565,25,10,7,2,,3.565,752755,590677,465652,272935,,3.565,868443,745863,662568,446876,,3.565,1006260,945743,885911,672584
3.575,25,10,6,2,,3.575,752126,590063,464903,272445,,3.575,868146,745521,662070,446486,,3.575,1006160,945505,885760,672377
3.585,23,10,6,1,,3.585,751505,589422,464153,271971,,3.585,867813,745182,661622,446130,,3.585,1006070,945270,885586,672149
3.595,23,10,5,1,,3.595,750888,588822,463358,271468,,3.595,867504,744853,661160,445752,,3.595,1005970,945031,885428,671926
3.605,21,9,4,1,,3.605,750247,588230,462614,270971,,3.605,867218,744521,660714,445377,,3.605,1005860,944826,885265,671705
3.615,17,7,4,1,,3.615,749638,587583,461891,270455,,3.615,866937,744183,660258,444992,,3.615,1005770,944579,885110,671492
3.625,16,7,4,1,,3.625,749046,586948,461125,269962,,3.625,866625,743821,659813,444640,,3.625,1005660,944319,884936,671268
3.635,15,7,3,1,,3.635,748463,586319,460363,269460,,3.635,866305,743455,659378,444295,,3.635,1005550,944082,884772,671005
3.645,12,5,3,0,,3.645,747855,585668,459585,268950,,3.645,866026,743101,658914,443948,,3.645,1005460,943843,884625,670804
3.655,11,4,3,0,,3.655,747235,585010,458803,268451,,3.655,865763,742749,658448,443581,,3.655,1005330,943620,884475,670592
3.665,10,4,2,0,,3.665,746591,584385,458016,267956,,3.665,865487,742397,658004,443235,,3.665,1005220,943401,884319,670363
3.675,9,4,2,0,,3.675,745988,583806,457232,267439,,3.675,865188,742048,657529,442847,,3.675,1005110,943160,884178,670151
3.685,9,3,2,0,,3.685,745317,583214,456483,266946,,3.685,864888,741669,657074,442469,,3.685,1005000,942909,884030,669932
3.695,9,3,2,0,,3.695,744669,582555,455695,266411,,3.695,864613,741304,656617,442080,,3.695,1004860,942687,883858,669720
3.705,8,2,1,0,,3.705,744043,581970,454960,265902,,3.705,864317,740961,656145,441668,,3.705,1004740,942444,883708,669465
3.715,8,1,1,0,,3.715,743420,581374,454192,265395,,3.715,864028,740611,655660,441284,,3.715,1004650,942201,883583,669247
3.725,4,1,1,0,,3.725,742779,580689,453352,264887,,3.725,863699,740243,655188,440921,,3.725,1004530,941952,883426,668977
3.735,2,1,1,0,,3.735,742070,580053,452583,264366,,3.735,863380,739880,654718,440515,,3.735,1004420,941695,883257,668733
3.745,2,1,1,0,,3.745,741492,579480,451775,263890,,3.745,863103,739539,654247,440116,,3.745,1004280,941435,883113,668515
3.755,2,1,1,0,,3.755,740881,578857,451054,263374,,3.755,862774,739199,653746,439712,,3.755,1004180,941198,882958,668270
3.765,2,0,1,0,,3.765,740266,578245,450266,262830,,3.765,862451,738826,653261,439378,,3.765,1004090,940950,882827,668054
3.775,1,0,1,0,,3.775,739570,577630,449511,262301,,3.775,862156,738471,652776,438998,,3.775,1003990,940720,882694,667806
3.785,0,0,0,0,,3.785,738909,577016,448757,261803,,3.785,861863,738134,652327,438606,,3.785,1003890,940462,882515,667569
3.795,0,0,0,0,,3.795,738291,576362,447976,261225,,3.795,861575,737794,651847,438208,,3.795,1003790,940196,882364,667338
3.805,0,0,0,0,,3.805,737620,575669,447219,260716,,3.805,861272,737452,651419,437838,,3.805,1003680,939965,882196,667123
3.815,0,0,0,0,,3.815,736925,575068,446411,260184,,3.815,860942,737087,650935,437464,,3.815,1003540,939717,882047,666895
3.825,0,0,0,0,,3.825,736272,574427,445565,259667,,3.825,860630,736701,650489,437077,,3.825,1003430,939484,881908,666661
3.835,0,0,0,0,,3.835,735605,573758,444763,259100,,3.835,860336,736372,650013,436664,,3.835,1003320,939249,881759,666422
3.845,0,0,0,0,,3.845,734931,573086,443963,258566,,3.845,860012,735990,649546,436270,,3.845,1003190,939007,881606,666200
3.855,0,0,0,0,,3.855,734258,572420,443167,258050,,3.855,859710,735663,649076,435915,,3.855,1003080,938747,881453,665961
3.865,0,0,0,0,,3.865,733610,571789,442379,257511,,3.865,859427,735303,648601,435525,,3.865,1002970,938512,881334,665769
3.875,0,0,0,0,,3.875,732933,571124,441546,256994,,3.875,859098,734953,648136,435172,,3.875,1002850,938258,881177,665532
3.885,0,0,0,0,,3.885,732264,570512,440731,256483,,3.885,858802,734622,647671,434783,,3.885,1002730,938028,881009,665308
3.895,0,0,0,0,,3.895,731599,569872,439961,255915,,3.895,858464,734254,647198,434405,,3.895,1002630,937770,880859,665046
3.905,0,0,0,0,,3.905,730967,569210,439184,255350,,3.905,858165,733899,646698,434014,,3.905,1002520,937541,880699,664806
3.915,0,0,0,0,,3.915,730292,568531,438374,254802,,3.915,857848,733554,646217,433640,,3.915,1002390,937325,880534,664597
3.925,0,0,0,0,,3.925,729637,567893,437576,254311,,3.925,857525,733159,645748,433260,,3.925,1002270,937109,880364,664363
3.935,0,0,0,0,,3.935,728973,567209,436787,253789,,3.935,857170,732793,645256,432890,,3.935,1002160,936862,880208,664145
3.945,0,0,0,0,,3.945,728303,566545,435934,253278,,3.945,856874,732424,644772,432517,,3.945,1002050,936611,880060,663895
3.955,0,0,0,0,,3.955,727646,565927,435114,252732,,3.955,856537,732032,644287,432113,,3.955,1001950,936379,879902,663695
3.965,0,0,0,0,,3.965,726967,565244,434288,252183,,3.965,856231,731663,643794,431729,,3.965,1001850,936140,879739,663452
3.975,0,0,0,0,,3.975,726283,564581,433458,251675,,3.975,855932,731333,643306,431333,,3.975,1001700,935883,879574,663221
3.985,0,0,0,0,,3.985,725588,563968,432684,251125,,3.985,855609,730964,642815,430939,,3.985,1001610,935649,879406,662977
3.995,0,0,0,0,,3.995,724895,563334,431867,250635,,3.995,855292,730576,642322,430518,,3.995,1001500,935419,879268,662734
4.005,0,0,0,0,,4.005,724192,562663,430986,250097,,4.005,854983,730224,641828,430106,,4.005,1001380,935202,879132,662511
,,,,,,4.015,723498,561990,430188,249556,,4.015,854677,729878,641341,429698,,4.015,1001270,934944,878967,662277
