 # E(eV),fuente sin integrar,fuente, salida fuente distr 10 ,Salida fuente monoE
1.525,0,10000000,5214340,5223820
1.535,0,10000000,5210710,5220350
1.545,0,10000000,5207220,5216770
1.555,0,10000000,5203580,5213110
1.565,0,10000000,5200000,5209480
1.575,0,10000000,5196460,5205870
1.585,0,10000000,5192870,5202290
1.595,0,10000000,5189260,5198600
1.605,0,10000000,5185670,5195020
1.615,0,10000000,5182070,5191420
1.625,0,10000000,5178520,5187860
1.635,0,10000000,5174950,5184250
1.645,0,10000000,5171410,5180640
1.655,0,10000000,5167790,5177060
1.665,0,10000000,5164200,5173550
1.675,0,10000000,5160670,5170020
1.685,0,10000000,5157090,5166410
1.695,0,10000000,5153530,5162760
1.705,0,10000000,5149920,5159220
1.715,0,10000000,5146380,5155610
1.725,0,10000000,5142860,5152080
1.735,0,10000000,5139320,5148480
1.745,0,10000000,5135770,5144910
1.755,0,10000000,5132180,5141320
1.765,0,10000000,5128620,5137830
1.775,0,10000000,5124960,5134150
1.785,0,10000000,5121400,5130610
1.795,0,10000000,5117920,5127110
1.805,0,10000000,5114370,5123510
1.815,0,10000000,5110760,5120000
1.825,0,10000000,5107230,5116350
1.835,0,10000000,5103590,5112750
1.845,0,10000000,5099770,5109160
1.855,0,10000000,5096240,5105520
1.865,0,10000000,5092640,5101990
1.875,0,10000000,5089060,5098280
1.885,0,10000000,5085480,5094680
1.895,0,10000000,5081860,5091000
1.905,0,10000000,5078220,5087460
1.915,0,10000000,5074580,5083870
1.925,0,10000000,5071000,5080280
1.935,0,10000000,5067430,5076740
1.945,0,10000000,5063850,5073060
1.955,0,10000000,5060240,5069300
1.965,0,10000000,5056620,5065670
1.975,0,10000000,5053020,5061950
1.985,0,10000000,5049390,5058440
1.995,0,10000000,5045770,5054920
2.005,0,10000000,5042190,5051260
2.015,0,10000000,5038580,5047690
2.025,0,10000000,5034840,5044100
2.035,0,10000000,5031080,5040530
2.045,0,10000000,5027350,5036960
2.055,0,10000000,5023780,5033360
2.065,0,10000000,5020120,5029820
2.075,0,10000000,5016440,5026220
2.085,0,10000000,5012740,5022720
2.095,0,10000000,5009190,5019130
2.105,0,10000000,5005650,5015540
2.115,0,10000000,5002020,5011890
2.125,0,10000000,4998450,5008350
2.135,0,10000000,4994780,5004780
2.145,0,10000000,4991100,5001160
2.155,0,10000000,4987460,4997500
2.165,0,10000000,4983820,4993820
2.175,0,10000000,4980250,4990330
2.185,0,10000000,4976680,4986760
2.195,0,10000000,4973050,4983090
2.205,0,10000000,4969460,4979330
2.215,0,10000000,4965880,4975740
2.225,0,10000000,4962320,4972220
2.235,0,10000000,4958740,4968570
2.245,0,10000000,4955070,4964990
2.255,0,10000000,4951460,4961510
2.265,0,10000000,4947830,4957980
2.275,0,10000000,4944200,4954460
2.285,0,10000000,4940520,4950860
2.295,0,10000000,4936860,4947240
2.305,0,10000000,4933160,4943720
2.315,0,10000000,4929570,4940130
2.325,0,10000000,4925960,4936510
2.335,0,10000000,4922270,4932860
2.345,0,10000000,4918670,4929220
2.355,0,10000000,4915090,4925640
2.365,0,10000000,4911540,4922000
2.375,0,10000000,4907910,4918470
2.385,0,10000000,4904330,4914900
2.395,0,10000000,4900680,4911270
2.405,0,10000000,4896930,4907580
2.415,0,10000000,4893290,4904050
2.425,0,10000000,4889760,4900410
2.435,0,10000000,4886120,4896770
2.445,0,10000000,4882570,4893180
2.455,0,10000000,4878990,4889610
2.465,0,10000000,4875370,4886070
2.475,0,10000000,4871740,4882530
2.485,0,10000000,4868090,4878920
2.495,0,10000000,4864550,4875340
2.505,0,10000000,4860900,4871660
2.515,0,10000000,4857270,4868030
2.525,0,10000000,4853740,4864370
2.535,0,10000000,4850080,4860710
2.545,0,10000000,4846420,4857120
2.555,0,10000000,4842870,4853600
2.565,0,10000000,4839260,4850000
2.575,0,10000000,4835620,4846450
2.585,0,10000000,4831940,4842830
2.595,0,10000000,4828420,4839090
2.605,0,10000000,4824750,4835540
2.615,0,10000000,4821070,4831820
2.625,0,10000000,4817420,4828090
2.635,0,10000000,4813850,4824430
2.645,0,10000000,4810250,4820760
2.655,0,10000000,4806650,4817160
2.665,0,10000000,4802990,4813560
2.675,0,10000000,4799310,4809950
2.685,0,10000000,4795640,4806340
2.695,0,10000000,4792100,4802620
2.705,0,10000000,4788500,4799040
2.715,0,10000000,4784840,4795400
2.725,0,10000000,4781200,4791780
2.735,0,10000000,4777570,4788150
2.745,0,10000000,4773860,4784510
2.755,0,10000000,4770240,4780940
2.765,0,10000000,4766660,4777360
2.775,0,10000000,4762970,4773640
2.785,0,10000000,4759300,4770000
2.795,0,10000000,4755730,4766320
2.805,0,10000000,4752090,4762720
2.815,0,10000000,4748470,4759050
2.825,0,10000000,4744670,4755390
2.835,0,10000000,4740990,4751670
2.845,0,10000000,4737300,4748060
2.855,0,10000000,4733570,4744370
2.865,0,10000000,4729910,4740690
2.875,0,10000000,4726260,4737060
2.885,0,10000000,4722660,4733400
2.895,0,10000000,4718980,4729720
2.905,0,10000000,4715300,4726090
2.915,0,10000000,4711550,4722490
2.925,0,10000000,4707860,4718800
2.935,0,10000000,4704110,4715110
2.945,0,10000000,4700460,4711400
2.955,0,10000000,4696730,4707680
2.965,0,10000000,4693020,4703980
2.975,0,10000000,4689390,4700240
2.985,0,10000000,4685690,4696520
2.995,0,10000000,4682100,4692790
3.005,0,10000000,4678500,4689140
3.015,0,10000000,4674770,4685510
3.025,0,10000000,4670990,4681800
3.035,0,10000000,4667290,4678090
3.045,0,10000000,4663480,4674370
3.055,0,10000000,4659910,4670690
3.065,0,10000000,4656200,4666940
3.075,0,10000000,4652560,4663140
3.085,0,10000000,4648880,4659410
3.095,0,10000000,4645200,4655690
3.105,0,10000000,4641490,4651980
3.115,0,10000000,4637740,4648270
3.125,0,10000000,4634080,4644600
3.135,0,10000000,4630320,4640850
3.145,0,10000000,4626600,4637100
3.155,0,10000000,4622760,4633460
3.165,0,10000000,4619040,4629660
3.175,0,10000000,4615380,4625940
3.185,0,10000000,4611650,4622150
3.195,0,10000000,4607960,4618440
3.205,0,10000000,4604150,4614730
3.215,0,10000000,4600300,4611040
3.225,0,10000000,4596530,4607300
3.235,0,10000000,4592790,4603570
3.245,0,10000000,4589010,4599840
3.255,0,10000000,4585170,4596090
3.265,0,10000000,4581390,4592340
3.275,0,10000000,4577730,4588660
3.285,0,10000000,4574030,4584900
3.295,0,10000000,4570250,4581230
3.305,0,10000000,4566610,4577500
3.315,0,10000000,4562850,4573760
3.325,0,10000000,4559120,4569990
3.335,0,10000000,4555360,4566260
3.345,0,10000000,4551570,4562580
3.355,0,10000000,4547840,4558830
3.365,0,10000000,4544040,4555060
3.375,0,10000000,4540290,4551340
3.385,0,10000000,4536440,4547530
3.395,0,10000000,4532640,4543760
3.405,0,10000000,4528880,4540100
3.415,0,10000000,4525180,4536320
3.425,0,10000000,4521370,4532580
3.435,0,10000000,4517650,4528820
3.445,0,10000000,4513880,4525100
3.455,0,10000000,4510110,4521320
3.465,0,10000000,4506380,4517610
3.475,0,10000000,4502660,4513810
3.485,0,10000000,4498950,4510100
3.495,0,10000000,4495330,4506260
3.505,0,10000000,4491480,4502390
3.515,0,10000000,4487620,4498670
3.525,0,10000000,4483780,4494870
3.535,0,10000000,4479870,4491050
3.545,0,10000000,4476140,4487300
3.555,0,10000000,4472240,4483490
3.565,0,10000000,4468370,4479600
3.575,0,10000000,4464630,4475810
3.585,0,10000000,4460910,4472060
3.595,0,10000000,4457040,4468190
3.605,0,10000000,4453350,4464420
3.615,0,10000000,4449580,4460560
3.625,0,10000000,4445780,4456860
3.635,0,10000000,4441980,4453080
3.645,0,10000000,4438220,4449300
3.655,0,10000000,4434480,4445520
3.665,0,10000000,4430830,4441590
3.675,0,10000000,4426900,4437770
3.685,0,10000000,4423090,4433980
3.695,0,10000000,4419240,4430210
3.705,0,10000000,4415360,4426380
3.715,0,10000000,4411540,4422480
3.725,0,10000000,4407730,4418660
3.735,0,10000000,4403760,4414800
3.745,0,10000000,4399950,4411020
