#E   3eV	     5eV 		      7eV            20ev
12   52.2	     73.5		    	92.1	        177	    
13   51.8	     71.8		    	88.8	        160	    
14   51.3	     70.1		    	85.5	        144	    
15   50.7	     68.4		    	82.3	        129	    
16   50.2	     66.7		    	79.1	        116	    
17   49.7	     65		    	76	        103	    
18   49.1	     63.3		    	73	        92.1	    
19   48.6	     61.6		    	70	        81.8	    
20   48	     60		    	67.2	        72.7	    
21   47.4	     58.3		    	64.4	        64.5	    
22   46.7	     56.6		    	61.6	        57.3	    
23   46.1	     55		    	59	        50.9	    
24   45.5	     53.4		    	56.4	        45.4	    
25   44.8	     51.8		    	53.9	        40.5	    
26   44.1	     50.2		    	51.5	        36.3	    
27   43.4	     48.6		    	49.3	        32.7	    
28   42.7	     47.1		    	47	        29.7	    
29   42	     45.6		    	44.9	        27	    
30   41.2	     44.1		    	42.9	        24.8	    
31   40.5	     42.6		    	40.9	        22.9	    
32   39.7	     41.2		    	39.1	        21.3	    
33   39	     39.8		    	37.3	        19.9	    
34   38.2	     38.5		    	35.7	        18.7	    
35   37.5	     37.2		    	34.1	        17.7	    
36   36.7	     35.9		    	32.5	        16.8	    
37   35.9	     34.6		    	31.1	        16	    
38   35.2	     33.4		    	29.8	        15.3	    
39   34.4	     32.2		    	28.5	        14.7	    
40   33.6	     31.1		    	27.4	        14.1	    
41   32.8	     30		    	26.3	        13.6	    
42   32.1	     29		    	25.2	        13.1	    
43   31.3	     28		    	24.3	        12.7	    
44   30.6	     27		    	23.4	        12.2	    
45   29.8	     26.1		    	22.6	        11.8	    
46   29.1	     25.2		    	21.8	        11.4	    
47   28.3	     24.3		    	21.1	        11	    
48   27.6	     23.5		    	20.4	        10.7	    
49   26.9	     22.8		    	19.8	        10.3	    
50   26.2	     22		    	19.2	        9.97	    
51   25.5	     21.4		    	18.7	        9.64	    
52   24.9	     20.7		    	18.2	        9.33	    
53   24.2	     20.1		    	17.8	        9.02	    
54   23.6	     19.5		    	17.4	        8.73	    
55   23	     19		    	17	        8.46	    
56   22.4	     18.5		    	16.6	        8.2	    
57   21.8	     18		    	16.3	        7.95	    
58   21.3	     17.5		    	16	        7.72	    
59   20.7	     17.1		    	15.7	        7.51	    
60   20.2	     16.7		    	15.4	        7.29	    
61   19.7	     16.3		    	15.1	        7.1	    
62   19.3	     16		    	14.9	        6.91	    
63   18.8	     15.7		    	14.6	        6.73	    
64   18.4	     15.4		    	14.4	        6.56	    
65   17.9	     15.1		    	14.2	        6.4	    
66   17.5	     14.8		    	13.9	        6.25	    
67   17.1	     14.6		    	13.7	        6.1	    
68   16.8	     14.3		    	13.5	        5.95	    
69   16.4	     14.1		    	13.3	        5.81	    
70   16.1	     13.9		    	13	        5.66	    
71   15.8	     13.7		    	12.8	        5.53	    
72   15.5	     13.5		    	12.6	        5.39	    
73   15.2	     13.3		    	12.4	        5.25	    
74   15	     13.1		    	12.2	        5.11	    
75   14.7	     13		    	11.9	        4.97	    
76   14.5	     12.8		    	11.7	        4.83	    
77   14.3	     12.6		    	11.5	        4.69	    
78   14.1	     12.5		    	11.3	        4.56	    
79   13.9	     12.3		    	11.1	        4.42	    
80   13.8	     12.2		    	10.8	        4.28	    
81   13.6	     12		    	10.6	        4.14	    
82   13.5	     11.9		    	10.4	        4.01	    
83   13.3	     11.7		    	10.2	        3.87	    
84   13.2	     11.6		    	9.98	        3.74	    
85   13.1	     11.4		    	9.77	        3.61	    
86   13	     11.3		    	9.57	        3.49	    
87   12.9	     11.2		    	9.37	        3.37	    
88   12.8	     11		    	9.18	        3.25	    
89   12.8	     10.9		    	8.99	        3.14	    
90   12.7	     10.8		    	8.81	        3.03	    
91   12.6	     10.7		    	8.63	        2.93	    
92   12.6	     10.5		    	8.47	        2.83	    
93   12.5	     10.4		    	8.31	        2.74	    
94   12.5	     10.3		    	8.15	        2.66	    
95   12.5	     10.2		    	8.01	        2.59	    
96   12.5	     10.1		    	7.87	        2.52	    
97   12.4	     9.94		    	7.75	        2.46	    
98   12.4	     9.84		    	7.63	        2.41	    
99   12.4	     9.74		    	7.52	        2.37	    
100  12.4	     9.64		    	7.42	        2.34	    
101  12.4	     9.54		    	7.32	        2.31	    
102  12.4	     9.46		    	7.24	        2.29	    
103  12.4	     9.37		    	7.17	        2.28	    
104  12.4	     9.29		    	7.1	        2.28	    
105  12.4	     9.22		    	7.04	        2.29	    
106  12.4	     9.15		    	7	        2.3	    
107  12.5	     9.09		    	6.96	        2.33	    
108  12.5	     9.03		    	6.93	        2.36	    
109  12.5	     8.98		    	6.91	        2.4	    
110  12.5	     8.94		    	6.9	        2.44	    
111  12.5	     8.9		    	6.89	        2.5	    
112  12.6	     8.87		    	6.89	        2.56	    
113  12.6	     8.84		    	6.9	        2.63	    
114  12.6	     8.83		    	6.92	        2.71	    
115  12.7	     8.81		    	6.95	        2.79	    
116  12.7	     8.81		    	6.98	        2.88	    
117  12.7	     8.81		    	7.02	        2.98	    
118  12.8	     8.81		    	7.06	        3.09	    
119  12.8	     8.82		    	7.11	        3.2	    
120  12.8	     8.84		    	7.17	        3.31	    
121  12.9	     8.86		    	7.23	        3.44	    
122  12.9	     8.9		    	7.3	        3.57	    
123  13	     8.93		    	7.38	        3.7	    
124  13	     8.97		    	7.46	        3.84	    
125  13	     9.02		    	7.54	        3.99	    
126  13.1	     9.06		    	7.63	        4.14	    
127  13.1	     9.12		    	7.73	        4.3	    
128  13.2	     9.18		    	7.82	        4.46	    
129  13.2	     9.24		    	7.93	        4.62	    
130  13.3	     9.31		    	8.03	        4.8	    
131  13.3	     9.38		    	8.15	        4.97	    
132  13.4	     9.46		    	8.26	        5.15	    
133  13.4	     9.54		    	8.38	        5.33	    
134  13.5	     9.62		    	8.5	        5.52	    
135  13.5	     9.7		    	8.62	        5.71	    
136  13.6	     9.79		    	8.75	        5.9	    
137  13.6	     9.88		    	8.87	        6.1	    
138  13.7	     9.98		    	9	        6.29	    
139  13.7	     10.1		    	9.14	        6.5	    
140  13.8	     10.2		    	9.27	        6.7	    
141  13.9	     10.3		    	9.4	        6.9	    
142  13.9	     10.4		    	9.54	        7.1	    
143  14	     10.5		    	9.68	        7.31	    
144  14	     10.6		    	9.81	        7.51	    
145  14.1	     10.7		    	9.95	        7.71	    
146  14.1	     10.8		    	10.1	        7.92	    
147  14.2	     10.9		    	10.2	        8.12	    
148  14.2	     11		    	10.4	        8.32	    
149  14.3	     11.1		    	10.5	        8.53	    
150  14.3	     11.2		    	10.6	        8.73	    
151  14.4	     11.3		    	10.8	        8.92	    
152  14.4	     11.4		    	10.9	        9.11	    
153  14.5	     11.5		    	11	        9.31	    
154  14.5	     11.6		    	11.2	        9.49	    
155  14.6	     11.6		    	11.3	        9.68	    
156  14.6	     11.7		    	11.4	        9.86	    
157  14.7	     11.8		    	11.5	        10	    
158  14.7	     11.9		    	11.7	        10.2	    
159  14.8	     12		    	11.8	        10.4	    
160  14.8	     12.1		    	11.9	        10.5	    
161  14.8	     12.2		    	12	        10.7	    
