#plot [:20]'dxs1kev.txt' u 1:2 w histe, 'dxs1kev.txt' u 1:($4/965) w histe lt 3, 'dxsp.txt' u 1:($2/105) w histe
# old dxs / new dxs
# py1keV      pyold   pynew  w1keV          wold       wnew
0 111.72      199585 107809  9.688	    26615       13983
146 0.0024668      1      1  0.0006776          0           0
147 0.0024556      2      1  0.0006776          1           0
148 0.0024444      3      2  0.0006748          0           1
149 0.0024332      1      4  0.0006748          0           0
150 0.0024332      7      1  0.0006776          1           0
151 0.0024248      1      7  0.0006776          1           1
152 0.0024332      1      1  0.0006776          2           1
153 0.0024276      2      1  0.0006748          1           2
154 0.002436       2      2  0.000672           0           1
155 0.0024332      2      2  0.0006664          0           0
156 0.0024388      3      2  0.0006608          1           0
157 0.0024444      6      3  0.0006524          2           1
158 0.0024472      2      6  0.0006468          2           2
159 0.0024584      2      2  0.000644           1           2
160 0.0024556      3      2  0.000644           0           1
161 0.0024724      7      3  0.0006468          1           0
162 0.0024668      2      7  0.0006468          1           1
163 0.0024724      4      2  0.0006524          2           1
164 0.0024668      3      4  0.0006524          2           2
165 0.0024696      1      3  0.0006552          0           2
166 0.0024668      4      1  0.0006552          2           0
167 0.0024556      1      4  0.0006496          0           2
168 0.0024584      2      1  0.000644           1           0
169 0.0024416      4      2  0.0006356          0           1
170 0.0024472      3      4  0.00063	        0           0
171 0.0024332      2      3  0.0006244          0           0
172 0.0024416      3      2  0.0006216          0           0
173 0.0024332      2      3  0.0006216          0           0
174 0.0024304      2      2  0.0006272          0           0
175 0.0024388      2      2  0.0006356          1           1
176 0.0024332      2      2  0.000644           1           1
177 0.0024668      1      2  0.0006552          2           1
178 0.0024556      5      1  0.0006608          0           2
179 0.0025032      1      5  0.000672           3           2
180 0.0024388      0      0  0.0006664          0           0

