0.1
 37 2.142 44.52       
 38 2.1448 42.28       
 39 2.1504 40.04       
 40 2.156 38.36       
 41 2.1616 36.4       
 42 2.1672 34.72       
 43 2.1728 33.32       
 44 2.1784 31.92       
 45 2.184 30.52       
 46 2.1896 29.4       
 47 2.1952 28.28       
 48 2.2008 26.908       
 49 2.2064 25.396       
 50 2.2092 23.996       
 51 2.2148 22.708       
 52 2.2204 21.504       
 53 2.226 20.384       
 54 2.2316 19.376       
 55 2.2372 18.396       
 56 2.2428 17.5       
 57 2.2484 16.688       
 58 2.254 15.904       
 59 2.2596 15.176       
 60 2.2652 14.504       
 61 2.2708 13.86       
 62 2.2764 13.272       
 63 2.282 12.712       
 64 2.2876 12.18       
 65 2.2932 11.676       
 66 2.2988 11.228       
 67 2.3044 10.78       
 68 2.31 10.36       
 69 2.3128 9.968       
 70 2.3212 9.604       
 71 2.3268 9.268       
 72 2.3296 8.932       
 73 2.3352 8.624       
 74 2.3408 8.316       
 75 2.3464 8.036       
 76 2.352 7.784       
 77 2.3576 7.504       
 78 2.3632 7.28       
 79 2.3688 7.056       
 80 2.3744 6.832       
 81 2.3772 6.608       
 82 2.3828 6.412       
 83 2.3884 6.244       
 84 2.394 6.048       
 85 2.3996 5.88       
 86 2.4052 5.712       
 87 2.408 5.572       
 88 2.4136 5.404       
 89 2.4192 5.264       
 90 2.4248 5.124       
 91 2.4304 5.012       
 92 2.4332 4.872       
 93 2.4388 4.76       
 94 2.4444 4.648       
 95 2.4472 4.536       
 96 2.4528 4.424       
 97 2.4584 4.312       
 98 2.464 4.228       
 99 2.4668 4.116       
 100 2.4724 4.032       
 101 2.478 3.948       
 102 2.4808 3.864       
 103 2.4864 3.78       
 104 2.4892 3.696       
 105 2.4948 3.64       
 106 2.4976 3.556       
 107 2.5032 3.5       
 108 2.5088 3.416       
 109 2.5116 3.36       
 110 2.5172 3.304       
 111 2.52 3.248       
 112 2.5228 3.192       
 113 2.5284 3.136       
 114 2.5312 3.08       
 115 2.5368 3.024       
 116 2.5396 2.968       
 117 2.5424 2.94       
 118 2.548 2.884       
 119 2.5508 2.828       
 120 2.5564 2.7944       
 121 2.5592 2.7524       
 122 2.562 2.7104       
 123 2.5648 2.674       
 124 2.5704 2.6348       
 125 2.5732 2.5984       
 126 2.576 2.5648       
 127 2.5788 2.5312       
 128 2.5844 2.4976       
 129 2.5872 2.4668       
 130 2.59 2.436       
 131 2.5928 2.408       
 132 2.5984 2.38       
 133 2.6012 2.352       
 134 2.604 2.3268       
