        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,Ed_Transportation ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis ,Seco_E_e+_LeptsPositronium ,
        0.004125 ,         414.418 ,          386254 ,     8.64023e+07 ,               0 ,      4.4687e+08 ,          106013 ,          560264 ,         852.248 ,     8.07059e+08 ,     9.41567e+06 ,          749637 ,         8745.33 ,            4589 ,         1294.55 ,          627771 ,     6.03445e+06 ,            8991 ,         92428.9 ,          301746 ,     1.72883e+07 ,     1.01035e+06 ,     1.27406e+07 ,     1.31097e+06 ,     1.65314e+07 ,            1323 ,          195161 ,           28971 ,     2.19785e+07 ,            6645 ,          232575 ,     2.11656e+06 ,         18958.7 ,          184175 ,     1.37326e+06 ,            1873 ,         438.478 ,            6535 ,          383683 ,         40853.4 ,               0 ,
        0.004175 ,         414.653 ,          378724 ,     8.42707e+07 ,               0 ,     4.36531e+08 ,          103606 ,          549309 ,         834.728 ,     7.88297e+08 ,     9.19674e+06 ,          754054 ,         8796.69 ,            4625 ,         1312.75 ,          613656 ,     5.89802e+06 ,            8923 ,         91397.8 ,          294795 ,     1.67886e+07 ,          986465 ,     1.24393e+07 ,     1.28278e+06 ,     1.61759e+07 ,            1313 ,          191412 ,           28412 ,     2.14135e+07 ,            6363 ,          222705 ,      2.0686e+06 ,         18542.7 ,          180198 ,      1.3446e+06 ,            1945 ,         484.243 ,            6486 ,          374999 ,           38820 ,               0 ,
        0.004225 ,          414.38 ,          374981 ,     8.17656e+07 ,               0 ,     4.23198e+08 ,          100397 ,          532395 ,         798.408 ,     7.64304e+08 ,     8.91691e+06 ,          724018 ,         8445.85 ,            4374 ,         1246.22 ,          593686 ,     5.70789e+06 ,            8929 ,           91662 ,          288084 ,     1.65542e+07 ,          952466 ,     1.20106e+07 ,     1.24481e+06 ,      1.5697e+07 ,            1168 ,          170241 ,           27482 ,     2.06038e+07 ,            6117 ,          214095 ,     2.00267e+06 ,         17959.8 ,          174325 ,     1.30073e+06 ,            1911 ,          523.75 ,            6482 ,          369031 ,         32032.9 ,               0 ,
        0.004275 ,         414.141 ,          370295 ,     7.94612e+07 ,               0 ,     4.12607e+08 ,         97826.2 ,          516587 ,         776.931 ,     7.45469e+08 ,     8.69714e+06 ,          701794 ,         8188.04 ,            4350 ,         1226.34 ,          580895 ,      5.5812e+06 ,            8721 ,         89609.8 ,          279762 ,     1.59331e+07 ,          932621 ,     1.17604e+07 ,     1.21216e+06 ,     1.52853e+07 ,            1182 ,          174739 ,           26901 ,     1.99524e+07 ,            6061 ,          212135 ,     1.95635e+06 ,         17543.2 ,          170051 ,     1.26811e+06 ,            1808 ,         452.743 ,            6430 ,          381097 ,         32289.3 ,               0 ,
        0.004325 ,          414.54 ,          362912 ,     7.69469e+07 ,               0 ,     4.01144e+08 ,         95175.5 ,          505808 ,         749.285 ,     7.24355e+08 ,     8.45075e+06 ,          702774 ,         8199.14 ,            4443 ,         1248.23 ,          563299 ,     5.41444e+06 ,            8404 ,         86111.7 ,          273260 ,     1.56012e+07 ,          905253 ,     1.14152e+07 ,     1.17851e+06 ,      1.4861e+07 ,            1161 ,          174166 ,           25793 ,     1.90086e+07 ,            5861 ,          205135 ,       1.899e+06 ,         17023.9 ,          165794 ,     1.23649e+06 ,            1863 ,         479.492 ,            6234 ,          370977 ,         29871.4 ,               0 ,
        0.004375 ,         414.716 ,          359088 ,     7.42941e+07 ,               0 ,     3.88244e+08 ,         92160.1 ,          488135 ,         729.193 ,     7.00845e+08 ,     8.17651e+06 ,          675241 ,         7875.63 ,            4361 ,          1225.5 ,          545119 ,     5.23885e+06 ,            8421 ,         86464.6 ,          264311 ,     1.50813e+07 ,          875965 ,     1.10459e+07 ,     1.13828e+06 ,     1.43537e+07 ,            1145 ,          168039 ,           24990 ,     1.82734e+07 ,            5639 ,          197365 ,      1.8352e+06 ,           16443 ,          159824 ,     1.19158e+06 ,            1763 ,         439.181 ,            6346 ,          362049 ,         26987.8 ,               0 ,
        0.004425 ,         414.592 ,          350751 ,     7.22314e+07 ,               0 ,     3.76565e+08 ,         89361.8 ,          476656 ,         699.044 ,     6.79901e+08 ,     7.93222e+06 ,          676243 ,         7890.82 ,            4336 ,         1219.78 ,          529232 ,     5.08482e+06 ,            8372 ,         85645.7 ,          257172 ,     1.47065e+07 ,          846090 ,     1.06692e+07 ,     1.10741e+06 ,     1.39644e+07 ,            1102 ,          162409 ,           24375 ,     1.78105e+07 ,            5462 ,          191170 ,     1.78112e+06 ,         15950.7 ,          155654 ,     1.16049e+06 ,            1838 ,         501.543 ,            6050 ,          348346 ,         28827.7 ,               0 ,
        0.004475 ,         414.222 ,          348558 ,     6.93574e+07 ,               0 ,     3.62371e+08 ,         85955.9 ,          459290 ,         678.977 ,     6.54434e+08 ,     7.63507e+06 ,          646397 ,         7541.99 ,            3999 ,         1134.11 ,          507445 ,     4.87684e+06 ,            7978 ,         81825.7 ,          247581 ,     1.41036e+07 ,          815271 ,     1.02806e+07 ,      1.0671e+06 ,     1.34561e+07 ,            1087 ,          160310 ,           23409 ,     1.70187e+07 ,            5151 ,          180285 ,     1.71573e+06 ,         15383.6 ,          148932 ,     1.11103e+06 ,            1713 ,         422.942 ,            5921 ,          341967 ,         26371.2 ,               0 ,
        0.004525 ,         414.511 ,          343301 ,     6.67333e+07 ,               0 ,     3.49292e+08 ,         82872.1 ,          441771 ,         651.597 ,     6.30784e+08 ,     7.35906e+06 ,          626888 ,         7315.08 ,            4006 ,         1135.27 ,          490770 ,     4.71842e+06 ,            7794 ,         80123.6 ,          240511 ,     1.37048e+07 ,          786655 ,     9.91972e+06 ,       1.027e+06 ,     1.29505e+07 ,            1019 ,          151930 ,           22579 ,     1.61507e+07 ,            5082 ,          177870 ,     1.65286e+06 ,         14830.1 ,          143780 ,     1.07236e+06 ,            1689 ,         407.768 ,            5846 ,          340658 ,         22285.2 ,               0 ,
        0.004575 ,         414.359 ,          338434 ,     6.41851e+07 ,               0 ,     3.36124e+08 ,         79752.2 ,          427754 ,         624.416 ,     6.06985e+08 ,     7.08148e+06 ,          609813 ,         7112.96 ,            3896 ,         1105.81 ,          471815 ,     4.53517e+06 ,            7591 ,         77981.5 ,          231877 ,     1.31998e+07 ,          756452 ,     9.53886e+06 ,          990516 ,     1.24904e+07 ,             943 ,          140127 ,           21728 ,     1.54801e+07 ,            4716 ,          165060 ,     1.59164e+06 ,         14261.6 ,          139149 ,     1.03688e+06 ,            1638 ,         425.278 ,            5751 ,          335967 ,         25656.3 ,               0 ,
        0.004625 ,         414.621 ,          331799 ,     6.17781e+07 ,               0 ,     3.22826e+08 ,         76628.7 ,          412373 ,         592.796 ,     5.82822e+08 ,     6.79956e+06 ,          601118 ,         7013.12 ,            3957 ,         1120.79 ,          453630 ,     4.35902e+06 ,            7614 ,         78220.1 ,          223130 ,     1.27316e+07 ,          726204 ,     9.15743e+06 ,          950568 ,     1.19867e+07 ,             869 ,          128525 ,           20989 ,     1.49558e+07 ,            4555 ,          159425 ,     1.52772e+06 ,         13673.4 ,          133057 ,          991974 ,            1648 ,         399.751 ,            5603 ,          330478 ,         26754.3 ,               0 ,
