"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
1.645E-06,568691,73146,563902,72294
1.655E-06,567952,73046,563223,72182
1.665E-06,567219,72910,562597,72069
1.675E-06,566495,72782,561897,71956
1.685E-06,565745,72667,561226,71832
1.695E-06,565021,72544,560525,71719
1.705E-06,564330,72422,559875,71620
1.715E-06,563622,72307,559227,71516
1.725E-06,562967,72176,558568,71410
1.735E-06,562301,72043,557906,71277
1.745E-06,561590,71936,557245,71176
1.755E-06,560839,71837,556506,71081
1.765E-06,560122,71712,555847,70956
1.775E-06,559338,71591,555166,70851
1.785E-06,558616,71455,554479,70737
1.795E-06,557855,71320,553776,70622
1.805E-06,557167,71194,553147,70514
1.815E-06,556495,71065,552520,70380
1.825E-06,555834,70932,551849,70279
1.835E-06,555127,70812,551181,70178
1.845E-06,554404,70696,550489,70067
1.855E-06,553693,70592,549790,69944
1.865E-06,552988,70477,549117,69821
1.875E-06,552326,70353,548441,69708
1.885E-06,551606,70223,547768,69589
1.895E-06,550840,70104,547113,69482
1.905E-06,550119,70000,546430,69375
1.915E-06,549363,69887,545746,69285
1.925E-06,548672,69771,545063,69192
1.935E-06,547953,69619,544386,69086
1.945E-06,547240,69512,543706,68975
1.955E-06,546527,69393,543037,68859
1.965E-06,545808,69282,542382,68756
1.975E-06,545037,69131,541670,68630
1.985E-06,544339,69006,541044,68518
1.995E-06,543624,68884,540375,68401
2.005E-06,542951,68768,539681,68304
2.015E-06,542199,68639,539006,68186
2.025E-06,541450,68523,538342,68068
2.035E-06,540722,68402,537667,67936
2.045E-06,539982,68281,536935,67800
2.055E-06,539254,68159,536259,67682
2.065E-06,538534,68031,535539,67563
2.075E-06,537796,67905,534860,67442
2.085E-06,537085,67796,534204,67325
2.095E-06,536341,67691,533553,67223
2.105E-06,535645,67566,532789,67088
2.115E-06,534914,67433,532081,66965
2.125E-06,534160,67323,531401,66870
2.135E-06,533392,67207,530671,66758
2.145E-06,532605,67076,529983,66617
2.155E-06,531857,66965,529254,66498
2.165E-06,531120,66837,528537,66385
2.175E-06,530381,66731,527796,66271
2.185E-06,529634,66616,527116,66166
2.195E-06,528815,66508,526394,66065
2.205E-06,528074,66392,525723,65933
2.215E-06,527340,66269,525039,65821
2.225E-06,526625,66157,524339,65715
2.235E-06,525867,66055,523642,65609
2.245E-06,525126,65934,522923,65504
2.255E-06,524337,65824,522174,65391
2.265E-06,523593,65691,521477,65268
2.275E-06,522833,65555,520752,65146
2.285E-06,522074,65423,520005,65025
2.295E-06,521277,65300,519278,64889
2.305E-06,520481,65184,518586,64788
2.315E-06,519700,65043,517854,64658
2.325E-06,518967,64924,517100,64552
2.335E-06,518188,64799,516365,64441
2.345E-06,517443,64671,515641,64327
2.355E-06,516664,64556,514869,64215
2.365E-06,515947,64442,514172,64105
2.375E-06,515146,64309,513471,63999
2.385E-06,514392,64201,512732,63892
2.395E-06,513669,64064,512051,63772
2.405E-06,512884,63959,511296,63667
2.415E-06,512055,63843,510532,63550
2.425E-06,511303,63727,509808,63434
2.435E-06,510527,63596,509111,63325
2.445E-06,509730,63485,508363,63228
2.455E-06,508930,63363,507596,63109
2.465E-06,508172,63262,506889,63011
2.475E-06,507344,63161,506154,62911
