"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
7.145E-06,306547,31641,307233,31749
7.155E-06,306298,31600,306985,31707
7.165E-06,306065,31562,306736,31669
7.175E-06,305837,31512,306506,31616
7.185E-06,305581,31469,306250,31573
7.195E-06,305314,31439,305990,31543
7.205E-06,305082,31405,305757,31496
7.215E-06,304808,31365,305499,31458
7.225E-06,304548,31314,305242,31428
7.235E-06,304324,31265,304999,31379
7.245E-06,304120,31224,304772,31337
7.255E-06,303901,31189,304546,31300
7.265E-06,303646,31156,304310,31265
7.275E-06,303419,31126,304048,31230
7.285E-06,303173,31096,303801,31201
7.295E-06,302915,31057,303542,31169
7.305E-06,302647,31016,303283,31132
7.315E-06,302402,30965,303045,31079
7.325E-06,302152,30935,302806,31034
7.335E-06,301918,30891,302577,30992
7.345E-06,301674,30854,302347,30954
7.355E-06,301434,30820,302105,30916
7.365E-06,301219,30790,301889,30875
7.375E-06,300992,30761,301654,30842
7.385E-06,300731,30725,301411,30805
7.395E-06,300507,30682,301161,30758
7.405E-06,300287,30642,300924,30718
7.415E-06,300059,30605,300674,30673
7.425E-06,299830,30563,300439,30620
7.435E-06,299603,30534,300222,30582
7.445E-06,299351,30495,299969,30544
7.455E-06,299123,30467,299732,30509
7.465E-06,298866,30430,299482,30472
7.475E-06,298601,30406,299229,30434
7.485E-06,298365,30357,298980,30382
7.495E-06,298111,30322,298735,30359
7.505E-06,297890,30272,298508,30315
7.515E-06,297633,30232,298262,30281
7.525E-06,297395,30202,298022,30247
7.535E-06,297151,30159,297756,30208
7.545E-06,296916,30126,297530,30173
7.555E-06,296681,30083,297316,30132
7.565E-06,296458,30042,297103,30091
7.575E-06,296217,30005,296846,30047
7.585E-06,295980,29965,296609,30000
7.595E-06,295761,29931,296367,29972
7.605E-06,295525,29893,296118,29935
7.615E-06,295275,29855,295860,29890
7.625E-06,295060,29820,295638,29850
7.635E-06,294812,29774,295377,29802
7.645E-06,294591,29723,295149,29759
7.655E-06,294373,29693,294933,29719
7.665E-06,294128,29661,294699,29682
7.675E-06,293907,29619,294484,29638
7.685E-06,293657,29582,294220,29603
7.695E-06,293442,29545,293991,29564
7.705E-06,293194,29505,293736,29526
7.715E-06,292926,29465,293475,29488
7.725E-06,292704,29423,293236,29454
7.735E-06,292471,29386,293027,29414
7.745E-06,292236,29344,292796,29374
7.755E-06,291990,29295,292564,29329
7.765E-06,291751,29260,292348,29295
7.775E-06,291512,29223,292117,29256
7.785E-06,291269,29186,291882,29207
7.795E-06,291040,29145,291656,29170
7.805E-06,290816,29106,291428,29130
7.815E-06,290581,29069,291195,29081
7.825E-06,290363,29028,290953,29032
7.835E-06,290126,29000,290713,28999
7.845E-06,289895,28958,290485,28962
7.855E-06,289687,28922,290275,28917
7.865E-06,289467,28890,290054,28890
7.875E-06,289253,28842,289800,28841
7.885E-06,289003,28808,289554,28800
7.895E-06,288773,28769,289329,28754
7.905E-06,288551,28739,289084,28727
7.915E-06,288267,28702,288849,28694
7.925E-06,288029,28665,288620,28658
7.935E-06,287803,28632,288406,28629
7.945E-06,287554,28588,288181,28591
7.955E-06,287334,28542,287951,28550
7.965E-06,287094,28520,287711,28517
7.975E-06,286862,28488,287478,28488
7.985E-06,286643,28452,287259,28459
7.995E-06,286420,28424,286994,28431
8.005E-06,286204,28391,286774,28395
8.015E-06,285976,28357,286552,28356
8.025E-06,285753,28320,286333,28309
8.035E-06,285528,28276,286117,28270
8.045E-06,285309,28237,285911,28230
8.055E-06,285068,28188,285669,28178
8.065E-06,284836,28154,285431,28144
8.075E-06,284620,28114,285202,28104
8.085E-06,284363,28074,284948,28065
8.095E-06,284141,28030,284732,28022
8.105E-06,283922,27987,284511,27983
8.115E-06,283697,27952,284265,27942
8.125E-06,283446,27914,284032,27904
8.135E-06,283237,27865,283819,27865
8.145E-06,282992,27824,283591,27825
8.155E-06,282759,27784,283353,27785
8.165E-06,282531,27740,283126,27747
8.175E-06,282293,27709,282911,27715
8.185E-06,282036,27671,282668,27675
8.195E-06,281812,27638,282444,27647
8.205E-06,281578,27606,282225,27615
8.215E-06,281358,27572,281986,27582
8.225E-06,281146,27541,281782,27549
8.235E-06,280932,27507,281538,27512
8.245E-06,280704,27462,281323,27482
8.255E-06,280481,27428,281096,27457
8.265E-06,280263,27399,280893,27434
8.275E-06,280055,27369,280670,27394
8.285E-06,279804,27335,280453,27360
8.295E-06,279564,27299,280212,27329
8.305E-06,279356,27260,280004,27297
8.315E-06,279148,27218,279771,27264
8.325E-06,278933,27176,279567,27221
8.335E-06,278686,27129,279335,27173
8.345E-06,278467,27093,279122,27141
8.355E-06,278233,27069,278895,27115
8.365E-06,278012,27035,278670,27087
8.375E-06,277800,26999,278456,27048
8.385E-06,277586,26961,278240,27014
8.395E-06,277357,26921,278001,26973
8.405E-06,277154,26900,277793,26945
8.415E-06,276926,26864,277558,26909
8.425E-06,276701,26833,277338,26880
8.435E-06,276483,26794,277114,26839
8.445E-06,276259,26762,276896,26805
8.455E-06,276044,26733,276681,26774
8.465E-06,275834,26692,276455,26735
8.475E-06,275638,26651,276246,26692
8.485E-06,275409,26625,276028,26664
8.495E-06,275197,26590,275838,26633
8.505E-06,274984,26540,275622,26597
8.515E-06,274791,26500,275405,26562
8.525E-06,274583,26474,275191,26525
8.535E-06,274367,26429,274984,26479
8.545E-06,274153,26397,274774,26442
8.555E-06,273924,26359,274534,26405
8.565E-06,273724,26319,274305,26367
8.575E-06,273502,26268,274097,26327
8.585E-06,273288,26237,273872,26286
8.595E-06,273078,26199,273646,26257
8.605E-06,272854,26168,273418,26232
8.615E-06,272643,26126,273206,26202
8.625E-06,272374,26092,272981,26167
8.635E-06,272152,26053,272751,26126
8.645E-06,271944,26020,272520,26090
8.655E-06,271721,25977,272296,26053
8.665E-06,271515,25945,272080,26028
8.675E-06,271319,25915,271861,25990
8.685E-06,271115,25874,271656,25952
8.695E-06,270919,25837,271454,25916
8.705E-06,270710,25804,271234,25876
8.715E-06,270504,25772,271031,25848
8.725E-06,270305,25735,270816,25814
8.735E-06,270075,25702,270597,25772
8.745E-06,269851,25661,270381,25741
8.755E-06,269633,25635,270144,25715
8.765E-06,269432,25602,269916,25682
8.775E-06,269213,25571,269677,25642
8.785E-06,268987,25545,269455,25606
8.795E-06,268788,25514,269252,25585
8.805E-06,268602,25475,269062,25549
8.815E-06,268391,25443,268845,25519
8.825E-06,268193,25407,268661,25484
8.835E-06,267980,25369,268459,25441
8.845E-06,267799,25340,268259,25412
8.855E-06,267593,25309,268047,25380
8.865E-06,267400,25275,267858,25341
8.875E-06,267204,25239,267655,25309
8.885E-06,267028,25199,267463,25277
8.895E-06,266802,25173,267226,25245
8.905E-06,266588,25138,267028,25203
8.915E-06,266383,25108,266829,25177
8.925E-06,266160,25077,266629,25131
8.935E-06,265941,25054,266410,25109
8.945E-06,265738,25016,266196,25075
8.955E-06,265527,24980,265994,25054
8.965E-06,265321,24950,265802,25014
8.975E-06,265143,24915,265627,24982
8.985E-06,264931,24888,265404,24947
8.995E-06,264729,24858,265230,24909
9.005E-06,264547,24822,265046,24872
9.015E-06,264356,24790,264866,24840
9.025E-06,264157,24755,264658,24805
9.035E-06,263953,24729,264467,24774
9.045E-06,263764,24681,264297,24736
9.055E-06,263579,24648,264121,24701
9.065E-06,263381,24616,263945,24666
9.075E-06,263176,24581,263766,24634
9.085E-06,262977,24541,263558,24603
9.095E-06,262809,24502,263382,24572
9.105E-06,262626,24468,263190,24530
9.115E-06,262462,24434,263013,24490
9.125E-06,262277,24405,262820,24466
9.135E-06,262085,24366,262616,24431
9.145E-06,261903,24339,262427,24403
9.155E-06,261743,24308,262251,24369
9.165E-06,261578,24274,262047,24335
9.175E-06,261396,24242,261867,24305
9.185E-06,261203,24203,261657,24273
9.195E-06,261024,24166,261489,24250
9.205E-06,260837,24131,261310,24220
9.215E-06,260632,24095,261121,24191
9.225E-06,260461,24063,260946,24161
9.235E-06,260291,24036,260766,24130
9.245E-06,260122,24007,260590,24109
9.255E-06,259955,23969,260426,24073
9.265E-06,259801,23943,260260,24048
9.275E-06,259610,23910,260084,24018
9.285E-06,259436,23877,259896,23984
9.295E-06,259247,23846,259702,23948
9.305E-06,259068,23814,259511,23922
9.315E-06,258896,23784,259340,23893
9.325E-06,258728,23758,259160,23864
9.335E-06,258548,23733,258991,23832
9.345E-06,258333,23707,258784,23800
9.355E-06,258143,23676,258614,23765
9.365E-06,257966,23638,258444,23733
9.375E-06,257772,23601,258259,23695
9.385E-06,257585,23567,258069,23664
9.395E-06,257402,23526,257870,23620
9.405E-06,257253,23488,257712,23586
9.415E-06,257092,23448,257552,23549
9.425E-06,256888,23413,257380,23522
9.435E-06,256702,23391,257202,23498
9.445E-06,256547,23359,257050,23473
9.455E-06,256382,23323,256883,23439
9.465E-06,256208,23288,256702,23399
9.475E-06,256042,23246,256544,23363
9.485E-06,255878,23217,256383,23338
9.495E-06,255708,23191,256204,23310
9.505E-06,255545,23157,256034,23278
9.515E-06,255360,23126,255846,23253
9.525E-06,255203,23091,255700,23216
9.535E-06,255050,23057,255535,23182
9.545E-06,254858,23026,255366,23153
9.555E-06,254664,22996,255195,23109
9.565E-06,254507,22957,255034,23078
9.575E-06,254326,22930,254846,23054
9.585E-06,254140,22902,254671,23029
9.595E-06,253987,22865,254503,22998
9.605E-06,253798,22834,254337,22970
9.615E-06,253649,22799,254180,22943
9.625E-06,253489,22775,254008,22914
9.635E-06,253320,22735,253832,22877
9.645E-06,253159,22701,253684,22844
9.655E-06,252984,22680,253509,22810
9.665E-06,252824,22656,253342,22783
9.675E-06,252642,22626,253155,22757
9.685E-06,252459,22591,252993,22718
9.695E-06,252308,22570,252818,22696
9.705E-06,252150,22542,252648,22664
9.715E-06,251987,22508,252492,22626
9.725E-06,251821,22462,252353,22591
9.735E-06,251657,22432,252187,22565
9.745E-06,251479,22404,252018,22536
9.755E-06,251316,22366,251835,22492
9.765E-06,251162,22339,251700,22468
9.775E-06,250993,22319,251542,22444
9.785E-06,250828,22283,251383,22409
9.795E-06,250621,22249,251186,22368
9.805E-06,250439,22213,251006,22338
9.815E-06,250272,22188,250820,22310
9.825E-06,250063,22161,250614,22276
9.835E-06,249884,22125,250444,22241
9.845E-06,249695,22100,250261,22205
9.855E-06,249499,22066,250076,22174
9.865E-06,249339,22032,249907,22138
9.875E-06,249160,21993,249769,22111
9.885E-06,248971,21957,249594,22085
9.895E-06,248817,21917,249461,22050
9.905E-06,248644,21886,249276,22017
9.915E-06,248480,21845,249103,21984
9.925E-06,248337,21816,248930,21952
9.935E-06,248189,21779,248764,21926
9.945E-06,248036,21751,248610,21899
9.955E-06,247873,21718,248455,21877
9.965E-06,247704,21684,248263,21839
9.975E-06,247540,21657,248092,21812
9.985E-06,247360,21634,247909,21787
9.995E-06,247192,21604,247745,21754
1.0005E-05,247027,21570,247570,21720
1.0015E-05,246861,21541,247420,21685
1.0025E-05,246651,21502,247199,21653
1.0035E-05,246459,21470,247013,21619
1.0045E-05,246274,21439,246831,21586
1.0055E-05,246112,21417,246662,21558
1.0065E-05,245940,21384,246490,21529
1.0075E-05,245773,21353,246333,21489
1.0085E-05,245622,21318,246179,21448
1.0095E-05,245460,21289,245982,21415
1.0105E-05,245270,21252,245805,21380
1.0115E-05,245124,21220,245649,21350
1.0125E-05,244957,21182,245484,21319
1.0135E-05,244798,21154,245329,21288
1.0145E-05,244618,21118,245152,21256
1.0155E-05,244424,21086,244959,21224
1.0165E-05,244258,21056,244797,21192
1.0175E-05,244072,21028,244604,21161
1.0185E-05,243882,20991,244428,21129
1.0195E-05,243668,20960,244247,21098
1.0205E-05,243473,20916,244060,21064
1.0215E-05,243295,20884,243893,21027
1.0225E-05,243124,20860,243729,21004
1.0235E-05,242945,20827,243537,20960
1.0245E-05,242786,20795,243374,20931
1.0255E-05,242603,20772,243206,20908
1.0265E-05,242424,20739,243019,20880
1.0275E-05,242276,20705,242845,20842
1.0285E-05,242097,20682,242686,20810
1.0295E-05,241933,20635,242520,20775
1.0305E-05,241767,20603,242322,20750
1.0315E-05,241599,20565,242141,20713
1.0325E-05,241418,20535,241945,20683
1.0335E-05,241249,20502,241767,20652
1.0345E-05,241063,20472,241598,20617
1.0355E-05,240863,20444,241410,20583
1.0365E-05,240693,20407,241223,20553
1.0375E-05,240505,20376,241017,20519
1.0385E-05,240291,20339,240834,20484
1.0395E-05,240098,20311,240649,20445
1.0405E-05,239915,20276,240476,20405
1.0415E-05,239746,20241,240303,20377
1.0425E-05,239552,20212,240125,20351
1.0435E-05,239372,20180,239942,20326
1.0445E-05,239146,20156,239738,20296
1.0455E-05,238971,20121,239549,20260
1.0465E-05,238793,20094,239357,20232
1.0475E-05,238590,20068,239149,20209
1.0485E-05,238393,20027,238949,20177
1.0495E-05,238206,19999,238761,20147
1.0505E-05,238020,19964,238580,20109
1.0515E-05,237823,19941,238397,20079
1.0525E-05,237638,19910,238212,20045
1.0535E-05,237455,19871,238021,20006
1.0545E-05,237246,19838,237812,19970
1.0555E-05,237076,19813,237632,19939
1.0565E-05,236890,19789,237436,19912
1.0575E-05,236718,19750,237254,19870
1.0585E-05,236536,19712,237066,19839
1.0595E-05,236330,19677,236882,19805
1.0605E-05,236138,19646,236660,19779
1.0615E-05,235944,19618,236473,19751
1.0625E-05,235752,19589,236292,19720
1.0635E-05,235557,19561,236085,19691
1.0645E-05,235349,19521,235888,19654
1.0655E-05,235144,19485,235688,19627
1.0665E-05,234927,19462,235482,19602
1.0675E-05,234704,19438,235267,19581
1.0685E-05,234498,19404,235042,19552
1.0695E-05,234297,19377,234861,19516
1.0705E-05,234113,19349,234639,19487
1.0715E-05,233914,19315,234443,19455
1.0725E-05,233721,19285,234259,19427
1.0735E-05,233526,19251,234044,19395
1.0745E-05,233348,19225,233851,19361
1.0755E-05,233137,19199,233635,19324
1.0765E-05,232924,19173,233431,19289
1.0775E-05,232713,19135,233215,19254
1.0785E-05,232524,19107,233038,19222
1.0795E-05,232309,19066,232809,19187
1.0805E-05,232097,19030,232576,19147
1.0815E-05,231893,18991,232409,19115
1.0825E-05,231686,18970,232196,19085
1.0835E-05,231480,18939,231989,19052
1.0845E-05,231268,18905,231781,19016
1.0855E-05,231057,18880,231565,18990
1.0865E-05,230854,18849,231365,18955
1.0875E-05,230621,18813,231142,18924
1.0885E-05,230416,18781,230927,18886
1.0895E-05,230188,18752,230726,18860
1.0905E-05,229971,18724,230518,18833
1.0915E-05,229747,18696,230319,18813
1.0925E-05,229515,18657,230097,18785
1.0935E-05,229320,18625,229895,18756
1.0945E-05,229101,18601,229696,18730
1.0955E-05,228898,18564,229498,18699
1.0965E-05,228661,18538,229259,18666
1.0975E-05,228451,18504,229056,18628
1.0985E-05,228243,18462,228815,18592
1.0995E-05,228034,18430,228606,18555
1.1005E-05,227821,18396,228378,18520
1.1015E-05,227600,18360,228146,18484
1.1025E-05,227381,18328,227925,18452
1.1035E-05,227147,18309,227680,18435
1.1045E-05,226932,18268,227452,18406
1.1055E-05,226708,18236,227230,18372
1.1065E-05,226485,18205,227011,18344
1.1075E-05,226273,18178,226786,18311
1.1085E-05,226058,18151,226576,18279
1.1095E-05,225809,18114,226334,18237
1.1105E-05,225586,18077,226096,18203
1.1115E-05,225377,18046,225866,18173
1.1125E-05,225163,18016,225645,18142
1.1135E-05,224937,17980,225409,18106
1.1145E-05,224721,17950,225185,18077
1.1155E-05,224457,17917,224955,18055
1.1165E-05,224219,17880,224712,18019
1.1175E-05,223969,17840,224495,17985
1.1185E-05,223726,17813,224254,17952
1.1195E-05,223514,17781,224009,17927
1.1205E-05,223257,17741,223728,17889
1.1215E-05,223032,17696,223495,17861
1.1225E-05,222786,17672,223243,17830
1.1235E-05,222551,17640,222987,17799
1.1245E-05,222288,17601,222731,17767
1.1255E-05,222030,17567,222482,17728
1.1265E-05,221766,17530,222251,17689
1.1275E-05,221514,17498,222006,17663
1.1285E-05,221265,17464,221747,17620
1.1295E-05,221016,17415,221503,17582
1.1305E-05,220780,17385,221272,17549
1.1315E-05,220510,17354,221009,17514
1.1325E-05,220282,17319,220760,17481
1.1335E-05,220007,17282,220500,17452
1.1345E-05,219742,17240,220218,17413
1.1355E-05,219479,17205,219979,17380
1.1365E-05,219231,17177,219724,17347
1.1375E-05,219002,17134,219478,17306
1.1385E-05,218737,17100,219230,17269
1.1395E-05,218497,17068,218970,17235
1.1405E-05,218231,17041,218722,17202
1.1415E-05,217969,17002,218445,17159
1.1425E-05,217697,16966,218158,17119
1.1435E-05,217423,16934,217881,17084
1.1445E-05,217136,16913,217615,17052
1.1455E-05,216838,16877,217317,17014
1.1465E-05,216597,16840,217068,16980
1.1475E-05,216322,16798,216804,16938
1.1485E-05,216057,16757,216545,16907
1.1495E-05,215777,16718,216289,16873
1.1505E-05,215508,16691,216011,16842
1.1515E-05,215237,16665,215741,16814
1.1525E-05,214964,16625,215478,16769
1.1535E-05,214682,16593,215201,16731
1.1545E-05,214411,16557,214937,16694
1.1555E-05,214143,16531,214669,16659
1.1565E-05,213862,16493,214398,16617
1.1575E-05,213555,16458,214103,16581
1.1585E-05,213285,16418,213840,16541
1.1595E-05,213010,16374,213564,16506
1.1605E-05,212707,16341,213252,16473
1.1615E-05,212429,16301,212960,16424
1.1625E-05,212146,16262,212686,16391
1.1635E-05,211880,16227,212412,16347
1.1645E-05,211577,16188,212107,16301
1.1655E-05,211265,16137,211798,16253
1.1665E-05,210976,16095,211535,16227
1.1675E-05,210644,16062,211236,16186
1.1685E-05,210373,16010,210971,16140
1.1695E-05,210080,15973,210657,16102
1.1705E-05,209770,15942,210334,16077
1.1715E-05,209503,15907,210046,16036
1.1725E-05,209183,15878,209733,16001
1.1735E-05,208878,15839,209447,15960
1.1745E-05,208593,15793,209174,15919
1.1755E-05,208279,15751,208860,15880
1.1765E-05,207971,15711,208535,15840
1.1775E-05,207674,15672,208221,15798
1.1785E-05,207307,15637,207861,15755
1.1795E-05,206980,15606,207531,15725
1.1805E-05,206678,15568,207206,15694
1.1815E-05,206381,15536,206862,15655
1.1825E-05,206064,15505,206523,15626
1.1835E-05,205722,15469,206206,15589
1.1845E-05,205385,15424,205884,15544
1.1855E-05,205050,15382,205562,15508
1.1865E-05,204717,15341,205234,15479
1.1875E-05,204399,15304,204904,15441
1.1885E-05,204076,15274,204548,15407
1.1895E-05,203746,15240,204240,15376
1.1905E-05,203453,15202,203933,15343
1.1915E-05,203157,15165,203626,15300
1.1925E-05,202774,15136,203265,15272
1.1935E-05,202459,15108,202936,15233
1.1945E-05,202120,15072,202600,15201
1.1955E-05,201809,15028,202270,15157
1.1965E-05,201486,14999,201958,15120
1.1975E-05,201122,14952,201572,15079
1.1985E-05,200757,14921,201257,15057
1.1995E-05,200405,14882,200914,15019
1.2005E-05,200063,14838,200543,14979
1.2015E-05,199710,14804,200176,14941
1.2025E-05,199371,14766,199834,14904
1.2035E-05,199013,14730,199466,14863
1.2045E-05,198660,14693,199094,14817
1.2055E-05,198317,14655,198730,14784
1.2065E-05,197992,14621,198392,14742
1.2075E-05,197652,14588,198064,14705
1.2085E-05,197304,14548,197669,14661
1.2095E-05,196946,14500,197299,14608
1.2105E-05,196568,14464,196920,14567
1.2115E-05,196196,14429,196549,14528
1.2125E-05,195852,14374,196226,14478
1.2135E-05,195501,14334,195869,14435
1.2145E-05,195184,14295,195493,14394
1.2155E-05,194824,14259,195136,14357
1.2165E-05,194484,14205,194779,14303
1.2175E-05,194130,14164,194409,14257
1.2185E-05,193754,14121,194013,14205
1.2195E-05,193370,14091,193623,14171
1.2205E-05,192997,14055,193254,14136
1.2215E-05,192625,14025,192866,14106
1.2225E-05,192207,13976,192454,14071
1.2235E-05,191842,13937,192066,14037
1.2245E-05,191476,13898,191677,13989
1.2255E-05,191093,13866,191290,13952
1.2265E-05,190705,13825,190932,13917
1.2275E-05,190285,13780,190516,13882
1.2285E-05,189864,13739,190137,13839
1.2295E-05,189467,13704,189766,13798
1.2305E-05,189088,13658,189347,13751
1.2315E-05,188673,13621,188915,13712
1.2325E-05,188290,13581,188519,13682
1.2335E-05,187873,13550,188072,13639
1.2345E-05,187454,13500,187660,13598
1.2355E-05,187073,13458,187249,13553
1.2365E-05,186651,13417,186799,13516
1.2375E-05,186243,13377,186369,13475
1.2385E-05,185766,13331,185911,13426
1.2395E-05,185328,13291,185486,13385
1.2405E-05,184922,13235,185080,13327
1.2415E-05,184508,13191,184653,13283
1.2425E-05,184080,13158,184226,13245
1.2435E-05,183656,13111,183789,13203
1.2445E-05,183204,13067,183332,13168
1.2455E-05,182729,13020,182888,13125
1.2465E-05,182303,12971,182439,13084
1.2475E-05,181870,12933,182039,13030
1.2485E-05,181433,12891,181596,12981
1.2495E-05,180991,12850,181174,12930
1.2505E-05,180538,12811,180707,12892
1.2515E-05,180077,12769,180227,12850
1.2525E-05,179616,12727,179800,12808
1.2535E-05,179154,12699,179358,12776
1.2545E-05,178721,12645,178917,12729
1.2555E-05,178241,12603,178458,12686
1.2565E-05,177770,12564,177978,12658
1.2575E-05,177298,12522,177518,12608
1.2585E-05,176849,12484,177048,12571
1.2595E-05,176362,12440,176571,12529
1.2605E-05,175897,12395,176046,12480
1.2615E-05,175411,12357,175562,12435
1.2625E-05,174929,12317,175111,12389
1.2635E-05,174420,12278,174600,12353
1.2645E-05,173952,12245,174132,12318
1.2655E-05,173418,12200,173603,12280
1.2665E-05,172944,12151,173110,12234
1.2675E-05,172429,12100,172576,12182
1.2685E-05,171929,12051,172101,12127
1.2695E-05,171429,12001,171592,12080
1.2705E-05,170960,11971,171119,12042
1.2715E-05,170432,11919,170607,11995
1.2725E-05,169901,11871,170064,11958
1.2735E-05,169386,11825,169540,11912
1.2745E-05,168906,11780,169053,11868
1.2755E-05,168421,11739,168565,11825
1.2765E-05,167897,11691,168030,11774
1.2775E-05,167379,11646,167548,11730
1.2785E-05,166828,11590,167020,11681
1.2795E-05,166270,11537,166469,11632
1.2805E-05,165706,11493,165919,11596
1.2815E-05,165194,11444,165379,11556
1.2825E-05,164619,11401,164815,11510
1.2835E-05,164076,11348,164264,11466
1.2845E-05,163522,11307,163690,11412
1.2855E-05,162950,11266,163151,11357
1.2865E-05,162348,11205,162569,11304
1.2875E-05,161805,11153,161993,11254
1.2885E-05,161271,11119,161431,11217
1.2895E-05,160740,11074,160883,11168
1.2905E-05,160192,11041,160330,11116
1.2915E-05,159596,10987,159752,11061
1.2925E-05,159066,10938,159166,11014
1.2935E-05,158504,10893,158629,10965
1.2945E-05,157895,10843,158053,10923
1.2955E-05,157309,10795,157456,10873
1.2965E-05,156699,10755,156876,10831
1.2975E-05,156094,10709,156292,10774
1.2985E-05,155484,10655,155647,10733
1.2995E-05,154898,10611,155041,10688
1.3005E-05,154248,10561,154436,10646
1.3015E-05,153649,10516,153812,10595
1.3025E-05,153022,10468,153180,10536
1.3035E-05,152394,10427,152568,10482
1.3045E-05,151742,10376,151937,10437
1.3055E-05,151126,10337,151283,10399
1.3065E-05,150474,10289,150647,10347
1.3075E-05,149844,10259,150068,10312
1.3085E-05,149227,10217,149439,10274
1.3095E-05,148577,10173,148774,10225
1.3105E-05,147970,10120,148126,10189
1.3115E-05,147363,10076,147502,10146
1.3125E-05,146713,10031,146866,10102
1.3135E-05,146057,9982,146197,10050
1.3145E-05,145347,9930,145501,9996
1.3155E-05,144663,9888,144885,9952
1.3165E-05,143999,9843,144220,9892
1.3175E-05,143371,9794,143594,9841
1.3185E-05,142703,9744,142931,9788
1.3195E-05,142000,9697,142257,9735
1.3205E-05,141336,9652,141573,9684
1.3215E-05,140675,9604,140906,9622
1.3225E-05,140027,9547,140195,9566
1.3235E-05,139302,9493,139530,9511
1.3245E-05,138624,9449,138846,9463
1.3255E-05,137862,9402,138138,9406
1.3265E-05,137175,9349,137433,9356
1.3275E-05,136465,9293,136750,9294
1.3285E-05,135745,9237,136020,9238
1.3295E-05,135085,9190,135328,9176
1.3305E-05,134342,9140,134580,9125
1.3315E-05,133654,9093,133867,9065
1.3325E-05,132920,9043,133153,9025
1.3335E-05,132193,8999,132445,8981
1.3345E-05,131470,8946,131701,8911
1.3355E-05,130723,8883,130929,8857
1.3365E-05,130000,8829,130237,8799
1.3375E-05,129206,8762,129464,8739
1.3385E-05,128425,8713,128715,8690
1.3395E-05,127641,8644,127940,8619
1.3405E-05,126881,8591,127154,8567
1.3415E-05,126102,8514,126374,8507
1.3425E-05,125357,8457,125637,8443
1.3435E-05,124600,8390,124846,8383
1.3445E-05,123819,8339,124045,8324
1.3455E-05,123032,8289,123290,8268
1.3465E-05,122226,8230,122486,8204
1.3475E-05,121424,8172,121649,8143
1.3485E-05,120614,8126,120827,8082
1.3495E-05,119804,8063,120013,8012
1.3505E-05,119029,8002,119233,7963
1.3515E-05,118224,7937,118403,7916
1.3525E-05,117409,7876,117593,7855
1.3535E-05,116557,7809,116791,7788
1.3545E-05,115746,7745,115973,7723
1.3555E-05,114881,7690,115145,7660
1.3565E-05,114035,7623,114345,7591
1.3575E-05,113179,7561,113474,7531
1.3585E-05,112325,7494,112609,7462
1.3595E-05,111435,7441,111703,7408
1.3605E-05,110546,7392,110818,7350
1.3615E-05,109679,7321,109961,7282
1.3625E-05,108817,7272,109078,7213
1.3635E-05,107930,7214,108199,7134
1.3645E-05,107050,7139,107287,7069
1.3655E-05,106165,7080,106411,7007
1.3665E-05,105299,7008,105526,6924
1.3675E-05,104416,6936,104622,6860
1.3685E-05,103503,6869,103703,6803
1.3695E-05,102573,6790,102815,6733
1.3705E-05,101664,6726,101922,6670
1.3715E-05,100713,6659,100930,6602
1.3725E-05,99755,6591,99977,6531
1.3735E-05,98799,6513,99020,6465
1.3745E-05,97836,6447,98116,6402
1.3755E-05,96874,6383,97182,6337
1.3765E-05,95967,6319,96255,6262
1.3775E-05,95061,6248,95294,6196
1.3785E-05,94073,6181,94261,6124
1.3795E-05,93082,6112,93225,6063
1.3805E-05,92098,6050,92253,6004
1.3815E-05,91098,5975,91237,5931
1.3825E-05,90137,5896,90277,5865
1.3835E-05,89160,5827,89319,5779
1.3845E-05,88145,5766,88274,5722
1.3855E-05,87133,5705,87269,5664
1.3865E-05,86097,5635,86283,5597
1.3875E-05,85129,5575,85303,5530
1.3885E-05,84143,5511,84284,5467
1.3895E-05,83150,5437,83312,5400
1.3905E-05,82164,5373,82322,5339
1.3915E-05,81182,5296,81326,5268
1.3925E-05,80135,5219,80282,5205
1.3935E-05,79091,5150,79247,5127
1.3945E-05,78077,5083,78166,5064
1.3955E-05,77027,5009,77151,4991
1.3965E-05,76001,4950,76119,4916
1.3975E-05,74961,4891,75069,4855
1.3985E-05,73869,4814,73989,4785
1.3995E-05,72829,4729,72975,4711
1.4005E-05,71757,4663,71980,4647
1.4015E-05,70667,4588,70897,4558
1.4025E-05,69620,4527,69835,4504
1.4035E-05,68500,4449,68752,4428
1.4045E-05,67412,4383,67720,4355
1.4055E-05,66404,4324,66707,4288
1.4065E-05,65327,4255,65661,4210
1.4075E-05,64302,4186,64618,4134
1.4085E-05,63263,4113,63592,4058
1.4095E-05,62226,4040,62544,3990
1.4105E-05,61269,3950,61548,3897
1.4115E-05,60197,3881,60511,3830
1.4125E-05,59188,3792,59497,3767
1.4135E-05,58230,3732,58535,3698
1.4145E-05,57194,3673,57504,3633
1.4155E-05,56161,3617,56477,3562
1.4165E-05,55155,3546,55451,3495
1.4175E-05,54093,3475,54428,3423
1.4185E-05,53082,3400,53448,3358
1.4195E-05,52039,3339,52423,3299
1.4205E-05,51041,3272,51399,3240
1.4215E-05,49995,3204,50373,3182
1.4225E-05,48993,3139,49370,3117
1.4235E-05,48069,3071,48357,3051
1.4245E-05,47021,3000,47379,2984
