#P=2mTorr,,P=5mTorr,
#Energy(eV),Intensity(a.u.),Energy(eV),Intensity(a.u.)
12.4244,1192.5225,12.5344,501.27
12.4196,1172.2725,12.5296,471.82
12.4148,1147.5675,12.5248,480.81
12.41,1167.8175,12.52,498.17
12.4052,1234.2375,12.5152,487.63
12.4004,1205.685,12.5104,516.77
12.3956,1171.665,12.5056,488.25
12.3908,1161.135,12.5008,513.67
12.386,1148.3775,12.496,501.27
12.3812,1163.97,12.4912,495.69
12.3764,1179.5625,12.4864,509.02
12.3716,1167.21,12.4816,476.78
12.3668,1183.41,12.4768,494.45
12.362,1163.565,12.472,523.28
12.3572,1171.26,12.4672,477.71
12.3524,1192.1175,12.4624,504.06
12.3476,1174.2975,12.4576,471.2
12.3428,1181.1825,12.4528,517.08
12.338,1181.385,12.448,496.31
12.3332,1171.665,12.4432,468.41
12.3284,1143.5175,12.4384,510.26
12.3236,1211.355,12.4336,517.39
12.3188,1177.74,12.4288,527
12.314,1141.29,12.424,517.7
12.3092,1166.6025,12.4192,525.45
12.3044,1160.9325,12.4144,489.49
12.2996,1192.32,12.4096,505.92
12.2948,1173.285,12.4048,483.91
12.29,1141.4925,12.4,493.83
12.2852,1173.69,12.3952,497.86
12.2804,1191.915,12.3904,508.09
12.2756,1158.9075,12.3856,520.49
12.2708,1212.975,12.3808,502.2
12.266,1205.685,12.376,531.96
12.2612,1174.905,12.3712,451.98
12.2564,1187.055,12.3664,452.6
12.2516,1169.4375,12.3616,491.35
12.2468,1163.565,12.3568,568.23
12.242,1123.47,12.352,524.83
12.2372,1171.26,12.3472,505.92
12.2324,1163.3625,12.3424,518.32
12.2276,1170.045,12.3376,496.62
12.2228,1152.63,12.3328,523.28
12.218,1180.575,12.328,491.97
12.2132,1199.61,12.3232,496.31
12.2084,1165.185,12.3184,515.22
12.2036,1211.76,12.3136,519.87
12.1988,1164.5775,12.3088,530.72
12.194,1167.8175,12.304,533.51
12.1892,1174.2975,12.2992,536.92
12.1844,1163.3625,12.2944,538.47
12.1796,1190.7,12.2896,532.27
12.1748,1183.815,12.2848,496.31
12.17,1191.915,12.28,494.76
12.1652,1170.6525,12.2752,487.63
12.1604,1184.625,12.2704,547.15
12.1556,1178.3475,12.2656,501.89
12.1508,1202.6475,12.2608,510.88
12.146,1170.855,12.256,510.57
12.1412,1187.865,12.2512,522.35
12.1364,1200.015,12.2464,508.71
12.1316,1162.1475,12.2416,529.48
12.1268,1167.615,12.2368,531.03
12.122,1193.3325,12.232,542.81
12.1172,1180.575,12.2272,521.42
12.1124,1136.025,12.2224,542.19
12.1076,1181.9925,12.2176,562.96
12.1028,1178.55,12.2128,523.9
12.098,1195.965,12.208,547.15
12.0932,1204.6725,12.2032,491.04
12.0884,1165.995,12.1984,544.98
12.0836,1186.8525,12.1936,526.07
12.0788,1177.74,12.1888,545.6
12.074,1225.935,12.184,533.82
12.0692,1184.8275,12.1792,540.95
12.0644,1175.715,12.1744,525.14
12.0596,1156.8825,12.1696,526.38
12.0548,1185.84,12.1648,524.21
12.05,1180.98,12.16,549.32
12.0452,1171.8675,12.1552,550.25
12.0404,1185.6375,12.1504,544.36
12.0356,1216.8225,12.1456,531.65
12.0308,1197.3825,12.1408,562.96
12.026,1206.9,12.136,534.75
12.0212,1169.4375,12.1312,522.04
12.0164,1189.2825,12.1264,528.24
12.0116,1219.455,12.1216,538.16
12.0068,1178.55,12.1168,510.57
12.002,1216.215,12.112,535.06
11.9972,1191.915,12.1072,478.95
11.9924,1193.7375,12.1024,547.77
11.9876,1206.09,12.0976,513.98
11.9828,1176.3225,12.0928,527.62
11.978,1221.48,12.088,527.62
11.9732,1172.2725,12.0832,554.9
11.9684,1206.9,12.0784,531.34
11.9636,1211.9625,12.0736,545.6
11.9588,1229.7825,12.0688,512.12
11.954,1222.4925,12.064,525.45
11.9492,1209.9375,12.0592,527.62
11.9444,1209.1275,12.0544,527.31
11.9396,1216.4175,12.0496,550.25
11.9348,1193.13,12.0448,514.6
11.93,1202.2425,12.04,518.63
11.9252,1161.3375,12.0352,552.11
11.9204,1174.905,12.0304,540.95
11.9156,1199.61,12.0256,522.97
11.9108,1205.0775,12.0208,548.7
11.906,1238.6925,12.016,533.82
11.9012,1199.8125,12.0112,539.71
11.8964,1210.14,12.0064,524.83
11.8916,1190.7,12.0016,547.46
11.8868,1191.3075,11.9968,545.29
11.882,1196.9775,11.992,544.36
11.8772,1160.73,11.9872,527.93
11.8724,1198.1925,11.9824,546.22
11.8676,1171.665,11.9776,529.17
11.8628,1194.5475,11.9728,537.54
11.858,1178.3475,11.968,531.96
11.8532,1191.7125,11.9632,538.78
11.8484,1222.29,11.9584,563.58
11.8436,1215.81,11.9536,514.6
11.8388,1192.1175,11.9488,530.41
11.834,1201.635,11.944,528.55
11.8292,1187.055,11.9392,547.77
11.8244,1214.7975,11.9344,535.99
11.8196,1183.005,11.9296,577.22
11.8148,1230.795,11.9248,519.87
11.81,1250.0325,11.92,524.21
11.8052,1153.035,11.9152,524.52
11.8004,1218.645,11.9104,551.8
11.7956,1254.285,11.9056,552.73
11.7908,1190.7,11.9008,562.03
11.786,1222.8975,11.896,589.62
11.7812,1210.14,11.8912,556.76
11.7764,1197.585,11.8864,533.2
11.7716,1190.295,11.8816,530.41
11.7668,1203.8625,11.8768,557.69
11.762,1222.0875,11.872,591.17
11.7572,1243.9575,11.8672,564.2
11.7524,1209.33,11.8624,571.64
11.7476,1190.4975,11.8576,556.14
11.7428,1212.7725,11.8528,579.08
11.738,1199.8125,11.848,551.18
11.7332,1237.68,11.8432,580.63
11.7284,1201.23,11.8384,538.47
11.7236,1193.7375,11.8336,535.06
11.7188,1188.27,11.8288,533.51
11.714,1208.115,11.824,526.38
11.7092,1198.5975,11.8192,560.48
11.7044,1209.33,11.8144,566.37
11.6996,1194.1425,11.8096,532.27
11.6948,1236.87,11.8048,552.42
11.69,1196.775,11.8,570.09
11.6852,1208.925,11.7952,573.81
11.6804,1225.3275,11.7904,556.14
11.6756,1213.38,11.7856,551.49
11.6708,1212.3675,11.7808,547.15
11.666,1163.16,11.776,513.67
11.6612,1220.0625,11.7712,534.13
11.6564,1199.8125,11.7664,591.79
11.6516,1178.55,11.7616,536.92
11.6468,1187.2575,11.7568,579.7
11.642,1206.6975,11.752,558.62
11.6372,1173.285,11.7472,553.97
11.6324,1234.035,11.7424,565.13
11.6276,1203.255,11.7376,598.92
11.6228,1181.1825,11.7328,550.87
11.618,1222.695,11.728,561.41
11.6132,1208.925,11.7232,541.88
11.6084,1201.0275,11.7184,540.33
11.6036,1240.92,11.7136,567.92
11.5988,1228.9725,11.7088,527.31
11.594,1244.7675,11.704,576.29
11.5892,1277.1675,11.6992,579.39
11.5844,1203.0525,11.6944,571.33
11.5796,1216.0125,11.6896,561.41
11.5748,1268.2575,11.6848,546.84
11.57,1221.6825,11.68,590.55
11.5652,1178.3475,11.6752,587.76
11.5604,1219.455,11.6704,536.92
11.5556,1224.5175,11.6656,565.44
11.5508,1201.8375,11.6608,568.23
11.546,1237.68,11.656,575.98
11.5412,1189.89,11.6512,562.96
11.5364,1201.8375,11.6464,558
11.5316,1222.4925,11.6416,542.5
11.5268,1223.7075,11.6368,599.85
11.522,1220.8725,11.632,587.14
11.5172,1251.045,11.6272,588.07
11.5124,1213.5825,11.6224,567.61
11.5076,1252.26,11.6176,553.35
11.5028,1222.4925,11.6128,554.28
11.498,1241.325,11.608,593.03
11.4932,1233.4275,11.6032,565.13
11.4884,1272.51,11.5984,561.72
11.4836,1246.3875,11.5936,559.86
11.4788,1231.2,11.5888,584.66
11.474,1186.0425,11.584,619.69
11.4692,1251.2475,11.5792,551.49
11.4644,1268.2575,11.5744,613.18
11.4596,1182.195,11.5696,576.6
11.4548,1249.2225,11.5648,625.89
11.45,1220.0625,11.56,546.53
11.4452,1246.7925,11.5552,575.36
11.4404,1226.745,11.5504,549.32
11.4356,1212.3675,11.5456,564.51
11.4308,1238.895,11.5408,532.27
11.426,1238.49,11.536,606.36
11.4212,1268.6625,11.5312,593.34
11.4164,1237.275,11.5264,571.02
11.4116,1237.0725,11.5216,576.6
11.4068,1217.2275,11.5168,555.52
11.402,1236.465,11.512,568.54
11.3972,1209.5325,11.5072,562.65
11.3924,1206.9,11.5024,582.49
11.3876,1209.33,11.4976,544.36
11.3828,1228.9725,11.4928,595.51
11.378,1233.0225,11.488,568.54
11.3732,1228.9725,11.4832,545.29
11.3684,1202.2425,11.4784,596.44
11.3636,1263.8025,11.4736,574.12
11.3588,1198.1925,11.4688,570.09
11.354,1241.9325,11.464,624.03
11.3492,1255.905,11.4592,619.07
11.3444,1257.12,11.4544,613.8
11.3396,1212.3675,11.4496,598.61
11.3348,1235.655,11.4448,567.3
11.33,1227.3525,11.44,573.5
11.3252,1211.5575,11.4352,566.37
11.3204,1237.0725,11.4304,566.06
11.3156,1235.25,11.4256,577.22
11.3108,1216.4175,11.4208,613.8
11.306,1248.8175,11.416,575.36
11.3012,1234.035,11.4112,593.96
11.2964,1209.5325,11.4064,593.65
11.2916,1243.1475,11.4016,561.41
11.2868,1210.14,11.3968,597.06
11.282,1265.625,11.392,604.5
11.2772,1224.72,11.3872,585.28
11.2724,1212.3675,11.3824,575.67
11.2676,1231.8075,11.3776,601.4
11.2628,1208.3175,11.3728,580.01
11.258,1227.555,11.368,605.74
11.2532,1229.985,11.3632,594.27
11.2484,1217.835,11.3584,564.2
11.2436,1198.8,11.3536,584.97
11.2388,1248.4125,11.3488,604.81
11.234,1247.1975,11.344,600.47
11.2292,1252.8675,11.3392,589.31
11.2244,1212.57,11.3344,588.07
11.2196,1263.3975,11.3296,580.01
11.2148,1232.415,11.3248,591.79
11.21,1230.9975,11.32,593.34
11.2052,1248.21,11.3152,606.98
11.2004,1223.505,11.3104,577.53
11.1956,1226.1375,11.3056,607.91
11.1908,1211.1525,11.3008,552.42
11.186,1206.495,11.296,575.98
11.1812,1249.6275,11.2912,596.44
11.1764,1230.5925,11.2864,570.09
11.1716,1227.96,11.2816,608.22
11.1668,1275.345,11.2768,595.2
11.162,1238.49,11.272,589.31
11.1572,1235.4525,11.2672,592.1
11.1524,1239.705,11.2624,601.09
11.1476,1247.1975,11.2576,572.88
11.1428,1266.2325,11.2528,622.79
11.138,1198.5975,11.248,592.1
11.1332,1226.34,11.2432,615.97
11.1284,1201.635,11.2384,576.29
11.1236,1243.5525,11.2336,565.75
11.1188,1219.86,11.2288,581.56
11.114,1232.01,11.224,581.25
11.1092,1239.5025,11.2192,572.88
11.1044,1249.02,11.2144,572.57
11.0996,1272.7125,11.2096,601.71
11.0948,1230.1875,11.2048,617.21
11.09,1226.9475,11.2,598.92
11.0852,1249.6275,11.1952,571.33
11.0804,1230.5925,11.1904,592.1
11.0756,1203.255,11.1856,605.74
11.0708,1210.3425,11.1808,590.86
11.066,1260.1575,11.176,594.58
11.0612,1258.74,11.1712,614.42
11.0564,1254.4875,11.1664,589.62
11.0516,1281.6225,11.1616,591.48
11.0468,1246.3875,11.1568,563.27
11.042,1241.1225,11.152,622.48
11.0372,1290.735,11.1472,594.58
11.0324,1260.1575,11.1424,617.21
11.0276,1235.655,11.1376,566.06
11.0228,1253.6775,11.1328,617.52
11.018,1254.8925,11.128,602.33
11.0132,1264.005,11.1232,619.38
11.0084,1244.565,11.1184,563.89
11.0036,1242.945,11.1136,575.98
10.9988,1229.58,11.1088,602.02
10.994,1248.615,11.104,597.99
10.9892,1271.0925,11.0992,607.29
10.9844,1273.1175,11.0944,586.21
10.9796,1286.685,11.0896,622.48
10.9748,1258.335,11.0848,585.59
10.97,1275.5475,11.08,622.17
10.9652,1217.835,11.0752,588.38
10.9604,1238.895,11.0704,614.73
10.9556,1227.7575,11.0656,621.24
10.9508,1290.5325,11.0608,582.18
10.946,1245.78,11.056,605.43
10.9412,1240.3125,11.0512,598.92
10.9364,1227.7575,11.0464,606.05
10.9316,1258.335,11.0416,581.25
10.9268,1269.0675,11.0368,592.41
10.922,1273.32,11.032,628.68
10.9172,1256.5125,11.0272,596.75
10.9124,1265.4225,11.0224,588.38
10.9076,1223.91,11.0176,606.36
10.9028,1240.11,11.0128,606.36
10.898,1242.54,11.008,636.74
10.8932,1255.7025,11.0032,592.41
10.8884,1300.86,10.9984,605.74
10.8836,1230.9975,10.9936,590.24
10.8788,1233.63,10.9888,596.75
10.874,1249.2225,10.984,609.77
10.8692,1243.35,10.9792,599.23
10.8644,1234.6425,10.9744,599.54
10.8596,1235.0475,10.9696,609.77
10.8548,1248.4125,10.9648,587.14
10.85,1226.1375,10.96,590.24
10.8452,1243.9575,10.9552,624.03
10.8404,1205.28,10.9504,586.21
10.8356,1237.0725,10.9456,613.18
10.8308,1237.68,10.9408,627.13
10.826,1245.9825,10.936,657.82
10.8212,1288.5075,10.9312,584.97
10.8164,1245.9825,10.9264,612.87
10.8116,1229.58,10.9216,623.41
10.8068,1278.18,10.9168,577.53
10.802,1271.0925,10.912,559.24
10.7972,1249.6275,10.9072,627.13
10.7924,1206.9,10.9024,611.63
10.7876,1249.83,10.8976,587.14
10.7828,1244.7675,10.8928,611.32
10.778,1258.74,10.888,619.07
10.7732,1240.3125,10.8832,607.29
10.7684,1280.205,10.8784,636.12
10.7636,1225.53,10.8736,631.16
10.7588,1271.9025,10.8688,563.89
10.754,1258.9425,10.864,627.75
10.7492,1249.425,10.8592,587.45
10.7444,1224.72,10.8544,642.94
10.7396,1264.6125,10.8496,614.11
10.7348,1251.045,10.8448,588.07
10.73,1252.8675,10.84,589.93
10.7252,1243.5525,10.8352,612.56
10.7204,1235.4525,10.8304,621.86
10.7156,1229.985,10.8256,619.69
10.7108,1220.0625,10.8208,621.86
10.706,1234.6425,10.816,635.19
10.7012,1278.585,10.8112,615.04
10.6964,1212.165,10.8064,590.86
10.6916,1238.895,10.8016,652.55
10.6868,1251.2475,10.7968,568.54
10.682,1230.39,10.792,598.92
10.6772,1245.5775,10.7872,587.45
10.6724,1230.5925,10.7824,617.52
10.6676,1240.11,10.7776,608.53
10.6628,1282.4325,10.7728,577.53
10.658,1285.065,10.768,583.42
10.6532,1236.87,10.7632,620.93
10.6484,1242.945,10.7584,598.92
10.6436,1245.78,10.7536,582.8
10.6388,1257.12,10.7488,593.96
10.634,1264.005,10.744,593.96
10.6292,1232.6175,10.7392,637.67
10.6244,1242.54,10.7344,588.07
10.6196,1258.335,10.7296,595.2
10.6148,1278.99,10.7248,612.87
10.61,1243.35,10.72,626.51
10.6052,1246.3875,10.7152,618.14
10.6004,1268.2575,10.7104,610.7
10.5956,1232.82,10.7056,590.86
10.5908,1264.41,10.7008,633.33
10.586,1228.1625,10.696,574.74
10.5812,1285.2675,10.6912,631.47
10.5764,1291.545,10.6864,625.89
10.5716,1288.1025,10.6816,610.7
10.5668,1276.7625,10.6768,644.18
10.562,1271.7,10.672,633.02
10.5572,1234.6425,10.6672,621.86
10.5524,1242.3375,10.6624,621.55
10.5476,1259.145,10.6576,630.23
10.5428,1259.3475,10.6528,604.5
10.538,1271.9025,10.648,627.75
10.5332,1248.4125,10.6432,575.36
10.5284,1271.7,10.6384,634.88
10.5236,1236.465,10.6336,619.07
10.5188,1284.8625,10.6288,635.81
10.514,1275.5475,10.624,597.37
10.5092,1276.7625,10.6192,626.2
10.5044,1280.4075,10.6144,596.13
10.4996,1271.9025,10.6096,602.33
10.4948,1258.5375,10.6048,615.35
10.49,1278.585,10.6,625.58
10.4852,1300.2525,10.5952,618.14
10.4804,1281.6225,10.5904,592.72
10.4756,1263.8025,10.5856,622.48
10.4708,1281.825,10.5808,624.03
10.466,1262.5875,10.576,608.22
10.4612,1274.13,10.5712,582.8
10.4564,1274.94,10.5664,634.57
10.4516,1278.18,10.5616,636.74
10.4468,1269.4725,10.5568,612.56
10.442,1306.53,10.552,651.62
10.4372,1281.6225,10.5472,620
10.4324,1269.8775,10.5424,617.83
10.4276,1237.4775,10.5376,626.82
10.4228,1287.09,10.5328,654.1
10.418,1262.79,10.528,659.06
10.4132,1281.2175,10.5232,651
10.4084,1260.1575,10.5184,660.3
10.4036,1255.7025,10.5136,615.66
10.3988,1264.005,10.5088,644.18
10.394,1253.88,10.504,606.05
10.3892,1282.0275,10.4992,642.63
10.3844,1276.155,10.4944,624.65
10.3796,1259.145,10.4896,646.35
10.3748,1278.585,10.4848,620.93
10.37,1275.9525,10.48,597.68
10.3652,1274.3325,10.4752,642.32
10.3604,1245.5775,10.4704,626.82
10.3556,1295.3925,10.4656,626.51
10.3508,1310.3775,10.4608,594.58
10.346,1284.8625,10.456,658.13
10.3412,1245.5775,10.4512,635.81
10.3364,1272.7125,10.4464,643.56
10.3316,1269.675,10.4416,617.21
10.3268,1285.875,10.4368,642.63
10.322,1326.375,10.432,595.2
10.3172,1280.205,10.4272,629.92
10.3124,1263.8025,10.4224,627.75
10.3076,1296.405,10.4176,632.4
10.3028,1301.4675,10.4128,633.02
10.298,1297.215,10.408,633.33
10.2932,1250.235,10.4032,625.89
10.2884,1292.76,10.3984,646.66
10.2836,1278.7875,10.3936,626.2
10.2788,1316.25,10.3888,636.43
10.274,1282.635,10.384,626.82
10.2692,1262.385,10.3792,602.95
10.2644,1303.8975,10.3744,620.62
10.2596,1323.3375,10.3696,610.7
10.2548,1337.715,10.3648,575.05
10.25,1289.3175,10.36,579.39
10.2452,1270.6875,10.3552,640.15
10.2404,1250.8425,10.3504,608.53
10.2356,1315.845,10.3456,613.8
10.2308,1271.9025,10.3408,595.82
10.226,1245.375,10.336,645.73
10.2212,1289.52,10.3312,642.32
10.2164,1270.485,10.3264,673.32
10.2116,1276.155,10.3216,599.54
10.2068,1290.735,10.3168,632.4
10.202,1277.37,10.312,611.63
10.1972,1218.645,10.3072,667.12
10.1924,1255.7025,10.3024,625.58
10.1876,1291.95,10.2976,631.47
10.1828,1324.1475,10.2928,649.14
10.178,1278.99,10.288,623.72
10.1732,1299.4425,10.2832,650.07
10.1684,1301.4675,10.2784,646.35
10.1636,1294.38,10.2736,642.94
10.1588,1296.81,10.2688,642.32
10.154,1253.475,10.264,656.89
10.1492,1272.7125,10.2592,650.07
10.1444,1292.355,10.2544,631.16
10.1396,1297.215,10.2496,651.93
10.1348,1287.495,10.2448,593.34
10.13,1312.2,10.24,642.01
10.1252,1351.89,10.2352,650.38
10.1204,1287.6975,10.2304,616.59
10.1156,1303.8975,10.2256,676.73
10.1108,1245.78,10.2208,628.06
10.106,1250.235,10.216,624.96
10.1012,1319.2875,10.2112,620.62
10.0964,1260.5625,10.2064,648.83
10.0916,1257.7275,10.2016,597.06
10.0868,1272.915,10.1968,652.86
10.082,1306.7325,10.192,661.54
10.0772,1266.84,10.1872,638.6
10.0724,1286.28,10.1824,642.63
10.0676,1289.115,10.1776,640.77
10.0628,1256.715,10.1728,641.7
10.058,1274.94,10.168,616.59
10.0532,1293.975,10.1632,652.55
10.0484,1284.0525,10.1584,646.66
10.0436,1307.745,10.1536,613.49
10.0388,1277.37,10.1488,627.44
10.034,1270.485,10.144,628.06
10.0292,1303.8975,10.1392,623.72
10.0244,1303.4925,10.1344,642.63
10.0196,1288.1025,10.1296,646.04
10.0148,1376.3925,10.1248,652.24
10.01,1312.605,10.12,690.37
10.0052,1362.825,10.1152,627.75
10.0004,1325.16,10.1104,640.15
9.9956,1347.03,10.1056,614.42
9.9908,1281.2175,10.1008,640.77
9.986,1321.92,10.096,652.55
9.9812,1269.0675,10.0912,634.88
9.9764,1260.36,10.0864,644.8
9.9716,1264.005,10.0816,641.7
9.9668,1281.015,10.0768,625.58
9.962,1302.2775,10.072,639.84
9.9572,1309.77,10.0672,624.34
9.9524,1286.28,10.0624,662.78
9.9476,1246.3875,10.0576,641.08
9.9428,1262.5875,10.0528,655.96
9.938,1296.6075,10.048,668.36
9.9332,1287.9,10.0432,653.79
9.9284,1271.295,10.0384,658.44
9.9236,1311.9975,10.0336,656.27
9.9188,1266.2325,10.0288,628.99
9.914,1346.0175,10.024,662.78
9.9092,1331.235,10.0192,621.86
9.9044,1287.09,10.0144,651
9.8996,1290.33,10.0096,666.19
9.8948,1288.9125,10.0048,679.21
9.89,1318.4775,10,664.02
9.8852,1327.995,9.9952,642.94
9.8804,1334.475,9.9904,661.85
9.8756,1314.4275,9.9856,686.03
9.8708,1322.73,9.9808,631.16
9.866,1297.62,9.976,645.11
9.8612,1305.315,9.9712,655.96
9.8564,1268.055,9.9664,632.09
9.8516,1273.725,9.9616,665.26
9.8468,1305.72,9.9568,659.37
9.842,1319.6925,9.952,640.46
9.8372,1299.0375,9.9472,633.64
9.8324,1315.845,9.9424,660.61
9.8276,1233.4275,9.9376,662.47
9.8228,1301.265,9.9328,669.91
9.818,1321.11,9.928,636.74
9.8132,1320.9075,9.9232,614.11
9.8084,1281.015,9.9184,640.15
9.8036,1365.4575,9.9136,638.6
9.7988,1318.68,9.9088,659.68
9.794,1306.125,9.904,654.72
9.7892,1299.645,9.8992,684.48
9.7844,1309.1625,9.8944,647.28
9.7796,1284.8625,9.8896,647.28
9.7748,1274.7375,9.8848,640.15
9.77,1307.34,9.88,643.87
9.7652,1357.56,9.8752,653.48
9.7604,1289.115,9.8704,630.54
9.7556,1306.7325,9.8656,670.22
9.7508,1325.16,9.8608,649.14
9.746,1281.015,9.856,674.87
9.7412,1325.16,9.8512,634.88
9.7364,1366.6725,9.8464,647.9
9.7316,1347.84,9.8416,672.7
9.7268,1341.9675,9.8368,667.74
9.722,1326.5775,9.832,634.57
9.7172,1358.9775,9.8272,637.05
9.7124,1311.9975,9.8224,636.74
9.7076,1280.61,9.8176,682.62
9.7028,1327.59,9.8128,654.72
9.698,1309.365,9.808,646.35
9.6932,1356.345,9.8032,636.43
9.6884,1300.05,9.7984,695.64
9.6836,1301.4675,9.7936,690.99
9.6788,1356.1425,9.7888,661.23
9.674,1301.4675,9.784,690.37
9.6692,1258.1325,9.7792,664.33
9.6644,1324.9575,9.7744,636.74
9.6596,1309.9725,9.7696,677.97
9.6548,1287.495,9.7648,666.81
9.65,1321.515,9.76,670.22
9.6452,1282.0275,9.7552,659.37
9.6404,1288.71,9.7504,665.88
9.6356,1298.835,9.7456,654.41
9.6308,1297.4175,9.7408,647.59
9.626,1305.315,9.736,635.5
9.6212,1292.5575,9.7312,685.41
9.6164,1312.2,9.7264,668.67
9.6116,1353.915,9.7216,678.9
9.6068,1293.57,9.7168,674.25
9.602,1350.4725,9.712,684.17
9.5972,1323.3375,9.7072,652.55
9.5924,1284.255,9.7024,654.41
9.5876,1330.2225,9.6976,656.58
9.5828,1315.035,9.6928,634.26
9.578,1289.7225,9.688,670.22
9.5732,1201.8375,9.6832,649.14
9.5684,1314.63,9.6784,658.44
9.5636,1307.9475,9.6736,654.1
9.5588,1324.35,9.6688,643.56
9.554,1305.1125,9.664,692.54
9.5492,1350.675,9.6592,636.12
9.5444,1306.7325,9.6544,667.74
9.5396,1362.015,9.6496,652.86
9.5348,1273.32,9.6448,657.82
9.53,1344.8025,9.64,681.38
9.5252,1335.0825,9.6352,689.44
9.5204,1358.37,9.6304,678.59
9.5156,1299.8475,9.6256,675.8
9.5108,1305.1125,9.6208,671.46
9.506,1322.1225,9.616,698.12
9.5012,1300.86,9.6112,676.73
9.4964,1320.705,9.6064,661.23
9.4916,1301.8725,9.6016,667.74
9.4868,1296.81,9.5968,655.03
9.482,1293.3675,9.592,674.25
9.4772,1285.065,9.5872,651.31
9.4724,1367.0775,9.5824,657.82
9.4676,1373.9625,9.5776,687.58
9.4628,1304.505,9.5728,673.32
9.458,1330.2225,9.568,664.95
9.4532,1340.955,9.5632,670.22
9.4484,1375.785,9.5584,694.4
9.4436,1310.985,9.5536,662.16
9.4388,1321.11,9.5488,674.87
9.434,1320.5025,9.544,650.07
9.4292,1334.475,9.5392,651.93
9.4244,1325.7675,9.5344,646.97
9.4196,1261.575,9.5296,678.28
9.4148,1321.11,9.5248,666.19
9.41,1300.05,9.52,649.45
9.4052,1301.8725,9.5152,695.02
9.4004,1334.07,9.5104,704.94
9.3956,1352.7,9.5056,693.47
9.3908,1309.9725,9.5008,663.09
9.386,1339.9425,9.496,668.67
9.3812,1304.7075,9.4912,680.76
9.3764,1343.9925,9.4864,682.93
9.3716,1359.18,9.4816,660.3
9.3668,1371.735,9.4768,659.37
9.362,1307.1375,9.472,683.24
9.3572,1361.205,9.4672,684.17
9.3524,1336.095,9.4624,699.36
9.3476,1324.1475,9.4576,656.27
9.3428,1307.34,9.4528,668.05
9.338,1294.9875,9.448,673.94
9.3332,1354.9275,9.4432,685.1
9.3284,1360.395,9.4384,673.94
9.3236,1354.5225,9.4336,681.38
9.3188,1325.565,9.4288,666.81
9.314,1303.695,9.424,653.48
9.3092,1350.4725,9.4192,693.16
9.3044,1340.955,9.4144,686.65
9.2996,1292.1525,9.4096,685.72
9.2948,1311.5925,9.4048,671.77
9.29,1358.775,9.4,620.62
9.2852,1335.0825,9.3952,689.44
9.2804,1334.475,9.3904,669.6
9.2756,1311.5925,9.3856,710.83
9.2708,1355.3325,9.3808,707.11
9.266,1325.3625,9.376,663.71
9.2612,1303.8975,9.3712,689.13
9.2564,1285.2675,9.3664,696.57
9.2516,1361.205,9.3616,686.34
9.2468,1335.285,9.3568,705.87
9.242,1359.3825,9.352,728.81
9.2372,1365.66,9.3472,700.6
9.2324,1302.885,9.3424,652.86
9.2276,1334.88,9.3376,691.61
9.2228,1338.7275,9.3328,690.37
9.218,1340.3475,9.328,672.08
9.2132,1369.305,9.3232,683.24
9.2084,1346.4225,9.3184,676.73
9.2036,1345.815,9.3136,688.2
9.1988,1330.2225,9.3088,681.07
9.194,1311.795,9.304,695.95
9.1892,1320.3,9.2992,708.35
9.1844,1320.9075,9.2944,702.46
9.1796,1327.3875,9.2896,663.71
9.1748,1355.535,9.2848,653.48
9.17,1329.615,9.28,682.93
9.1652,1348.8525,9.2752,687.89
9.1604,1311.795,9.2704,687.89
9.1556,1318.275,9.2656,689.44
9.1508,1335.4875,9.2608,729.43
9.146,1361.0025,9.256,659.37
9.1412,1334.88,9.2512,665.26
9.1364,1329.0075,9.2464,693.78
9.1316,1314.0225,9.2416,628.37
9.1268,1350.675,9.2368,685.1
9.122,1338.12,9.232,691.92
9.1172,1313.2125,9.2272,670.84
9.1124,1366.2675,9.2224,701.53
9.1076,1352.4975,9.2176,676.42
9.1028,1317.6675,9.2128,729.74
9.098,1376.595,9.208,684.79
9.0932,1355.535,9.2032,721.06
9.0884,1334.6775,9.1984,698.43
9.0836,1335.4875,9.1936,696.26
9.0788,1328.1975,9.1888,694.4
9.074,1348.65,9.184,662.16
9.0692,1321.92,9.1792,727.26
9.0644,1315.035,9.1744,725.71
9.0596,1326.1725,9.1696,663.09
9.0548,1352.7,9.1648,713
9.05,1355.94,9.16,710.21
9.0452,1406.7675,9.1552,707.42
9.0404,1335.4875,9.1504,683.24
9.0356,1327.185,9.1456,696.88
9.0308,1357.56,9.1408,714.24
9.026,1329.615,9.136,701.53
9.0212,1334.6775,9.1312,686.65
9.0164,1354.5225,9.1264,688.51
9.0116,1391.175,9.1216,676.73
9.0068,1353.51,9.1168,651.31
9.002,1337.5125,9.112,706.8
8.9972,1332.2475,9.1072,708.97
8.9924,1374.3675,9.1024,667.43
8.9876,1357.56,9.0976,688.82
8.9828,1410.21,9.0928,689.75
8.978,1343.385,9.088,733.15
8.9732,1377.405,9.0832,703.08
8.9684,1373.355,9.0784,679.21
8.9636,1325.16,9.0736,680.14
8.9588,1341.9675,9.0688,685.72
8.954,1356.75,9.064,697.5
8.9492,1370.115,9.0592,652.55
8.9444,1382.67,9.0544,657.82
8.9396,1408.995,9.0496,669.29
8.9348,1313.82,9.0448,695.33
8.93,1368.2925,9.04,713.93
8.9252,1367.685,9.0352,661.54
8.9204,1342.3725,9.0304,717.65
