#Table:,P=0,"P=2, SMF","P=5, SMF","P=2, HLX","P=5, HLX"
 #E(MeV),Efw,Efw,Efw,Efw,Efw 
1.415E-06,100000,87152,58167,93107,73717
1.425E-06,100000,87111,58088,93013,73563
1.435E-06,100000,87068,58026,92903,73420
1.445E-06,100000,87019,57973,92807,73297
1.455E-06,100000,86979,57922,92705,73134
1.465E-06,100000,86934,57845,92609,72996
1.475E-06,100000,86890,57787,92506,72863
1.485E-06,100000,86855,57717,92407,72723
1.495E-06,100000,86818,57652,92308,72599
1.505E-06,100000,86788,57595,92221,72474
1.515E-06,100000,86738,57532,92131,72324
1.525E-06,100000,86693,57467,92040,72175
1.535E-06,100000,86660,57415,91933,72028
1.545E-06,100000,86626,57348,91847,71874
1.555E-06,100000,86588,57291,91766,71744
1.565E-06,100000,86538,57224,91684,71622
1.575E-06,100000,86492,57159,91599,71464
1.585E-06,100000,86449,57090,91491,71322
1.595E-06,100000,86389,57032,91398,71183
1.605E-06,100000,86342,56958,91325,71049
1.615E-06,100000,86285,56896,91256,70922
1.625E-06,100000,86247,56825,91175,70785
1.635E-06,100000,86196,56757,91108,70652
1.645E-06,100000,86154,56677,91045,70543
1.655E-06,100000,86100,56615,90972,70411
1.665E-06,100000,86058,56546,90893,70267
1.675E-06,100000,86007,56480,90827,70148
1.685E-06,100000,85964,56415,90760,70041
1.695E-06,100000,85926,56337,90687,69916
1.705E-06,100000,85885,56271,90620,69797
1.715E-06,100000,85837,56197,90552,69668
1.725E-06,100000,85777,56138,90489,69532
1.735E-06,100000,85734,56064,90422,69400
1.745E-06,100000,85675,56002,90355,69282
1.755E-06,100000,85631,55943,90288,69160
1.765E-06,100000,85593,55882,90229,69033
1.775E-06,100000,85547,55816,90172,68906
1.785E-06,100000,85498,55747,90107,68798
1.795E-06,100000,85454,55684,90042,68678
1.805E-06,100000,85399,55614,89974,68543
1.815E-06,100000,85358,55563,89918,68426
1.825E-06,100000,85310,55513,89863,68316
1.835E-06,100000,85255,55436,89809,68209
1.845E-06,100000,85204,55376,89745,68077
1.855E-06,100000,85150,55302,89690,67944
1.865E-06,100000,85098,55236,89625,67840
1.875E-06,100000,85045,55175,89570,67691
1.885E-06,100000,84996,55114,89502,67557
1.895E-06,100000,84952,55057,89451,67449
1.905E-06,100000,84909,54996,89391,67330
1.915E-06,100000,84857,54925,89337,67208
1.925E-06,100000,84803,54854,89302,67096
1.935E-06,100000,84753,54790,89240,66999
1.945E-06,100000,84712,54730,89190,66885
1.955E-06,100000,84660,54649,89139,66779
1.965E-06,100000,84595,54581,89078,66664
1.975E-06,100000,84550,54512,89017,66534
1.985E-06,100000,84494,54438,88960,66420
1.995E-06,100000,84452,54380,88903,66305
2.005E-06,100000,84413,54307,88841,66199
2.015E-06,100000,84353,54246,88785,66075
2.025E-06,100000,84306,54182,88729,65974
2.035E-06,100000,84263,54125,88698,65854
2.045E-06,100000,84209,54056,88647,65724
2.055E-06,100000,84163,53989,88600,65605
2.065E-06,100000,84105,53916,88542,65507
2.075E-06,100000,84055,53841,88492,65401
2.085E-06,100000,84006,53778,88439,65271
2.095E-06,100000,83956,53716,88387,65160
2.105E-06,100000,83894,53639,88340,65050
2.115E-06,100000,83849,53563,88301,64914
2.125E-06,100000,83799,53489,88257,64792
2.135E-06,100000,83740,53407,88210,64685
2.145E-06,100000,83685,53329,88165,64579
2.155E-06,100000,83636,53264,88104,64479
2.165E-06,100000,83587,53186,88056,64355
2.175E-06,100000,83541,53114,87992,64239
2.185E-06,100000,83476,53045,87941,64118
2.195E-06,100000,83429,52974,87899,63997
2.205E-06,100000,83387,52908,87837,63889
2.215E-06,100000,83329,52845,87793,63779
2.225E-06,100000,83286,52777,87750,63657
2.235E-06,100000,83229,52701,87702,63538
2.245E-06,100000,83184,52640,87655,63416
2.255E-06,100000,83117,52567,87608,63284
2.265E-06,100000,83056,52505,87555,63159
2.275E-06,100000,83007,52437,87510,63060
2.285E-06,100000,82956,52366,87466,62945
2.295E-06,100000,82912,52299,87410,62818
2.305E-06,100000,82856,52231,87347,62688
2.315E-06,100000,82803,52159,87288,62567
2.325E-06,100000,82758,52079,87228,62418
2.335E-06,100000,82705,52006,87168,62291
2.345E-06,100000,82647,51929,87101,62134
2.355E-06,100000,82595,51861,87034,61997
2.365E-06,100000,82549,51793,86981,61883
2.375E-06,100000,82503,51724,86923,61752
2.385E-06,100000,82453,51649,86871,61626
2.395E-06,100000,82401,51579,86816,61490
2.405E-06,100000,82348,51511,86764,61391
2.415E-06,100000,82296,51427,86706,61266
2.425E-06,100000,82243,51363,86658,61151
2.435E-06,100000,82190,51300,86599,61032
2.445E-06,100000,82144,51237,86538,60908
2.455E-06,100000,82090,51146,86483,60780
2.465E-06,100000,82024,51067,86423,60671
2.475E-06,100000,81961,50990,86365,60527
2.485E-06,100000,81888,50918,86302,60397
2.495E-06,100000,81828,50845,86248,60271
2.505E-06,100000,81772,50764,86194,60154
2.515E-06,100000,81707,50689,86138,60012
2.525E-06,100000,81649,50630,86091,59868
2.535E-06,100000,81591,50548,86033,59749
2.545E-06,100000,81530,50475,85960,59604
2.555E-06,100000,81490,50409,85902,59473
2.565E-06,100000,81443,50339,85839,59343
2.575E-06,100000,81384,50245,85780,59220
2.585E-06,100000,81334,50161,85711,59087
2.595E-06,100000,81286,50069,85641,58950
2.605E-06,100000,81223,49995,85580,58798
2.615E-06,100000,81167,49914,85520,58654
2.625E-06,100000,81100,49845,85453,58503
2.635E-06,100000,81036,49776,85391,58369
2.645E-06,100000,80955,49704,85338,58257
2.655E-06,100000,80887,49623,85267,58124
2.665E-06,100000,80826,49544,85204,57992
2.675E-06,100000,80777,49462,85130,57859
2.685E-06,100000,80716,49386,85051,57720
2.695E-06,100000,80643,49293,84983,57590
2.705E-06,100000,80587,49209,84911,57450
2.715E-06,100000,80523,49125,84844,57317
2.725E-06,100000,80462,49036,84765,57167
2.735E-06,100000,80398,48956,84698,57048
2.745E-06,100000,80338,48872,84618,56904
2.755E-06,100000,80270,48779,84539,56764
2.765E-06,100000,80210,48701,84470,56626
2.775E-06,100000,80152,48641,84398,56474
2.785E-06,100000,80079,48552,84317,56333
2.795E-06,100000,80009,48479,84228,56182
2.805E-06,100000,79952,48400,84141,56037
2.815E-06,100000,79901,48301,84056,55906
2.825E-06,100000,79835,48219,83970,55773
2.835E-06,100000,79766,48128,83901,55613
2.845E-06,100000,79690,48055,83826,55480
2.855E-06,100000,79625,47969,83767,55334
2.865E-06,100000,79554,47898,83679,55185
2.875E-06,100000,79494,47808,83600,55035
2.885E-06,100000,79426,47742,83511,54872
2.895E-06,100000,79356,47655,83432,54731
2.905E-06,100000,79298,47566,83355,54581
2.915E-06,100000,79226,47473,83278,54430
2.925E-06,100000,79159,47377,83185,54274
2.935E-06,100000,79098,47264,83110,54132
2.945E-06,100000,79033,47185,83016,53976
2.955E-06,100000,78956,47114,82944,53812
2.965E-06,100000,78892,47035,82862,53684
2.975E-06,100000,78825,46941,82778,53547
2.985E-06,100000,78768,46844,82686,53419
2.995E-06,100000,78714,46772,82600,53262
3.005E-06,100000,78652,46689,82527,53125
3.015E-06,100000,78595,46606,82437,52969
3.025E-06,100000,78526,46521,82348,52821
3.035E-06,100000,78458,46422,82256,52670
3.045E-06,100000,78389,46326,82178,52523
3.055E-06,100000,78324,46241,82087,52354
3.065E-06,100000,78251,46168,81974,52215
3.075E-06,100000,78185,46100,81870,52065
3.085E-06,100000,78125,46013,81760,51905
3.095E-06,100000,78047,45922,81672,51741
3.105E-06,100000,77977,45832,81582,51614
3.115E-06,100000,77905,45745,81458,51441
3.125E-06,100000,77834,45683,81368,51282
3.135E-06,100000,77749,45607,81276,51102
3.145E-06,100000,77692,45520,81176,50963
3.155E-06,100000,77629,45440,81087,50814
3.165E-06,100000,77568,45361,80990,50672
3.175E-06,100000,77506,45270,80900,50530
3.185E-06,100000,77422,45185,80797,50385
3.195E-06,100000,77367,45111,80707,50251
3.205E-06,100000,77301,45036,80615,50091
3.215E-06,100000,77242,44964,80533,49938
3.225E-06,100000,77181,44891,80436,49795
3.235E-06,100000,77113,44825,80349,49624
3.245E-06,100000,77060,44744,80257,49464
3.255E-06,100000,77000,44670,80171,49319
3.265E-06,100000,76949,44601,80068,49190
3.275E-06,100000,76884,44525,79970,49048
3.285E-06,100000,76827,44467,79876,48904
3.295E-06,100000,76769,44390,79779,48749
3.305E-06,100000,76717,44324,79691,48593
3.315E-06,100000,76669,44245,79601,48449
3.325E-06,100000,76614,44188,79493,48287
3.335E-06,100000,76555,44125,79404,48154
3.345E-06,100000,76488,44055,79302,47998
3.355E-06,100000,76436,43985,79202,47880
3.365E-06,100000,76373,43910,79105,47763
3.375E-06,100000,76317,43822,78994,47624
3.385E-06,100000,76255,43756,78903,47496
3.395E-06,100000,76206,43686,78821,47351
3.405E-06,100000,76151,43613,78712,47222
3.415E-06,100000,76095,43548,78626,47105
3.425E-06,100000,76029,43476,78545,46973
3.435E-06,100000,75981,43417,78472,46850
3.445E-06,100000,75923,43358,78379,46718
3.455E-06,100000,75878,43288,78271,46594
3.465E-06,100000,75827,43201,78185,46493
3.475E-06,100000,75776,43141,78099,46372
3.485E-06,100000,75710,43078,78015,46255
3.495E-06,100000,75650,43000,77916,46140
3.505E-06,100000,75603,42937,77816,46010
3.515E-06,100000,75557,42880,77718,45870
3.525E-06,100000,75506,42834,77623,45763
3.535E-06,100000,75450,42780,77530,45651
3.545E-06,100000,75393,42715,77429,45551
3.555E-06,100000,75344,42653,77342,45451
3.565E-06,100000,75294,42589,77278,45348
3.575E-06,100000,75241,42534,77195,45260
3.585E-06,100000,75197,42490,77108,45159
3.595E-06,100000,75151,42426,77036,45070
3.605E-06,100000,75100,42374,76944,44976
3.615E-06,100000,75052,42322,76851,44870
3.625E-06,100000,75005,42273,76771,44768
3.635E-06,100000,74965,42224,76697,44671
3.645E-06,100000,74921,42177,76627,44588
3.655E-06,100000,74873,42134,76551,44499
3.665E-06,100000,74833,42082,76484,44406
3.675E-06,100000,74782,42030,76401,44306
3.685E-06,100000,74749,41982,76319,44211
3.695E-06,100000,74706,41921,76239,44125
3.705E-06,100000,74656,41875,76167,44036
3.715E-06,100000,74615,41827,76095,43949
3.725E-06,100000,74564,41781,76016,43873
3.735E-06,100000,74524,41734,75960,43793
3.745E-06,100000,74475,41691,75897,43711
3.755E-06,100000,74434,41648,75840,43633
3.765E-06,100000,74394,41598,75762,43557
3.775E-06,100000,74340,41551,75686,43471
3.785E-06,100000,74293,41502,75607,43386
3.795E-06,100000,74260,41446,75540,43299
3.805E-06,100000,74212,41399,75469,43208
3.815E-06,100000,74166,41343,75408,43123
3.825E-06,100000,74128,41294,75343,43069
3.835E-06,100000,74091,41237,75289,42976
3.845E-06,100000,74066,41188,75231,42900
3.855E-06,100000,74030,41137,75181,42806
3.865E-06,100000,74004,41087,75127,42738
3.875E-06,100000,73963,41035,75072,42677
3.885E-06,100000,73925,40977,75013,42610
3.895E-06,100000,73898,40934,74963,42549
3.905E-06,100000,73866,40893,74919,42481
3.915E-06,100000,73830,40849,74863,42425
3.925E-06,100000,73797,40809,74810,42357
3.935E-06,100000,73757,40762,74765,42305
3.945E-06,100000,73732,40709,74714,42237
3.955E-06,100000,73700,40664,74673,42179
3.965E-06,100000,73663,40617,74624,42118
3.975E-06,100000,73634,40572,74582,42071
3.985E-06,100000,73605,40534,74536,42014
3.995E-06,100000,73572,40494,74491,41954
4.005E-06,100000,73533,40456,74446,41909
4.015E-06,100000,73496,40419,74388,41854
4.025E-06,100000,73466,40383,74348,41802
4.035E-06,100000,73431,40339,74310,41748
4.045E-06,100000,73402,40294,74266,41708
4.055E-06,100000,73365,40244,74223,41655
4.065E-06,100000,73322,40200,74186,41598
4.075E-06,100000,73292,40159,74145,41541
4.085E-06,100000,73262,40115,74113,41492
4.095E-06,100000,73234,40078,74071,41442
4.105E-06,100000,73210,40029,74039,41395
4.115E-06,100000,73176,39994,74006,41349
4.125E-06,100000,73149,39954,73958,41286
4.135E-06,100000,73122,39914,73927,41235
4.145E-06,100000,73092,39880,73899,41190
4.155E-06,100000,73062,39837,73865,41136
4.165E-06,100000,73033,39798,73833,41092
4.175E-06,100000,73007,39761,73796,41054
4.185E-06,100000,72985,39727,73747,41013
4.195E-06,100000,72953,39692,73713,40973
4.205E-06,100000,72927,39664,73692,40932
4.215E-06,100000,72899,39622,73668,40874
4.225E-06,100000,72874,39591,73640,40830
4.235E-06,100000,72856,39548,73615,40782
4.245E-06,100000,72834,39511,73588,40738
4.255E-06,100000,72806,39460,73557,40698
4.265E-06,100000,72789,39422,73520,40644
4.275E-06,100000,72764,39387,73493,40595
4.285E-06,100000,72741,39344,73466,40567
4.295E-06,100000,72714,39306,73439,40520
4.305E-06,100000,72690,39264,73404,40469
4.315E-06,100000,72662,39209,73376,40434
4.325E-06,100000,72632,39164,73349,40382
4.335E-06,100000,72603,39131,73319,40338
4.345E-06,100000,72569,39096,73300,40308
4.355E-06,100000,72543,39054,73276,40261
4.365E-06,100000,72512,39014,73246,40214
4.375E-06,100000,72483,38983,73217,40180
4.385E-06,100000,72455,38937,73189,40134
4.395E-06,100000,72421,38902,73152,40094
4.405E-06,100000,72396,38855,73125,40054
4.415E-06,100000,72371,38826,73101,40019
4.425E-06,100000,72336,38792,73071,39991
4.435E-06,100000,72305,38755,73042,39953
4.445E-06,100000,72279,38721,73010,39906
4.455E-06,100000,72253,38677,72995,39878
4.465E-06,100000,72229,38639,72969,39835
4.475E-06,100000,72208,38605,72944,39786
4.485E-06,100000,72178,38569,72925,39759
4.495E-06,100000,72151,38530,72897,39712
4.505E-06,100000,72122,38489,72875,39668
4.515E-06,100000,72097,38443,72855,39636
4.525E-06,100000,72072,38406,72828,39597
