#Table:,P=0,"P=2, SMF","P=5, SMF","P=2, HLX","P=5, HLX"
 #E(MeV),Efw,Efw,Efw,Efw,Efw 
6.225E-06,100000,67826,33180,68712,32960
6.235E-06,100000,67792,33144,68677,32929
6.245E-06,100000,67766,33116,68647,32892
6.255E-06,100000,67737,33091,68621,32860
6.265E-06,100000,67710,33063,68593,32822
6.275E-06,100000,67688,33035,68565,32790
6.285E-06,100000,67658,33005,68538,32750
6.295E-06,100000,67632,32979,68514,32715
6.305E-06,100000,67612,32960,68486,32683
6.315E-06,100000,67587,32936,68461,32650
6.325E-06,100000,67565,32907,68437,32604
6.335E-06,100000,67540,32877,68409,32565
6.345E-06,100000,67519,32846,68371,32535
6.355E-06,100000,67491,32816,68339,32500
6.365E-06,100000,67469,32784,68319,32468
6.375E-06,100000,67435,32763,68294,32422
6.385E-06,100000,67409,32737,68268,32394
6.395E-06,100000,67388,32707,68243,32364
6.405E-06,100000,67361,32677,68209,32326
6.415E-06,100000,67333,32643,68181,32289
6.425E-06,100000,67308,32620,68158,32253
6.435E-06,100000,67282,32596,68133,32211
6.445E-06,100000,67253,32573,68107,32174
6.455E-06,100000,67224,32548,68073,32136
6.465E-06,100000,67195,32515,68053,32093
6.475E-06,100000,67164,32499,68031,32058
6.485E-06,100000,67144,32471,68007,32014
6.495E-06,100000,67124,32448,67977,31987
6.505E-06,100000,67095,32424,67948,31953
6.515E-06,100000,67070,32394,67914,31924
6.525E-06,100000,67047,32373,67891,31887
6.535E-06,100000,67021,32344,67871,31850
6.545E-06,100000,66996,32314,67844,31816
6.555E-06,100000,66974,32284,67813,31789
6.565E-06,100000,66950,32255,67795,31761
6.575E-06,100000,66921,32224,67770,31736
6.585E-06,100000,66901,32201,67736,31711
6.595E-06,100000,66877,32176,67705,31673
6.605E-06,100000,66857,32158,67680,31636
6.615E-06,100000,66840,32126,67645,31601
6.625E-06,100000,66817,32100,67621,31555
6.635E-06,100000,66795,32078,67589,31523
6.645E-06,100000,66768,32061,67563,31499
6.655E-06,100000,66742,32024,67532,31465
6.665E-06,100000,66719,32005,67501,31431
6.675E-06,100000,66695,31973,67477,31397
6.685E-06,100000,66675,31943,67454,31370
6.695E-06,100000,66652,31924,67427,31338
6.705E-06,100000,66633,31909,67393,31307
6.715E-06,100000,66611,31880,67362,31280
6.725E-06,100000,66583,31866,67335,31253
6.735E-06,100000,66553,31831,67311,31229
6.745E-06,100000,66530,31798,67282,31204
6.755E-06,100000,66512,31771,67261,31179
6.765E-06,100000,66485,31744,67240,31155
6.775E-06,100000,66464,31721,67206,31128
6.785E-06,100000,66437,31698,67179,31097
6.795E-06,100000,66414,31675,67163,31070
6.805E-06,100000,66395,31641,67139,31039
6.815E-06,100000,66376,31619,67110,31013
6.825E-06,100000,66349,31596,67084,30984
6.835E-06,100000,66324,31571,67053,30959
6.845E-06,100000,66297,31544,67026,30926
6.855E-06,100000,66282,31523,66993,30891
6.865E-06,100000,66261,31497,66972,30871
6.875E-06,100000,66236,31473,66951,30834
6.885E-06,100000,66221,31453,66931,30795
6.895E-06,100000,66191,31426,66899,30765
6.905E-06,100000,66175,31406,66880,30742
6.915E-06,100000,66157,31382,66850,30714
6.925E-06,100000,66137,31351,66834,30684
6.935E-06,100000,66115,31330,66816,30657
6.945E-06,100000,66098,31304,66798,30629
6.955E-06,100000,66082,31279,66780,30600
6.965E-06,100000,66063,31254,66759,30575
6.975E-06,100000,66042,31228,66739,30538
6.985E-06,100000,66024,31201,66718,30516
6.995E-06,100000,65996,31178,66692,30485
7.005E-06,100000,65983,31149,66672,30458
7.015E-06,100000,65958,31125,66650,30437
7.025E-06,100000,65939,31094,66627,30406
7.035E-06,100000,65914,31064,66603,30378
7.045E-06,100000,65894,31036,66578,30359
7.055E-06,100000,65871,31008,66550,30335
7.065E-06,100000,65840,30983,66530,30315
7.075E-06,100000,65818,30952,66508,30296
7.085E-06,100000,65802,30928,66492,30269
7.095E-06,100000,65779,30890,66466,30242
7.105E-06,100000,65762,30862,66448,30217
7.115E-06,100000,65738,30839,66423,30193
7.125E-06,100000,65725,30804,66404,30168
7.135E-06,100000,65697,30785,66384,30136
7.145E-06,100000,65668,30759,66366,30109
7.155E-06,100000,65648,30731,66347,30079
7.165E-06,100000,65626,30707,66324,30051
7.175E-06,100000,65598,30684,66301,30026
7.185E-06,100000,65583,30661,66269,29996
7.195E-06,100000,65566,30621,66250,29970
7.205E-06,100000,65538,30592,66229,29946
7.215E-06,100000,65518,30574,66209,29921
7.225E-06,100000,65485,30543,66188,29888
7.235E-06,100000,65469,30520,66172,29864
7.245E-06,100000,65445,30497,66152,29841
7.255E-06,100000,65430,30469,66131,29814
7.265E-06,100000,65415,30446,66105,29786
7.275E-06,100000,65387,30421,66088,29759
7.285E-06,100000,65372,30405,66064,29735
7.295E-06,100000,65351,30379,66046,29714
7.305E-06,100000,65328,30350,66023,29691
7.315E-06,100000,65306,30333,66001,29670
7.325E-06,100000,65280,30309,65984,29637
7.335E-06,100000,65251,30283,65965,29606
7.345E-06,100000,65232,30271,65938,29573
7.355E-06,100000,65213,30238,65920,29548
7.365E-06,100000,65193,30212,65898,29522
7.375E-06,100000,65172,30190,65883,29494
7.385E-06,100000,65151,30164,65863,29474
7.395E-06,100000,65136,30135,65842,29450
7.405E-06,100000,65118,30113,65825,29433
7.415E-06,100000,65091,30081,65795,29401
7.425E-06,100000,65076,30059,65768,29375
7.435E-06,100000,65056,30038,65748,29352
7.445E-06,100000,65034,30019,65731,29326
7.455E-06,100000,65005,29990,65703,29304
7.465E-06,100000,64981,29958,65682,29275
7.475E-06,100000,64968,29938,65663,29250
7.485E-06,100000,64944,29919,65639,29222
7.495E-06,100000,64922,29894,65618,29196
7.505E-06,100000,64904,29877,65592,29164
7.515E-06,100000,64878,29845,65578,29139
7.525E-06,100000,64861,29829,65561,29108
7.535E-06,100000,64837,29802,65546,29069
7.545E-06,100000,64810,29770,65529,29035
7.555E-06,100000,64782,29747,65515,29007
7.565E-06,100000,64759,29726,65493,28977
7.575E-06,100000,64737,29697,65480,28956
7.585E-06,100000,64710,29674,65459,28935
7.595E-06,100000,64693,29652,65435,28904
7.605E-06,100000,64668,29629,65419,28885
7.615E-06,100000,64649,29606,65395,28859
7.625E-06,100000,64627,29580,65375,28827
7.635E-06,100000,64606,29555,65353,28804
7.645E-06,100000,64583,29531,65326,28780
7.655E-06,100000,64569,29517,65301,28758
7.665E-06,100000,64547,29481,65279,28738
7.675E-06,100000,64523,29456,65263,28716
7.685E-06,100000,64496,29434,65243,28694
7.695E-06,100000,64484,29417,65221,28670
7.705E-06,100000,64455,29398,65196,28650
7.715E-06,100000,64436,29373,65175,28622
7.725E-06,100000,64417,29341,65157,28596
7.735E-06,100000,64405,29320,65135,28579
7.745E-06,100000,64387,29293,65117,28558
7.755E-06,100000,64371,29266,65096,28530
7.765E-06,100000,64343,29244,65079,28508
7.775E-06,100000,64317,29225,65056,28476
7.785E-06,100000,64301,29203,65038,28452
7.795E-06,100000,64280,29173,65019,28427
7.805E-06,100000,64257,29146,64993,28404
7.815E-06,100000,64230,29114,64973,28379
7.825E-06,100000,64208,29082,64954,28350
7.835E-06,100000,64183,29067,64935,28326
7.845E-06,100000,64159,29042,64913,28302
7.855E-06,100000,64142,29021,64897,28279
7.865E-06,100000,64130,29000,64873,28250
7.875E-06,100000,64113,28982,64851,28231
7.885E-06,100000,64088,28963,64822,28206
7.895E-06,100000,64062,28943,64803,28184
7.905E-06,100000,64040,28919,64785,28155
7.915E-06,100000,64022,28893,64766,28128
7.925E-06,100000,64000,28866,64746,28099
7.935E-06,100000,63980,28849,64722,28077
7.945E-06,100000,63964,28833,64699,28053
7.955E-06,100000,63937,28809,64669,28033
7.965E-06,100000,63916,28780,64647,28002
7.975E-06,100000,63894,28758,64616,27980
7.985E-06,100000,63876,28740,64593,27953
7.995E-06,100000,63864,28707,64572,27918
8.005E-06,100000,63840,28689,64554,27900
8.015E-06,100000,63821,28663,64533,27878
8.025E-06,100000,63800,28646,64505,27850
8.035E-06,100000,63781,28624,64488,27816
8.045E-06,100000,63752,28600,64469,27794
8.055E-06,100000,63727,28582,64442,27759
8.065E-06,100000,63710,28563,64427,27737
8.075E-06,100000,63693,28547,64401,27719
8.085E-06,100000,63671,28523,64371,27688
8.095E-06,100000,63655,28500,64347,27667
8.105E-06,100000,63625,28477,64331,27640
8.115E-06,100000,63613,28451,64315,27618
8.125E-06,100000,63593,28428,64298,27597
8.135E-06,100000,63568,28407,64275,27574
8.145E-06,100000,63536,28377,64249,27544
8.155E-06,100000,63508,28348,64226,27514
8.165E-06,100000,63492,28328,64194,27494
8.175E-06,100000,63479,28310,64164,27464
8.185E-06,100000,63458,28288,64141,27435
8.195E-06,100000,63435,28269,64119,27400
8.205E-06,100000,63406,28244,64101,27381
8.215E-06,100000,63379,28223,64082,27353
8.225E-06,100000,63357,28211,64057,27329
8.235E-06,100000,63333,28180,64032,27302
8.245E-06,100000,63310,28158,64015,27275
8.255E-06,100000,63292,28130,63980,27254
8.265E-06,100000,63263,28108,63953,27236
8.275E-06,100000,63235,28084,63933,27213
8.285E-06,100000,63207,28058,63910,27184
8.295E-06,100000,63184,28030,63883,27164
8.305E-06,100000,63164,28001,63862,27135
8.315E-06,100000,63143,27983,63837,27109
8.325E-06,100000,63119,27960,63802,27095
8.335E-06,100000,63091,27934,63774,27078
8.345E-06,100000,63073,27919,63751,27048
8.355E-06,100000,63045,27896,63725,27007
8.365E-06,100000,63025,27879,63701,26977
8.375E-06,100000,62992,27862,63676,26949
8.385E-06,100000,62959,27831,63650,26920
8.395E-06,100000,62939,27805,63631,26891
8.405E-06,100000,62910,27788,63602,26859
8.415E-06,100000,62885,27759,63574,26828
8.425E-06,100000,62858,27739,63550,26805
8.435E-06,100000,62837,27714,63530,26770
8.445E-06,100000,62815,27681,63515,26745
8.455E-06,100000,62792,27660,63493,26717
8.465E-06,100000,62765,27643,63472,26690
8.475E-06,100000,62735,27621,63444,26670
8.485E-06,100000,62722,27600,63419,26651
8.495E-06,100000,62701,27580,63402,26631
8.505E-06,100000,62684,27558,63382,26597
8.515E-06,100000,62668,27528,63360,26560
8.525E-06,100000,62647,27508,63346,26525
8.535E-06,100000,62626,27485,63313,26499
8.545E-06,100000,62599,27468,63296,26474
8.555E-06,100000,62576,27445,63271,26441
8.565E-06,100000,62550,27432,63240,26407
8.575E-06,100000,62527,27416,63212,26377
8.585E-06,100000,62492,27399,63188,26347
8.595E-06,100000,62481,27379,63160,26324
8.605E-06,100000,62446,27358,63133,26292
8.615E-06,100000,62422,27329,63118,26264
8.625E-06,100000,62392,27309,63094,26237
8.635E-06,100000,62374,27280,63070,26217
8.645E-06,100000,62353,27260,63038,26194
8.655E-06,100000,62339,27233,63004,26173
8.665E-06,100000,62321,27208,62977,26150
8.675E-06,100000,62297,27187,62950,26117
8.685E-06,100000,62284,27169,62924,26089
8.695E-06,100000,62264,27153,62902,26060
8.705E-06,100000,62246,27131,62872,26037
8.715E-06,100000,62227,27100,62839,26022
8.725E-06,100000,62197,27075,62819,25997
8.735E-06,100000,62177,27050,62793,25976
8.745E-06,100000,62151,27029,62767,25950
8.755E-06,100000,62131,27008,62730,25921
8.765E-06,100000,62115,26987,62704,25895
8.775E-06,100000,62101,26959,62678,25869
8.785E-06,100000,62080,26935,62648,25848
8.795E-06,100000,62059,26921,62623,25826
8.805E-06,100000,62033,26900,62598,25801
8.815E-06,100000,62008,26878,62570,25769
8.825E-06,100000,61982,26853,62549,25744
8.835E-06,100000,61948,26838,62525,25725
8.845E-06,100000,61925,26807,62498,25700
8.855E-06,100000,61902,26787,62469,25683
8.865E-06,100000,61879,26771,62441,25665
8.875E-06,100000,61857,26757,62421,25647
8.885E-06,100000,61827,26741,62397,25621
8.895E-06,100000,61805,26724,62365,25594
8.905E-06,100000,61778,26706,62340,25571
8.915E-06,100000,61758,26686,62314,25543
8.925E-06,100000,61739,26674,62289,25527
8.935E-06,100000,61718,26651,62267,25502
8.945E-06,100000,61700,26630,62237,25470
8.955E-06,100000,61686,26612,62214,25449
8.965E-06,100000,61664,26594,62185,25427
8.975E-06,100000,61647,26579,62163,25402
8.985E-06,100000,61627,26557,62150,25390
8.995E-06,100000,61595,26535,62126,25368
9.005E-06,100000,61577,26525,62094,25347
9.015E-06,100000,61552,26508,62045,25327
9.025E-06,100000,61538,26486,62023,25309
9.035E-06,100000,61513,26469,61994,25290
9.045E-06,100000,61491,26453,61971,25269
9.055E-06,100000,61464,26439,61945,25248
9.065E-06,100000,61447,26425,61915,25228
9.075E-06,100000,61421,26402,61891,25216
9.085E-06,100000,61397,26380,61870,25203
9.095E-06,100000,61372,26364,61834,25167
9.105E-06,100000,61354,26340,61816,25153
9.115E-06,100000,61335,26326,61790,25128
9.125E-06,100000,61314,26307,61771,25110
9.135E-06,100000,61296,26292,61744,25087
9.145E-06,100000,61278,26273,61725,25062
9.155E-06,100000,61258,26253,61704,25042
9.165E-06,100000,61240,26241,61681,25018
9.175E-06,100000,61226,26226,61659,24993
9.185E-06,100000,61203,26205,61632,24972
9.195E-06,100000,61183,26187,61614,24941
9.205E-06,100000,61172,26170,61586,24920
9.215E-06,100000,61155,26148,61565,24901
9.225E-06,100000,61137,26127,61542,24877
9.235E-06,100000,61113,26111,61524,24847
9.245E-06,100000,61093,26089,61502,24828
9.255E-06,100000,61070,26078,61476,24814
9.265E-06,100000,61047,26069,61458,24794
9.275E-06,100000,61031,26056,61435,24769
9.285E-06,100000,61018,26039,61416,24749
9.295E-06,100000,60999,26023,61394,24721
9.305E-06,100000,60977,26009,61378,24705
9.315E-06,100000,60951,25993,61358,24692
9.325E-06,100000,60931,25977,61334,24673
9.335E-06,100000,60914,25955,61312,24658
9.345E-06,100000,60887,25938,61297,24641
9.355E-06,100000,60866,25915,61278,24627
9.365E-06,100000,60856,25901,61249,24609
9.375E-06,100000,60839,25885,61228,24589
9.385E-06,100000,60817,25872,61219,24570
9.395E-06,100000,60801,25848,61191,24547
9.405E-06,100000,60781,25834,61178,24527
9.415E-06,100000,60764,25811,61157,24507
9.425E-06,100000,60750,25800,61136,24489
9.435E-06,100000,60739,25789,61117,24474
9.445E-06,100000,60723,25770,61099,24461
9.455E-06,100000,60702,25754,61079,24443
9.465E-06,100000,60686,25736,61067,24418
9.475E-06,100000,60666,25726,61047,24406
9.485E-06,100000,60651,25714,61029,24396
9.495E-06,100000,60635,25695,61014,24373
9.505E-06,100000,60619,25678,60991,24359
9.515E-06,100000,60601,25665,60979,24336
9.525E-06,100000,60589,25642,60955,24314
9.535E-06,100000,60570,25627,60939,24298
9.545E-06,100000,60559,25613,60923,24280
9.555E-06,100000,60542,25602,60898,24259
9.565E-06,100000,60525,25584,60881,24237
9.575E-06,100000,60498,25571,60861,24218
9.585E-06,100000,60479,25555,60845,24198
9.595E-06,100000,60461,25533,60824,24177
9.605E-06,100000,60448,25515,60809,24159
9.615E-06,100000,60430,25488,60791,24141
9.625E-06,100000,60413,25465,60776,24123
9.635E-06,100000,60395,25443,60761,24108
9.645E-06,100000,60373,25424,60747,24096
9.655E-06,100000,60357,25399,60725,24082
9.665E-06,100000,60338,25386,60709,24062
9.675E-06,100000,60324,25369,60694,24051
9.685E-06,100000,60308,25348,60673,24028
9.695E-06,100000,60291,25326,60643,24009
9.705E-06,100000,60267,25310,60624,23992
9.715E-06,100000,60246,25296,60599,23978
9.725E-06,100000,60229,25279,60577,23965
9.735E-06,100000,60219,25255,60557,23944
9.745E-06,100000,60204,25239,60535,23924
9.755E-06,100000,60192,25217,60505,23905
9.765E-06,100000,60176,25201,60484,23888
9.775E-06,100000,60166,25188,60455,23875
9.785E-06,100000,60150,25178,60442,23848
9.795E-06,100000,60131,25167,60426,23828
9.805E-06,100000,60108,25143,60401,23815
9.815E-06,100000,60087,25127,60382,23788
9.825E-06,100000,60071,25112,60365,23764
9.835E-06,100000,60058,25093,60347,23741
9.845E-06,100000,60041,25065,60333,23728
9.855E-06,100000,60019,25038,60313,23712
9.865E-06,100000,60005,25022,60291,23690
9.875E-06,100000,59999,25005,60274,23679
9.885E-06,100000,59984,24989,60261,23668
9.895E-06,100000,59976,24970,60239,23656
9.905E-06,100000,59965,24949,60221,23640
9.915E-06,100000,59946,24926,60202,23627
9.925E-06,100000,59934,24915,60183,23611
9.935E-06,100000,59913,24892,60167,23600
9.945E-06,100000,59908,24873,60150,23573
9.955E-06,100000,59898,24856,60137,23553
9.965E-06,100000,59885,24842,60121,23537
9.975E-06,100000,59873,24823,60097,23528
9.985E-06,100000,59859,24802,60086,23509
9.995E-06,100000,59841,24786,60070,23498
1.0005E-05,100000,59818,24764,60054,23477
1.0015E-05,100000,59796,24740,60043,23452
1.0025E-05,100000,59782,24721,60025,23435
1.0035E-05,100000,59763,24704,60012,23406
1.0045E-05,100000,59749,24691,59996,23389
1.0055E-05,100000,59729,24677,59984,23374
1.0065E-05,100000,59711,24656,59969,23355
1.0075E-05,100000,59702,24639,59957,23331
1.0085E-05,100000,59689,24625,59945,23318
1.0095E-05,100000,59680,24611,59924,23293
1.0105E-05,100000,59665,24592,59908,23276
1.0115E-05,100000,59650,24575,59887,23259
1.0125E-05,100000,59637,24563,59876,23236
1.0135E-05,100000,59619,24543,59862,23212
1.0145E-05,100000,59611,24523,59845,23195
1.0155E-05,100000,59591,24516,59824,23181
1.0165E-05,100000,59580,24497,59798,23158
1.0175E-05,100000,59566,24471,59779,23145
1.0185E-05,100000,59551,24454,59759,23132
1.0195E-05,100000,59537,24441,59739,23115
1.0205E-05,100000,59522,24417,59727,23093
1.0215E-05,100000,59509,24402,59709,23079
1.0225E-05,100000,59493,24385,59689,23058
1.0235E-05,100000,59484,24368,59670,23041
1.0245E-05,100000,59477,24351,59658,23024
1.0255E-05,100000,59459,24337,59635,23004
1.0265E-05,100000,59447,24316,59613,22991
1.0275E-05,100000,59430,24297,59602,22973
1.0285E-05,100000,59412,24279,59582,22956
1.0295E-05,100000,59396,24257,59564,22935
1.0305E-05,100000,59372,24241,59536,22917
1.0315E-05,100000,59351,24217,59516,22903
1.0325E-05,100000,59332,24198,59496,22892
1.0335E-05,100000,59317,24181,59484,22874
1.0345E-05,100000,59296,24158,59468,22860
1.0355E-05,100000,59281,24138,59450,22843
1.0365E-05,100000,59259,24119,59428,22821
1.0375E-05,100000,59243,24094,59409,22801
1.0385E-05,100000,59228,24072,59388,22782
1.0395E-05,100000,59207,24052,59371,22759
1.0405E-05,100000,59192,24033,59354,22746
1.0415E-05,100000,59172,24019,59328,22727
1.0425E-05,100000,59150,23995,59305,22704
1.0435E-05,100000,59139,23973,59288,22686
1.0445E-05,100000,59119,23964,59267,22672
1.0455E-05,100000,59094,23948,59239,22649
1.0465E-05,100000,59079,23937,59218,22633
1.0475E-05,100000,59056,23917,59197,22616
1.0485E-05,100000,59038,23899,59171,22593
1.0495E-05,100000,59020,23889,59150,22575
1.0505E-05,100000,59005,23865,59138,22555
1.0515E-05,100000,58987,23847,59121,22537
1.0525E-05,100000,58970,23829,59101,22517
1.0535E-05,100000,58959,23809,59076,22494
1.0545E-05,100000,58948,23792,59055,22478
1.0555E-05,100000,58937,23777,59033,22461
1.0565E-05,100000,58921,23753,59006,22448
1.0575E-05,100000,58905,23723,58988,22432
1.0585E-05,100000,58887,23704,58959,22416
1.0595E-05,100000,58873,23688,58933,22400
1.0605E-05,100000,58860,23678,58913,22380
1.0615E-05,100000,58840,23660,58880,22357
1.0625E-05,100000,58819,23644,58857,22330
1.0635E-05,100000,58795,23613,58834,22311
1.0645E-05,100000,58776,23596,58808,22296
1.0655E-05,100000,58757,23573,58791,22282
1.0665E-05,100000,58744,23551,58768,22258
1.0675E-05,100000,58732,23534,58747,22233
1.0685E-05,100000,58720,23509,58720,22217
1.0695E-05,100000,58707,23494,58699,22200
1.0705E-05,100000,58684,23478,58685,22177
1.0715E-05,100000,58665,23460,58663,22150
1.0725E-05,100000,58649,23438,58645,22130
1.0735E-05,100000,58628,23416,58618,22106
1.0745E-05,100000,58610,23406,58593,22082
1.0755E-05,100000,58589,23381,58571,22063
1.0765E-05,100000,58569,23365,58547,22038
1.0775E-05,100000,58553,23338,58530,22014
1.0785E-05,100000,58537,23314,58499,21994
1.0795E-05,100000,58513,23294,58483,21975
1.0805E-05,100000,58492,23272,58450,21952
1.0815E-05,100000,58467,23243,58423,21931
1.0825E-05,100000,58447,23223,58404,21905
1.0835E-05,100000,58432,23203,58381,21889
1.0845E-05,100000,58414,23182,58363,21869
1.0855E-05,100000,58387,23165,58345,21845
1.0865E-05,100000,58363,23148,58329,21817
1.0875E-05,100000,58347,23123,58300,21794
1.0885E-05,100000,58324,23102,58271,21781
1.0895E-05,100000,58301,23079,58240,21752
1.0905E-05,100000,58274,23061,58211,21734
1.0915E-05,100000,58263,23048,58189,21703
1.0925E-05,100000,58246,23033,58166,21687
1.0935E-05,100000,58230,23019,58138,21664
1.0945E-05,100000,58208,23005,58112,21641
1.0955E-05,100000,58188,22985,58091,21617
1.0965E-05,100000,58166,22954,58068,21598
1.0975E-05,100000,58147,22931,58042,21578
1.0985E-05,100000,58130,22913,58021,21557
1.0995E-05,100000,58107,22891,57987,21535
1.1005E-05,100000,58085,22870,57965,21514
1.1015E-05,100000,58066,22847,57940,21492
1.1025E-05,100000,58043,22824,57924,21474
1.1035E-05,100000,58026,22803,57894,21453
1.1045E-05,100000,58000,22771,57866,21424
1.1055E-05,100000,57983,22742,57832,21402
1.1065E-05,100000,57970,22722,57809,21381
1.1075E-05,100000,57953,22688,57793,21361
1.1085E-05,100000,57935,22656,57754,21345
1.1095E-05,100000,57910,22635,57719,21320
1.1105E-05,100000,57883,22610,57692,21295
1.1115E-05,100000,57862,22589,57668,21269
1.1125E-05,100000,57842,22562,57636,21233
1.1135E-05,100000,57814,22541,57616,21210
1.1145E-05,100000,57797,22514,57587,21186
1.1155E-05,100000,57772,22496,57561,21159
1.1165E-05,100000,57745,22473,57530,21143
1.1175E-05,100000,57721,22458,57503,21128
1.1185E-05,100000,57704,22428,57477,21103
1.1195E-05,100000,57680,22391,57454,21085
1.1205E-05,100000,57659,22359,57426,21063
1.1215E-05,100000,57640,22334,57403,21039
1.1225E-05,100000,57620,22307,57374,21013
1.1235E-05,100000,57603,22281,57353,20986
1.1245E-05,100000,57574,22256,57334,20960
1.1255E-05,100000,57556,22233,57307,20936
1.1265E-05,100000,57533,22213,57273,20916
1.1275E-05,100000,57520,22184,57252,20894
1.1285E-05,100000,57499,22156,57224,20870
1.1295E-05,100000,57483,22133,57197,20846
1.1305E-05,100000,57458,22111,57162,20822
1.1315E-05,100000,57431,22084,57128,20798
1.1325E-05,100000,57411,22059,57087,20777
1.1335E-05,100000,57384,22027,57052,20751
1.1345E-05,100000,57363,21992,57018,20721
1.1355E-05,100000,57332,21969,56991,20700
1.1365E-05,100000,57306,21933,56953,20681
1.1375E-05,100000,57286,21898,56913,20646
1.1385E-05,100000,57265,21867,56874,20618
1.1395E-05,100000,57237,21844,56840,20599
1.1405E-05,100000,57211,21819,56807,20572
1.1415E-05,100000,57188,21793,56765,20549
1.1425E-05,100000,57164,21759,56728,20525
1.1435E-05,100000,57147,21731,56698,20492
1.1445E-05,100000,57128,21710,56676,20465
1.1455E-05,100000,57100,21681,56649,20439
1.1465E-05,100000,57073,21661,56613,20418
1.1475E-05,100000,57049,21635,56580,20391
1.1485E-05,100000,57019,21620,56550,20376
1.1495E-05,100000,56988,21593,56514,20355
1.1505E-05,100000,56960,21571,56488,20325
1.1515E-05,100000,56925,21536,56449,20298
1.1525E-05,100000,56900,21499,56413,20270
1.1535E-05,100000,56877,21481,56371,20237
1.1545E-05,100000,56857,21456,56340,20214
1.1555E-05,100000,56834,21425,56317,20192
1.1565E-05,100000,56810,21404,56283,20162
1.1575E-05,100000,56778,21384,56249,20137
1.1585E-05,100000,56753,21362,56220,20097
1.1595E-05,100000,56722,21334,56181,20077
1.1605E-05,100000,56691,21299,56142,20049
1.1615E-05,100000,56655,21269,56108,20016
1.1625E-05,100000,56625,21246,56060,19990
1.1635E-05,100000,56589,21219,56027,19967
1.1645E-05,100000,56562,21189,55984,19941
1.1655E-05,100000,56526,21160,55951,19918
1.1665E-05,100000,56493,21137,55917,19880
1.1675E-05,100000,56461,21104,55882,19860
1.1685E-05,100000,56439,21075,55861,19829
1.1695E-05,100000,56416,21047,55827,19799
1.1705E-05,100000,56388,21015,55800,19771
1.1715E-05,100000,56350,20985,55760,19747
1.1725E-05,100000,56329,20951,55724,19713
1.1735E-05,100000,56307,20913,55678,19688
1.1745E-05,100000,56268,20882,55634,19658
1.1755E-05,100000,56240,20848,55591,19636
1.1765E-05,100000,56226,20820,55554,19611
1.1775E-05,100000,56195,20782,55507,19586
1.1785E-05,100000,56161,20749,55462,19559
1.1795E-05,100000,56131,20705,55423,19526
1.1805E-05,100000,56095,20671,55386,19499
1.1815E-05,100000,56063,20639,55349,19473
1.1825E-05,100000,56033,20612,55311,19444
1.1835E-05,100000,56001,20580,55282,19420
1.1845E-05,100000,55979,20544,55245,19393
1.1855E-05,100000,55958,20507,55207,19369
1.1865E-05,100000,55934,20474,55176,19343
1.1875E-05,100000,55895,20443,55138,19322
1.1885E-05,100000,55866,20405,55105,19285
1.1895E-05,100000,55830,20382,55067,19252
1.1905E-05,100000,55787,20356,55028,19230
1.1915E-05,100000,55761,20329,54989,19193
1.1925E-05,100000,55719,20295,54959,19152
1.1935E-05,100000,55693,20257,54926,19130
1.1945E-05,100000,55662,20225,54898,19087
1.1955E-05,100000,55629,20189,54855,19053
1.1965E-05,100000,55593,20163,54819,19025
1.1975E-05,100000,55557,20125,54778,18997
1.1985E-05,100000,55527,20088,54741,18967
1.1995E-05,100000,55501,20052,54711,18924
1.2005E-05,100000,55458,20018,54662,18894
1.2015E-05,100000,55418,19979,54620,18868
1.2025E-05,100000,55382,19945,54579,18835
1.2035E-05,100000,55342,19905,54530,18809
1.2045E-05,100000,55311,19866,54492,18779
1.2055E-05,100000,55273,19828,54451,18748
1.2065E-05,100000,55244,19793,54408,18712
1.2075E-05,100000,55211,19757,54352,18671
1.2085E-05,100000,55173,19728,54307,18632
1.2095E-05,100000,55118,19698,54257,18595
1.2105E-05,100000,55083,19645,54220,18563
1.2115E-05,100000,55046,19603,54171,18527
1.2125E-05,100000,55012,19565,54123,18486
1.2135E-05,100000,54974,19532,54084,18452
1.2145E-05,100000,54933,19499,54045,18419
1.2155E-05,100000,54899,19459,54006,18388
1.2165E-05,100000,54863,19427,53957,18355
1.2175E-05,100000,54823,19383,53909,18320
1.2185E-05,100000,54781,19350,53854,18281
1.2195E-05,100000,54741,19313,53812,18256
1.2205E-05,100000,54695,19280,53763,18209
1.2215E-05,100000,54641,19245,53711,18183
1.2225E-05,100000,54596,19212,53668,18147
1.2235E-05,100000,54553,19174,53627,18114
1.2245E-05,100000,54513,19136,53589,18083
1.2255E-05,100000,54478,19102,53539,18052
1.2265E-05,100000,54422,19056,53505,18020
1.2275E-05,100000,54389,19016,53459,17988
1.2285E-05,100000,54343,18971,53410,17954
1.2295E-05,100000,54294,18927,53368,17913
1.2305E-05,100000,54239,18879,53309,17875
1.2315E-05,100000,54198,18848,53261,17840
1.2325E-05,100000,54162,18807,53215,17806
1.2335E-05,100000,54122,18763,53169,17765
1.2345E-05,100000,54080,18713,53128,17726
1.2355E-05,100000,54036,18677,53070,17679
1.2365E-05,100000,53989,18638,53019,17637
1.2375E-05,100000,53943,18597,52957,17599
1.2385E-05,100000,53897,18539,52917,17558
1.2395E-05,100000,53852,18483,52873,17527
1.2405E-05,100000,53801,18430,52811,17495
1.2415E-05,100000,53758,18384,52756,17456
1.2425E-05,100000,53718,18347,52705,17423
1.2435E-05,100000,53677,18308,52639,17392
