280,6,idxs,,,,
 ,0.1,1000,2000,3000,5000,10000
0,1,1,1,1,2540,2560
0.1,1,1,1,1,2407,2377.5
0.2,1,1,1,1,2274,2195
0.3,1,1,1,1,2141,2012.5
0.4,1,1,1,1,2008,1830
0.5,1,1,1,1,1875,1647.5
0.6,1,1,1,1,1742,1465
0.7,1,1,1,1,1609,1282.5
0.8,1,1,1,1,1476,1100
0.9,1,1,1,1,1343,917.5
1,1,1,1,1,1210,735
1.1,1,1,1,1,1116.9,672.2
1.2,1,1,1,1,1023.8,609.4
1.3,1,1,1,1,930.7,546.6
1.4,1,1,1,1,837.6,483.8
1.5,1,1,1,1,744.5,421
1.6,1,1,1,1,651.4,358.2
1.7,1,1,1,1,558.3,295.4
1.8,1,1,1,1,465.2,232.6
1.9,1,1,1,1,372.1,169.8
2,1,1,1,1,279,107
2.1,1,1,1,1,259.39,99.84
2.2,1,1,1,1,239.78,92.68
2.3,1,1,1,1,220.17,85.52
2.4,1,1,1,1,200.56,78.36
2.5,1,1,1,1,180.95,71.2
2.6,1,1,1,1,161.34,64.04
2.7,1,1,1,1,141.73,56.88
2.8,1,1,1,1,122.12,49.72
2.9,1,1,1,1,102.51,42.56
3,1,1,1,1,82.9,35.4
3.1,1,1,1,1,78.29,34.06
3.2,1,1,1,1,73.68,32.72
3.3,1,1,1,1,69.07,31.38
3.4,1,1,1,1,64.46,30.04
3.5,1,1,1,1,59.85,28.7
3.6,1,1,1,1,55.24,27.36
3.7,1,1,1,1,50.63,26.02
3.8,1,1,1,1,46.02,24.68
3.9,1,1,1,1,41.41,23.34
4,1,1,1,1,36.8,22
4.1,1,1,1,1,35.76,20.86
4.2,1,1,1,1,34.72,19.72
4.3,1,1,1,1,33.68,18.58
4.4,1,1,1,1,32.64,17.44
4.5,1,1,1,1,31.6,16.3
4.6,1,1,1,1,30.56,15.16
4.7,1,1,1,1,29.52,14.02
4.8,1,1,1,1,28.48,12.88
4.9,1,1,1,1,27.44,11.74
5,1,1,1,1,26.4,10.6
5.1,1,1,1,1,25.45,10.399
5.2,1,1,1,1,24.5,10.198
5.3,1,1,1,1,23.55,9.997
5.4,1,1,1,1,22.6,9.796
5.5,1,1,1,1,21.65,9.595
5.6,1,1,1,1,20.7,9.394
5.7,1,1,1,1,19.75,9.193
5.8,1,1,1,1,18.8,8.992
5.9,1,1,1,1,17.85,8.791
6,1,1,1,1,16.9,8.59
6.1,1,1,1,1,16.203,8.345
6.2,1,1,1,1,15.506,8.1
6.3,1,1,1,1,14.809,7.855
6.4,1,1,1,1,14.112,7.61
