59,1,1,1,1,1,0.00117
60,1,1,1,1,1,0.00113
61,1,1,1,1,1,0.00107
62,1,1,1,1,1,0.00101
63,1,1,1,1,1,0.000961
64,1,1,1,1,1,0.000895
65,1,1,1,1,1,0.000847
66,1,1,1,1,1,0.000787
67,1,1,1,1,1,0.000766
68,1,1,1,1,1,0.00073
69,1,1,1,1,1,0.000705
70,1,1,1,1,1,0.000655
71,1,1,1,1,1,0.000615
72,1,1,1,1,1,0.000594
73,1,1,1,1,1,0.000572
74,1,1,1,1,1,0.000552
75,1,1,1,1,1,0.000521
76,1,1,1,1,1,0.0005
77,1,1,1,1,1,0.000474
78,1,1,1,1,1,0.000457
79,1,1,1,1,1,0.00044
80,1,1,1,1,1,0.000425
81,1,1,1,1,1,0.000412
82,1,1,1,1,1,0.000384
83,1,1,1,1,1,0.000373
84,1,1,1,1,1,0.000359
85,1,1,1,1,1,0.000356
86,1,1,1,1,1,0.000336
87,1,1,1,1,1,0.000319
88,1,1,1,1,1,0.00031
89,1,1,1,1,1,0.000303
90,1,1,1,1,1,0.000297
91,1,1,1,1,1,0.000282
92,1,1,1,1,1,0.000274
93,1,1,1,1,1,0.00026
94,1,1,1,1,1,0.000256
95,1,1,1,1,1,0.000248
96,1,1,1,1,1,0.000243
97,1,1,1,1,1,0.000236
98,1,1,1,1,1,0.000225
99,1,1,1,1,1,0.000218
100,1,1,1,1,1,0.000211
101,1,1,1,1,1,0.000209
102,1,1,1,1,1,0.000203
103,1,1,1,1,1,0.000199
104,1,1,1,1,1,0.00019
105,1,1,1,1,1,0.000183
106,1,1,1,1,1,0.000181
107,1,1,1,1,1,0.000177
108,1,1,1,1,1,0.000174
109,1,1,1,1,1,0.000166
110,1,1,1,1,1,0.000163
111,1,1,1,1,1,0.000159
112,1,1,1,1,1,0.000159
113,1,1,1,1,1,0.000156
114,1,1,1,1,1,0.000151
115,1,1,1,1,1,0.000146
116,1,1,1,1,1,0.000141
117,1,1,1,1,1,0.000141
118,1,1,1,1,1,0.000138
119,1,1,1,1,1,0.000136
120,1,1,1,1,1,0.000132
121,1,1,1,1,1,0.00013
122,1,1,1,1,1,0.000128
123,1,1,1,1,1,0.000126
124,1,1,1,1,1,0.000125
125,1,1,1,1,1,0.000121
126,1,1,1,1,1,0.000118
127,1,1,1,1,1,0.000114
128,1,1,1,1,1,0.000115
129,1,1,1,1,1,0.000113
130,1,1,1,1,1,0.000112
131,1,1,1,1,1,0.000108
132,1,1,1,1,1,0.000106
133,1,1,1,1,1,0.000106
134,1,1,1,1,1,0.000106
135,1,1,1,1,1,0.000106
136,1,1,1,1,1,0.000103
137,1,1,1,1,1,0.0000996
138,1,1,1,1,1,0.0000967
139,1,1,1,1,1,0.0000969
140,1,1,1,1,1,0.0000972
141,1,1,1,1,1,0.0000955
142,1,1,1,1,1,0.0000932
143,1,1,1,1,1,0.0000901
144,1,1,1,1,1,0.0000906
145,1,1,1,1,1,0.000091
146,1,1,1,1,1,0.000092
147,1,1,1,1,1,0.0000898
148,1,1,1,1,1,0.0000871
149,1,1,1,1,1,0.0000857
150,1,1,1,1,1,0.000086
151,1,1,1,1,1,0.0000882
152,1,1,1,1,1,0.0000872
153,1,1,1,1,1,0.0000858
154,1,1,1,1,1,0.0000827
155,1,1,1,1,1,0.0000827
156,1,1,1,1,1,0.0000835
157,1,1,1,1,1,0.000084
158,1,1,1,1,1,0.0000826
159,1,1,1,1,1,0.0000791
160,1,1,1,1,1,0.000078
161,1,1,1,1,1,0.000078
162,1,1,1,1,1,0.0000804
163,1,1,1,1,1,0.0000797
164,1,1,1,1,1,0.0000777
165,1,1,1,1,1,0.0000749
166,1,1,1,1,1,0.0000745
167,1,1,1,1,1,0.000077
168,1,1,1,1,1,0.0000782
169,1,1,1,1,1,0.0000782
170,1,1,1,1,1,0.0000744
171,1,1,1,1,1,0.0000736
172,1,1,1,1,1,0.0000744
173,1,1,1,1,1,0.0000784
174,1,1,1,1,1,0.0000797
175,1,1,1,1,1,0.0000763
176,1,1,1,1,1,0.0000739
177,1,1,1,1,1,0.0000717
178,1,1,1,1,1,0.0000802
179,1,1,1,1,1,0.000085
180,1,1,1,1,1,0.000112
