         x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
        0.004165 ,     1.11246e+06 ,               0 ,          564602 ,          547858 ,               0 ,     6.00118e+06 ,     1.08748e+07 ,          195536 ,            5209 ,           19677 ,           36007 ,            2291 ,              11 ,             516 ,
        0.004175 ,     1.01767e+06 ,               0 ,          526024 ,          491643 ,               0 ,     5.55515e+06 ,      1.0058e+07 ,          181785 ,            4764 ,           18099 ,           33348 ,            2153 ,               9 ,             409 ,
        0.004185 ,          934960 ,               0 ,          475597 ,          459363 ,               0 ,     5.06288e+06 ,     9.19115e+06 ,          165138 ,            4263 ,           16705 ,           30337 ,            1877 ,              13 ,             410 ,
        0.004195 ,          862750 ,               0 ,          437410 ,          425340 ,               0 ,     4.67861e+06 ,     8.49286e+06 ,          152577 ,            4017 ,           15267 ,           27909 ,            1746 ,               9 ,             393 ,
        0.004205 ,          806405 ,               0 ,          417115 ,          389290 ,               0 ,     4.36208e+06 ,     7.93749e+06 ,          142527 ,            3817 ,           14269 ,           26278 ,            1750 ,              10 ,             306 ,
        0.004215 ,          752392 ,               0 ,          385820 ,          366572 ,               0 ,     4.07728e+06 ,     7.38466e+06 ,          133504 ,            3527 ,           13420 ,           24436 ,            1589 ,              10 ,             351 ,
        0.004225 ,          699406 ,               0 ,          358135 ,          341271 ,               0 ,     3.77201e+06 ,     6.84911e+06 ,          122522 ,            3155 ,           12500 ,           22702 ,            1457 ,               9 ,             277 ,
        0.004235 ,          640514 ,               0 ,          334294 ,          306219 ,               0 ,     3.48412e+06 ,     6.32637e+06 ,          113760 ,            3069 ,           11513 ,           20908 ,            1337 ,               9 ,             266 ,
        0.004245 ,          584679 ,               0 ,          296519 ,          288160 ,               0 ,      3.1527e+06 ,     5.70517e+06 ,          103080 ,            2667 ,           10427 ,           18815 ,            1240 ,              13 ,             236 ,
        0.004255 ,          551709 ,               0 ,          278258 ,          273451 ,               0 ,     2.94042e+06 ,     5.32433e+06 ,           95864 ,            2494 ,            9765 ,           17888 ,            1145 ,               4 ,             264 ,
        0.004265 ,          500784 ,               0 ,          258622 ,          242161 ,               0 ,     2.74388e+06 ,     4.97815e+06 ,           89623 ,            2399 ,            8914 ,           16104 ,            1078 ,               8 ,             217 ,
        0.004275 ,          478533 ,               0 ,          239220 ,          239312 ,               0 ,      2.5552e+06 ,     4.62374e+06 ,           82919 ,            2332 ,            8378 ,           15395 ,            1011 ,               2 ,             228 ,
        0.004285 ,          440227 ,               0 ,          222880 ,          217347 ,               0 ,     2.33069e+06 ,     4.21492e+06 ,           76345 ,            2020 ,            7889 ,           14137 ,             916 ,               4 ,             205 ,
        0.004295 ,          385072 ,               0 ,          194090 ,          190981 ,               0 ,     2.09457e+06 ,       3.802e+06 ,           68268 ,            1800 ,            6794 ,           12479 ,             779 ,               7 ,             187 ,
        0.004305 ,          345622 ,               0 ,          177070 ,          168553 ,               0 ,     1.89286e+06 ,     3.43676e+06 ,           61407 ,            1627 ,            6140 ,           11320 ,             697 ,               5 ,             147 ,
        0.004315 ,          317202 ,               0 ,          160944 ,          156258 ,               0 ,     1.73968e+06 ,     3.15018e+06 ,           56555 ,            1491 ,            5625 ,           10190 ,             646 ,               4 ,             154 ,
        0.004325 ,          293817 ,               0 ,          149400 ,          144417 ,               0 ,      1.5832e+06 ,     2.88014e+06 ,           51702 ,            1442 ,            5270 ,            9546 ,             624 ,               3 ,             140 ,
        0.004335 ,          278911 ,               0 ,          142982 ,          135929 ,               0 ,     1.50247e+06 ,     2.71148e+06 ,           48946 ,            1300 ,            4938 ,            9084 ,             590 ,               6 ,             117 ,
        0.004345 ,          257425 ,               0 ,          128329 ,          129096 ,               0 ,     1.37417e+06 ,     2.49026e+06 ,           45051 ,            1131 ,            4660 ,            8179 ,             498 ,               4 ,             127 ,
        0.004355 ,          227197 ,               0 ,          115044 ,          112154 ,               0 ,     1.23224e+06 ,     2.24198e+06 ,           39838 ,            1033 ,            4055 ,            7393 ,             439 ,               4 ,              95 ,
        0.004365 ,          223851 ,               0 ,          113962 ,          109889 ,               0 ,     1.20454e+06 ,       2.182e+06 ,           39189 ,            1044 ,            3999 ,            7083 ,             441 ,               4 ,             108 ,
        0.004375 ,          202208 ,               0 ,          105846 ,         96362.3 ,               0 ,      1.1042e+06 ,      1.9927e+06 ,           36052 ,             978 ,            3647 ,            6624 ,             406 ,               1 ,              89 ,
        0.004385 ,          182737 ,               0 ,           92668 ,         90069.2 ,               0 ,          999310 ,     1.80694e+06 ,           32645 ,             856 ,            3210 ,            5886 ,             362 ,               1 ,              85 ,
        0.004395 ,          161155 ,               0 ,         82616.9 ,         78538.1 ,               0 ,          881738 ,     1.60955e+06 ,           28893 ,             726 ,            2883 ,            5261 ,             347 ,               1 ,              60 ,
        0.004405 ,          161035 ,               0 ,         80039.4 ,         80995.3 ,               0 ,          812487 ,     1.47529e+06 ,           26687 ,             718 ,            2852 ,            5059 ,             380 ,               5 ,              78 ,
        0.004415 ,          137851 ,               0 ,         71526.7 ,         66324.6 ,               0 ,          751615 ,     1.36294e+06 ,           24819 ,             671 ,            2420 ,            4429 ,             292 ,               1 ,              77 ,
        0.004425 ,          130512 ,               0 ,         65754.6 ,         64757.7 ,               0 ,          694420 ,     1.25708e+06 ,           22707 ,             616 ,            2393 ,            4188 ,             253 ,               2 ,              72 ,
        0.004435 ,          116357 ,               0 ,           57784 ,         58572.6 ,               0 ,          616518 ,     1.11823e+06 ,           20118 ,             511 ,            2053 ,            3844 ,             245 ,               0 ,              56 ,
        0.004445 ,          101331 ,               0 ,         50910.5 ,         50420.7 ,               0 ,          538714 ,          981595 ,           17687 ,             479 ,            1810 ,            3138 ,             213 ,               0 ,              52 ,
        0.004455 ,         90890.8 ,               0 ,         46164.6 ,         44726.2 ,               0 ,          499786 ,          904198 ,           16437 ,             390 ,            1553 ,            2964 ,             183 ,               0 ,              40 ,
        0.004465 ,         85003.8 ,               0 ,         42327.3 ,         42676.5 ,               0 ,          459048 ,          829691 ,           14965 ,             412 ,            1525 ,            2752 ,             168 ,               3 ,              42 ,
        0.004475 ,           75207 ,               0 ,         37972.2 ,         37234.8 ,               0 ,          417003 ,          754812 ,           13682 ,             350 ,            1321 ,            2478 ,             157 ,               2 ,              36 ,
        0.004485 ,         71748.2 ,               0 ,         37114.8 ,         34633.3 ,               0 ,          387843 ,          700684 ,           12702 ,             352 ,            1284 ,            2329 ,             148 ,               1 ,              32 ,
        0.004495 ,         67372.1 ,               0 ,         35188.5 ,         32183.6 ,               0 ,          368708 ,          666714 ,           12278 ,             327 ,            1250 ,            2167 ,             148 ,               2 ,              23 ,
        0.004505 ,         62913.9 ,               0 ,         31903.4 ,         31010.5 ,               0 ,          336317 ,          610772 ,           10992 ,             343 ,            1092 ,            2058 ,             142 ,               0 ,              28 ,
        0.004515 ,         58725.4 ,               0 ,         28063.1 ,         30662.3 ,               0 ,          309728 ,          563906 ,           10014 ,             277 ,            1040 ,            1809 ,             116 ,               0 ,              36 ,
        0.004525 ,         53840.8 ,               0 ,         25635.9 ,         28204.9 ,               0 ,          277538 ,          502108 ,            9057 ,             273 ,             925 ,            1655 ,             101 ,               1 ,              29 ,
        0.004535 ,         47421.3 ,               0 ,         25652.1 ,         21769.2 ,               0 ,          255763 ,          460707 ,            8418 ,             249 ,             845 ,            1569 ,              88 ,               1 ,              15 ,
        0.004545 ,         45478.4 ,               0 ,         22523.4 ,           22955 ,               0 ,          233268 ,          426695 ,            7619 ,             228 ,             810 ,            1432 ,              89 ,               0 ,              26 ,
