#Energy(eV),Intensity(a.u.)0mTorr,Intensity(a.u.)2mTorr,Intensity(a.u.)9.5mTorr, #E(MeV) ,0mTorr,2mTorr,9.5mTorr
16.4584,13.625,5.33333333333333,0.8,9.05E-07,100000,94760,46788
16.4536,11,5.66666666666667,1.6,9.15E-07,100000,94735,46759
16.4488,11.875,9.5,1.2,9.25E-07,100000,94721,46721
16.444,11.875,7.33333333333333,1,9.35E-07,100000,94699,46683
16.4392,11.875,6,1,9.45E-07,100000,94677,46649
16.4344,13.5,7.33333333333333,2.4,9.55E-07,100000,94654,46590
16.4296,9.125,5,0.6,9.65E-07,100000,94625,46534
16.4248,11.875,7.66666666666667,1.4,9.75E-07,100000,94595,46473
16.42,15.375,6.5,1.8,9.85E-07,100000,94570,46412
16.4152,12.5,7.66666666666667,1.8,9.95E-07,100000,94547,46341
16.4104,12.25,8.5,1.2,1.005E-06,100000,94520,46274
16.4056,14.375,5.83333333333333,1.8,1.015E-06,100000,94482,46204
16.4008,9.625,5.83333333333333,2.4,1.025E-06,100000,94457,46130
16.396,8.375,6,0.4,1.035E-06,100000,94417,46056
16.3912,11.375,7.16666666666667,1.8,1.045E-06,100000,94389,45972
16.3864,14.125,6,1,1.055E-06,100000,94368,45894
16.3816,11.25,8.33333333333333,0.4,1.065E-06,100000,94335,45816
16.3768,12.875,6.66666666666667,2,1.075E-06,100000,94297,45736
16.372,12.875,6.5,0.6,1.085E-06,100000,94265,45658
16.3672,13.875,6.66666666666667,2.6,1.095E-06,100000,94247,45588
16.3624,12,4.83333333333333,1.2,1.105E-06,100000,94222,45503
16.3576,12.875,7,0.6,1.115E-06,100000,94196,45445
16.3528,13.625,5.66666666666667,0.2,1.125E-06,100000,94166,45365
16.348,14.5,7.16666666666667,1.4,1.135E-06,100000,94139,45289
16.3432,13.75,11,1.2,1.145E-06,100000,94117,45202
16.3384,10.5,10.6666666666667,1.6,1.155E-06,100000,94088,45135
16.3336,12.375,7.83333333333333,0.4,1.165E-06,100000,94059,45054
16.3288,11.5,7.83333333333333,1.6,1.175E-06,100000,94031,44985
16.324,11.625,6.66666666666667,2.8,1.185E-06,100000,94010,44908
16.3192,14.25,6,0.6,1.195E-06,100000,93981,44831
16.3144,13,7,1.8,1.205E-06,100000,93948,44764
16.3096,13.625,8,0.4,1.215E-06,100000,93925,44691
16.3048,12.75,9,1.6,1.225E-06,100000,93885,44600
16.3,12.625,7.66666666666667,1.2,1.235E-06,100000,93855,44529
16.2952,14.25,8.5,1.6,1.245E-06,100000,93818,44463
16.2904,14.375,7.33333333333333,1.4,1.255E-06,100000,93791,44389
16.2856,14,8.5,1,1.265E-06,100000,93770,44323
16.2808,10.75,8.33333333333333,1.8,1.275E-06,100000,93747,44268
16.276,10.5,5.16666666666667,1.4,1.285E-06,100000,93730,44226
16.2712,12.875,5.5,2.4,1.295E-06,100000,93698,44186
16.2664,12.375,7.16666666666667,2.2,1.305E-06,100000,93682,44127
16.2616,13.125,9.66666666666667,2,1.315E-06,100000,93656,44087
16.2568,12.875,9.5,1.6,1.325E-06,100000,93634,44042
16.252,13.5,7,1.2,1.335E-06,100000,93607,44000
16.2472,15.75,9.83333333333333,1.2,1.345E-06,100000,93580,43956
16.2424,13.625,7.16666666666667,1.2,1.355E-06,100000,93561,43905
16.2376,13.875,10,2.2,1.365E-06,100000,93532,43855
16.2328,12.75,7.66666666666667,1.6,1.375E-06,100000,93507,43803
16.228,12,6,2.2,1.385E-06,100000,93484,43748
16.2232,12.625,8.5,1.4,1.395E-06,100000,93458,43687
16.2184,13,8.5,2,1.405E-06,100000,93436,43649
16.2136,13,9.66666666666667,2.8,1.415E-06,100000,93407,43602
16.2088,9.125,9.5,1.2,1.425E-06,100000,93378,43552
16.204,14.375,5.66666666666667,0.4,1.435E-06,100000,93356,43500
16.1992,17,9.16666666666667,1,1.445E-06,100000,93327,43441
16.1944,16.5,10.3333333333333,2,1.455E-06,100000,93304,43389
16.1896,18.25,10.1666666666667,1,1.465E-06,100000,93279,43337
16.1848,15.25,9.33333333333333,3.2,1.475E-06,100000,93257,43292
16.18,13.75,9.66666666666667,2,1.485E-06,100000,93235,43234
16.1752,15.375,8,2,1.495E-06,100000,93214,43168
16.1704,18.25,10.1666666666667,3,1.505E-06,100000,93189,43093
16.1656,13.625,11.1666666666667,2.6,1.515E-06,100000,93163,43012
16.1608,13.25,9.83333333333333,0.2,1.525E-06,100000,93139,42940
16.156,19.125,12.1666666666667,1.4,1.535E-06,100000,93114,42881
16.1512,12.875,11.6666666666667,1.2,1.545E-06,100000,93079,42823
16.1464,14.25,10,1.8,1.555E-06,100000,93049,42762
16.1416,15.875,11,1.4,1.565E-06,100000,93023,42680
16.1368,19.25,12.1666666666667,1,1.575E-06,100000,92998,42629
16.132,15.125,10,1,1.585E-06,100000,92973,42567
16.1272,19.125,8,1.4,1.595E-06,100000,92943,42489
16.1224,16.625,13,2.2,1.605E-06,100000,92911,42419
16.1176,13.5,12.8333333333333,2,1.615E-06,100000,92888,42369
16.1128,16.25,11.5,0.8,1.625E-06,100000,92861,42307
16.108,17.75,12,2.4,1.635E-06,100000,92831,42246
16.1032,13.25,11.1666666666667,1.8,1.645E-06,100000,92805,42178
16.0984,16,11.1666666666667,1.8,1.655E-06,100000,92766,42115
16.0936,15.5,13,1.2,1.665E-06,100000,92734,42054
16.0888,17.875,12.1666666666667,0.8,1.675E-06,100000,92718,41983
16.084,17.125,11.3333333333333,3.2,1.685E-06,100000,92693,41919
16.0792,19.5,13.1666666666667,2,1.695E-06,100000,92662,41848
16.0744,20,9.83333333333333,2.8,1.705E-06,100000,92637,41769
16.0696,19,12.5,2.2,1.715E-06,100000,92612,41709
16.0648,20.75,11.5,1.8,1.725E-06,100000,92584,41635
16.06,24.125,10.8333333333333,2.2,1.735E-06,100000,92554,41565
16.0552,23.375,13.3333333333333,2.2,1.745E-06,100000,92531,41495
16.0504,23,11.1666666666667,2,1.755E-06,100000,92508,41431
16.0456,19.875,12.6666666666667,1.8,1.765E-06,100000,92483,41360
16.0408,18.125,15.8333333333333,3.6,1.775E-06,100000,92452,41276
16.036,18.125,17.5,2,1.785E-06,100000,92416,41185
16.0312,21.625,15,2.4,1.795E-06,100000,92386,41132
16.0264,23.125,18.3333333333333,3.2,1.805E-06,100000,92359,41062
16.0216,23.625,15.8333333333333,0.8,1.815E-06,100000,92324,40985
16.0168,26.625,15.1666666666667,1.6,1.825E-06,100000,92301,40925
16.012,21.75,16.1666666666667,2.6,1.835E-06,100000,92285,40877
16.0072,21.5,13,2.6,1.845E-06,100000,92255,40808
16.0024,22.5,15,2,1.855E-06,100000,92238,40757
15.9976,23.875,18.8333333333333,2,1.865E-06,100000,92201,40692
15.9928,23.75,16.3333333333333,2.2,1.875E-06,100000,92172,40625
15.988,26.75,15.6666666666667,2.2,1.885E-06,100000,92145,40557
15.9832,22.75,16.3333333333333,2.6,1.895E-06,100000,92114,40492
15.9784,23.25,19,2.6,1.905E-06,100000,92080,40435
15.9736,28.25,17.8333333333333,3.8,1.915E-06,100000,92049,40370
15.9688,28.25,21,2.8,1.925E-06,100000,92019,40300
15.964,30.25,15.3333333333333,2.8,1.935E-06,100000,91989,40245
15.9592,27.375,14.5,2.4,1.945E-06,100000,91959,40192
15.9544,26.375,16.3333333333333,2.2,1.955E-06,100000,91934,40132
15.9496,33.5,20.5,3.2,1.965E-06,100000,91907,40058
15.9448,29.375,20.1666666666667,3.4,1.975E-06,100000,91884,40001
15.94,33.125,24.1666666666667,4.4,1.985E-06,100000,91856,39935
15.9352,34.125,26.1666666666667,1.6,1.995E-06,100000,91836,39879
15.9304,33.125,19.6666666666667,2.6,2.005E-06,100000,91806,39808
15.9256,34.875,21.5,2.6,2.015E-06,100000,91788,39738
15.9208,31.75,24.3333333333333,3.8,2.025E-06,100000,91763,39673
15.916,35,20.3333333333333,2.2,2.035E-06,100000,91737,39613
15.9112,40.125,23.1666666666667,3,2.045E-06,100000,91708,39556
15.9064,38,27.5,2.8,2.055E-06,100000,91688,39498
15.9016,38.625,24,3,2.065E-06,100000,91665,39440
15.8968,41.625,28.1666666666667,3.6,2.075E-06,100000,91646,39384
15.892,42.375,26,4,2.085E-06,100000,91620,39324
15.8872,42.5,25.3333333333333,2.8,2.095E-06,100000,91597,39262
15.8824,38.875,28.3333333333333,3.8,2.105E-06,100000,91566,39194
15.8776,46.125,28.1666666666667,4.2,2.115E-06,100000,91544,39140
15.8728,46.75,27.5,3,2.125E-06,100000,91512,39086
15.868,45.75,34.3333333333333,3.8,2.135E-06,100000,91488,39014
15.8632,44.25,32.5,3,2.145E-06,100000,91464,38948
15.8584,50.25,32.8333333333333,3.8,2.155E-06,100000,91434,38886
15.8536,49.25,32.3333333333333,5,2.165E-06,100000,91408,38818
15.8488,54.25,28.3333333333333,3.8,2.175E-06,100000,91387,38763
15.844,50.875,35.8333333333333,5,2.185E-06,100000,91366,38707
15.8392,49.5,34.3333333333333,2.6,2.195E-06,100000,91343,38654
15.8344,54.25,30.6666666666667,5.8,2.205E-06,100000,91317,38603
15.8296,54.625,31.5,3.2,2.215E-06,100000,91308,38522
15.8248,54.25,34.5,3.2,2.225E-06,100000,91285,38461
15.82,62.875,39.1666666666667,3.4,2.235E-06,100000,91264,38408
15.8152,56,35.3333333333333,3.4,2.245E-06,100000,91241,38352
15.8104,54.25,39.5,2.8,2.255E-06,100000,91222,38296
15.8056,61.375,41.6666666666667,6,2.265E-06,100000,91195,38245
15.8008,63.75,41.1666666666667,5.8,2.275E-06,100000,91174,38195
15.796,61.375,42.6666666666667,5.6,2.285E-06,100000,91156,38155
15.7912,58.75,47.1666666666667,3.4,2.295E-06,100000,91129,38092
15.7864,74,44.3333333333333,5,2.305E-06,100000,91102,38036
15.7816,64.25,43.1666666666667,5,2.315E-06,100000,91075,37977
15.7768,67.75,39,5.6,2.325E-06,100000,91047,37930
15.772,64.375,49,4,2.335E-06,100000,91032,37866
15.7672,70.375,44.1666666666667,5.4,2.345E-06,100000,91015,37825
15.7624,67.625,44.5,4.2,2.355E-06,100000,90994,37776
15.7576,70,43.5,5.8,2.365E-06,100000,90971,37723
15.7528,75.125,40.1666666666667,6.2,2.375E-06,100000,90952,37677
15.748,76.625,50.6666666666667,8.2,2.385E-06,100000,90930,37634
15.7432,82.875,48.3333333333333,9.4,2.395E-06,100000,90909,37583
15.7384,82.5,53.8333333333333,7.4,2.405E-06,100000,90890,37541
15.7336,70.25,53,7.6,2.415E-06,100000,90867,37500
15.7288,78.125,46,7.4,2.425E-06,100000,90841,37462
15.724,78,57.6666666666667,6,2.435E-06,100000,90823,37424
15.7192,85,56.6666666666667,5.4,2.445E-06,100000,90801,37378
15.7144,89.875,57.1666666666667,4.6,2.455E-06,100000,90777,37332
15.7096,81.625,54.5,5.8,2.465E-06,100000,90761,37284
15.7048,87.125,52.1666666666667,6.8,2.475E-06,100000,90743,37226
15.7,88.875,56.6666666666667,7,2.485E-06,100000,90731,37167
15.6952,86.875,60.5,6.6,2.495E-06,100000,90705,37117
15.6904,84.75,58.8333333333333,6.6,2.505E-06,100000,90686,37085
15.6856,92.375,64.8333333333333,6.2,2.515E-06,100000,90659,37039
15.6808,97.75,67.5,5,2.525E-06,100000,90638,37004
15.676,94.5,63.5,7.2,2.535E-06,100000,90617,36952
15.6712,86,60.1666666666667,6.4,2.545E-06,100000,90602,36899
15.6664,98.25,57.1666666666667,6.8,2.555E-06,100000,90573,36849
15.6616,97.25,62.8333333333333,9.8,2.565E-06,100000,90551,36797
15.6568,96,59.5,8.2,2.575E-06,100000,90526,36751
15.652,102.5,63.1666666666667,5.4,2.585E-06,100000,90499,36707
15.6472,107.875,71.3333333333333,6.6,2.595E-06,100000,90480,36666
15.6424,114.125,66.1666666666667,6.6,2.605E-06,100000,90463,36622
15.6376,117,68.3333333333333,10.4,2.615E-06,100000,90438,36585
15.6328,111.375,72.3333333333333,10.2,2.625E-06,100000,90420,36550
15.628,113.375,71.5,10.8,2.635E-06,100000,90400,36502
15.6232,113.625,77.1666666666667,9.8,2.645E-06,100000,90378,36466
15.6184,119.5,73.8333333333333,9.6,2.655E-06,100000,90359,36422
15.6136,115.875,75.8333333333333,6.8,2.665E-06,100000,90335,36394
15.6088,128.125,86.8333333333333,8.6,2.675E-06,100000,90317,36347
15.604,135.875,83.8333333333333,8.6,2.685E-06,100000,90292,36307
15.5992,122.875,84.6666666666667,8.8,2.695E-06,100000,90259,36265
15.5944,130.875,89,11.8,2.705E-06,100000,90240,36210
15.5896,135.875,77.1666666666667,11.6,2.715E-06,100000,90221,36166
15.5848,137.625,90.5,11,2.725E-06,100000,90196,36126
15.58,139.625,84.3333333333333,10.8,2.735E-06,100000,90180,36076
15.5752,139.25,87.5,11.8,2.745E-06,100000,90158,36026
15.5704,145.25,95.5,9.6,2.755E-06,100000,90138,35996
15.5656,149.125,100.333333333333,11.6,2.765E-06,100000,90116,35952
15.5608,138.75,95.3333333333333,6.6,2.775E-06,100000,90096,35915
15.556,158.875,94,15,2.785E-06,100000,90081,35883
15.5512,169.5,100.666666666667,9.4,2.795E-06,100000,90073,35855
15.5464,151.125,99.1666666666667,16,2.805E-06,100000,90049,35818
15.5416,162.5,99.1666666666667,11.4,2.815E-06,100000,90023,35793
