# ang   dxs(ang)         integrando      acumul

 156  0.101867899       4.54368116E-03   6.60158920    
 157  0.100748800       4.31692880E-03   6.60590601    
 158   9.96490568E-02   4.09360323E-03   6.60999966    
 159   9.85680819E-02   3.87367047E-03   6.61387348    
 160   9.75054875E-02   3.65710841E-03   6.61753082    
 161   9.64608565E-02   3.44389747E-03   6.62097454    
 162   9.54338014E-02   3.23401392E-03   6.62420845    
 163   9.44238901E-02   3.02743400E-03   6.62723589    
 164   9.34307426E-02   2.82413280E-03   6.63006020    
 165   9.24539864E-02   2.62409123E-03   6.63268423    
 166   9.14932489E-02   2.42728856E-03   6.63511133    
 167   9.05481800E-02   2.23369896E-03   6.63734484    
 168   8.96184295E-02   2.04330543E-03   6.63938808    
 169   8.87036622E-02   1.85608189E-03   6.64124393    
 170   8.78035277E-02   1.67201343E-03   6.64291573    
 171   8.69177505E-02   1.49107038E-03   6.64440680    
 172   8.60459805E-02   1.31323794E-03   6.64572001    
 173   8.51879418E-02   1.13849097E-03   6.64685869    
 174   8.43433216E-02   9.66811203E-04   6.64782572    
 175   8.35118517E-02   7.98180001E-04   6.64862394    
 176   8.26932415E-02   6.32572453E-04   6.64925671    
 177   8.18872303E-02   4.69974562E-04   6.64972687    
 178   8.10935497E-02   3.10357456E-04   6.65003729    
 179   8.03119391E-02   1.53707108E-04   6.65019083    
 180   7.95421600E-02  -7.62569119E-10   6.65019083    

txs:   6.65019083    
