
#A            B        C         D        E           F               G               H               I
#E(keV)     el0   el20     el40      el60    el100       el20s           el40s           el60s          el100s
	       
 453.5   104244   8430     1394       220       12        8187            5220            3222             890
 454.5   105313   7880     1251       186       48        8327            5120            3289             850
 455.5   106460   7940     1360       140       18        7834            5320            3279             830
 456.5   104628   7870     1371       172       18        7417            5082            3336             850
 457.5   102426   7693     1337       223       36        7499            4835            2903             802
 458.5   100547   7756     1301       127       38        7561            5074            3170             854
 459.5    99194   7300     1311       198       21        7220            4766            2950             660
 460.5    98931   7392     1192       231        3        7090            5384            3060             790
 461.5    99621   7220     1141       148       28        7454            4668            2791             883
 462.5   102079   7590     1294       103       29        7281            4791            3160             590
 463.5    97388   7320     1156       190       12        7042            4936            3152             610
 464.5   100637   7400     1199       124       20        7335            4872            3278             660
 465.5    99169   7110     1280       135       21        7067            4908            2779             670
 466.5    99886   7420     1213       154       20        7257            4594            2730             582
 467.5    96423   7460     1123       167       20        7131            4748            2996             690
 468.5    96678   7140      978       163       20        6581            4674            2940             570
 469.5    95661   7370     1159       164        2        6888            4834            2601             470
 470.5    93453   7240      980        97        9        6464            4554            2701             511
 471.5    95667   7027     1213       124       19        6633            4300            2630             730
 472.5    94801   7020     1303       138       31        6717            4520            2660             490
 473.5    91337   7160     1063        95        2        6595            4565            2850             600
 474.5    93759   6890     1015       170        1        6680            4224            2410             520
 475.5    90182   6540     1130        95       11        6529            4061            2450             520
 476.5    94556   6760      941       106        6        6710            3976            2588             442
 477.5    89678   6340     1093       141       20        6241            4012            2240             441
 478.5    89334   6630     1109       114       38        6336            4360            2413             330
 479.5    88491   6640     1145       110       10        6740            4116            2420             490
 480.5    85210   6630     1029       121       10        6147            3712            2141             380
 481.5    90524   6590     1067        81       22        6102            3780            2302             440
 482.5    90326   7000      961        56       10        6292            4014            2431             370
 483.5    91231   6530     1072       114        9        6337            3904            2228             360
 484.5    88707   6480      854       116       12        6344            4012            2431             280
 485.5    86620   6500      866       131        0        6084            3480            2261             290
 486.5    86254   6563      818        59       10        5992            3703            2022             290
 487.5    82854   6160      954       103        0        6090            3715            1870             380
 488.5    83070   5850     1082       131       10        5970            3480            2031             312
 489.5    83338   6210      905        85        9        6268            3550            2100             240
 490.5    81426   5730      929        72       47        5956            3420            1930             210
 491.5    82531   6040      984        67       18        6024            3392            1891             340
 492.5    80528   5720      865        81        2        5784            3642            1820             320
 493.5    81253   5870      947       102       10        5385            3406            2086             250
 494.5    79438   5750      987        58       10        5271            3350            1851             190
 495.5    75536   5580      918        72       10        5495            3591            1750             210
 496.5    77442   5863      758        90        1        5460            3310            1740             310
 497.5    77486   5811      728        74        9        5479            3421            1898             280
 498.5    77646   5667      651        81        1        5115            3170            1856             200
 499.5    78471   5482      828        76        3        4804            3205            1750             190
 500.5    72997   5420      784        24        4        4896            2906            1511             222
 501.5    74712   5430      747        79        1        5191            3682            1450             330
 502.5    78273   5120      818        84       10        5070            3049            1848             140
 503.5    71249   5620      628        54        0        4929            3103            1728             180
 504.5    72887   5220      737        60       11        4817            3032            1630             140
 505.5    70668   5170      722        89        3        4865            2860            1470             152
 506.5    71874   5350      604        69       11        5031            2921            1602             170
 507.5    70179   5100      711        84       10        5233            2990            1460             130
 508.5    74636   5020      706        40        0        4964            2764            1398             200
 509.5    74488   5230      577        73        1        4306            2820            1350             100
 510.5    72427   5010      760        40        0        4678            2690            1200             160
 511.5    71782   4960      624        58       10        4660            2730            1440             140
 512.5    72426   5060      615        48        1        4695            3080            1371             110
 513.5    69169   4867      581        31        1        4333            2670            1530             100
 514.5    67308   4600      736        38        3        4810            2750            1171             110
 515.5    67655   4730      551        40       10        4440            2147            1366             150
 516.5    65394   4770      624        16        9        4298            2843            1370             170
 517.5    66505   4900      601        44        9        4071            2121            1240             100
 518.5    68677   4590      648        64        0        4162            2424            1130             100
 519.5    67314   4410      477        44        9        4140            2447            1320              50
 520.5    65375   4261      567        13        0        4214            2390             962              60
 521.5    63341   4370      637        31       11        3760            2373             881             100
 522.5    64437   4620      561        25        1        4037            2224            1200              60
 523.5    62383   4830      450        18       18        4224            2270            1080              60
 524.5    61609   4510      513        21        1        4210            2220            1088              80
 525.5    58580   4170      524        20       11        3843            2030            1016              90
 526.5    60363   4300      500        73        1        3780            2280             900              20
 527.5    60610   4170      482        19       11        3482            1993             810              50
 528.5    58896   4310      512        51       11        3620            2340             990              50
 529.5    58900   3520      500        29        1        3861            2020             841              40
 530.5    57278   4430      635        30        0        3763            2180             832              10
 531.5    57354   4290      437        23        9        3630            1914             860              50
 532.5    55533   4053      414        32       10        3320            1970             940              60
 533.5    55212   3890      324        29       19        3320            1940             721              50
 534.5    56560   3830      471        21        9        3783            1760             750              20
 535.5    54520   3540      386        18        2        3174            2102             800              10
 536.5    55054   3837      385        12       18        3520            1610             660              40
 537.5    51735   3660      318        50        0        3180            1802             780              20
 538.5    54957   3480      488        34       10        3284            1670             720              50
 539.5    54089   3690      452        23        2        3501            1683             760              40
 540.5    51598   3640      422         1        0        3320            1610             740              20
 541.5    50674   3251      423        47       11        3326            1730             631              20
 542.5    51576   3720      356        22        0        3462            1646             640              10
 543.5    52930   3390      401        10        0        2950            1322             480              10
 544.5    52235   3670      313        48        0        2982            1579             700               0
 545.5    49415   3582      292        20        1        3123            1560             620               0
 546.5    50490   3540      366        11        0        2840            1614             710               0
 547.5    47911   3020      266        46        0        3012            1370             550              10
 548.5    46593   2960      243        10        0        3181            1666             450               0
 549.5    48464   3280      326         0        0        3045            1321             600              10
 550.5    46761   2990      235         9        0        2757            1390             410               0
 551.5    48461   3050      252        19        0        2559            1362             620               0
 552.5    45514   2960      289         9        0        2456            1230             440              10
 553.5    46461   3040      328        10        0        2413            1430             453               0
 554.5    44575   2760      316         4        9        2630            1310             290              10
 555.5    44320   2650      303        21        9        2570            1110             392              10
 556.5    44901   2520      291        11        9        2505            1154             500               0
 557.5    44955   2920      279        19        1        2481            1120             380               0
 558.5    43794   2790      107         0        0        2387             970             360              10
 559.5    42144   2820      260        19        1        2304            1050             300               0
 560.5    42395   2680      216         0        0        2074            1210             360               0
 561.5    42011   2640      208         1        0        2380            1070             370               0
 562.5    41612   2370      175        18       10        2254            1120             330               0
 563.5    40698   2410      220         9        1        2280             880             330               0
 564.5    38245   2420      213        10        0        2180             980             350               0
 565.5    38251   2060      215        20        0        2222            1130             420               0
 566.5    39630   2540      271         0        0        2240            1000             390               0
 567.5    37721   2280      186        19        1        1983             940             341               0
 568.5    38583   2173      170        10        0        2030             890             230               0
 569.5    41499   2250      241        10        9        2109             850             280               0
 570.5    38071   2260      151         2        1        1950             851             191               0
 571.5    36765   2380      194         3        0        1804             716             210               0
 572.5    36294   2160      148         0        0        2033             630             260              10
 573.5    35103   2130       86         1        0        1900             800             130               0
 574.5    36164   2080      104         9        0        2026             732             230               0
 575.5    35294   2107      133         0        1        1840             720             160               0
 576.5    34621   1710      119         1        0        1623             660             210               0
 577.5    34467   1780      158         0        9        1844             710             200               0
 578.5    33215   2161      113        18        0        1800             810             221               0
 579.5    33225   1660      144         0        0        1810             570             170               0
 580.5    33476   1910      116         0        0        1590             580             190               0
 581.5    31140   1670      144         0        0        1560             580             120               0
 582.5    30964   1350       75         0        1        1546             670             150               0
 583.5    32026   1770      106         0        0        1525             740              90               0
 584.5    30111   1450      127         0        0        1564             590             148               0
 585.5    30970   1760      121         0        0        1540             580             130               0
 586.5    30639   1560       69        11        0        1400             420             110               0
 587.5    28726   1650       86         1        0        1431             490              70              10
 588.5    29885   1680       72         0        0        1410             590             120               0
 589.5    27531   1390       81         0        0        1250             540              80               0
 590.5    28111   1450       87         0        0        1410             500              50               0
 591.5    28924   1440       69         9        0        1100             420              30               0
 592.5    26617   1550       80         0        9        1220             470             120               0
 593.5    28218   1450       43         1        0        1310             360              80               0
 594.5    26550   1130       56         0        9        1460             450              70               0
 595.5    26366   1250       59         9        0        1130             420              80               0
 596.5    26022   1200       18         0        0        1270             290              30               0
 597.5    24868   1350       57         9        0        1235             350              30               0
 598.5    25189   1160       49         0        0        1300             450              60               0
 599.5    25093   1180       39         0        0        1186             440              80               0
 600.5    23610   1370       11         0        0        1050             320              50               0
 601.5    23101   1340       48         0        0        1040             260              30               0
 602.5    22770   1190       29         0        0        1160             330             110               0
 603.5    22798   1100       95         0        0         974             250              20               0
 604.5    22524   1150       58         0        0         890             230              30               0
 605.5    23092   1010       12         0        0        1000             200              20               0
 606.5    20587   1200       31         0        0         910             200               0               0
 607.5    21067   1110       19         0        0         750             240              20               0
 608.5    20030    730       30         0        0         792             310               0               0
 609.5    19807    840       18         0        0         740             190              20               0
 610.5    19744   1040       38         0        0         780             210              20               0
 611.5    19693    720       22         0        0         960             140              40               0
 612.5    19727    790       11         0        0         881             170              20               0
 613.5    19553    740        9         0        0         771             170              10               0
 614.5    17475    670       10         0        0         580             190              10               0
 615.5    18950    780       11         0        0         870             150              10               0
 616.5    17182    710        0         0        0         690             130               0               0
 617.5    17553    720       12         0        0         670             150              20               0
 618.5    17334    620        0         0        0         610             110              10               0
 619.5    16946    530       11         0        0         640             140               0               0
 620.5    17153    480       11         0        0         693              40               0               0
 621.5    14879    530        9         0        0         571             180              10               0
 622.5    16606    550        9         0        0         530             110               0               0
 623.5    15240    650        1         0        0         580             100               0               0
 624.5    15725    550       19         9        0         490             160               0               0
 625.5    14950    420       18         0        0         520              50               0               0
 626.5    14920    550        1         0        0         530              90               0               0
 627.5    14320    470        0         0        0         550              80               0               0
 628.5    13366    460        0         0        0         560             110               0               0
 629.5    13516    430        0         0        0         580              80               0               0
 630.5    12746    390        1         0        9         410              80               0               0
 631.5    14410    510        0         0        0         360             120               0               0
 632.5    12290    310        0         0        0         413              30               0               0
 633.5    12783    410        0         0        0         420              40               0               0
 634.5    11885    380        0         0        0         460              30               0               0
 635.5    11385    370        1         0        0         260              20               0               0
 636.5    11512    340        0         0        0         430              10               0               0
 637.5    11176    261        0         0        0         320              30               0               0
 638.5    10673    190        0         0        0         260              30               0               0
 639.5    10297    260        1         0        0         260              30               0               0
 640.5     9121    340        0         0        0         323              10               0               0
 641.5    10746    260        1         0        0         320              10              10               0
 642.5     9490    200        0         0        0         190              20               0               0
 643.5     8782    150        0         0        0         240               0               0               0
 644.5    10469    190        0         0        0         260              30               0               0
 645.5     9427    210        0         0        0         161              10               0               0
 646.5     8958    200        0         0        0         111              30               0               0
 647.5     7797    270        0         0        0         293              20               0               0
 648.5     9103    130        0         0        0         190              10               0               0
 649.5     8369    170        0         0        0         260               0               0               0
 650.5     7498    110        0         0        0         210              10               0               0
 651.5     6452    140        0         0        0         150              10               0               0
 652.5     6314    110        0         0        0         150               0               0               0
 653.5     7644    140        0         0        0         220               0               0               0
 654.5     7319    110        0         0        0          80               0               0               0
 655.5     6004     90        0         0        0          80               0               0               0
 656.5     6384    100        0         0        0         140               0               0               0
 657.5     6288    110        0         0        0         120              10               0               0
 658.5     6500     70        0         0        0         130               0               0               0
 659.5     6311     50        0         0        0         120               0               0               0
 660.5     5970     70        0         0        0         102               0               0               0
 661.5     5744     40        0         0        0          70               0               0               0
 662.5     5305     30        0         0        0          40               0               0               0
 663.5     4523     50        0         0        0         120               0               0               0
 664.5     4938     70        0         0        0         110               0               0               0
 665.5     4648     40        0         0        0          10               0               0               0
 666.5     4047     40        0         0        0          30               0               0               0
 667.5     3699     40        0         0        0         100               0               0               0
 668.5     4087     30        0         0        0          40               0               0               0
 669.5     4316     30        0         0        0          40               0               0               0
 670.5     3593     30        0         0        0          50               0               0               0
 671.5     3923     20        0         0        0          40               0               0               0
 672.5     3610     20        0         0        0          40               0               0               0
 673.5     2979     30        0         0        0          30               0               0               0
 674.5     3000     10        0         0        0          70               0               0               0
 675.5     2969     10        0         0        0          40               0               0               0
 676.5     3165     10        0         0        0           0               0               0               0
 677.5     2760     20        0         0        0          40               0               0               0
 678.5     2743     10        0         0        0          10               0               0               0
 679.5     2771     10        0         0        0          20               0               0               0
 680.5     1885     20        0         0        0          10               0               0               0
 681.5     2161      0        0         0        0           0               0               0               0
 682.5     2789      0        0         0        0          30               0               0               0
 683.5     2254      0        0         0        0          10               0               0               0
 684.5     2128      0        0         0        0           0               0               0               0
 685.5     1863      0        0         0        0           0               0               0               0
 686.5     1521      0        0         0        0           0               0               0               0
 687.5     1273     10        0         0        0           0               0               0               0
 688.5     1952      0        0         0        0           0               0               0               0
 689.5     2024      0        0         0        0           0               0               0               0
 690.5     1366      0        0         0        0           0               0               0               0
 691.5     1127      0        0         0        0           0               0               0               0
 692.5     1156      0        0         0        0           0               0               0               0
 693.5     1061      0        0         0        0           0               0               0               0
 694.5      773      0        0         0        0           0               0               0               0
 695.5      888      0        0         0        0           0               0               0               0
 696.5      762      0        0         0        0           0               0               0               0
 697.5      893      0        0         0        0           0               0               0               0
 698.5      653      0        0         0        0           0               0               0               0
 699.5      458      0        0         0        0           0               0               0               0
 700.5      591      0        0         0        0           0               0               0               0
 701.5      580      0        0         0        0           0               0               0               0
 702.5      531      0        0         0        0           0               0               0               0
 703.5      282      0        0         0        0           0               0               0               0
 704.5      366      0        0         0        0           0               0               0               0
 705.5      376      0        0         0        0           0               0               0               0
 706.5      534      0        0         0        0           0               0               0               0
 707.5      312      0        0         0        0           0               0               0               0
 708.5      237      0        0         0        0           0               0               0               0
 709.5      366      0        0         0        0           0               0               0               0
 710.5      280      0        0         0        0           0               0               0               0
 711.5      476      0        0         0        0           0               0               0               0
 712.5        0      0        0         0        0           0               0               0               0
 713.5        0      0        0         0        0           0               0               0               0
 714.5        0      0        0         0        0           0               0               0               0
