
#A            B        C         D        E           F               G               H               I
#E(keV)     el0   el20     el40      el60    el100       el20s           el40s           el60s          el100s
	       
 103.5   217977   4990     2158      1393      953       19286           15794           13580            9373
 104.5   223062   4850     2074      1313      750       18917           16106           13519            8760
 105.5   224769   5100     2030      1326      904       18968           16492           13561            9272
 106.5   224972   4670     2123      1340      814       18934           16201           13841            9002
 107.5   224784   5150     2310      1371      867       18743           15685           13108            9895
 108.5   230580   5160     2170      1445      894       19302           16358           13664            8672
 109.5   223065   5330     1959      1623      751       19526           16489           13962            9410
 110.5   220949   5090     2216      1310      641       18206           16679           14234            9234
 111.5   227747   4840     2174      1208      951       18764           16574           13645            9202
 112.5   226897   5360     2005      1223      842       19713           16814           14466            9712
 113.5   223365   4920     2074      1283      772       18889           16607           14117            9434
 114.5   227135   4860     2217      1408      963       19860           16666           14018            9276
 115.5   227475   5260     1914      1366      776       19590           15800           14266            9463
 116.5   227063   4910     1830      1142      689       19877           16612           13619            9294
 117.5   231529   5360     1895      1293      852       19959           16245           14053            8849
 118.5   228957   5280     2084      1289      983       20176           16825           13503            9348
 119.5   229150   5530     2301      1177      901       19351           16635           13903            9330
 120.5   227041   5410     2138      1191      847       19672           16178           14340            9274
 121.5   235506   5182     2222      1252      818       18842           16827           14418            9632
 122.5   230795   5370     2163      1497      820       20105           17109           15162            9165
 123.5   230165   5600     2147      1210      919       19147           17323           13724            9228
 124.5   232153   5610     2290      1230      763       20615           16459           14201            9752
 125.5   234931   5280     2038      1185      763       18775           17023           14608            9156
 126.5   232823   5940     2029      1197      747       20156           16870           14774            9308
 127.5   231513   6080     2326      1132      844       19562           17499           13968            9266
 128.5   234558   5877     2003      1305      864       20228           17330           14303            9775
 129.5   235017   5520     2111      1143      824       20347           17091           14347            9226
 130.5   233628   6120     2294      1147      791       19970           17064           14004            9077
 131.5   228899   6391     2029      1122      779       20363           17173           14035            8761
 132.5   237361   5930     1910      1027      775       19199           17043           15287            9303
 133.5   234008   6170     2240      1136      737       19989           17379           14317            9318
 134.5   236007   6040     1990      1203      768       20173           17483           14757            9903
 135.5   230582   6310     1930      1207      753       20646           16701           14677            9483
 136.5   230933   6320     2127      1143      790       19473           17492           14155            9870
 137.5   242563   6020     2044      1171      832       20262           17473           14635            9016
 138.5   238789   6100     2117       951      741       20411           17573           14835            9022
 139.5   239030   6080     2200      1335      813       21272           16706           14382            9939
 140.5   239448   6780     2005      1203      676       20379           17658           13847            9687
 141.5   236458   6540     2107      1026      664       20583           17425           14156            9584
 142.5   238666   6580     2233      1159      927       20160           17301           14698            9763
 143.5   238020   6210     2010      1139      559       21223           17130           14103            9936
 144.5   242844   6294     2189      1222      847       19718           18151           14302            9754
 145.5   238821   6620     2090      1109      693       21029           17244           14626            9580
 146.5   241129   6970     2219       960      772       20573           17519           14621            9721
 147.5   237046   6160     2095      1071      606       20844           17338           14866            9500
 148.5   245317   6410     2074      1106      667       20521           17595           15036            9107
 149.5   242986   6350     2254      1116      544       20398           17058           14449            9014
 150.5   237265   7030     2091      1022      679       21015           18091           14719            9762
 151.5   242207   6550     2370      1006      839       20294           17157           14814            9193
 152.5   246728   7280     1998       854      709       21177           17081           14689            9436
 153.5   243496   6670     2316       938      836       20866           17877           14240            9222
 154.5   238541   7150     1950      1097      747       20998           17194           14581            9474
 155.5   243979   6840     1961       995      572       21176           17489           14669            9320
