
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
 181.5        24765   8700        21061          27530
 182.5        24478   8340        20997          23919
 183.5        24230   8530        20649          23050
 184.5        24395   8660        20092          24648
 185.5        24241   8620        20480          23629
 186.5        24216   8490        20247          21430
 187.5        24641   8383        20909          26218
 188.5        24758   8680        20846          25390
 189.5        24835   8720        21085          23433
 190.5        24161   8710        20609          24213
 191.5        24680   8830        21036          22340
 192.5        24499   9160        21198          21650
 193.5        24902   8780        20460          23944
 194.5        24281   9030        21459          22939
 195.5        24168   9143        20645          23687
 196.5        24438   9430        20736          24354
 197.5        24674   8800        20874          21218
 198.5        24057   9030        20014          23500
 199.5        24563   9190        19850          24309
 200.5        24233   8992        21065          25484
 201.5        24592   9302        20631          22042
 202.5        24322   9030        21202          22477
 203.5        24371   8980        20757          23216
 204.5        24284   9154        20134          24363
 205.5        24145   9933        19920          22374
 206.5        24236   9140        20778          23599
 207.5        24272   9230        20964          22195
 208.5        24657   9750        20328          24782
 209.5        23760   9380        20317          25054
 210.5        24705   9990        20106          22901
 211.5        24303   9921        20265          23675
 212.5        24441   9560        19311          20827
 213.5        24108   9657        20520          21286
 214.5        23778   9590        19516          22989
 215.5        23849   9763        21493          22555
 216.5        23730   9530        20255          25187
 217.5        23940   9800        20213          23276
 218.5        23395  10060        20397          22749
 219.5        23877  10080        19882          24179
 220.5        24242  10220        19797          24143
 221.5        24401   9880        20085          23199
 222.5        23365  10250        20249          22355
 223.5        23495  10330        20590          22856
 224.5        24011  10160        19464          20418
 225.5        23603  10520        20007          24278
 226.5        24044  10300        20434          23398
 227.5        23758  10474        20691          20929
 228.5        23266  10200        20213          23056
 229.5        23389  10890        19325          22048
 230.5        23359  10460        19580          21700
 231.5        23222  11041        20218          22585
 232.5        23772   9910        19882          22364
 233.5        24251  10630        20351          22552
 234.5        23881  11090        19626          19248
 235.5        22965  10341        19942          23269
 236.5        23711  10420        19165          21212
 237.5        22926  10750        19548          24390
 238.5        23203  10550        19394          20369
 239.5        23282  11460        19662          23386
 240.5        23277  10660        19383          23786
