
#A            B      C
#E(keV)     el0   el20
 155.5   243979   6840	      155500             730 
 156.5   243379   7240	      156500             770 
 157.5   244585   7280	      157500             600 
 158.5   246008   6910	      158500             910 
 159.5   242159   7340	      159500             620 
 160.5   244376   7470	      160500             601 
 161.5   239565   7150	      161500             745 
 162.5   244202   7380	      162500             770 
 163.5   241575   6860	      163500             682 
 164.5   244898   7730	      164500             653 
 165.5   242719   7470	      165500             803 
 166.5   242503   7632	      166500             713 
 167.5   245147   7217	      167500             812 
 168.5   247594   8403	      168500             870 
 169.5   246503   7970	      169500             800 
 170.5   244144   8300	      170500             840 
 171.5   248736   7610	      171500             980 
 172.5   246386   7691	      172500             810 
 173.5   243362   7750	      173500             962 
 174.5   240233   8130	      174500            1002 
 175.5   244849   7900	      175500             891 
 176.5   247704   7934	      176500             660 
 177.5   245371   8280	      177500             940 
 178.5   249927   8050	      178500             872 
 179.5   247570   8190	      179500             873 
 180.5   241064   8640	      180500             815 
 181.5   248612   8700	      181500            1029 
 182.5   246671   8340	      182500             870 
 183.5   241598   8530	      183500             950 
 184.5   247392   8660	      184500             842 
 185.5   242318   8620	      185500             940 
 186.5   244936   8490	      186500             910 
 187.5   243948   8383	      187500            1070 
 188.5   245197   8680	      188500             830 
 189.5   246036   8720	      189500             922 
 190.5   239791   8710	      190500             960 
 191.5   248296   8830	      191500             980 
 192.5   244269   9160	      192500             900 
 193.5   250159   8780	      193500             980 
 194.5   245024   9030	      194500             820 
 195.5   240644   9143	      195500             990 
 196.5   243273   9430	      196500             980 
 197.5   246214   8800	      197500             880 
 198.5   241512   9030	      198500            1060 
 199.5   245726   9190	      199500            1020 
 200.5   240527   8992	      200500             990 
 201.5   244328   9302	      201500             950 
 202.5   244347   9030	      202500             912 
 203.5   242080   8980	      203500             840 
 204.5   240979   9154	      204500            1080 
 205.5   243609   9933	      205500            1123 
 206.5   244412   9140	      206500            1010 
 207.5   240844   9230	      207500            1010 
 208.5   246580   9750	      208500             880 
 209.5   240229   9380	      209500             940 
 210.5   247287   9990	      210500             900 
 211.5   238370   9921	      211500            1120 
 212.5   241322   9560	      212500             880 
 213.5   239368   9657	      213500            1100 
 214.5   238666   9590	      214500            1002 
 215.5   239356   9763	      215500            1266 
 216.5   239630   9530	      216500            1263 
 217.5   238560   9800	      217500             920 
 218.5   233746  10060	      218500            1101 
 219.5   237557  10080	      219500            1050 
 220.5   243173  10220	      220500            1020 
 221.5   239807   9880	      221500             980 
 222.5   235258  10250	      222500            1100 
 223.5   234260  10330	      223500            1210 
 224.5   239695  10160	      224500            1141 
 225.5   235431  10520	      225500            1130 
 226.5   240458  10300	      226500            1080 
 227.5   238247  10474	      227500            1100 
 228.5   233451  10200	      228500             950 
 229.5   238463  10890	      229500            1060 
 230.5   234938  10460	      230500            1143 
 231.5   232892  11041	      231500            1300 
 232.5   239781   9910	      232500            1220 
 233.5   239691  10630	      233500            1140 
 234.5   235917  11090	      234500            1400 
 235.5   230204  10341	      235500            1020 
 236.5   235595  10420	      236500            1270 
 237.5   229742  10750	      237500             972 
 238.5   231560  10550	      238500            1070 
 239.5   233811  11460	      239500            1260 
 240.5   235679  10660	      240500             980 
 241.5   229416  11490	      241500            1170 
 242.5   229592  10910	      242500            1190 
 243.5   236704  11060	      243500            1210 
 244.5   229961  10860	      244500            1250 
 245.5   233153  11300	      245500            1170 
 246.5   231641  10631	      246500            1102 
 247.5   238897  11081	      247500            1040 
 248.5   225467  10551	      248500            1120 
 249.5   229993  10940	      249500            1423 
 250.5   229972  11391	      250500            1005 
 251.5   231139  11080	      251500            1040 
 252.5   228453  11263	      252500            1140 
 253.5   230782  10970	      253500            1300 
 254.5   231280  11070	      254500            1120 
 255.5   224446  11200	      255500            1410 
 256.5   226051  11820	      256500            1200 
 257.5   223066  11530	      257500            1230 
 258.5   227191  10970	      258500            1190 
 259.5   221888  11060	      259500            1210 
 260.5   224244  11641	      260500            1325 
 261.5   226538  12140	      261500            1180 
 262.5   223802  11750	      262500            1402 
 263.5   224155  11690	      263500            1200 
 264.5   221582  11530	      264500            1470 
 265.5   229042  11272	      265500            1490 
 266.5   226499  11770	      266500            1130 
 267.5   219093  11214	      267500            1132 
 268.5   222590  11921	      268500            1203 
 269.5   221903  11580	      269500            1280 
 270.5   223113  11663	      270500            1160 
