 #x(mm),       EdepTotal ,       E2_proton 
143.25,352344,96.3704
143.75,353973,95.9952
144.25,351258,95.6029
144.75,356571,95.2436
145.25,355082,94.8576
145.75,358289,94.4693
146.25,358649,94.0858
146.75,360543,93.7076
147.25,359834,93.3337
147.75,362912,92.9321
148.25,364010,92.5459
148.75,364615,92.1568
149.25,366536,91.7563
149.75,369234,91.359
150.25,369266,90.9794
150.75,371114,90.582
151.25,370559,90.1728
151.75,373090,89.7841
152.25,373928,89.3895
152.75,376641,88.9945
153.25,374375,88.5886
153.75,379131,88.1905
154.25,380511,87.783
154.75,379740,87.3796
155.25,382613,86.9631
155.75,384827,86.5568
156.25,384654,86.1516
156.75,386594,85.7445
157.25,389090,85.3246
157.75,390360,84.902
158.25,394270,84.4964
158.75,392945,84.0716
159.25,395768,83.6563
159.75,397840,83.2359
160.25,397193,82.8136
160.75,400517,82.3785
161.25,402955,81.9538
161.75,405896,81.5294
162.25,408394,81.0971
162.75,407053,80.6741
163.25,410546,80.2348
163.75,412671,79.7985
164.25,413029,79.3502
164.75,416296,78.9119
165.25,418312,78.4719
165.75,421251,78.028
166.25,424679,77.5847
166.75,423443,77.1564
167.25,427614,76.6956
167.75,432674,76.2426
168.25,429983,75.8029
168.75,433541,75.3389
169.25,436946,74.8697
169.75,439236,74.4209
170.25,443777,73.9596
170.75,445947,73.4976
171.25,447423,73.0405
171.75,448384,72.5686
172.25,449768,72.0848
172.75,451557,71.6339
173.25,453667,71.1631
173.75,456656,70.692
174.25,458637,70.2124
174.75,463243,69.7379
175.25,462109,69.2426
175.75,466014,68.7584
176.25,467133,68.2716
176.75,472199,67.7778
177.25,475272,67.291
177.75,474534,66.8033
178.25,479441,66.3034
178.75,479103,65.7991
179.25,488110,65.2948
179.75,488623,64.7946
180.25,491784,64.2838
180.75,495194,63.776
181.25,497684,63.2568
181.75,504607,62.7261
182.25,505741,62.2067
182.75,512985,61.6675
183.25,515270,61.1465
183.75,516681,60.6206
184.25,522275,60.0754
184.75,528927,59.5289
185.25,533053,58.9831
185.75,538469,58.4259
186.25,539454,57.8745
186.75,546703,57.3155
187.25,552683,56.7394
187.75,561556,56.1857
188.25,565537,55.5917
188.75,570714,55.0248
189.25,574402,54.4475
189.75,582922,53.8461
190.25,588331,53.2745
190.75,597045,52.6875
191.25,599191,52.0598
191.75,606290,51.4927
192.25,610823,50.8622
192.75,619305,50.2448
193.25,625334,49.6252
193.75,635296,48.9872
194.25,639802,48.3571
194.75,646953,47.7042
195.25,656711,47.0379
195.75,663860,46.3713
196.25,674499,45.6728
196.75,682055,44.967
197.25,695634,44.258
197.75,709170,43.545
198.25,717667,42.8068
198.75,732714,42.059
199.25,745648,41.3
199.75,762631,40.5212
200.25,776479,39.7101
200.75,787715,38.8782
201.25,807932,38.0383
201.75,824466,37.1644
202.25,845970,36.2795
202.75,861592,35.3888
203.25,882589,34.462
203.75,903428,33.5331
204.25,927874,32.5455
204.75,951354,31.5815
205.25,978573,30.5539
205.75,1001930,29.4741
206.25,1035140,28.3451
206.75,1062990,27.1409
207.25,1102160,25.9037
207.75,1144210,24.5484
208.25,1190200,23.123
208.75,1240240,21.5842
209.25,1300420,20.014
209.75,1370130,18.4301
210.25,1443840,16.7965
210.75,1522810,15.2483
211.25,1605380,13.79
211.75,1681950,12.452
212.25,1746590,11.2568
212.75,1786150,10.201
213.25,1797310,9.25109
213.75,1767260,8.43976
214.25,1690030,7.73574
214.75,1566940,7.10864
215.25,1405810,6.58211
215.75,1213350,6.10061
216.25,1004970,5.68419
216.75,795407,5.32506
217.25,603039,4.99338
217.75,435356,4.69026
218.25,297792,4.42512
218.75,192211,4.19078
219.25,118061,3.98909
219.75,68434.3,3.78281
220.25,37516,3.62976
220.75,19449.6,3.42458
221.25,9272.75,3.31463
221.75,4314.41,3.24604
222.25,1926.11,2.97231
222.75,745.132,2.67297
223.25,236.635,2.83116
223.75,95.7762,2.29001
224.25,17.0921,2.19948
224.75,2.90691,6.87937
225.25,6.21716,2.28327
225.75,0,0
226.25,0,0
226.75,0,0
227.25,0,0
227.75,0,0
228.25,0,0
228.75,0,0
229.25,0,0
229.75,0,0
230.25,0,0
230.75,0,0
231.25,0,0
231.75,0,0
232.25,0,0
232.75,0,0
233.25,0,0
233.75,0,0
234.25,0,0
234.75,0,0
235.25,0,0
235.75,0,0
236.25,0,0
236.75,0,0
237.25,0,0
237.75,0,0
238.25,0,0
238.75,0,0
239.25,0,0
239.75,0,0
240.25,0,0
240.75,0,0
241.25,0,0
241.75,0,0
242.25,0,0
242.75,0,0
243.25,0,0
243.75,0,0
244.25,0,0
244.75,0,0
245.25,0,0
245.75,0,0
246.25,0,0
246.75,0,0
247.25,0,0
247.75,0,0
248.25,0,0
248.75,0,0
249.25,0,0
249.75,0,0
250.25,0,0
